"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume"
"2012-06-14",29.26,29.68,28.92,29.54,5295056
"2012-06-21",30.22,30.36,28.96,28.98,5063732
"2012-06-28",28.64,28.7,27.62,28.1,7551192
"2012-07-05",29.72,30.28,29.67,30.11,2717594
"2012-07-12",27.28,27.78,26.96,27.68,12802690
"2012-07-19",29.88,30.02,29.42,29.48,3456838
"2012-07-26",28.61,28.94,28.28,28.48,4339364
"2012-08-02",27.97,28.38,27.76,28.14,9230346
"2012-08-09",32.02,32.44,32.01,32.22,4700166
"2012-08-16",31.92,32.54,31.82,32.46,4853416
"2012-08-23",32.21,32.82,32.21,32.5,4038680
"2012-08-30",32.25,32.32,31.88,31.92,2677732
"2012-09-06",32.22,32.99,32.16,32.97,5893286
"2012-09-13",34.05,35.07,33.72,35.02,6446918
"2012-09-20",34.08,34.24,33.95,34.13,4151050
"2012-09-27",33.98,34.52,33.98,34.36,4100222
"2012-10-04",35.78,35.96,35.56,35.92,2380028
"2012-10-11",34.99,35.19,34.75,34.92,4206066
"2012-10-18",34.76,34.8,34.46,34.68,5315052
"2012-10-25",34.7,34.82,33.95,34.08,3494408
"2012-11-01",33.44,33.72,33.29,33.6,6780470
"2012-11-08",33.08,33.79,32.62,32.64,5682702
"2012-11-15",32.48,32.61,32.28,32.51,5312918
"2012-11-29",33.08,33.68,33.07,33.56,6077580
"2012-12-06",34.86,35.02,34.56,34.98,5649826
"2012-12-13",35.88,36.49,35.8,36.04,4343640
"2012-12-20",36.4,36.89,35.78,36.86,5648018
"2012-12-27",36.56,36.72,35.93,36.5,3154434
"2013-01-03",38.28,38.28,37.54,37.68,4884746
"2013-01-10",37.36,37.64,37.08,37.52,4474278
"2013-01-17",39.04,39.34,38.95,39.26,2834680
"2013-01-24",38.76,39.14,38.38,38.46,5709706
"2013-01-31",38.96,39.27,38.75,39.09,3228312
"2013-02-07",38.36,39.32,37.63,39.26,10421420
"2013-02-14",38.1,38.22,37.93,38.09,3294272
"2013-02-21",38.49,38.5,37.56,37.58,3601616
"2013-02-28",38.58,38.71,38.36,38.38,2436104
"2013-03-07",40.31,40.42,40.01,40.26,2018442
"2013-03-14",39.64,39.72,39.16,39.34,3412328
"2013-03-21",38.44,38.44,38.02,38.07,3640504
"2013-03-28",37.12,38.36,37.04,38.31,5644222
"2013-04-04",37.44,37.64,37,37.24,3225418
"2013-04-11",38.24,38.85,38.12,38.83,5391472
"2013-04-18",35.62,35.64,35.15,35.24,4885284
"2013-04-25",31.4,31.88,30.64,30.68,18130584
"2013-05-02",31.8,32.2,31.47,32.17,7686000
"2013-05-09",34.24,34.34,33.84,34.22,11530318
"2013-05-16",32.12,32.29,31.57,31.61,5756358
"2013-05-23",32.44,32.6,31.84,32.06,9318330
"2013-05-30",32.18,32.5,31.89,32.4,5071642
"2013-06-06",32.1,32.68,31.72,32.68,8197294
"2013-06-13",31.92,32.14,31.59,31.96,6217312
"2013-06-20",31.29,31.7,31.2,31.36,6857362
"2013-06-27",32.06,32.14,31.43,31.55,6732994
"2013-07-11",35.22,35.6,35,35.52,10913644
"2013-07-18",35.98,36.66,35.98,36.24,6752486
"2013-07-25",35.85,36.58,35.8,36.31,4395290
"2013-08-01",36.36,37.1,36.36,36.74,4031950
"2013-08-08",36.9,36.98,36.44,36.44,3658328
"2013-08-15",35.82,35.92,35.18,35.43,3786918
"2013-08-22",36.13,36.48,36.13,36.38,2584276
"2013-08-29",36.8,37.12,36.52,37.01,3337608
"2013-09-05",37.77,38.15,37.71,38,5453586
"2013-09-12",39.8,39.85,39.36,39.4,3493356
"2013-09-19",42.02,42.08,41.3,41.32,5209910
"2013-09-26",41.74,41.74,41.2,41.5,2328898
"2013-10-03",41.84,41.92,41.46,41.76,3332672
"2013-10-10",41.17,42.16,41.05,42.1,3367044
"2013-10-17",41.99,43.01,41.89,42.98,4425606
"2013-10-24",43.1,43.42,42.86,43.3,2298570
"2013-10-31",43.74,44,43.44,43.46,3465116
"2013-11-07",45.24,45.82,44.64,44.75,3005996
"2013-11-14",46.4,46.79,46.25,46.72,3065360
"2013-11-21",46.7,47.01,46.58,46.87,4415134
"2013-12-05",46.68,47.18,46.44,46.89,1927088
"2013-12-12",46.53,46.92,46.3,46.62,2653518
"2013-12-19",48.71,48.94,48.2,48.51,3495524
"2013-12-26",49.3,49.82,49.08,49.72,1269356
"2014-01-02",50.12,50.38,49.22,49.42,5559598
"2014-01-09",50.24,50.24,49.52,49.76,3069366
"2014-01-16",50.34,50.54,50.04,50.15,3421626
"2014-01-23",49.76,50.14,49.14,49.28,3306108
"2014-01-30",48.25,49.42,48.15,49.3,3539956
"2014-02-06",46.4,47.78,46.4,47.74,6004894
"2014-02-13",48.96,49.98,48.89,49.88,2953296
"2014-02-20",49.89,50.58,49.47,50.33,2855314
"2014-02-27",51.66,51.81,51.29,51.6,2457042
"2014-03-06",52.73,54,52.73,53.54,5816124
"2014-03-13",51.84,51.94,50.23,50.58,2627836
"2014-03-20",49.5,49.81,49.24,49.62,4011369
"2014-03-27",49.14,49.19,47.42,47.58,6517260
"2014-04-03",51.66,52.65,51.04,51.29,2353253
"2014-04-10",49.85,50.04,47.72,47.87,3665105
"2014-04-17",50.41,50.41,49.17,49.55,4424896
"2014-04-24",49.66,49.81,48.88,49.3,2277689
"2014-05-01",47.96,48.96,47.67,48.6,4385717
"2014-05-08",47.17,48.44,46.9,48,6029998
"2014-05-15",48.5,48.73,46.92,47.18,4892616
"2014-05-22",47.41,47.7,47.22,47.65,3283481
"2014-05-29",48.82,49,48.25,48.96,2838037
"2014-06-05",48.5,49.01,48.21,49,3525880
"2014-06-12",47.19,47.57,46.78,46.98,3071208
"2014-06-19",49.22,49.24,48.67,48.95,2491191
"2014-06-26",49.9,49.9,48.56,49.39,2803491
"2014-07-03",49.96,50.33,49.83,50.3,1272442
"2014-07-10",49.8,50.25,49.54,50.01,3266165
"2014-07-17",49.43,49.7,48.61,48.64,3945183
"2014-07-24",50.81,51.05,50.62,50.8,2917521
"2014-07-31",49.76,50.12,49.03,49.05,4467418
"2014-08-07",44.14,45.08,43.95,44.38,11626589
"2014-08-14",45.1,45.1,44.71,44.82,5561710
"2014-08-21",45.91,46.44,45.83,46.01,3771042
"2014-08-28",45.54,45.69,45.08,45.47,6614503
"2014-09-04",46.1,46.34,45.81,46.05,4313921
"2014-09-11",45.25,45.5,44.8,45.04,6961309
"2014-09-18",45.11,45.34,45,45.31,4432505
"2014-09-25",45.24,45.34,44.05,44.07,4887650
"2014-10-02",44.22,44.68,43.88,43.9,5361649
"2014-10-09",44.83,45.02,44.07,44.12,6557531
"2014-10-16",43.76,44.63,43.44,44.12,5671402
"2014-10-23",44.6,44.85,44.31,44.52,3791840
"2014-10-30",46.69,48.48,46.62,47.98,4962715
"2014-11-06",52.5,52.99,51.68,52.64,6345556
"2014-11-13",53.32,53.7,53,53.39,3313584
"2014-11-20",52.25,52.57,51.55,51.76,4566133
"2014-12-04",54.39,54.49,53.34,53.52,3142061
"2014-12-11",51.85,52.39,51.41,51.51,4305235
"2014-12-18",52.05,53.45,51.68,53.45,5081955
"2015-01-08",52.84,54.11,52.6,53.88,5570202
"2015-01-15",54.36,54.67,53.43,53.84,4758293
"2015-01-22",55.35,56.2,55.05,56.18,4849824
"2015-01-29",54.39,55.5,54.02,55.48,3545442
"2015-02-05",57.91,58.21,56.53,57.64,5591410
"2015-02-12",59.06,60.3,59.02,60.28,3859715
"2015-02-19",61.09,62.01,60.86,62,3695543
"2015-02-26",62.67,63.1,62.26,62.79,2847352
"2015-03-05",62.06,62.42,61.83,62.36,5565198
"2015-03-12",61,61.77,60.93,61.65,2068085
"2015-03-19",63.74,64.45,63.53,64.24,3438378
"2015-03-26",60.6,63.04,60.5,62.53,5091968
"2015-04-02",62.09,62.76,61.68,62.57,1916138
"2015-04-09",62.33,63.23,62.2,63.16,1715506
"2015-04-16",62.63,62.93,62.21,62.45,2551392
"2015-04-23",60.88,61.42,60.42,61.2,3356712
"2015-04-30",59.68,59.9,58.38,58.54,3858459
"2015-05-07",60.49,61.7,60.22,61.31,3420023
"2015-05-14",62.19,63.92,62.02,63.82,3823086
"2015-05-21",64.74,65.26,64.68,64.97,1964370
"2015-05-28",64.51,64.93,64.14,64.84,1898932
"2015-06-04",65.2,65.66,64.26,64.47,2436439
"2015-06-11",65.16,65.16,64.25,64.51,3881739
"2015-06-18",62.37,63.61,62.37,63.25,3041025
"2015-06-25",63.35,63.95,63.06,63.7,2455531
"2015-07-02",61.89,62.23,57.69,60.53,11140078
"2015-07-09",59.9,60.11,59.41,59.49,3065375
"2015-07-16",61.67,61.98,60.95,61.17,2045583
"2015-07-23",62.24,62.69,61.95,62.26,1752523
"2015-07-30",61.83,63.28,61.32,63.12,2929107
"2015-08-06",67.88,68.26,66.38,67.08,4299308
"2015-08-13",67.41,68.27,66.86,67.94,2812513
"2015-08-20",66.37,66.75,65.22,65.7,4201730
"2015-08-27",62.73,63.9,62.26,63.8,4841178
"2015-09-03",62.84,63.4,62.54,62.86,2963986
"2015-09-10",61.8,63.22,61.69,62.63,2823697
"2015-09-17",63.47,63.78,62.75,62.89,2791511
"2015-09-24",61.62,61.85,60.56,61.12,5009560
"2015-10-01",62.95,63.56,62.23,63.27,3411693
"2015-10-08",65.51,66.62,65.48,66.36,2080432
"2015-10-15",65.19,65.27,64.42,64.9,3357855
"2015-10-22",65.91,68.49,65.63,68.43,5822499
"2015-10-29",69.41,69.52,68.7,68.88,1950340
"2015-11-05",67.49,67.66,66.56,67.17,3174524
"2015-11-12",67.52,68.04,66.94,67.11,2460815
"2015-11-19",65.33,65.58,64.91,65.24,3017452
"2015-12-03",64.05,64.29,61.17,61.67,4849429
"2015-12-10",60.48,60.92,60.12,60.37,3315669
"2015-12-17",62.22,62.32,60.14,60.42,4777065
"2015-12-24",60.44,61,60.38,60.73,1180346
"2015-12-31",60.6,61.02,60,60.02,2224555
"2016-01-07",56.03,57.95,55.53,56.64,5449007
"2016-01-14",58.17,61.08,58,60.2,7906962
"2016-01-21",59.46,60.16,58.63,59.06,4428480
"2016-01-28",61.78,62.26,61.14,61.34,4190689
"2016-02-04",60.09,60.36,58.98,59.62,5500658
"2016-02-11",52.22,52.86,51.33,52.11,5604337
"2016-02-18",57.02,57.27,55.87,56.01,4628562
"2016-02-25",56.56,57.25,55.56,57.24,2985905
"2016-03-03",57.95,58,56.74,57.8,3725412
"2016-03-10",56.39,56.98,54.65,55.42,5145068
"2016-03-17",58.57,58.99,58.24,58.73,3596243
"2016-03-24",58.87,60.64,58.78,60.32,5087806
"2016-03-31",62.34,63.02,62.04,62.7,3497478
"2016-04-07",61.01,61.23,59.89,59.99,4332026
"2016-04-14",60.45,60.76,60.06,60.36,2710866
"2016-04-21",59.88,60.42,59.71,60.05,2544520
"2016-04-28",60.1,60.5,59.58,59.73,3109772
"2016-05-05",57.5,57.76,57.06,57.59,6253699
"2016-05-12",61.27,61.46,60.51,61.13,2201343
"2016-05-19",61.59,62.15,61.45,62.01,3590337
"2016-05-26",62.52,62.81,62.05,62.26,2700217
"2016-06-02",61.16,61.35,60.69,61.34,2947032
"2016-06-09",60.89,61.16,60.39,60.99,4381359
"2016-06-16",59.25,59.86,58.59,59.71,3225859
"2016-06-23",62.44,62.71,61.63,62.7,2894107
"2016-06-30",57.37,57.48,56.7,57.24,5863116
"2016-07-07",56.84,57.47,56.61,56.84,2161202
"2016-07-14",59.07,59.41,58.73,58.94,2711612
"2016-07-21",58.54,58.83,58.22,58.31,3195172
"2016-07-28",58.31,58.63,57.52,57.89,2459947
"2016-08-04",58.22,58.96,57.89,58.77,5096850
"2016-08-11",57.82,57.92,57.12,57.33,3232492
"2016-08-18",56.79,57,56.32,56.94,3386666
"2016-08-25",57.7,57.97,57.34,57.57,2349481
"2016-09-01",57.75,57.87,56.95,57.59,3352440
"2016-09-08",57.93,57.94,56.06,56.16,5701394
"2016-09-15",53.26,54.41,52.91,54.1,6539045
