"","TIF.Open","TIF.High","TIF.Low","TIF.Close","TIF.Volume"
"2011-09-15",74.5,75.85,73.37,75.11,2934006
"2011-09-22",68.47,69.89,66.11,67.47,3213751
"2011-09-29",70.85,70.89,61.77,64.7,5758566
"2011-10-06",62.03,67.13,62.03,66.58,3319070
"2011-10-13",70.46,72.19,69.79,70.35,2340937
"2011-10-20",70.91,72.66,70.91,72.39,1871866
"2011-10-27",78,80.99,76.73,78.38,3850926
"2011-11-03",79,79,75.55,78.54,2552484
"2011-11-10",76.12,76.33,74.22,75.13,2052732
"2011-11-17",75.83,76.76,74.31,74.94,1720815
"2011-12-01",66.26,68.24,66.1,66.35,4130150
"2011-12-08",68.8,69.11,66.79,66.93,2021129
"2011-12-15",64.5,64.66,63.49,63.94,2354511
"2011-12-22",64.91,65.37,64.18,64.57,1747902
"2011-12-29",66.76,67.6,66.41,67.36,1377193
"2012-01-05",66.14,66.77,65.25,66.68,2423943
"2012-01-12",60.08,60.2,58.78,59.79,3247887
"2012-01-19",60.87,63.24,60.82,63.08,3094632
"2012-01-26",63.99,64.25,63.07,63.56,1725914
"2012-02-02",64.27,64.76,63.52,63.7,1196281
"2012-02-09",64.14,64.59,63.53,64.18,1544470
"2012-02-16",65.31,66.24,65.15,65.79,1435673
"2012-02-23",64.87,65.04,64.22,64.48,2444593
"2012-03-01",65.03,66.88,64.75,66.53,2194138
"2012-03-08",68.11,69.26,68,68.9,2183128
"2012-03-15",70.15,70.15,68.71,68.95,3196156
"2012-03-22",72.33,72.89,71.8,72.48,2062997
"2012-03-29",69.65,69.76,68.93,69.05,2773472
"2012-04-05",67.18,68.67,67.11,67.58,2251796
"2012-04-12",66.68,67.4,66.57,67.37,1245642
"2012-04-19",66.35,67.11,65.59,66.15,1079512
"2012-04-26",68.13,69,67.92,68.74,1264076
"2012-05-03",68.76,68.97,67.65,67.97,1367246
"2012-05-10",64.57,64.98,63.47,63.63,1574363
"2012-05-17",61.98,62.17,60.07,60.07,2551076
"2012-05-24",56.29,57.68,55.75,57.59,12590958
"2012-05-31",56.76,56.82,54.92,55.39,3558045
"2012-06-07",57.23,57.29,55.19,55.87,2166800
"2012-06-14",53.79,54.46,53.07,53.54,4408883
"2012-06-21",53.97,54.09,52.2,52.6,2496254
"2012-06-28",50.14,51.31,49.95,51.07,2836813
"2012-07-05",53.18,54.71,53.18,54.06,1621129
"2012-07-12",51.08,51.46,50.52,50.85,2935209
"2012-07-19",55.78,57.31,55.58,57.18,3295166
"2012-07-26",55.59,56.28,55.11,56.04,1598441
"2012-08-02",54.47,54.59,52.76,53.58,2313097
"2012-08-09",58.05,59.1,58.02,58.62,1716904
"2012-08-16",59.42,59.86,59,59.63,1094719
"2012-08-23",58.47,58.61,57.93,58.46,1910209
"2012-08-30",62.31,62.75,61.65,61.72,1828524
"2012-09-06",59.92,61.12,59.61,60.74,2237070
"2012-09-13",63.21,64.27,61.87,63.98,2754302
"2012-09-20",64.03,64.77,63.64,64.3,2014950
"2012-09-27",61.56,62.22,60.77,61.9,1304795
"2012-10-04",62.6,63.35,62.36,62.97,991575
"2012-10-11",62.26,63.62,62.18,62.59,1669918
"2012-10-18",64.64,65,63.95,64.87,1126657
"2012-10-25",63.54,63.68,62.16,63.04,1005467
"2012-11-01",63.16,66.78,63.16,66.27,2821736
"2012-11-08",63.05,63.43,60.96,61.09,1719953
"2012-11-15",60.35,60.67,58.88,59.37,2651934
"2012-11-29",58.5,60,58.18,59.8,10585716
"2012-12-06",58.45,58.73,58.07,58.62,848971
"2012-12-13",57.38,57.99,57.05,57.52,1517779
"2012-12-20",59,59.12,57.74,58.51,1849393
"2012-12-27",56.67,57.09,55.83,57.03,2564296
"2013-01-03",60.14,61.99,58.94,60.28,4886854
"2013-01-10",58.73,61.5,58.65,60.4,10799162
"2013-01-17",63.4,63.92,62.94,63.66,1869315
"2013-01-24",61.84,62.87,61.74,62.31,1685801
"2013-01-31",64.81,66,64.78,65.75,2944173
"2013-02-07",63.19,63.25,62.22,62.7,1577225
"2013-02-14",63.15,63.9,62.82,63.7,1467920
"2013-02-21",64.18,64.75,63.95,64.28,1070849
"2013-02-28",66.51,67.5,66.36,67.16,1808514
"2013-03-07",70.47,71.08,70.06,70.88,1451475
"2013-03-14",68.9,69.19,68.64,69.09,1417117
"2013-03-21",69.1,69.37,67.75,67.91,2372972
"2013-03-28",68.31,69.61,68.27,69.54,1153668
"2013-04-04",70.79,71.11,70.46,70.87,951648
"2013-04-11",72.62,74.2,72.27,73.38,1848789
"2013-04-18",70.53,70.99,68.91,69.47,1237340
"2013-04-25",72.48,73.66,72.42,72.96,1140223
"2013-05-02",73.89,74.69,73.73,74.39,942910
"2013-05-09",76.08,76.73,75.47,75.81,769241
"2013-05-16",76.5,77.33,76.31,76.49,1371198
"2013-05-23",76.4,76.67,75.79,76.19,1443540
"2013-05-30",78.46,78.46,77.92,78.18,740614
"2013-06-06",77.64,77.95,76.74,77.9,727626
"2013-06-13",76.07,76.21,74.28,75.34,2099003
"2013-06-20",74.2,74.28,71.78,72.11,1645990
"2013-06-27",72.82,73.18,72.5,72.57,834411
"2013-07-11",76.64,77.31,76.58,77.09,1129759
"2013-07-18",78.3,79.01,78.3,78.81,662304
"2013-07-25",78.23,79.73,78.14,79.63,925846
"2013-08-01",80.15,81.62,80.12,81.11,1467100
"2013-08-08",81.27,81.7,80.65,81.36,800940
"2013-08-15",81.16,81.16,79.79,80.3,1081999
"2013-08-22",80.94,81.61,80.49,81.5,792986
"2013-08-29",76.8,77.78,76.65,77.07,1579058
"2013-09-05",78.42,78.51,77.87,77.91,621289
"2013-09-12",78.87,79.66,78.57,79.02,1022077
"2013-09-19",80.7,81.08,79.95,80.13,673628
"2013-09-26",77.48,77.82,76.81,77.21,918995
"2013-10-03",76.41,77.35,75.97,76.56,1229722
"2013-10-10",76.23,76.73,75.07,75.38,1670460
"2013-10-17",76.8,77.64,76.3,77.53,620531
"2013-10-24",78.6,79.32,78.46,78.87,1216079
"2013-10-31",79.45,79.81,78.84,79.17,670783
"2013-11-07",79.85,80.29,78.15,78.24,695908
"2013-11-14",82.43,82.53,81.37,82.24,798398
"2013-11-21",80.38,81.64,80.38,81.5,710908
"2013-12-05",89.92,90.74,88.97,89.7,1500938
"2013-12-12",89.21,89.5,88.63,89.2,678851
"2013-12-19",90.85,91.2,90.29,90.43,806199
"2013-12-26",91.08,91.18,90.59,90.97,497450
"2014-01-02",92.2,93.64,92.04,92.55,862065
"2014-01-09",91.2,92.77,90.92,92.01,1233684
"2014-01-16",88.28,88.29,87.11,87.76,1113714
"2014-01-23",86.59,87.01,85.52,85.83,1227985
"2014-01-30",83.33,84.08,83.01,83.68,783689
"2014-02-06",85,86.33,85,86.26,1482720
"2014-02-13",86.99,89.31,86.99,88.53,1015896
"2014-02-20",88.4,89.5,88.08,89.44,675960
"2014-02-27",91.95,93.28,91.65,93.1,1207743
"2014-03-06",94.88,94.88,92.6,93.28,1909626
"2014-03-13",92.85,93.14,91.88,92.24,1963867
"2014-03-20",92.53,92.84,90.83,91.17,2341957
"2014-03-27",85.42,85.66,84.47,84.98,1071875
"2014-04-03",88.7,89.12,88.14,88.62,1371207
"2014-04-10",87.81,88.3,86.26,86.32,835279
"2014-04-17",86.77,87.22,86.3,86.65,644302
"2014-04-24",88.25,89,87.47,88.37,734751
"2014-05-01",87.45,88.36,87.04,88.12,720003
"2014-05-08",87.59,90.43,87.59,88.9,1111485
"2014-05-15",88.91,89.12,87.12,88.17,928371
"2014-05-22",96.01,97.5,95.96,96.55,2157185
"2014-05-29",98.05,99.19,97.78,99.13,1337907
"2014-06-05",100,100.01,99.09,99.68,889701
"2014-06-12",99.9,99.96,98.57,98.95,745053
"2014-06-19",99.85,100.01,98.9,99.28,677839
"2014-06-26",99.93,100,99.2,99.98,794719
"2014-07-03",102.25,103.38,102.04,102.83,626234
"2014-07-10",100.92,101.65,100.73,101.5,652701
"2014-07-17",99.84,99.97,98.4,98.55,572628
"2014-07-24",99.4,100.59,99.35,100.25,969292
"2014-07-31",98.51,99.11,97.47,97.61,1066221
"2014-08-07",98.2,98.35,96.84,97.06,511094
"2014-08-14",97.28,97.36,96.81,96.99,641686
"2014-08-21",99.76,100.64,99.2,99.22,868746
"2014-08-28",101.25,102.2,100.4,101.64,1156267
"2014-09-04",101.11,103.22,101.04,102.64,1394336
"2014-09-11",100.68,101.22,100.44,101.18,611492
"2014-09-18",100.34,100.34,99.71,99.99,852218
"2014-09-25",98.43,98.9,97.4,97.49,996311
"2014-10-02",94.71,95.56,93.11,95.05,1378700
"2014-10-09",94.86,95.28,91.87,92.63,1357425
"2014-10-16",87.59,91.43,86.41,90.72,1926410
"2014-10-23",93.9,95.17,93.63,94.4,1532083
"2014-10-30",94.67,95.94,94.04,95.26,505109
"2014-11-06",96.01,98.15,96.01,98,1112896
"2014-11-13",102.73,103.8,101.66,103.31,1274276
"2014-11-20",102.36,104.33,102.01,104.28,672775
"2014-12-04",106.88,107.81,106.68,107.33,838599
"2014-12-11",104.25,106.45,104.13,104.71,781133
"2014-12-18",102.97,105.51,102.97,103.62,1665834
"2015-01-08",105.68,106.52,104.33,105.14,1001033
"2015-01-15",86.94,87.47,85.64,85.7,1821313
"2015-01-22",90.25,91.13,89.86,90.97,1029487
"2015-01-29",88.7,89.38,87.61,89.11,948557
"2015-02-05",88.67,89.47,87.84,87.98,1440507
"2015-02-12",87.99,88.5,87.32,88.1,1181476
"2015-02-19",89.34,89.6,88.41,88.65,1122915
"2015-02-26",89.86,90.14,88.5,88.7,1264963
"2015-03-05",87,87.41,86.5,86.98,1985673
"2015-03-12",84.9,87,84.87,86.3,1813412
"2015-03-19",85.45,86.68,84.72,86.37,2552192
"2015-03-26",87.83,87.93,86.14,86.29,1643011
"2015-04-02",86.26,87.32,86.16,86.81,1182162
"2015-04-09",89.2,89.77,88.66,89.28,860243
"2015-04-16",87.1,87.26,85.57,85.74,1445627
"2015-04-23",85.24,86.78,85.24,86.51,831507
"2015-04-30",86.86,87.8,86.76,87.48,1567533
"2015-05-07",87.54,88.16,87.05,87.98,873701
"2015-05-14",87.22,87.22,84.85,85.54,2028268
"2015-05-21",86.24,87.37,85.93,86.9,1859855
"2015-05-28",94.3,94.8,93.72,94.63,2500687
"2015-06-04",93.5,93.99,92.6,92.86,1337362
"2015-06-11",93.42,94.09,92.7,92.85,581711
"2015-06-18",92.57,93.71,92.44,93.15,859661
"2015-06-25",93.73,94.15,93.44,93.54,616981
"2015-07-02",93.94,94.41,93.77,94.02,1354160
"2015-07-09",91.51,92.19,90.95,91.03,1265378
"2015-07-16",94.16,94.35,93.5,93.99,539550
"2015-07-23",95,95.9,94.7,95.24,1180331
"2015-07-30",94.24,95.31,93.97,95,856768
"2015-08-06",94.68,94.96,92.63,93.26,838431
"2015-08-13",89.58,90.8,89.54,90.13,1164245
"2015-08-20",90.69,91.5,88.82,88.99,1366808
"2015-08-27",81.64,85.24,81.5,83.29,5804013
"2015-09-03",81.64,82.63,80.99,81.38,1006724
"2015-09-10",80.28,81.11,79.98,80.2,773532
"2015-09-17",81.15,82.18,80.4,80.61,1153263
"2015-09-24",77.96,78.05,76.97,77.91,864224
"2015-10-01",77.34,77.45,75.98,76.58,1200806
"2015-10-08",79.76,81.91,79.64,81.67,1035194
"2015-10-15",78.95,79.39,78.45,79.27,1315597
"2015-10-22",79.17,79.3,78,79.25,1505231
"2015-10-29",80.85,82.17,80.54,81.31,1204097
"2015-11-05",82.89,84.19,82.2,83.99,1143028
"2015-11-12",78.26,78.26,76.57,76.82,1529437
"2015-11-19",74.46,74.89,74,74.24,2187783
"2015-12-03",78.18,78.5,75.85,76.13,2096445
"2015-12-10",76.55,77.2,76.04,76.49,988309
"2015-12-17",75.16,75.46,73.2,73.23,1396310
"2015-12-24",77.6,78,76.67,76.95,638094
"2015-12-31",76.96,77.56,76.29,76.29,787394
"2016-01-07",72.1,73.18,70.71,70.92,2452909
"2016-01-14",66.38,67.36,65.5,66.86,2081845
"2016-01-21",61.62,62.91,60.85,61.05,3727005
"2016-01-28",62.21,62.61,60.42,61.38,1967607
"2016-02-04",63.28,64.99,63.14,64.68,3575961
"2016-02-11",60.56,61.54,59.75,60.75,3315479
"2016-02-18",65.2,65.57,64.59,65.26,1405141
"2016-02-25",64.94,65.15,63.71,65.12,984078
"2016-03-03",67.51,69.56,66.95,69.1,2414782
"2016-03-10",70.49,70.79,69.42,70.48,1089042
"2016-03-17",69.87,71.32,69.6,70.12,2854434
"2016-03-24",71.9,71.98,70.58,70.93,1740770
"2016-03-31",72.72,73.89,72.43,73.38,1595796
"2016-04-07",71.75,72.42,70.33,70.86,1503332
"2016-04-14",71.6,72,70.66,71.01,1623673
"2016-04-21",72.62,73.36,72.13,72.18,1265482
"2016-04-28",72.69,73,71.92,72.05,942115
"2016-05-05",70.13,70.58,69.42,70.02,1097463
"2016-05-12",66.8,67.11,65.67,66.37,1894190
"2016-05-19",63.94,64.76,63.15,63.28,4425879
"2016-05-26",64.07,64.35,62.4,62.55,2487614
"2016-06-02",62.41,63.37,62.33,63.23,2860910
"2016-06-09",63.82,63.85,62.35,62.52,1304373
"2016-06-16",60.83,61.08,60.37,60.56,2400780
"2016-06-23",62.17,63,61.91,62.63,1445101
"2016-06-30",60.08,60.79,59.36,60.64,1549237
"2016-07-07",59.81,60.48,58.95,59.53,1621917
"2016-07-14",63.07,63.45,62.68,62.79,961644
"2016-07-21",62.29,63.03,61.78,62.03,1594675
"2016-07-28",62.92,63.41,62.13,63.35,1031411
"2016-08-04",61.51,62.11,61.02,61.42,1007900
"2016-08-11",65.51,66.72,64.73,66.25,3321801
"2016-08-18",67.3,68.25,67.14,68.22,1092573
"2016-08-25",73.87,74.51,72.42,73.28,7449078
"2016-09-01",71.11,71.27,70,70.37,2087856
"2016-09-08",69.29,70.12,68.9,69.01,1395436
"2016-09-15",70.19,72.92,69.52,72.66,3991333
