"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume"
"2011-09-15",36.9,37.04,36.1,37,2901006
"2011-09-22",35.48,35.65,34.34,34.58,3509632
"2011-09-29",33.99,34.02,29.8,31.46,12025664
"2011-10-06",31.18,32.28,30.66,32.24,2633572
"2011-10-13",31.72,31.98,30.96,31.45,2102804
"2011-10-20",33.24,33.68,33.06,33.5,3376662
"2011-10-27",35.15,36.2,35,35.64,2920122
"2011-11-03",35.65,37.44,35.52,36.76,4903330
"2011-11-10",36.63,36.96,36.27,36.7,1371982
"2011-11-17",36.54,36.57,35.42,35.63,1951230
"2011-12-01",38.19,38.66,37.98,38.31,2093602
"2011-12-08",37.58,37.84,36.9,36.96,844156
"2011-12-15",36.68,37.2,36.59,36.92,1345354
"2011-12-22",37.62,38.12,37.42,37.96,1084842
"2011-12-29",37.79,38.04,37.56,37.98,550410
"2012-01-05",38.5,38.84,38.3,38.78,1089438
"2012-01-12",39.36,39.52,39,39.44,1229014
"2012-01-19",39.36,40,39.14,39.88,1382314
"2012-01-26",41.13,41.56,40.26,40.45,1116994
"2012-02-02",41.94,41.94,41.24,41.44,1142730
"2012-02-09",41.91,42.04,41.34,42,1907624
"2012-02-16",42.88,43,42.57,42.74,1404958
"2012-02-23",42.97,43.02,42.69,42.98,1459006
"2012-03-01",43.34,43.5,43.14,43.41,913046
"2012-03-08",43.53,44.22,43.38,43.9,1256246
"2012-03-15",44,44,43.6,43.96,1108270
"2012-03-22",43.77,43.84,43.41,43.7,833334
"2012-03-29",43.94,44.9,43.9,44.64,1328006
"2012-04-05",43.34,43.56,43,43.5,1625054
"2012-04-12",42.88,43.5,42.85,43.37,1364682
"2012-04-19",43.38,43.64,43.18,43.6,939374
"2012-04-26",43.8,44.18,43.7,44.12,870160
"2012-05-03",42.99,43.34,42.4,42.64,2002286
"2012-05-10",42.96,42.97,42,42.08,2167412
"2012-05-17",41.45,41.64,40.66,40.67,1272988
"2012-05-24",40.42,41.03,40.32,41.01,4285848
"2012-05-31",40.73,40.88,40.24,40.62,1852332
"2012-06-07",42.46,43.01,42.02,42.15,3000920
"2012-06-14",43.63,44.22,43.42,44.06,1638518
"2012-06-21",47.02,47.24,45.84,45.92,2603564
"2012-06-28",47.43,48.37,47.24,48.36,1363014
"2012-07-05",48.88,49.19,48.68,48.78,977550
"2012-07-12",48.48,49.03,48.32,48.89,1106602
"2012-07-19",49.38,49.64,48.91,49.2,1061752
"2012-07-26",48.48,48.91,47.92,48.86,1248566
"2012-08-02",49.32,49.82,47.98,48.68,1887064
"2012-08-09",48.46,48.9,48.08,48.14,1394324
"2012-08-16",49.02,49.26,48.89,49.14,800574
"2012-08-23",48.31,48.31,47.99,48.09,881366
"2012-08-30",48.47,48.68,48.14,48.5,762334
"2012-09-06",50.06,50.8,50.06,50.42,1628620
"2012-09-13",49.32,50.02,48.93,49.8,1245742
"2012-09-20",49.21,49.38,48.8,49.33,1006252
"2012-09-27",50.44,51.3,50.44,51.2,1356868
"2012-10-04",53.88,54.66,53.53,54.2,2127326
"2012-10-11",55.12,55.65,54.58,54.74,1595092
"2012-10-18",55.24,56.74,55.23,56.54,1880146
"2012-10-25",55.62,56.4,55.3,55.7,1505796
"2012-11-01",56.5,57.04,55.88,56.18,1794556
"2012-11-08",56.42,56.64,55.68,55.91,2276346
"2012-11-15",56.07,56.55,55.8,56.44,1564656
"2012-11-29",53.39,54.27,53.28,53.8,5165492
"2012-12-06",53.16,53.7,52.62,52.98,4274932
"2012-12-13",53.72,53.92,53.34,53.5,1432280
"2012-12-20",55.6,56.4,55.26,56.32,2055894
"2012-12-27",55.08,55.28,54.53,54.96,1445408
"2013-01-03",54.61,55.19,54.5,54.96,1734282
"2013-01-10",54.94,55.13,54.68,54.84,1162260
"2013-01-17",56.28,56.6,56.16,56.32,1353952
"2013-01-24",56.98,57.32,56.88,57.16,1263016
"2013-01-31",57.38,57.94,57.04,57.7,1582554
"2013-02-07",59.22,59.54,58.74,59.46,1215056
"2013-02-14",59.94,60,58.92,59.6,1695326
"2013-02-21",57.96,58.24,57.42,57.8,1469414
"2013-02-28",59.28,60.05,58.96,59.81,2033202
"2013-03-07",60.36,60.36,59.14,59.46,3183754
"2013-03-14",58.6,59.34,58.58,59.28,1185288
"2013-03-21",59.35,59.42,58.76,58.87,966690
"2013-03-28",59.14,59.38,58.92,59.3,1241876
"2013-04-04",62.59,63.12,62.37,62.66,1539730
"2013-04-11",62.69,63.68,62.62,63.52,1558030
"2013-04-18",62.13,62.13,60.62,60.74,1439024
"2013-04-25",61.14,61.52,60.4,60.42,1925402
"2013-05-02",59.5,59.82,58.9,58.95,1521176
"2013-05-09",64.73,64.75,63.58,64.3,2037306
"2013-05-16",65.1,65.11,64.02,64.03,1110898
"2013-05-23",62.7,62.97,62.38,62.78,1037224
"2013-05-30",62.52,63.53,62.35,63.24,793182
"2013-06-06",61.6,62.72,61.28,62.62,1508618
"2013-06-13",64.86,65.08,64.18,64.93,1216528
"2013-06-20",62.95,63.09,61.35,61.44,1646166
"2013-06-27",61.42,61.96,61.06,61.14,1181926
"2013-07-11",59.07,60.29,58.57,60.26,3374178
"2013-07-18",59.41,59.57,58.38,58.66,1979516
"2013-07-25",58.5,59.1,58.36,58.78,1128666
"2013-08-01",58.5,58.66,58.24,58.59,1296452
"2013-08-08",57.15,57.25,56.48,56.82,1504550
"2013-08-15",57,57.1,56.11,56.65,1438444
"2013-08-22",55.34,55.5,54.64,54.98,1430074
"2013-08-29",53.92,54.8,53.88,54.01,1661544
"2013-09-05",54.66,56.08,54.66,55.78,1742102
"2013-09-12",27.85,28.02,27.7,28,2142038
"2013-09-19",29.38,29.5,29.09,29.26,2871576
"2013-09-26",57.48,57.93,57.31,57.6,610740
"2013-10-03",57.76,58.2,57.21,57.67,1228239
"2013-10-10",57.75,58.16,57.61,58.12,933801
"2013-10-17",57.75,57.9,57.38,57.86,925700
"2013-10-24",56.23,56.38,55.79,55.82,1194745
"2013-10-31",56.09,56.58,56,56.21,1032191
"2013-11-07",55.03,56.02,55.02,55.76,2574812
