"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume"
"2013-11-14",58.5,58.88,58.31,58.69,2182542
"2013-11-21",57.85,58.02,56.85,56.89,2157352
"2013-12-05",57.24,57.3,56.85,57.12,2787713
"2013-12-12",60.68,60.89,60.11,60.19,2270110
"2013-12-19",62.03,62.14,61.44,61.69,1440024
"2013-12-26",63.31,63.74,63.13,63.39,774587
"2014-01-02",63.36,65.16,63.19,64.78,2901903
"2014-01-09",65.84,66.15,65.28,65.64,1262290
"2014-01-16",64.58,64.96,64.42,64.65,1526053
"2014-01-23",66.08,66.23,65.19,65.59,1444725
"2014-01-30",64.46,64.98,64.32,64.91,813474
"2014-02-06",63.37,63.88,63.24,63.74,699308
"2014-02-13",65.88,66.28,65.02,66.25,2441057
"2014-02-20",65.99,66.17,65.39,65.78,1181321
"2014-02-27",68.22,68.7,67.77,68.02,1085307
"2014-03-06",68.55,69.42,68.43,68.75,1201462
"2014-03-13",68.38,68.5,67.9,68.12,993375
"2014-03-20",69.69,70.37,69.54,69.8,1047138
"2014-03-27",68.9,68.91,67.76,68.39,1635992
"2014-04-03",68.84,69.61,68.76,69.56,3242544
"2014-04-10",69.2,69.46,67.53,67.95,1744853
"2014-04-17",69.13,69.96,68.7,69.51,1413105
"2014-04-24",69.59,70,69.25,69.38,785447
"2014-05-01",69.39,70.47,69.07,69.93,1350496
"2014-05-08",67.8,68.17,67.11,67.33,880380
"2014-05-15",67.5,67.9,67.2,67.73,794629
"2014-05-22",68.35,68.35,67.83,68.16,622299
"2014-05-29",69.4,70.17,69.21,69.9,926992
"2014-06-05",71.64,72.37,71.48,72.06,427225
"2014-06-12",71.13,71.21,70.66,70.94,502749
"2014-06-19",70.49,71.72,70.3,71.58,1055751
"2014-06-26",71.74,71.76,71,71.61,524157
"2014-07-03",73.65,73.94,73,73.32,585870
"2014-07-10",72.76,73.17,72.61,73.04,990639
"2014-07-17",73.66,74.84,73.32,73.4,744268
"2014-07-24",71.84,72.25,71.68,71.89,1004807
"2014-07-31",71.32,71.59,70.41,70.44,1992907
"2014-08-07",71.67,71.76,71.31,71.49,917281
"2014-08-14",72.5,73.19,72.4,73.1,498908
"2014-08-21",73.84,74.29,73.75,73.83,590769
"2014-08-28",74.34,74.67,74.07,74.42,510236
"2014-09-04",74.74,74.94,73.77,74.12,695643
"2014-09-11",74.01,74.39,73.72,74.31,552410
"2014-09-18",74.01,74.85,74.01,74.71,965826
"2014-09-25",74.86,74.86,73.53,73.77,752242
"2014-10-02",72.99,73.85,72.81,73.74,774537
"2014-10-09",75.04,75.38,73.99,73.99,1301365
"2014-10-16",71.89,72.7,71.5,72.03,1115274
"2014-10-23",76.33,76.68,75.89,76.25,638377
"2014-10-30",77.05,77.76,76.38,77.62,787786
"2014-11-06",77.45,78.07,77.15,78.03,1168233
"2014-11-13",77.17,77.36,76.61,77.04,2901867
"2014-11-20",74.99,75.29,74.59,75.13,761137
"2014-12-04",75.65,75.85,75.28,75.3,766348
"2014-12-11",74.75,75.11,74.37,74.51,686979
"2014-12-18",75.15,75.22,74.71,75.2,1097631
"2015-01-08",74.87,76.06,74.84,75.77,1084425
"2015-01-15",74.75,75.1,74.39,74.46,742408
"2015-01-22",75.98,76.32,75,76.15,1358000
"2015-01-29",75.73,76.22,75.03,76.14,650094
"2015-02-05",76.08,77.1,76.08,76.77,790869
"2015-02-12",76.15,76.53,75.78,76.39,1156828
"2015-02-19",72.59,73.31,72.52,73.24,1567217
"2015-02-26",74.04,74.43,73.78,74.3,881654
"2015-03-05",76.53,77,76.02,76.93,1549164
"2015-03-12",79.7,79.75,79.18,79.7,1083779
"2015-03-19",81.42,81.79,81.27,81.44,707813
"2015-03-26",80.87,81.55,80.38,81.07,864260
"2015-04-02",80.31,80.78,80.1,80.59,1048135
"2015-04-09",81.61,81.94,80.95,81.52,1168392
"2015-04-16",81.72,82.25,81.66,82.13,596884
"2015-04-23",83.15,83.72,82.48,83.41,614999
"2015-04-30",82.49,82.7,80.99,81.1,1155483
"2015-05-07",81.33,82.02,81.33,81.76,1072645
"2015-05-14",81.4,81.91,81.21,81.86,957917
"2015-05-21",83.46,83.68,83.05,83.49,681668
"2015-05-28",84.01,84.34,83.77,84.23,714807
"2015-06-04",83.63,83.93,82.45,82.6,855383
"2015-06-11",82.02,82.38,81.74,82.19,699321
"2015-06-18",81.45,81.76,80.9,81.45,887990
"2015-06-25",80.57,81.35,79.75,80.91,1555714
"2015-07-02",79.54,79.77,78.94,78.94,1258547
"2015-07-09",79.75,79.75,78.79,78.82,897803
"2015-07-16",79.99,80.41,79.6,79.84,584936
"2015-07-23",80.29,80.99,79.91,80.13,602689
"2015-07-30",79.05,79.36,78.27,78.63,755871
"2015-08-06",80.49,81.29,80.49,81.14,1514103
"2015-08-13",79.81,80.35,79.45,79.65,786392
"2015-08-20",79.51,79.7,78.52,78.53,1522612
"2015-08-27",76.56,77.13,75.55,76.65,1264893
"2015-09-03",75.28,75.82,74.83,75.44,1614935
"2015-09-10",74.56,74.98,74.02,74.64,1019000
"2015-09-17",75.76,76.41,75.55,75.77,1334871
"2015-09-24",74.96,75.16,73.94,74.35,991212
"2015-10-01",72.33,72.74,71.48,72.05,1583673
"2015-10-08",73.35,73.36,72.22,73.1,659148
"2015-10-15",73.31,75.37,73.13,75.23,1072799
"2015-10-22",76.59,76.74,74.09,74.98,1453389
"2015-10-29",77.44,77.91,76.86,77.75,581690
"2015-11-05",77.49,77.91,76.96,77.75,1459895
"2015-11-12",74.69,74.71,73.19,73.24,1224036
"2015-11-19",73.74,73.76,72.58,73.21,1281582
"2015-12-03",72.75,73.07,71.33,71.67,1013667
"2015-12-10",70.81,71.29,70.58,71,867565
"2015-12-17",68.05,68.82,68,68.12,4995041
"2015-12-24",70.14,70.5,70.02,70.14,318254
"2015-12-31",69.82,70.28,69.68,69.71,1025316
"2016-01-07",67.36,68.1,67.3,67.62,1914765
"2016-01-14",66.15,67.83,65.79,67.45,1769500
"2016-01-21",65.48,65.97,64.71,65.2,974479
"2016-01-28",66.11,66.51,64.32,64.45,1216444
"2016-02-04",65.05,65.83,64.78,65.45,1121663
"2016-02-11",62.5,63.43,62.44,62.57,1837726
"2016-02-18",64.45,64.98,63.93,64.5,1011757
"2016-02-25",64.46,65.35,64.15,65.33,896105
"2016-03-03",68.1,70.29,68.1,70.08,1836683
"2016-03-10",70.46,71.08,69.3,69.84,638685
"2016-03-17",70.17,71.06,69.48,70.95,1373469
"2016-03-24",71.62,72.01,71.06,71.55,673920
"2016-03-31",72.88,74.18,72.88,73.38,1127709
"2016-04-07",74.3,74.94,73.68,73.95,752134
"2016-04-14",74.37,74.56,73.98,74.2,737638
"2016-04-21",74.77,75.09,74.11,74.45,966936
"2016-04-28",74.67,75.38,74.61,74.78,569834
"2016-05-05",74.19,76.93,74.19,75.83,2786352
"2016-05-12",76.5,76.66,74.81,75.59,876836
"2016-05-19",76.72,78,76.45,77.34,879635
"2016-05-26",77.05,77.33,76.75,76.95,886724
"2016-06-02",77.53,77.93,77.18,77.93,758628
"2016-06-09",76.81,77.3,76.41,77.21,614694
"2016-06-16",75.19,75.79,74.79,75.68,863232
"2016-06-23",76.76,77.15,76.5,77.15,509289
"2016-06-30",76.85,77.33,76.11,77.32,926477
"2016-07-07",76.68,77.18,76.48,76.92,1150918
"2016-07-14",78.45,78.5,77.68,77.73,922516
"2016-07-21",77.65,78.01,77.26,77.58,682577
"2016-07-28",76.45,76.86,76.13,76.76,597380
"2016-08-04",76.09,76.33,75.77,75.91,672574
"2016-08-11",70.16,70.56,69.51,70.09,2211723
"2016-08-18",67.34,67.98,67.23,67.65,1715758
"2016-08-25",64.3,64.6,64.05,64.24,1309740
"2016-09-01",64.51,64.65,63.83,64.19,2346029
"2016-09-08",64.64,64.64,64.17,64.43,1144090
"2016-09-15",63.19,64.35,63.09,64.07,1691268
