"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume"
"2011-09-15",59.46,59.59,58.16,58.65,3109736
"2011-09-22",50.79,51.88,50.38,51.33,4636973
"2011-09-29",53.88,53.96,52.69,53.59,2750277
"2011-10-06",51.24,53.53,51.13,53.47,3081335
"2011-10-13",53.32,54.07,52.49,53.61,1859983
"2011-10-20",54.48,54.89,53.49,54.6,2041699
"2011-10-27",59.3,60.32,57.77,59.53,2860133
"2011-11-03",58.51,59.11,57.02,58.94,2615748
"2011-11-10",57.34,57.76,56.8,57.29,2361990
"2011-11-17",56.39,56.54,54.02,54.36,3311703
"2011-12-01",54.91,54.92,53.7,54.13,2779014
"2011-12-08",54.25,54.28,53.35,53.54,3003625
"2011-12-15",54.77,55.54,54.55,55.36,2263880
"2011-12-22",56.77,57.99,56.63,57.55,2368930
"2011-12-29",56.78,57.27,56.64,57.13,1282136
"2012-01-05",56.05,56.62,55.84,56.35,1884555
"2012-01-12",54.94,55.05,54.01,54.07,2217484
"2012-01-19",55.98,56.08,55.47,55.51,3114823
"2012-01-26",58.7,59.69,58.51,59.25,3578632
"2012-02-02",58.37,59.78,57.53,59.7,2702899
"2012-02-09",59.48,59.5,58.53,58.66,1150505
"2012-02-16",57.64,58.22,57.62,58.22,1600942
"2012-02-23",57,57.63,56.99,57.6,1558700
"2012-03-01",56.84,57.5,56.79,57.41,1356178
"2012-03-08",58.77,58.85,57.84,58.22,1721520
"2012-03-15",60.42,60.42,59.3,59.55,2645058
"2012-03-22",60.1,60.1,59.05,59.5,1713345
"2012-03-29",60.45,61.43,60.09,61.32,1994651
"2012-04-05",61.72,61.77,61.33,61.39,1457945
"2012-04-12",60.02,60.53,59.83,60.52,1942382
"2012-04-19",61.57,61.87,61.33,61.59,2370507
"2012-04-26",62.32,62.34,60.68,61.65,2940695
"2012-05-03",62.6,62.89,62.42,62.49,1923789
"2012-05-10",63.56,63.67,62.76,63.09,1510230
"2012-05-17",61.61,61.78,60.43,60.43,2479823
"2012-05-24",62.02,62.59,61.39,62.08,983243
"2012-05-31",60.71,61.54,60.18,61.1,4319505
"2012-06-07",62.07,62.5,60.91,61.09,1823231
"2012-06-14",60.81,62.1,60.71,61.92,1592959
"2012-06-21",61.32,61.39,59.36,59.47,2432875
"2012-06-28",59.21,60.56,58.96,60.53,1572186
"2012-07-05",63.24,63.5,62.73,62.97,970160
"2012-07-12",62.69,63.99,62.44,63.64,1647570
"2012-07-19",64.97,65.43,63.82,64.54,1944134
"2012-07-26",64.25,64.44,62.12,62.92,2475444
"2012-08-02",62.11,62.85,61.92,62.79,1423037
"2012-08-09",60.69,61.01,60.18,60.25,1685101
