"","AON.Open","AON.High","AON.Low","AON.Close","AON.Volume"
"2012-11-29",57.12,57.2,56.58,56.86,1931104
"2012-12-06",56.82,56.86,56.47,56.81,1623760
"2012-12-13",56.36,56.96,56.3,56.42,1255519
"2012-12-20",56.65,57.07,56.51,57.06,1778874
"2012-12-27",56.66,56.68,55.58,56.18,1217781
"2013-01-03",57.38,57.38,56.98,57.11,1505217
"2013-01-10",57.03,58.08,56.98,58.08,1840948
"2013-01-17",57.21,57.37,56.93,57.15,1316336
"2013-01-24",57.94,58.43,57.86,58.21,1824235
"2013-01-31",57.57,57.98,57.37,57.74,2599746
"2013-02-07",55.66,56.06,55.47,56.01,2294220
"2013-02-14",57.18,57.53,57.05,57.3,1593327
"2013-02-21",58.81,59.5,58.6,59.42,3668478
"2013-02-28",60.93,61.87,60.71,61.09,3514598
"2013-03-07",60.35,60.69,60.06,60.29,4026119
"2013-03-14",59.73,60.08,59.7,60.03,2860557
"2013-03-21",59.48,59.89,59.38,59.45,2504373
"2013-03-28",61.6,61.82,61.4,61.5,1741420
"2013-04-04",60.65,61.08,60.39,60.67,1038054
"2013-04-11",61.59,63.07,61.59,62.66,2257703
"2013-04-18",60.56,60.86,59.5,59.67,1940062
"2013-04-25",61.23,61.56,61.16,61.29,1495521
"2013-05-02",61.38,62.5,61.06,62.44,2213369
"2013-05-09",64.76,64.99,64.37,64.47,2296140
"2013-05-16",66.19,66.58,66.11,66.22,1557890
"2013-05-23",65.09,65.49,64.76,65.26,1863919
"2013-05-30",66.29,67.26,66.17,66.41,1427618
"2013-06-06",62.94,64.05,62.64,64.03,1129470
"2013-06-13",64.85,65.72,64.52,65.53,1287536
"2013-06-20",63.39,63.82,62.7,62.86,1356446
"2013-06-27",64.74,65,64.61,64.96,764752
"2013-07-11",66.19,67.25,66.1,67.16,735173
"2013-07-18",67.5,67.95,67.17,67.51,1130591
"2013-07-25",66.45,67.59,66.41,67.55,1252361
"2013-08-01",67.87,69.59,67.87,68.65,2535750
"2013-08-08",68.95,69.3,68.78,69.02,1400120
"2013-08-15",68.3,68.61,67.87,68.03,1518693
"2013-08-22",68.09,68.79,68.07,68.6,1438897
"2013-08-29",66.66,67.56,66.6,66.93,1177299
"2013-09-05",66.44,67.04,66.27,66.73,853273
"2013-09-12",68.4,68.63,68.17,68.41,1076104
"2013-09-19",73.93,75.93,73.93,75.14,4256938
"2013-09-26",75.61,76.03,75.24,75.42,1299617
"2013-10-03",73.6,73.62,72.44,72.72,2194833
"2013-10-10",71.9,73.01,71.9,72.93,2814840
"2013-10-17",73.6,74.49,73.33,74.2,2529220
"2013-10-24",76.15,76.9,75.45,75.58,2730123
"2013-10-31",80.12,80.15,79.08,79.09,2230809
"2013-11-07",80.21,80.22,79.38,79.43,2007580
"2013-11-14",80.41,81.32,80.2,80.81,1336685
"2013-11-21",80.66,81.52,80.64,81.38,1077210
"2013-12-05",81.13,81.72,81.02,81.46,1076712
"2013-12-12",81.52,82.28,81.52,81.9,1300354
"2013-12-19",83.39,83.67,82.17,83.09,1720239
"2013-12-26",83.65,84,82.97,83.47,937396
"2014-01-02",83.36,83.7,82.26,82.36,1209157
"2014-01-09",82.15,83.74,82.15,83.65,1372148
"2014-01-16",83.15,84.04,82.98,84.02,891799
"2014-01-23",82.01,82.06,80.64,81.29,1805272
"2014-01-30",80.03,80.75,79.61,80.74,2000442
"2014-02-06",77.6,77.98,76.49,77.33,1940275
"2014-02-13",82.68,84.41,82.65,84.32,1622127
"2014-02-20",84.51,85.8,84.25,85.41,1624521
"2014-02-27",85.6,86.54,85.36,85.76,2369081
"2014-03-06",86.13,86.74,85.77,86.56,1473317
"2014-03-13",85.52,85.78,83.18,83.2,3130036
"2014-03-20",84.03,85.44,83.49,85.42,1007623
"2014-03-27",82.67,83.06,82.12,82.45,990454
"2014-04-03",84.78,84.9,83.93,84.22,748694
"2014-04-10",82.58,82.77,79.63,79.88,1865221
"2014-04-17",82.48,82.48,81.79,82.14,1046413
"2014-04-24",82.48,82.55,81.46,82.19,1466811
"2014-05-01",84.66,85.95,84.51,85.39,1388550
"2014-05-08",85.98,86.77,85.55,85.68,1097228
"2014-05-15",85.44,86.35,84.8,86.21,1532898
"2014-05-22",87.36,88.25,87.28,88.02,1815848
"2014-05-29",89.5,89.93,88.97,89.8,1693889
"2014-06-05",90,90.19,89.41,90.06,1094246
"2014-06-12",90.35,90.35,89.22,89.53,1050029
"2014-06-19",91.02,91.07,90.26,90.64,883536
"2014-06-26",90.71,90.71,89.74,89.97,936102
"2014-07-03",90.58,90.61,89.93,90.3,655620
"2014-07-10",89.56,90.29,89.03,89.96,1183843
"2014-07-17",89.33,89.9,89.04,89.06,1028572
"2014-07-24",91.25,91.25,90.77,90.97,1422173
"2014-07-31",85.59,85.9,84.32,84.36,1595103
"2014-08-07",83.77,83.84,83.11,83.48,1102910
"2014-08-14",85.8,85.92,85.16,85.24,1651514
"2014-08-21",86.31,87.18,86.14,86.93,1607384
"2014-08-28",86.43,87.19,86.35,86.91,756857
"2014-09-04",87.87,88.6,87.52,87.98,1292884
"2014-09-11",86.24,87.14,86.21,86.84,708354
"2014-09-18",87.42,88,87.14,87.9,1280943
"2014-09-25",86.94,87.03,86.18,86.3,1336781
"2014-10-02",86.73,87.24,86.23,86.86,945695
"2014-10-09",83.43,84.16,81.26,81.27,2929635
"2014-10-16",79.24,80.51,79.24,79.93,1863257
"2014-10-23",82.48,82.84,81.34,81.58,1288016
"2014-10-30",82.56,83.78,82.36,83.09,1780000
"2014-11-06",88.51,89.18,88.35,89.18,1389745
"2014-11-13",90.26,90.93,89.84,89.91,1017024
"2014-11-20",89.76,90.95,89.76,90.32,1126465
"2014-12-04",93.49,95.42,93.49,94.64,3012256
"2014-12-11",96.53,97.5,96.12,96.29,1989568
"2014-12-18",96.62,96.95,95.83,96.7,2547886
"2015-01-08",94.54,95.86,94.46,95.3,1444122
"2015-01-15",93.75,94.57,93.04,93.55,1073203
"2015-01-22",94.89,96.04,94.13,95.7,1261245
"2015-01-29",90.83,91.43,90.34,91.18,1249482
"2015-02-05",93.2,93.99,92.88,93.72,1304705
"2015-02-12",100.02,100.99,99.89,100.74,1627307
"2015-02-19",100.32,100.66,99.95,100.28,811143
"2015-02-26",100.24,100.45,99.45,100.22,1255822
"2015-03-05",99.69,100.3,99.34,100.23,756902
"2015-03-12",97.1,98.31,96.55,98.28,1016354
"2015-03-19",99.21,99.21,97.82,98.91,793422
"2015-03-26",95.52,96.28,95.29,96.03,1147524
"2015-04-02",96.22,96.76,95.75,96.63,874305
"2015-04-09",98.41,98.94,97.61,98.42,764389
"2015-04-16",97.8,98.02,97.2,97.62,1060024
"2015-04-23",96.8,97.83,96.5,97.41,742575
"2015-04-30",97.35,98.15,95.87,96.23,1889672
"2015-05-07",97.55,98.14,96.83,97.91,1293815
"2015-05-14",99.4,100.04,98.73,99.98,1383616
"2015-05-21",101.8,102.42,101.7,102.36,1248859
"2015-05-28",102.55,102.97,102.14,102.9,774110
"2015-06-04",101.29,102.1,100.62,100.81,855381
"2015-06-11",102.41,103.3,102.26,103.19,942589
"2015-06-18",104.11,104.7,103.8,104.52,1082628
"2015-06-25",104,104,103.04,103.05,794374
"2015-07-02",99.99,100.08,99.15,99.51,888132
"2015-07-09",100.18,100.61,99.83,100.15,1286054
"2015-07-16",102.8,102.91,102.19,102.79,664243
"2015-07-23",102.01,102.07,101.42,101.57,642606
"2015-07-30",101.46,102.07,101.06,101.94,1016011
"2015-08-06",101.82,102.5,100.68,100.92,1013760
"2015-08-13",101,101.68,100.23,101.22,1037839
"2015-08-20",100.09,100.65,99.21,99.32,1233234
"2015-08-27",93.67,94.45,92.62,94.39,1464919
"2015-09-03",91.44,92.02,91.1,91.45,1411168
"2015-09-10",91.2,91.92,91.08,91.68,1986003
"2015-09-17",92.24,93.67,91.97,92.16,1235110
"2015-09-24",88.32,89.13,87.75,88.95,1358246
"2015-10-01",88.74,89.3,87.79,88.56,1453149
"2015-10-08",90.88,92.09,90.43,91.93,793597
"2015-10-15",90.84,91.73,90.54,91.25,1257855
"2015-10-22",91.82,93.34,91.8,92.41,1016433
"2015-10-29",94.22,94.92,93.54,94.83,806945
"2015-11-05",94.46,95.25,94.46,94.8,1484083
"2015-11-12",93.19,93.73,92.8,92.8,937881
"2015-11-19",94.86,95.35,93.48,93.82,3082235
"2015-12-03",94.53,94.99,93.15,93.68,1295240
"2015-12-10",94.23,94.39,93.51,93.83,1049343
"2015-12-17",96.76,97.41,93.25,93.27,2858648
"2015-12-24",91.81,92.53,91.19,92.05,276060
"2015-12-31",93.11,93.51,92.19,92.21,856574
"2016-01-07",88.33,88.97,88.15,88.57,1949270
"2016-01-14",86.11,88.09,85.8,87.39,1135509
"2016-01-21",85.23,85.96,84.24,84.62,894729
"2016-01-28",86.1,87.99,85.43,86.09,947716
"2016-02-04",87.45,89.04,87.21,88.95,1251159
"2016-02-11",91.31,93.23,90.86,92.69,1741649
"2016-02-18",94.75,95.02,93.99,94.57,1754005
"2016-02-25",94.91,95.45,94.52,95.31,1171494
"2016-03-03",97.13,98.35,97.07,98.22,1051722
"2016-03-10",99.19,99.54,97.62,98.56,931506
"2016-03-17",99.94,102.58,99.58,102,1950250
"2016-03-24",100.03,101.32,99.67,101.13,2178091
"2016-03-31",103.96,104.76,103.62,104.45,1441820
"2016-04-07",101.67,102.09,100.68,101.03,833133
"2016-04-14",103.75,104.4,103.46,103.9,767060
"2016-04-21",104.08,104.66,103.18,103.19,1067674
"2016-04-28",103.11,104.16,102.82,103.16,1252133
"2016-05-05",106.02,106.69,105.27,105.41,1018225
"2016-05-12",105.81,106,104.71,105.72,1086380
"2016-05-19",104.95,105.21,103.94,104.78,773308
"2016-05-26",107,107.22,106.29,106.98,875489
"2016-06-02",109.15,109.44,108.57,109.43,742469
"2016-06-09",109.59,110.01,109.27,109.86,569380
"2016-06-16",105.72,107.04,105.09,106.99,1114649
"2016-06-23",108.67,109.02,108.17,108.9,1043935
"2016-06-30",106.95,109.24,106.58,109.23,1992666
"2016-07-07",108.1,109.35,107.95,108.95,1027775
"2016-07-14",111.44,111.6,110.49,110.55,877731
"2016-07-21",109.84,110.17,108.99,109.28,691160
"2016-07-28",109.96,110.63,109.57,110.36,778173
"2016-08-04",109.63,110.34,109.61,109.95,1277063
"2016-08-11",110.19,110.2,109.7,109.9,719293
"2016-08-18",109.63,109.74,109.16,109.43,654995
"2016-08-25",109.52,110.3,109.41,110.11,606071
"2016-09-01",111.5,112.14,110.82,111.35,665654
"2016-09-08",112.2,112.46,111.59,111.6,718281
"2016-09-15",108.8,110.69,108.8,110.31,716233
