"","AYI.Open","AYI.High","AYI.Low","AYI.Close","AYI.Volume"
"2011-09-15",44.13,44.35,42.75,44.19,194212
"2011-09-22",37.54,37.89,36.44,36.85,823746
"2011-09-29",37.45,37.83,36.37,37.09,530740
"2011-10-06",40.19,43.84,40.15,43.76,1292289
"2011-10-13",45.45,45.51,44.8,45.18,566344
"2011-10-20",44.57,44.57,42.59,43.6,439193
"2011-10-27",47.73,49.86,47.25,48.61,574384
"2011-11-03",46.4,47.52,45.2,47.38,184097
"2011-11-10",44.4,44.75,43.6,44.27,257129
"2011-11-17",46.05,46.36,44.66,44.95,209323
"2011-12-01",49.9,51.39,49.41,49.46,330313
"2011-12-08",50.88,50.96,49.94,50.06,399419
"2011-12-15",49.35,50.17,48.54,48.92,222587
"2011-12-22",51.41,52.41,51.26,52.01,139725
"2011-12-29",51.46,52.69,51.36,52.61,239513
"2012-01-05",53.87,53.87,51.55,52.62,515316
"2012-01-12",58.35,58.94,57.25,57.97,423715
"2012-01-19",58.07,58.12,57.46,57.75,393988
"2012-01-26",58.63,58.74,57.5,58.01,233168
"2012-02-02",59.77,59.94,59.18,59.38,242747
"2012-02-09",60.55,61.31,60,61.31,443078
"2012-02-16",59.23,61.5,59.23,61.23,339595
"2012-02-23",62.05,63.56,61.76,63.55,288058
"2012-03-01",62.61,63.18,61.18,61.2,388479
"2012-03-08",61.04,61.78,59.98,61.6,238795
"2012-03-15",63.74,64.82,63.01,64.18,214188
"2012-03-22",61.74,62.29,60.67,61.97,250123
"2012-03-29",63.23,63.45,62.46,63.19,209542
"2012-04-05",56.82,57.6,55.83,56.44,732617
"2012-04-12",54.23,55.96,54.16,55.44,371098
"2012-04-19",56.25,56.82,54.83,55,445141
"2012-04-26",55.38,56.15,55.08,55.72,338979
"2012-05-03",56.7,56.7,54.95,55.24,205916
"2012-05-10",54.94,55.28,53.96,54.36,226572
"2012-05-17",52.38,52.65,50.44,50.48,813166
"2012-05-24",54.79,54.9,53.21,53.67,495069
"2012-05-31",54.12,54.94,52.87,54.5,269409
"2012-06-07",55.36,56,53.45,53.48,442221
"2012-06-14",54.17,54.38,53.46,53.96,473189
"2012-06-21",54.56,54.68,51.93,52.12,349299
"2012-06-28",49.4,49.75,48.11,48.9,988461
"2012-07-05",59.46,61.44,59.21,60.76,594457
"2012-07-12",57.7,59.06,56.92,58.44,479664
"2012-07-19",61.47,61.95,60.19,60.43,308584
"2012-07-26",60.08,60.24,58.62,59.47,218964
"2012-08-02",57.16,58.19,56.44,58.14,297343
"2012-08-09",62.25,63.35,61.89,62.79,229984
"2012-08-16",63.4,64.75,62.37,64.6,184050
"2012-08-23",64.13,64.31,63.39,63.65,125418
"2012-08-30",63.71,63.8,62.18,62.76,244275
"2012-09-06",65.54,68.19,65.45,68.16,400062
"2012-09-13",67.87,68.35,66.24,68,403412
"2012-09-20",65.76,66.3,65.29,65.97,182380
"2012-09-27",62.52,63.54,61.14,63.43,673452
"2012-10-04",59.99,60.42,59.34,60.21,681645
"2012-10-11",61.61,62.56,61.34,61.5,428974
"2012-10-18",63.53,64.93,63.32,64.77,339708
"2012-10-25",64.31,64.59,63.58,64.29,198123
"2012-11-01",64.9,67.04,64.54,66.09,620025
"2012-11-08",63.9,64.07,62.41,62.43,249063
"2012-11-15",62.05,62.91,62.05,62.4,253808
"2012-11-29",63.99,66.06,63.97,65.85,173434
"2012-12-06",64.85,65.38,64.08,65.37,114652
"2012-12-13",67,68.45,66.74,66.83,193142
"2012-12-20",67.14,68,67.05,67.77,326033
"2012-12-27",65.69,66.32,65.11,66.1,231960
"2013-01-03",69.56,71.59,69.08,69.33,666709
"2013-01-10",66.08,66.43,64.69,65.51,524054
"2013-01-17",67.87,68.64,67.7,68.4,650482
"2013-01-24",69.4,70.24,68.99,69.13,431226
"2013-01-31",68.77,69.39,68.49,68.8,327152
"2013-02-07",69.71,69.71,67.96,68.97,272208
"2013-02-14",70.71,71.59,70.71,71.42,290970
"2013-02-21",72.6,72.69,70.45,71.5,571344
"2013-02-28",70.34,71.18,67.73,68.13,1157088
"2013-03-07",70.89,72,70.48,71.49,471220
"2013-03-14",71.71,72.65,71.32,72.52,422353
"2013-03-21",71.46,71.82,70.45,70.81,102471
"2013-03-28",69.64,69.64,68.2,69.35,486751
"2013-04-04",71.12,73.56,70.81,72.77,766001
"2013-04-11",73.95,74,72.93,73.12,372480
"2013-04-18",71.14,72.11,70.42,70.94,672393
"2013-04-25",72.64,73.85,72.45,73.22,280642
"2013-05-02",70.8,71.23,70.43,70.95,438152
"2013-05-09",74.86,76.05,74.64,75.37,241418
"2013-05-16",76.87,77.81,76.56,76.82,250711
"2013-05-23",75.73,76.57,75.08,75.86,278046
"2013-05-30",74.58,75.94,74.58,75.03,286717
"2013-06-06",73.28,73.96,72.34,73.96,459432
"2013-06-13",74.9,76.7,74.06,76.45,203646
"2013-06-20",76.49,76.7,75.2,75.87,397923
"2013-06-27",75.38,76.44,75.2,76.12,272929
"2013-07-11",85.79,86.09,84.82,85.99,379908
"2013-07-18",85,88.42,85,88.33,478300
"2013-07-25",87.25,87.25,85.64,87.06,244505
"2013-08-01",87.5,89.57,87.25,88.2,382723
"2013-08-08",85.6,86.9,85.21,86.6,126980
"2013-08-15",85.19,86.22,84.79,85.35,153348
"2013-08-22",85.91,87.69,85.91,86.97,79684
"2013-08-29",85.86,88.06,85.86,87.83,197256
"2013-09-05",86.45,88.25,86.45,87.84,149273
"2013-09-12",91.94,92.35,91.12,91.18,151028
"2013-09-19",93.77,94.09,92.77,93.16,133525
"2013-09-26",91.25,92.42,90.68,92.15,220671
"2013-10-03",94.05,94.05,91.61,92.84,305455
"2013-10-10",94.23,96.16,94.06,96.1,231858
"2013-10-17",97.04,98.02,96.94,97.86,296771
"2013-10-24",103.51,104.06,102.87,103.74,186051
"2013-10-31",101.67,101.93,100.36,100.51,543140
"2013-11-07",100.58,101.7,99.18,100,401999
"2013-11-14",104.85,105.41,104.22,104.83,159190
"2013-11-21",100.78,101.66,99.75,101.61,424905
"2013-12-05",100.63,101.82,100.13,101.31,143845
"2013-12-12",99.72,101.9,99.39,101.21,212614
"2013-12-19",106.16,106.52,105.35,105.92,165847
"2013-12-26",109.8,110.52,109.52,110.06,198734
"2014-01-02",109.22,109.26,106.84,107.65,254146
"2014-01-09",120,136.46,119.06,123.5,1981527
"2014-01-16",133.46,134.28,131.4,133.36,316890
"2014-01-23",131.01,131.43,129.1,129.96,299202
"2014-01-30",129.1,129.1,126.96,127.04,587724
"2014-02-06",127.31,129.61,126.97,127.83,279760
"2014-02-13",131.02,133.34,129.42,133,317825
"2014-02-20",133.92,136.24,132.94,136.09,304918
"2014-02-27",141.18,143.54,140.81,141.98,541225
"2014-03-06",143.76,144.48,142.98,143.55,170228
