"","PDCO.Open","PDCO.High","PDCO.Low","PDCO.Close","PDCO.Volume"
"2011-09-15",28.18,28.25,27.31,27.74,1235977
"2011-09-22",27.26,27.94,26.92,27.57,2133862
"2011-09-29",29.3,29.71,28.8,29.21,915397
"2011-10-06",28.26,28.75,27.82,28.74,811776
"2011-10-13",29.11,29.19,28.38,28.85,1317597
"2011-10-20",28.94,29.13,28.59,29.02,841969
"2011-10-27",31.69,32.5,31.64,32.33,1493882
"2011-11-03",30.34,30.35,29.85,30.25,663809
"2011-11-10",29.94,30.21,29.64,29.91,657896
"2011-11-17",29.65,29.92,29.23,29.39,1242959
"2011-12-01",30.21,30.9,30.16,30.55,905669
"2011-12-08",29.93,29.93,29.18,29.21,979840
"2011-12-15",28.96,29.12,28.46,28.57,399245
"2011-12-22",29.08,29.5,29.05,29.39,528613
"2011-12-29",29.72,30,29.64,29.74,539513
"2012-01-05",29.28,29.45,29,29.33,1097375
"2012-01-12",30.55,31.1,30.54,31,989197
"2012-01-19",30.43,31.26,30.37,31.08,880562
"2012-01-26",32.18,32.26,31.98,32.09,572545
"2012-02-02",32.54,32.54,32.19,32.31,270128
"2012-02-09",32.25,32.3,32.02,32.09,492818
"2012-02-16",32.6,33.28,32.6,33.23,650652
"2012-02-23",31.79,33.36,31.48,32.19,1163004
"2012-03-01",31.94,32,31.34,31.43,1070284
"2012-03-08",30.81,31.01,30.72,30.96,875206
"2012-03-15",32.14,32.32,31.94,32.27,647684
"2012-03-22",31.74,32.02,31.65,31.8,374378
"2012-03-29",32.8,33.06,32.55,32.94,845857
"2012-04-05",32.83,33.04,32.71,33.01,432860
"2012-04-12",32.63,33.21,32.62,33.08,556660
"2012-04-19",33.22,33.26,32.77,32.84,502248
"2012-04-26",33.06,33.24,32.85,33.22,599422
"2012-05-03",34.4,34.55,34.21,34.29,672449
"2012-05-10",33.88,33.98,33.43,33.52,501492
"2012-05-17",33.45,33.66,32.78,32.79,591338
"2012-05-24",33.41,34.06,33,33.45,1260026
"2012-05-31",33.56,33.75,32.97,33.24,1476848
"2012-06-07",33.27,33.35,32.85,32.91,473090
"2012-06-14",32.85,33.02,32.54,32.74,781324
"2012-06-21",34.23,34.41,33.57,33.6,462786
"2012-06-28",33.51,33.8,33.28,33.61,483109
"2012-07-05",35.1,35.28,34.9,35.26,538930
"2012-07-12",34.51,34.63,33.92,34.25,584380
"2012-07-19",34.93,35.17,34.77,35.05,316729
"2012-07-26",34.32,34.51,34.05,34.32,466763
"2012-08-02",33.76,33.77,33.16,33.7,805967
"2012-08-09",34.76,34.93,34.46,34.49,402512
"2012-08-16",35.74,35.99,35.5,35.91,242295
"2012-08-23",33.12,34.8,33.12,34.15,2509986
"2012-08-30",34.13,34.25,33.91,34.03,289226
"2012-09-06",34.07,34.54,33.88,34.41,730694
"2012-09-13",34.53,34.68,34.35,34.55,833182
"2012-09-20",34.34,34.84,34.14,34.82,1004232
"2012-09-27",34.38,34.64,34.2,34.61,493185
"2012-10-04",34.7,35.22,34.33,35.22,905160
"2012-10-11",34.7,35.02,34.58,34.68,263370
"2012-10-18",34.06,34.06,32.68,33.92,2136714
"2012-10-25",33.78,34.14,33.65,33.68,541367
"2012-11-01",33.46,34.01,33.39,34,854012
"2012-11-08",34.32,34.62,34.11,34.11,597453
"2012-11-15",34.06,34.61,33.64,34.57,847347
"2012-11-29",33.83,34,33.56,33.6,443242
"2012-12-06",33.29,33.35,33.03,33.22,376161
"2012-12-13",33.43,33.55,33.15,33.28,224459
"2012-12-20",34.1,34.45,34.1,34.19,938444
"2012-12-27",33.91,34.14,33.72,33.91,570133
"2013-01-03",34.5,34.78,34.35,34.74,650348
"2013-01-10",35.57,35.76,35.5,35.6,916721
"2013-01-17",34.94,35.27,34.87,35.17,461096
"2013-01-24",36.17,36.66,36.17,36.51,492200
"2013-01-31",36.28,36.36,36.11,36.13,488263
"2013-02-07",37.19,37.32,36.95,37.26,313454
"2013-02-14",37.05,37.22,36.87,37.08,778582
"2013-02-21",35.5,37.26,35.01,35.69,1441977
"2013-02-28",36.29,36.57,36.22,36.34,303682
"2013-03-07",36.53,36.74,36.45,36.56,355629
"2013-03-14",37.4,37.51,37.29,37.45,483147
"2013-03-21",37.79,37.96,37.49,37.61,673779
"2013-03-28",37.63,38.09,37.5,38.04,432552
"2013-04-04",36.98,37.22,36.78,37.22,638287
"2013-04-11",36.86,37.4,36.65,37.3,880640
"2013-04-18",36.73,36.75,36.33,36.48,547360
"2013-04-25",37.69,37.95,37.69,37.73,652261
"2013-05-02",37.62,38.23,37.52,38.16,596744
"2013-05-09",38.64,38.99,38.35,38.79,630058
"2013-05-16",38.89,39,38.64,38.72,369695
"2013-05-23",37.94,39.63,37.94,39.55,1001799
"2013-05-30",38.81,39.36,38.81,39.08,647937
"2013-06-06",38.48,38.51,37.9,38.41,784097
"2013-06-13",38.54,39.14,38.47,39.05,502173
"2013-06-20",37.9,37.96,37.17,37.31,1075845
"2013-06-27",37.42,37.81,37.23,37.58,718939
"2013-07-11",39.5,39.5,39.24,39.38,594590
"2013-07-18",39.83,40.32,39.71,40.27,459703
"2013-07-25",40.15,40.56,40.02,40.55,423576
"2013-08-01",41.14,41.75,40.78,41.64,464043
"2013-08-08",41.9,42.34,41.85,42.27,386312
"2013-08-15",42.17,42.23,41.55,41.59,467337
"2013-08-22",40.31,41.11,40,40.65,1325532
"2013-08-29",39.67,40.28,39.36,39.98,486259
"2013-09-05",39.98,40.25,39.92,40.07,384764
"2013-09-12",40.91,41.14,40.87,41,512544
"2013-09-19",41.29,41.4,41,41.2,397269
"2013-09-26",40.2,40.36,40.02,40.3,460381
"2013-10-03",39.9,39.98,39.48,39.88,945196
"2013-10-10",40.69,41,40.2,40.47,800611
"2013-10-17",40.33,41.05,40.09,40.97,528581
"2013-10-24",41.45,41.61,41.34,41.48,281605
"2013-10-31",42.36,42.64,41.96,42.51,743405
"2013-11-07",43.26,43.51,42.71,42.82,512900
"2013-11-14",43.78,44.32,43.69,44.27,827621
"2013-11-21",42.2,42.95,41.06,41.11,1547083
"2013-12-05",40.99,41.02,40.76,40.97,565011
"2013-12-12",40.59,40.74,40.31,40.5,543676
"2013-12-19",40.61,40.68,40.28,40.52,638456
"2013-12-26",40.9,41.19,40.78,40.89,373586
"2014-01-02",41.09,41.28,40.64,40.8,577867
"2014-01-09",40.16,41.33,40.1,41.29,935964
"2014-01-16",40.89,41.26,40.89,41.2,526462
"2014-01-23",41.38,41.56,40.61,40.68,692168
"2014-01-30",40.27,40.59,40.2,40.27,488697
"2014-02-06",39.4,39.58,39.06,39.52,554061
"2014-02-13",39.95,40.52,39.53,40.39,874715
"2014-02-20",39.63,40.74,39.32,40.55,957610
"2014-02-27",40.52,40.85,40.38,40.85,452663
"2014-03-06",41.8,42.04,41.66,42,517865
"2014-03-13",42.46,42.58,41.78,41.81,1012969
"2014-03-20",41.61,42.01,41.33,41.61,403894
"2014-03-27",41.18,41.26,40.69,40.79,330788
"2014-04-03",42.49,43.1,42.29,43.01,1590984
"2014-04-10",42.95,43.02,41.58,41.58,1416678
"2014-04-17",40.87,41.22,40.59,41.04,618464
"2014-04-24",41.35,41.35,40.85,40.93,432333
"2014-05-01",40.54,41.08,40.37,40.82,442319
"2014-05-08",40.39,40.92,40.33,40.52,394626
"2014-05-15",41.15,41.15,40.66,40.87,473923
"2014-05-22",38.44,40.15,37.02,39.23,3147887
"2014-05-29",39.04,39.23,38.92,39.05,619696
"2014-06-05",39.32,39.32,38.96,39,809220
"2014-06-12",39.04,39.21,38.64,38.76,1027381
"2014-06-19",39.32,39.44,39.16,39.42,583471
"2014-06-26",40.41,40.48,40.1,40.12,719403
"2014-07-03",39.62,39.81,39.58,39.75,581723
"2014-07-10",39.08,39.16,38.91,39.11,411787
"2014-07-17",39.39,39.56,38.63,38.68,739686
"2014-07-24",39.9,40.13,39.58,40.05,624980
"2014-07-31",39.42,39.49,38.88,39.01,641958
"2014-08-07",38.81,39.07,38.19,38.27,332667
"2014-08-14",39.01,39.25,38.99,39.16,362309
"2014-08-21",39.25,41.07,39.25,40.73,1082378
