"","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume"
"2014-07-31",23,24,22.6,23,56483860
"2014-08-07",22.89,23,22.8,22.93,3190375
"2014-08-14",23.2,23.22,22.95,23.01,1391857
"2014-08-21",25.47,25.52,24.92,25.39,2358073
"2014-08-28",25.4,25.84,25.31,25.69,982632
"2014-09-04",25.53,25.75,25.51,25.7,1117454
"2014-09-11",24.75,25.02,24.63,24.65,2029069
"2014-09-18",24.57,24.84,24.56,24.67,879112
"2014-09-25",24.98,24.98,24.61,24.63,1350755
"2014-10-02",24.35,24.69,23.76,24.58,1252964
"2014-10-09",25.02,25.06,24.43,24.55,2536330
"2014-10-16",24.2,24.8,24.13,24.6,1888961
"2014-10-23",25.47,25.91,25.44,25.81,970103
"2014-10-30",27.08,27.45,26.51,26.79,1039094
"2014-11-06",27.51,27.77,27.27,27.58,993082
"2014-11-13",29.01,29.23,28.82,28.99,1656777
"2014-11-20",28.96,29.35,28.91,29.24,1300558
"2014-12-04",29.01,29.34,28.91,29.15,828984
"2014-12-11",29.67,30,29.43,29.52,1057901
"2014-12-18",29.38,29.88,28.94,29.75,1015666
"2015-01-08",29.53,30.1,29.49,29.98,835026
"2015-01-15",29.19,29.25,27.92,28.52,1094307
"2015-01-22",29.22,29.5,28.43,29.05,2514827
"2015-01-29",31.22,31.49,31,31.23,1383433
"2015-02-05",31.27,32.08,31.13,32,1114358
"2015-02-12",33.74,33.96,33.53,33.61,2334621
"2015-02-19",31.94,32.08,31.79,31.88,556185
"2015-02-26",32.53,32.71,32.36,32.45,356757
"2015-03-05",31.98,32.47,31.78,31.96,485965
"2015-03-12",31.78,32.02,31.56,31.89,503184
"2015-03-19",31.92,32.4,31.84,32.37,657002
"2015-03-26",31.01,31.03,30.37,30.61,887918
"2015-04-02",30.4,30.71,30.24,30.61,841350
"2015-04-09",30.02,30.35,29.9,30.14,839598
"2015-04-16",30.7,30.94,30.3,30.77,1208431
"2015-04-23",31.52,31.55,30.83,30.96,1391268
"2015-04-30",30.71,31.4,30.64,31.15,1228557
"2015-05-07",32.06,32.66,31.81,32.65,1095478
"2015-05-14",32.98,33.13,32.37,32.77,1448969
"2015-05-21",32.59,32.78,32.39,32.47,430394
"2015-05-28",32.33,32.66,32.25,32.53,355820
"2015-06-04",33.04,33.11,32.68,32.75,793011
"2015-06-11",33.29,33.88,33.16,33.22,1152193
"2015-06-18",32.8,33.14,32.69,32.82,590456
"2015-06-25",32.86,32.86,32.43,32.81,705712
"2015-07-02",33.37,33.38,32.95,33.14,489977
"2015-07-09",32.56,32.97,32.38,32.6,811691
"2015-07-16",34.26,34.46,34.07,34.13,636575
"2015-07-23",35.84,36.07,35.43,35.63,507264
"2015-07-30",34.58,34.81,34.2,34.6,989147
"2015-08-06",34.78,34.82,34.03,34.13,631577
"2015-08-13",34.96,35.35,34.72,35.16,797757
"2015-08-20",34.62,34.68,34.16,34.36,1340213
"2015-08-27",32.99,32.99,31.82,32.33,2721923
"2015-09-03",32.09,32.35,31.85,32.19,921339
