"","AMG.Open","AMG.High","AMG.Low","AMG.Close","AMG.Volume"
"2011-09-15",85.63,87.63,84.82,87.51,516080
"2011-09-22",78.71,79.87,76.95,78.53,803418
"2011-09-29",82.39,83.46,79.69,83.01,784532
"2011-10-06",77.94,80.38,75.76,80.2,601368
"2011-10-13",85.77,85.77,81.85,84.12,874717
"2011-10-20",85.06,86.56,82.86,85.93,451401
"2011-10-27",93.66,100.41,93.65,98.05,1056847
"2011-11-03",93.07,94.78,89.73,94.3,527383
"2011-11-10",93.27,93.28,88.41,90.25,491397
"2011-11-17",92.15,92.52,88.43,88.97,585909
"2011-12-01",94.06,94.36,92.76,93.02,414268
"2011-12-08",96.21,96.21,93.22,93.58,295316
"2011-12-15",92.02,92.08,90.24,90.45,292800
"2011-12-22",95.24,96.53,95.11,96.17,246466
"2011-12-29",95.08,97.07,94.73,96.94,204613
"2012-01-05",96.84,98.66,96.16,98.23,487049
"2012-01-12",101.19,101.19,98.97,99.93,562240
"2012-01-19",99.82,102.44,99.64,101.2,546142
"2012-01-26",102.63,104.06,101.72,102.61,488452
"2012-02-02",103.5,104.95,103.28,103.85,414756
"2012-02-09",107.69,107.92,106.16,106.74,383284
"2012-02-16",104.59,107.01,104.29,106.95,341333
"2012-02-23",105.01,106.37,104.53,106.16,349162
"2012-03-01",106.88,108.24,106.73,107.99,331547
"2012-03-08",107.21,107.63,106,107.06,232634
"2012-03-15",111.94,113.88,111.55,112.72,333673
"2012-03-22",110.91,111.55,110.13,110.48,291317
"2012-03-29",110.92,111.5,109.54,110.96,263973
"2012-04-05",112.81,113.61,112.37,113.18,235318
"2012-04-12",107.57,110.83,107.34,110.74,388352
"2012-04-19",113.16,115,111.13,112.01,676179
"2012-04-26",113,114.45,112.56,113.9,411864
"2012-05-03",111.53,111.79,108.68,108.98,462519
"2012-05-10",106.65,106.97,105.13,105.5,320069
"2012-05-17",105.07,105.59,101.74,101.93,601676
"2012-05-24",104.01,104.13,102.27,103.8,418825
"2012-05-31",103.57,103.6,100.92,103.07,2156626
"2012-06-07",103,104.5,102.49,103.23,697317
"2012-06-14",101.74,102.76,101.25,102.49,471719
"2012-06-21",106.83,106.83,102.32,102.73,379073
"2012-06-28",103.01,105.59,102.74,105.5,440634
"2012-07-05",111.13,111.97,110.19,110.95,326904
"2012-07-12",106.63,107.05,105.32,106.26,358877
"2012-07-19",110.66,111.22,109.64,110.05,208908
