"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume"
"2011-09-15",39.58,39.63,37.61,38.58,4256256
"2011-09-22",37.29,38.21,37.2,38,3812950
"2011-09-29",39.13,39.52,37.37,37.72,3563089
"2011-10-06",36.66,36.66,34.74,36.1,5640737
"2011-10-13",37.53,37.98,37.36,37.94,2154904
"2011-10-20",38.39,38.81,38.03,38.75,2543960
"2011-10-27",40.95,42.15,40.95,41.49,3028967
"2011-11-03",40.21,40.48,39.75,39.92,3183171
"2011-11-10",38.67,38.91,38.09,38.73,1895081
"2011-11-17",38.03,38.18,37.36,37.52,1962444
"2011-12-01",37.02,37.47,36.96,37.24,2250384
"2011-12-08",36.48,36.62,36.22,36.28,2666104
"2011-12-15",35.86,36.31,35.72,35.8,1831353
"2011-12-22",37.04,37.33,36.96,37.08,1550826
"2011-12-29",36.87,37.4,36.81,37.33,893577
"2012-01-05",37.89,38.49,37.82,38.49,2375956
"2012-01-12",38.78,38.92,38.57,38.84,1248025
"2012-01-19",38.94,39.46,38.73,39.4,1675005
"2012-01-26",38.88,39.33,37.53,39,6379624
"2012-02-02",39.58,39.79,38.93,39.34,2611698
"2012-02-09",39.33,39.33,38.94,38.97,1483508
"2012-02-16",36.65,36.99,36.61,36.96,2789732
"2012-02-23",36.89,37.45,36.89,37.44,2907165
"2012-03-01",37.19,37.62,37.19,37.3,2821573
"2012-03-08",37,37.5,36.91,37.45,3583864
"2012-03-15",38.24,38.25,37.8,37.91,2487638
"2012-03-22",38.28,38.74,38.26,38.29,2283263
"2012-03-29",38.84,39.27,38.83,39.2,1860641
"2012-04-05",38.28,38.54,38.2,38.22,2421881
"2012-04-12",39,39.49,38.78,38.81,3371569
"2012-04-19",37.54,37.74,37.23,37.48,2585330
"2012-04-26",37.87,37.87,36.87,36.97,4175188
"2012-05-03",37.16,37.19,36.44,36.55,3201620
"2012-05-10",36.36,37.12,36.28,36.58,4883092
"2012-05-17",36.52,36.76,36.44,36.44,2473947
"2012-05-24",36.31,36.56,36.12,36.46,1441114
"2012-05-31",36.8,37.26,36.54,36.99,3969167
"2012-06-07",37.53,37.58,36.94,36.98,1834048
"2012-06-14",36.76,37.12,36.68,36.96,1575619
"2012-06-21",38.05,38.19,37.61,37.69,1609379
"2012-06-28",37.95,38.81,37.5,38.74,2590556
"2012-07-05",39.55,39.75,39.31,39.46,1223467
"2012-07-12",39.26,39.38,38.78,39.16,2093378
"2012-07-19",39.73,39.98,39.57,39.73,1437385
"2012-07-26",38.18,38.65,36.91,37.96,6482195
"2012-08-02",39.07,39.28,38.48,38.87,3675068
"2012-08-09",38.45,39.36,38.45,38.69,3223348
"2012-08-16",37.51,37.7,37.17,37.58,5691501
"2012-08-23",37.82,38.15,37.76,37.98,2100756
"2012-08-30",37.58,38.17,37.44,38.1,2373134
"2012-09-06",38.33,38.84,38.31,38.64,2490965
"2012-09-13",37.84,38.14,37.48,38.06,3505054
"2012-09-20",38,38.37,37.65,38.33,2258838
"2012-09-27",38.7,39.06,38.49,39.02,2086038
"2012-10-04",39.23,39.7,39.14,39.36,2978751
"2012-10-11",39.51,39.7,39.34,39.47,1702958
"2012-10-18",40.43,40.85,40.38,40.68,1552143
"2012-10-25",39.98,40.36,39.41,39.76,2351897
"2012-11-01",39.55,41.12,39.51,40.92,4492260
"2012-11-08",40.65,40.85,39.93,40.33,2930380
"2012-11-15",40.15,40.36,39.9,40.16,2237616
"2012-11-29",41.49,41.78,41.34,41.52,2529915
"2012-12-06",42.33,42.72,42.2,42.56,3122117
"2012-12-13",42.78,43.15,42.55,42.85,2750322
"2012-12-20",43.75,43.81,43.47,43.8,2323682
"2012-12-27",43.18,43.34,42.76,43.23,1554134
"2013-01-03",43.54,43.55,43.2,43.4,2027242
"2013-01-10",43.95,43.99,43.69,43.89,1579865
"2013-01-17",45.27,45.68,45.21,45.52,1420263
"2013-01-24",45.92,46.15,44.73,45.72,3580271
"2013-01-31",45.52,45.56,45.17,45.37,2838236
"2013-02-07",46.48,46.62,45.99,46.4,2419955
"2013-02-14",46.67,46.99,46.6,46.77,1941879
"2013-02-21",46.48,46.62,46.16,46.48,1432331
"2013-02-28",46.96,47.51,46.81,47.2,2254042
"2013-03-07",48.44,48.65,47.68,48.08,1785841
"2013-03-14",49,49.39,48.91,49.29,1810900
"2013-03-21",50.11,50.54,49.56,49.79,2284953
"2013-03-28",50.96,51.57,50.8,51.45,2836398
"2013-04-04",51.69,52.83,51.67,51.82,2840059
"2013-04-11",53.28,54.16,53.25,53.81,2354319
"2013-04-18",55.06,56.07,55.02,55.44,4273971
"2013-04-25",55.82,56,53.12,53.41,7992643
"2013-05-02",53.85,54.86,53.77,54.85,2157842
"2013-05-09",54.91,55.09,54.49,54.81,1708238
"2013-05-16",54.64,55.06,54.29,54.4,1766564
"2013-05-23",54.32,54.8,54.05,54.58,1815939
"2013-05-30",54,55.02,53.9,54.72,1743711
"2013-06-06",52.82,53.08,52.44,52.55,3421160
"2013-06-13",54.61,54.69,54.04,54.56,2551371
"2013-06-20",55.47,55.61,54.01,54.14,3015735
"2013-06-27",55.37,55.76,55.1,55.31,2448161
"2013-07-11",57.08,58.15,57.08,58.1,2337368
"2013-07-18",58.58,58.95,58.04,58.31,2058792
"2013-07-25",56.2,57.69,55.8,57.61,2869271
"2013-08-01",58.39,59.12,58.37,58.8,1752703
"2013-08-08",59.36,59.67,58.89,59.61,1578868
"2013-08-15",57.71,57.78,56.79,57.27,2153188
"2013-08-22",57.22,57.66,57.14,57.43,1602558
"2013-08-29",56.87,57.33,56.66,57.15,766779
"2013-09-05",58,58.33,57.88,58.15,891274
"2013-09-12",60.42,61.02,60.37,60.46,1430892
"2013-09-19",61.85,62.44,61.78,62.23,1217681
"2013-09-26",60.97,61.44,60.69,61.16,869633
"2013-10-03",62.06,62.34,61.18,61.42,2136238
"2013-10-10",61.8,62.48,61.64,62.43,1209144
"2013-10-17",63.77,64.8,63.65,64.62,1674889
"2013-10-24",64.2,64.94,64.2,64.64,1090638
"2013-10-31",65.05,65.98,64.62,65.33,1838205
"2013-11-07",67.41,67.48,66.59,66.73,1523597
"2013-11-14",68.34,69.36,68.26,69.22,1378096
"2013-11-21",69.3,70.04,69.28,69.79,1137123
"2013-12-05",69.24,69.61,68.88,69.14,2130270
"2013-12-12",69.22,69.56,68.69,68.77,2192591
"2013-12-19",69.37,69.75,69.17,69.63,1964894
"2013-12-26",70.25,70.63,70.01,70.3,640499
