"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume"
"2014-01-02",70.11,70.23,69.48,69.89,1148391
"2014-01-09",71.45,71.92,71.1,71.38,1610010
"2014-01-16",70.6,70.68,70.26,70.5,1082158
"2014-01-23",70,70.88,69.22,69.64,2110899
"2014-01-30",67.65,68.14,67.65,67.77,1437156
"2014-02-06",64.86,65.61,64.4,65.51,1553872
"2014-02-13",67.37,68.19,66.88,67.89,1286198
"2014-02-20",68.4,68.65,67.57,68.39,1469772
"2014-02-27",68.01,68.31,67.65,68.01,1401629
"2014-03-06",69,69.45,68.75,68.75,1495323
"2014-03-13",68.01,68.21,67.55,67.79,1897421
"2014-03-20",66.74,66.9,66.26,66.48,1526286
"2014-03-27",64.81,64.82,63.72,64.11,2193227
"2014-04-03",65.81,65.91,65.38,65.8,2173432
"2014-04-10",65.91,66.18,64.74,65,2105725
"2014-04-17",64.75,65.09,64.48,64.68,1049588
"2014-04-24",66,66.81,63.76,64.89,3612731
"2014-05-01",64.76,65.17,63.85,64.87,2151107
"2014-05-08",64.39,65.26,64.2,64.4,1586471
"2014-05-15",66.89,67.51,66.69,67.5,1934871
"2014-05-22",70.78,71.66,70.58,71.35,1772193
"2014-05-29",72.69,73.42,72.69,73.28,1611723
"2014-06-05",73.51,73.81,72.53,72.79,2691569
"2014-06-12",71.79,72.05,71.1,71.46,1509338
"2014-06-19",72.18,72.42,71.64,71.93,1256916
"2014-06-26",72.74,72.85,72.39,72.72,931745
"2014-07-03",73.33,73.42,73.05,73.23,943930
"2014-07-10",72.54,73.14,72.01,72.92,764149
"2014-07-17",72.78,73.55,72.49,72.7,1274324
"2014-07-24",77.05,79.13,75.62,76.37,4459397
"2014-07-31",77.67,78.04,76.72,76.91,2099234
"2014-08-07",76.37,76.46,74.86,74.96,2009757
"2014-08-14",76.06,76.64,76.04,76.62,1044199
"2014-08-21",77.06,77.37,76.88,76.93,758924
"2014-08-28",76.31,76.92,76.09,76.72,580792
"2014-09-04",77.32,77.94,77.08,77.35,840115
"2014-09-11",77.52,77.72,76.73,77.35,1787043
"2014-09-18",76.81,77.23,76.7,77.13,1121072
"2014-09-25",77.71,78.02,77.09,77.49,1738180
"2014-10-02",76.61,77.25,76.36,76.87,1470542
"2014-10-09",77.89,78.46,77.14,77.2,1498999
"2014-10-16",75.38,75.87,74.32,75.02,2415304
"2014-10-23",77.32,77.9,77.18,77.44,1979067
"2014-10-30",81.68,85.12,81.68,84.84,5081435
"2014-11-06",87.96,88.11,86.82,87.4,2317247
"2014-11-13",88.54,89.48,88.54,89.08,1563532
"2014-11-20",89.19,89.3,88.34,88.9,1411695
"2014-12-04",91.87,92.64,91.68,91.95,1444872
"2014-12-11",91.93,92.84,91.52,92.55,1767694
"2014-12-18",91.12,91.39,90.43,91.28,2160743
"2015-01-08",91.74,92.77,91.16,92.19,2399882
"2015-01-15",92.15,92.4,91.1,91.4,1362570
"2015-01-22",93.23,94.22,91.95,94.15,1641097
"2015-01-29",96.87,97.13,94.89,96.34,3327407
"2015-02-05",96.27,96.67,95.98,96.34,1055712
"2015-02-12",98.83,99.85,98.23,99.83,2224613
"2015-02-19",100.52,101.03,100.09,101.01,1421490
"2015-02-26",102.93,103.64,102.62,102.98,1711928
"2015-03-05",103.74,103.92,103.17,103.64,1208409
"2015-03-12",104,105.52,103.95,105.38,1448166
"2015-03-19",111.88,112.5,111.07,112.37,1422235
"2015-03-26",111.5,113.05,110.54,112.09,2411776
"2015-04-02",112.16,112.59,111.58,112.39,2049432
"2015-04-09",113.31,114.28,112.64,113.5,2425708
"2015-04-16",113.41,114.06,112.52,113.83,1055597
"2015-04-23",113.81,116.18,113.57,115.2,2152201
"2015-04-30",117.39,120.68,113.03,114.3,5198131
"2015-05-07",114.28,115.07,113.79,114.07,1707853
"2015-05-14",114.4,114.84,114,114.66,2416767
"2015-05-21",114.5,114.81,113.87,113.94,2319280
"2015-05-28",113.15,114.06,112.93,113.1,1360766
"2015-06-04",111.47,112.6,111.1,111.49,1562458
"2015-06-11",108.92,111.14,108.8,110.41,1906301
"2015-06-18",111.5,112.63,110.72,111.92,1329971
"2015-06-25",109.49,109.7,107.31,107.61,3239384
"2015-07-02",107.71,108.32,107.03,107.1,1269020
"2015-07-09",108.97,109.15,108.08,108.86,2158668
"2015-07-16",111,111.93,109.93,111.88,1736320
"2015-07-23",110.62,114.02,109.52,110.12,4172044
"2015-07-30",107.49,107.49,104.31,104.47,3974168
"2015-08-06",107.37,107.85,104.56,104.75,1776170
"2015-08-13",104.73,105.29,102.29,103.88,1666982
"2015-08-20",105.1,105.7,103.34,103.37,1792861
"2015-08-27",101.47,101.78,99.4,101.15,3721571
"2015-09-03",100.9,101.49,99.62,100,1580082
"2015-09-10",100.65,102.88,100.36,102.03,1780792
"2015-09-17",106.44,108.18,105.63,106.78,1622349
"2015-09-24",102.43,102.57,100.59,101.97,1610685
"2015-10-01",94.99,95.11,93.2,94.51,3184391
"2015-10-08",93.06,93.88,91.77,93.54,2198667
"2015-10-15",93.16,94.3,92.11,94.07,2959451
"2015-10-22",92.88,93.69,91.79,92.8,3213227
"2015-10-29",97.27,97.54,93.02,96.82,5149661
"2015-11-05",97.8,98.41,97.38,97.89,2012427
"2015-11-12",96.29,98.38,96.29,96.91,1906436
"2015-11-19",100.33,100.86,99.04,99.19,2044635
"2015-12-03",99.01,99.21,98.03,98.71,2629090
"2015-12-10",100.93,102.42,100.62,101.95,2678670
"2015-12-17",101.69,102.89,101.44,102.34,2791828
"2015-12-24",103.71,104.19,103.52,103.95,435407
"2015-12-31",104.47,105.12,103.68,103.71,1107637
"2016-01-07",100.87,101.15,98.49,98.53,3658651
"2016-01-14",92.79,94.24,92.42,93.72,2789396
"2016-01-21",90.9,91.83,89.79,90.57,2196707
"2016-01-28",90.5,90.5,87.09,87.29,6053068
"2016-02-04",80.51,87.97,80.5,84.4,8035344
"2016-02-11",84.25,85.09,84.19,84.55,2751675
"2016-02-18",87.03,87.49,86.59,86.69,2224635
"2016-02-25",87.55,88.03,86.88,87.6,1264426
"2016-03-03",87.63,88.34,87.13,88.22,1908021
"2016-03-10",88.01,88.16,85.81,86.18,3419134
"2016-03-17",87.07,87.47,85.73,85.88,3023176
"2016-03-24",86.86,87.23,85.95,86.17,2449692
"2016-03-31",87.13,87.74,86.3,86.55,1716159
"2016-04-07",87.3,88,86.6,86.66,2216097
"2016-04-14",84.7,87.14,84.63,86.7,2126537
"2016-04-21",91.63,92.48,91.52,91.83,2346389
"2016-04-28",89.61,89.61,86.18,86.42,5342208
"2016-05-05",77.95,79.68,76.82,78,11878192
"2016-05-12",75.92,75.92,74.63,74.78,3464667
"2016-05-19",74.46,75.31,74.34,75.05,3019032
"2016-05-26",74.04,74.07,73.31,73.69,1460585
"2016-06-02",75.81,77.23,75.66,77.08,3043678
"2016-06-09",76.22,76.42,75.9,76.17,3146459
"2016-06-16",75.67,76.25,75.05,76,2112075
"2016-06-23",77.66,77.77,77.03,77.55,2646996
"2016-06-30",77.61,79.33,77.43,79.32,3196307
"2016-07-07",81.09,81.53,80.53,80.99,2508864
"2016-07-14",85.35,86.12,85.26,85.95,2035706
"2016-07-21",86.38,86.9,85.53,85.81,1672006
"2016-07-28",85.05,85.06,84.24,84.82,2434584
"2016-08-04",89.71,89.81,88.44,88.98,1897447
"2016-08-11",87.97,89.05,87.47,88.95,1669302
"2016-08-18",88.54,88.99,88.11,88.97,1444667
"2016-08-25",88.15,88.26,85.39,85.51,3351527
"2016-09-01",87.01,87.72,86.58,87.15,1331095
"2016-09-08",87.4,87.67,87.14,87.27,2195185
"2016-09-15",83.54,84.54,83.06,84.2,2438533
