"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume"
"2013-04-11",65.64,66.21,65.47,66.11,1196455
"2013-04-18",65.83,65.87,64.38,64.63,1454589
"2013-04-25",66.93,66.98,66.49,66.77,1526278
"2013-05-02",66.83,67.74,66.6,67.39,1680510
"2013-05-09",68.89,70.25,68.8,70,3063607
"2013-05-16",71.52,71.91,70.88,70.98,1924837
"2013-05-23",69.91,70.21,69.72,69.93,1938190
"2013-05-30",70.01,70.2,69.81,69.81,1493156
"2013-06-06",67.68,68.03,67.28,67.94,2233529
"2013-06-13",67.33,68.49,67.16,68.28,1547276
"2013-06-20",68.44,68.66,68.08,68.2,2492858
"2013-06-27",69.68,69.92,69.19,69.37,1379800
"2013-07-11",72.22,72.59,71.75,71.85,2252796
"2013-07-18",72.67,73.05,72.56,72.82,1281095
"2013-07-25",72.18,72.4,71.66,72.17,1572601
"2013-08-01",70.51,72.02,70.11,71.85,2311956
"2013-08-08",72.36,72.65,71.95,72.34,1375407
"2013-08-15",72.22,72.24,71.35,71.61,1553649
"2013-08-22",72.01,72.64,71.9,72.44,809488
"2013-08-29",70.78,71.64,70.42,71.3,1417651
"2013-09-05",71.83,72.38,71.79,72.34,1167603
"2013-09-12",73.91,74.51,73.75,74.18,1336110
"2013-09-19",74.89,74.95,74.48,74.68,1657367
"2013-09-26",72.83,73.2,72.57,72.92,1199344
"2013-10-03",71.71,72,70.89,71.1,1362596
"2013-10-10",70.84,71.93,70.61,71.81,1402502
"2013-10-17",73.41,74.15,73.25,74.08,1412504
"2013-10-24",75.3,75.64,75.14,75.41,1389852
"2013-10-31",74.26,75.25,74.01,75.02,2727019
"2013-11-07",76.15,76.41,75.21,75.33,1532707
"2013-11-14",76.64,77.43,76.51,76.97,2190298
"2013-11-21",79.32,79.87,79.13,79.78,1925045
"2013-12-05",78.95,79.53,78.4,78.53,2218868
"2013-12-12",77.21,77.75,77.1,77.15,2987246
"2013-12-19",79.35,79.85,78.87,79.42,2483235
"2013-12-26",80.45,80.87,80.13,80.75,875281
"2014-01-02",80.17,80.45,79.38,79.86,1965869
"2014-01-09",83,83,80.53,80.63,1444744
"2014-01-16",80.04,80.26,79.71,79.81,1050168
"2014-01-23",81.93,82.5,78.86,79.31,1433790
"2014-01-30",76.95,77.64,76.35,77.3,1398235
"2014-02-06",73.45,74.34,73.1,74.2,2357363
"2014-02-13",75.25,76.28,75.2,76.21,2027465
"2014-02-20",76.24,76.89,75.86,76.51,1245236
"2014-02-27",77.12,77.9,77.1,77.72,2008915
"2014-03-06",77.88,78.23,77.64,78.03,1342603
"2014-03-13",77.78,77.96,76.69,76.99,2768729
"2014-03-20",77.85,78.52,77.66,78.34,1180038
"2014-03-27",76.05,76.72,75.55,76.67,2164668
"2014-04-03",77.98,78,77.02,77.37,1186584
"2014-04-10",78.08,78.12,75.22,75.22,3725432
"2014-04-17",75.24,76.45,75.2,76.31,2039426
"2014-04-24",76.84,77.02,76.32,76.62,1531964
"2014-05-01",77.97,78.27,77.37,77.62,1289665
"2014-05-08",77.32,78.17,77.14,77.85,1837554
"2014-05-15",77.85,78,76.47,76.75,2112931
"2014-05-22",77.89,78.28,77.52,78.08,994018
"2014-05-29",79.18,79.57,78.9,79.56,1062810
"2014-06-05",78.79,78.84,78.02,78.7,1515173
"2014-06-12",78.08,78.63,77.95,78.25,1169398
"2014-06-19",78.88,78.92,78.35,78.46,1646681
"2014-06-26",79.28,79.28,78.63,79.11,878109
"2014-07-03",80,80.61,80,80.59,775450
"2014-07-10",80.8,80.8,79.77,80.14,953225
"2014-07-17",80.04,80.53,79.86,79.96,1066578
"2014-07-24",81.6,82.51,81.59,82.43,1267638
"2014-07-31",82.23,82.5,80.93,81.31,1638190
"2014-08-07",80.68,80.97,79.81,80.07,1320666
"2014-08-14",83.78,83.78,81.69,82.39,795070
"2014-08-21",83.57,84.07,83.27,83.89,810956
"2014-08-28",83.03,83.72,83.03,83.5,832293
"2014-09-04",83.67,84.44,83.63,83.81,883660
"2014-09-11",83.3,83.41,82.69,83.2,1346780
"2014-09-18",83.49,84.31,83.31,84.19,1611840
"2014-09-25",83.61,83.61,82.32,82.36,1731590
"2014-10-02",71.71,72.63,71.51,72.5,3007958
"2014-10-09",74.8,74.95,73.16,73.19,1972846
"2014-10-16",70.79,72.15,70.69,71.63,2179303
"2014-10-23",75.75,76.2,75.22,75.44,1462300
"2014-10-30",77.89,79.39,77.3,78.95,2113807
"2014-11-06",84.66,85.1,84.15,84.74,2126487
"2014-11-13",85.43,85.89,84.98,85.41,1451594
"2014-11-20",84.28,84.42,83.6,84.12,2507416
"2014-12-04",86.06,86.42,85.73,86.06,1553066
"2014-12-11",85.53,85.57,84.43,84.6,1976754
"2014-12-18",85.87,85.94,85.03,85.68,3535524
"2015-01-08",83.96,85.18,83.64,85.17,3358749
"2015-01-15",83.87,84.34,83.33,83.7,1434838
"2015-01-22",85,86.79,84,86.61,1980007
"2015-01-29",84.45,84.82,83.5,84.35,2968940
"2015-02-05",86.43,87.19,85.89,87.17,2151327
"2015-02-12",87.2,87.79,86.98,87.74,1872978
"2015-02-19",87.61,87.83,86.86,87.73,1568519
"2015-02-26",89.19,89.25,88.61,88.84,1426287
"2015-03-05",86.59,86.91,86.26,86.75,2728568
"2015-03-12",85.41,86.49,85.12,86.39,1190710
"2015-03-19",87.38,87.79,87.27,87.37,2143890
"2015-03-26",84.26,84.77,83.91,84.41,1599903
"2015-04-02",85.85,86.58,85.47,85.92,1699873
"2015-04-09",86.45,86.74,85.67,86.6,1155351
"2015-04-16",85.56,85.75,85.25,85.38,1463359
"2015-04-23",85.12,86.1,85.02,85.76,1000080
"2015-04-30",85.22,86,84.32,84.54,2194397
"2015-05-07",85.62,86.59,84.98,86.3,1656908
"2015-05-14",86.97,88.03,86.52,87.99,1892400
"2015-05-21",87.36,87.62,87.08,87.27,1517448
"2015-05-28",85.87,86.29,85.62,85.97,1297452
"2015-06-04",84.93,85.32,83.93,84.08,1689573
"2015-06-11",84.5,84.89,84.2,84.62,1438403
"2015-06-18",83.62,84.8,83.37,84.58,1556465
"2015-06-25",83.71,83.89,83.22,83.35,1200144
"2015-07-02",81.23,81.26,80.35,80.83,1792027
"2015-07-09",81.15,81.41,80.65,80.69,1588076
"2015-07-16",82.89,83.04,82.32,82.9,1546127
"2015-07-23",81.42,81.53,80.72,80.94,1368577
"2015-07-30",80,81.98,78.36,80.13,4688136
"2015-08-06",81.78,81.88,80.08,80.3,1505398
"2015-08-13",81.52,82.99,81.32,82.45,2000830
"2015-08-20",83.71,84.01,82.71,82.71,2246283
"2015-08-27",78.32,78.87,76.48,78.03,2987360
"2015-09-03",77.1,78.09,77.02,77.55,1943753
"2015-09-10",77.1,78.78,77.08,77.92,2207829
"2015-09-17",79.68,80.67,79.21,79.43,1990458
"2015-09-24",78.61,79.87,78.12,79.58,1781672
"2015-10-01",80.91,81.18,80,80.89,2204827
"2015-10-08",83.56,85.44,83.22,85.12,2128954
"2015-10-15",85.62,85.97,84.93,85.97,1232160
"2015-10-22",87.93,89.82,87.72,89.69,2099537
"2015-10-29",87.91,88.53,86.57,88.36,2448893
"2015-11-05",87.31,87.39,86.5,86.98,1311735
"2015-11-12",87,87.36,86.21,86.22,1178749
"2015-11-19",86.61,86.73,86.26,86.39,1059362
"2015-12-03",86.96,87.14,84.94,85.26,1585311
"2015-12-10",85.08,86.3,84.7,85.46,1748732
"2015-12-17",86.29,86.73,84.76,84.81,1756248
"2015-12-24",85.92,86.32,85.66,85.94,640237
"2015-12-31",85.78,86.34,84.55,84.72,1420087
"2016-01-07",79.64,80.35,78.46,78.78,5031269
"2016-01-14",77.6,79.51,77.5,78.99,2847722
"2016-01-21",78.69,79.98,77.77,79.25,2672433
"2016-01-28",81,81.52,80.49,80.75,2015079
"2016-02-04",82.03,82.9,81.55,82.8,1813795
"2016-02-11",79.38,80.55,79.08,80.21,2824879
"2016-02-18",85.48,85.7,84.76,84.91,1537110
"2016-02-25",86.11,86.12,84.83,85.92,1418243
"2016-03-03",84.85,85.72,84.85,85.65,1700511
"2016-03-10",86.21,86.75,84.36,85.2,1528377
"2016-03-17",87.76,89.09,87.62,88.84,1481849
"2016-03-24",88.23,88.77,87.77,88.75,1028952
"2016-03-31",89.07,90,89.07,89.71,1479752
"2016-04-07",90.07,90.45,89.41,89.8,1623724
"2016-04-14",90.53,90.64,89.96,90.26,1802528
"2016-04-21",90.62,90.71,89.23,89.35,1537562
"2016-04-28",87.84,90.89,87.4,89.1,2953665
"2016-05-05",86.67,87.91,86.28,86.45,5092706
"2016-05-12",87.31,87.31,86.11,86.54,1692605
"2016-05-19",84.76,85.26,84.36,85.14,1490470
"2016-05-26",87.39,87.93,87.09,87.7,1040622
"2016-06-02",88.04,88.12,87.51,88.09,1092520
"2016-06-09",87.03,87.66,86.88,87.63,1517709
"2016-06-16",87.21,88.18,86.92,88.03,1469419
"2016-06-23",89.74,89.94,89.12,89.94,1364084
"2016-06-30",89.37,91.87,88.73,91.87,2944786
"2016-07-07",93.17,93.68,92.87,93.5,1734868
"2016-07-14",95.75,95.78,95.01,95.21,1330874
"2016-07-21",95.1,95.42,94.38,94.88,1262395
"2016-07-28",93,93,91.37,91.73,3609572
"2016-08-04",88.11,88.66,88.02,88.41,1484048
"2016-08-11",90.09,90.65,90.01,90.4,1375864
"2016-08-18",89.57,89.9,89.39,89.83,1025356
"2016-08-25",89.72,89.98,89.3,89.77,1049001
"2016-09-01",90.02,90.63,89.66,90.63,1775623
"2016-09-08",89.71,90.07,89.33,89.47,1241788
"2016-09-15",86.48,87.79,86.23,87.48,1452086
