"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume"
"2011-09-15",49.94,50.55,49.37,50.54,3003566
"2011-09-22",47.86,48.58,46.83,47.39,7613824
"2011-09-29",48.36,48.72,47.34,48.12,3513860
"2011-10-06",48.13,48.8,47.6,48.79,2687596
"2011-10-13",50.9,51.07,50.58,50.89,3093493
"2011-10-20",51.37,51.68,50.64,51.16,3289038
"2011-10-27",51.95,52.9,51.78,52.77,4827014
"2011-11-03",51.17,52.38,51.02,52.15,3083361
"2011-11-10",51.45,51.51,50.74,51.19,2022070
"2011-11-17",50.68,50.8,49.67,50.03,3565888
"2011-12-01",51.12,51.63,50.95,51.5,2100952
"2011-12-08",51.94,52.3,51.51,51.61,2625450
"2011-12-15",51.43,51.65,51,51.17,1829893
"2011-12-22",53.68,53.97,53.48,53.83,1572758
"2011-12-29",54.07,54.5,53.93,54.35,1351280
"2012-01-05",54.44,54.96,54.26,54.8,2633010
"2012-01-12",54.68,55,54.48,54.96,2058489
"2012-01-19",56.66,56.97,56.35,56.9,1887274
"2012-01-26",56.06,56.34,55.64,55.82,3861142
"2012-02-02",55.09,55.26,54.82,54.82,2883327
"2012-02-09",54.88,54.9,54.42,54.57,2638423
"2012-02-16",53.96,54.18,53.84,53.84,2529847
"2012-02-23",53.74,54.09,53.74,53.8,1855013
"2012-03-01",54.6,55.05,54.45,54.87,2467090
"2012-03-08",54.51,54.71,54.26,54.6,1658888
"2012-03-15",55.2,55.4,54.83,55.38,1669609
"2012-03-22",54.99,55.21,54.83,55.05,1754868
"2012-03-29",55.21,55.38,54.7,55.03,1900284
"2012-04-05",55.4,55.65,55.24,55.6,1306334
"2012-04-12",54.65,55,54.49,54.98,1369498
"2012-04-19",54.55,55.19,54.38,54.62,2134323
"2012-04-26",55.2,55.7,54.89,55.58,1631964
"2012-05-03",54.88,54.88,54.3,54.47,2105037
"2012-05-10",53.71,53.9,53.38,53.54,1761609
"2012-05-17",53.31,53.4,52.52,52.52,2660572
"2012-05-24",53.01,53.36,52.7,53.15,2792796
"2012-05-31",52.39,52.51,51.93,52.15,2770828
"2012-06-07",53.69,53.69,53.06,53.15,2930384
"2012-06-14",53.6,54.53,53.45,54.42,2768264
"2012-06-21",55.54,55.58,54.49,54.54,2270948
"2012-06-28",54.26,54.29,53.56,54.18,2414006
"2012-07-05",55.66,56.69,55.55,56.47,2481468
"2012-07-12",55.25,55.54,54.93,55.38,2115877
"2012-07-19",56.75,56.94,56.21,56.5,2235048
"2012-07-26",56.36,56.93,55.99,56.52,2379101
"2012-08-02",55.69,55.95,55.28,55.75,2110705
"2012-08-09",57.4,57.46,56.98,57.15,1042839
"2012-08-16",57.84,58.61,57.83,58.43,1550243
"2012-08-23",57.91,58.12,57.6,57.97,1074575
"2012-08-30",58.15,58.28,57.88,57.93,1383891
"2012-09-06",58.55,59.4,58.55,59.36,1880609
"2012-09-13",57.04,58.08,57.04,57.78,3212608
"2012-09-20",58.28,58.67,58.19,58.64,2136620
"2012-09-27",58.16,58.68,58.06,58.43,1618183
"2012-10-04",59,59.09,58.71,58.9,2347537
"2012-10-11",58.61,58.68,58.26,58.36,1750242
"2012-10-18",59.36,59.37,58.96,59.11,2251078
"2012-10-25",58.31,58.36,57.91,58.23,1413165
"2012-11-01",58.72,59.45,57.8,59.36,3343651
"2012-11-08",56.1,56.48,55.37,55.38,1967169
"2012-11-15",54.83,55.19,54.49,54.67,2599575
"2012-11-29",56.18,56.37,55.86,56.28,1726754
"2012-12-06",57.22,57.75,57.21,57.54,1494638
"2012-12-13",57.45,57.89,57.29,57.58,1735319
"2012-12-20",58.25,58.38,57.73,58.37,1734624
"2012-12-27",57.11,57.2,56.26,56.89,1757900
"2013-01-03",58.61,58.83,57.75,58.62,2251483
"2013-01-10",59.48,59.49,58.97,59.32,1818680
"2013-01-17",59.16,59.35,58.91,59.17,1215028
"2013-01-24",59.79,59.97,59.44,59.71,1814225
"2013-01-31",59.33,59.77,59.26,59.29,2600253
"2013-02-07",60.63,60.74,59.83,60.5,2097846
"2013-02-14",60.25,60.78,60.03,60.74,1704835
"2013-02-21",61.16,61.16,60.07,60.27,2305166
"2013-02-28",61.7,61.72,61.36,61.36,1941943
"2013-03-07",62.48,63.57,62.3,63.34,3539409
"2013-03-14",64.2,65.03,64.2,65.02,2501726
"2013-03-21",63.98,64.39,63.43,63.73,2219952
"2013-03-28",64.5,65.12,64.33,65.03,2213530
"2013-04-04",64.85,65.06,64.32,64.72,1206859
