"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume"
"2016-01-28",112.29,112.96,110.61,111.38,3525150
"2016-02-04",112.67,114.55,112.04,114.2,3589899
"2016-02-11",111.32,111.69,110.09,110.62,3908616
"2016-02-18",118.5,120,117.06,117.45,3806216
"2016-02-25",120.2,121.23,119.82,121.2,2281381
"2016-03-03",120.86,121.86,120.09,121.82,3064146
"2016-03-10",121.2,122.76,120.41,122.09,2638229
"2016-03-17",124.61,124.96,122.22,124.53,3906258
"2016-03-24",128.97,130.32,127.17,128.59,4153996
"2016-03-31",129.64,129.97,128.29,128.9,3162308
"2016-04-07",127.51,128.44,126.23,126.87,3160894
"2016-04-14",127.72,128.57,127.56,127.98,1674530
"2016-04-21",133.56,134,132.43,132.96,3770767
"2016-04-28",132.79,134.39,131.68,132.07,3279238
"2016-05-05",132.05,133.28,131.85,132.31,2054684
"2016-05-12",131,131.29,128.75,129.74,3207819
"2016-05-19",129.69,131.12,128.76,130,2755599
"2016-05-26",133.5,133.96,132.66,132.98,1499258
"2016-06-02",134.26,136.15,134.01,136.04,4015018
"2016-06-09",140.49,140.87,139.54,140.68,3682420
"2016-06-16",137.21,138.89,136.38,138.66,3176122
"2016-06-23",139.35,139.98,138.01,139.19,2646815
"2016-06-30",140.68,141.31,140.24,141.2,4730819
"2016-07-07",142.37,142.66,139.95,140.8,3515540
"2016-07-14",142.39,142.85,140.47,140.84,3000678
"2016-07-21",142.71,143.73,142.13,142.87,3502312
"2016-07-28",141.36,143.03,141.19,142.76,2517003
"2016-08-04",143.1,143.48,142.26,142.71,1890880
"2016-08-11",142.24,143.06,141.44,142.63,1857522
"2016-08-18",141.67,142.84,141.27,142.17,1572687
"2016-08-25",139.75,139.75,137.03,137.3,3891031
"2016-09-01",136.82,136.98,135.35,135.74,2765361
"2016-09-08",134.47,135.62,134.41,135.44,2826741
"2016-09-15",133.03,136.09,132.88,135.61,3332592
