"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume"
"2011-09-15",49.11,50.74,48.6,50.54,11326103
"2011-09-22",46.75,47.67,46.33,47.09,10065187
"2011-09-29",48.35,48.74,45.79,46.58,9154466
"2011-10-06",44.62,45.15,43.98,44.94,5804824
"2011-10-13",46.02,46.62,45.67,46.53,5034573
"2011-10-20",46.68,46.99,45.94,46.88,7985267
"2011-10-27",49.92,50,48.81,49.18,10026478
"2011-11-03",46.8,46.88,45.8,46.18,6721400
"2011-11-10",46.06,46.3,45.44,46.13,5479631
"2011-11-17",44.99,45.27,44.05,44.52,8147841
"2011-12-01",48.59,49.06,48.4,48.52,7021438
"2011-12-08",49.23,49.55,47.98,48.16,8641802
"2011-12-15",47.88,48.8,47.88,48.52,9354188
"2011-12-22",49.89,50.93,49.85,50.73,4627009
"2011-12-29",50.93,51.57,50.89,51.18,3773961
"2012-01-05",51.89,52.73,51.8,52.59,6330034
"2012-01-12",53.22,53.24,52.53,52.87,4550250
"2012-01-19",52.31,53.02,51.42,52.32,18656686
"2012-01-26",51.61,51.72,49.9,50.35,13576202
"2012-02-02",53.25,53.25,52.01,52.54,5319166
"2012-02-09",52.21,53.53,52.2,53.06,9613480
"2012-02-16",54.62,54.89,54.26,54.79,6908597
"2012-02-23",55.15,55.36,54.66,54.94,7195731
"2012-03-01",55.75,56.1,55.59,55.99,4258269
"2012-03-08",54.87,56.03,54.81,55.61,4883552
"2012-03-15",55.9,56.25,55.54,55.71,4598679
"2012-03-22",53.62,54.21,53.4,53.88,7550884
"2012-03-29",55,58.32,54.98,58.11,17258411
"2012-04-05",58.82,59.19,58.6,59.01,4826711
"2012-04-12",58.03,58.62,57.72,58.46,4306319
"2012-04-19",57.28,59.35,56.99,58.71,10754431
"2012-04-26",56.94,58.67,56.47,58.37,9385865
"2012-05-03",56.52,56.52,55.39,55.72,7302627
"2012-05-10",55.56,55.86,55.03,55.29,4030888
"2012-05-17",55.07,55.46,54.73,54.88,5465204
"2012-05-24",55.03,56.74,55.01,56.22,7192362
"2012-05-31",56.21,56.33,55.46,55.77,6344840
"2012-06-07",57.8,58.39,57.4,57.45,7249049
"2012-06-14",58.17,59.38,57.89,59.25,6649767
"2012-06-21",59.83,60.04,58.27,58.34,5320447
"2012-06-28",58.87,60.5,55.34,59.6,25319863
"2012-07-05",54.88,56.16,54.86,55.81,6937772
"2012-07-12",55.88,55.9,54.44,54.57,6079151
"2012-07-19",57.39,57.6,53.63,54.99,16697699
"2012-07-26",53.12,53.35,50.89,52.01,10510579
"2012-08-02",50.75,51.76,50.32,51.1,7320490
"2012-08-09",52.57,52.79,51.69,52.02,4890650
"2012-08-16",52.84,53.53,52.78,53.39,5598864
"2012-08-23",53.99,54.35,53.76,53.92,4450296
"2012-08-30",54.46,54.92,54.27,54.69,5188140
"2012-09-06",54.55,54.99,54.5,54.89,3742561
"2012-09-13",52.64,53.97,52.58,53.89,6316573
"2012-09-20",54.69,54.97,54.41,54.94,5776618
"2012-09-27",56.29,56.44,55.7,56.24,4245333
"2012-10-04",57.15,58.15,57.01,57.97,6897286
"2012-10-11",57.54,58.18,57.33,57.66,5035863
"2012-10-18",55.8,56.43,55.76,56.01,5384478
"2012-10-25",55.94,56.72,55.8,56.21,4701829
"2012-11-01",55.86,57.09,55.86,56.95,4836865
"2012-11-08",54.35,54.98,53.42,53.44,8846192
"2012-11-15",51.27,51.72,51.09,51.25,6669138
"2012-11-29",53.26,54.59,53,54.36,10911555
"2012-12-06",53.9,53.9,53.28,53.65,3780290
"2012-12-13",55.22,55.39,54.31,54.38,4911760
"2012-12-20",54.48,55.51,54.45,55.46,5026169
"2012-12-27",54.12,54.59,53.95,54.44,3245612
"2013-01-03",53.44,53.52,51.85,51.99,14415179
"2013-01-10",52.52,53.19,52.33,53.11,6506693
"2013-01-17",53.76,54.53,53.17,54.4,14439509
"2013-01-24",56.03,56.44,55.9,56.22,4221619
"2013-01-31",55.84,56.04,55.21,55.21,6957576
"2013-02-07",57.36,57.5,56.65,57.05,6050963
"2013-02-14",57.01,57.22,56.75,57.05,5173937
"2013-02-21",55.57,55.94,54.88,55.24,6357223
"2013-02-28",53.82,53.96,53.39,53.45,5881484
"2013-03-07",53.76,54.18,53.68,53.8,4456669
"2013-03-14",54.58,54.81,54.06,54.73,5067591
"2013-03-21",54.69,55.35,54.63,55.06,4954005
"2013-03-28",56.66,57.31,56.49,57.21,5686196
"2013-04-04",61.75,62.5,61.49,62.03,7650487
"2013-04-11",62.39,63,62.33,62.98,4739163
"2013-04-18",59.39,60.75,58.03,59.69,14014987
"2013-04-25",59.13,59.41,58.61,59.34,5669569
"2013-05-02",59.71,60.38,59.39,59.48,6072808
"2013-05-09",62.25,62.56,61.46,62.01,6416636
"2013-05-16",61.3,62.35,61.2,62.14,6905157
"2013-05-23",62.09,62.82,61.82,62.36,4479061
"2013-05-30",63.43,64.9,63.02,64.66,5674292
"2013-06-06",61.75,61.92,60.95,61.92,4711462
"2013-06-13",63.7,64.21,63.15,64.15,4379530
"2013-06-20",64.8,64.82,63.65,63.8,5750788
"2013-06-27",65.06,66.19,64.96,66.09,4487937
"2013-07-11",68.27,68.55,67.65,68.36,6590148
"2013-07-18",69.35,70.85,68.91,70.55,14085522
"2013-07-25",72.08,72.62,71.7,72.62,3840562
"2013-08-01",73.23,73.52,72.9,73.16,3254017
"2013-08-08",73.15,73.67,72.86,73.18,2171566
"2013-08-15",71.99,72.62,71.37,71.4,3403334
"2013-08-22",72.04,72.74,71.83,71.97,2959424
"2013-08-29",71.34,72.83,71.15,72.44,5243530
"2013-09-05",73.34,74.23,73.14,74.04,2861586
"2013-09-12",75.32,75.5,74.7,74.74,2823858
"2013-09-19",73.09,73.12,70.62,70.84,8323451
"2013-09-26",72,72.81,71.92,72.16,2413165
"2013-10-03",72.5,72.98,72.26,72.52,5038426
"2013-10-10",72.13,73.98,71.84,73.98,4894764
"2013-10-17",71.77,72.88,71.05,71.37,21810501
"2013-10-24",68.01,68.39,67.18,67.61,6352512
"2013-10-31",68.4,68.71,67.86,68.26,4216661
"2013-11-07",70.9,70.98,69.66,69.76,4498324
"2013-11-14",71.34,71.6,70.94,71.44,3581223
"2013-11-21",72.39,73.68,72.37,72.91,4368036
"2013-12-05",73.32,73.68,72.54,72.75,4105156
"2013-12-12",72.19,72.57,70.91,71.01,5815289
"2013-12-19",72.07,72.52,71.67,72.39,4359199
"2013-12-26",74.44,74.97,74.28,74.85,2121027
"2014-01-02",74.91,75.29,74.51,74.57,3066950
"2014-01-09",75.65,76.24,75.65,76.08,6291462
"2014-01-16",74.13,74.84,72.15,72.76,8893571
"2014-01-23",72.7,73.69,72.49,73.2,5050598
"2014-01-30",71.7,73.04,71.53,72.8,4254018
"2014-02-06",70.77,71.06,70.09,70.87,4765611
"2014-02-13",70.13,71.48,69.93,71.21,3787957
"2014-02-20",73.6,74.11,73.23,73.48,4134029
"2014-02-27",75.78,76.41,75.6,76.02,4227261
"2014-03-06",78.15,78.34,77.55,77.64,4200499
"2014-03-13",77.76,78.1,76.96,77.01,3178656
"2014-03-20",79.58,81.59,79.43,81.53,7786538
"2014-03-27",81.58,81.9,80.78,81.02,5453852
"2014-04-03",81.65,82.35,81.6,82.25,4215604
"2014-04-10",81.42,81.99,79.78,79.99,4850066
"2014-04-17",75.44,76.65,73.61,75.78,13427199
"2014-04-24",76.15,77.08,75.91,76.59,4604993
"2014-05-01",75.05,75.4,74.26,74.95,4597953
"2014-05-08",77.82,78.06,76.74,76.89,4943133
"2014-05-15",77.16,77.32,76.23,76.48,3075204
"2014-05-22",77.71,78.63,77.63,78.34,3147002
"2014-05-29",78.6,79.42,78.08,79.37,3526776
"2014-06-05",80.48,80.75,79.68,79.8,3453679
"2014-06-12",79.78,80,79.1,79.44,2559953
"2014-06-19",79.35,80.79,79.26,80.51,4544281
"2014-06-26",82.48,82.48,81.66,82.29,2916113
"2014-07-03",82.59,83.44,82.32,83.35,2183356
"2014-07-10",81.28,82.51,81.05,82.08,3829357
"2014-07-17",84.25,87.24,83.43,85.11,7118352
"2014-07-24",85.45,86.33,85.29,85.68,4022427
"2014-07-31",81.77,82.18,80.54,81.05,5345605
"2014-08-07",81,81.09,79.16,79.26,5471126
"2014-08-14",81.71,82.07,80.16,81.82,2241095
"2014-08-21",83.61,84.1,83.59,83.77,2648527
"2014-08-28",86,87,85.52,86.34,2753827
"2014-09-04",86.76,88.45,86.71,87.06,3650146
"2014-09-11",86.76,87.12,86.2,87.08,3035393
"2014-09-18",87.42,87.97,87.19,87.63,2583988
"2014-09-25",87.79,88,86.03,86.18,3657085
"2014-10-02",84.85,85.27,83.73,84.9,3046995
"2014-10-09",86.35,86.55,84.63,84.94,4432816
"2014-10-16",84.76,86.7,84.1,85.39,10233059
"2014-10-23",90.93,91.28,90.42,90.66,3159178
"2014-10-30",92.56,94.15,92.5,93.88,2836374
"2014-11-06",96.04,96.64,95.9,96.21,3743249
"2014-11-13",95.64,96.74,95.4,95.9,2767673
"2014-11-20",96.46,96.85,96.17,96.85,3316654
"2014-12-04",100.84,100.93,99.42,99.67,4089785
"2014-12-11",99.39,100.67,99.24,99.73,2940571
"2014-12-18",100.28,102.26,99.91,102.24,4681027
"2015-01-08",101.57,104.98,100.72,104.7,5346136
"2015-01-15",103.56,104.59,103.13,104.46,5888889
"2015-01-22",109.75,114.12,109.33,113.85,8055198
"2015-01-29",108.15,109.58,106.74,109.39,4912269
"2015-02-05",108.32,109.81,108.32,108.82,3297724
"2015-02-12",110.7,110.78,108.83,109.84,3378023
"2015-02-19",109.54,110.36,109.44,110.03,2674820
"2015-02-26",114.41,114.62,113.37,113.66,3126809
"2015-03-05",114.07,115.72,114.07,114.79,2941428
"2015-03-12",113.32,115.05,113.15,114.88,3258580
"2015-03-19",120,121.1,119.82,120.76,4032485
"2015-03-26",116.07,117.21,114.6,116.25,2856404
"2015-04-02",117.6,118.38,116.87,117.36,2497135
"2015-04-09",117.83,118.76,117.6,118.55,2247228
"2015-04-16",121.93,122.32,120.52,121.6,7068037
"2015-04-23",117.48,118.58,116.96,118.26,3244285
"2015-04-30",113.53,114.33,111.12,111.4,6705565
"2015-05-07",113.15,115.14,113.11,114.76,3300160
"2015-05-14",117.18,118.62,116.21,118.53,4771391
"2015-05-21",120.76,120.84,120.05,120.46,2983475
"2015-05-28",119.31,119.82,118.29,119.62,2873631
"2015-06-04",117.92,117.97,116.03,116.65,3300333
"2015-06-11",118.41,119.94,118.22,119.32,3815604
"2015-06-18",120.39,121.38,119.92,120.89,3478319
"2015-06-25",119.57,123.41,119.5,122.33,6149545
"2015-07-02",123.82,123.88,121.02,121.81,3682344
"2015-07-09",120.04,120.56,119.31,119.34,3315646
"2015-07-16",125.42,125.5,122.1,124.93,7216574
"2015-07-23",121.63,121.68,118.76,119.33,4896078
"2015-07-30",121.14,121.92,119.55,120.56,3732435
"2015-08-06",124.37,124.64,121.8,122.04,3014880
"2015-08-13",121.33,121.99,120.29,120.52,3253372
"2015-08-20",122.24,122.42,119.79,119.79,3181679
"2015-08-27",115.25,117.83,114.96,117.77,5755709
"2015-09-03",114.74,115.92,113.46,113.99,3129697
"2015-09-10",114.85,117.94,114.73,116.77,4415971
"2015-09-17",121.5,125.12,120.9,123.26,5371006
"2015-09-24",122.35,122.63,119.27,121.09,4683586
"2015-10-01",115.94,116.71,114.91,116.61,3752508
"2015-10-08",116.43,116.94,114.9,116.08,3644204
"2015-10-15",119,120.5,115.96,120.17,7997331
"2015-10-22",118.21,119.03,110.07,113.81,10469756
"2015-10-29",119.79,121.67,119.5,119.71,3150911
"2015-11-05",114.98,116.77,113.63,116.23,3986707
"2015-11-12",113.76,114.74,112.53,112.82,3307361
"2015-11-19",109.79,113.71,109.61,110.63,15513519
"2015-12-03",117.8,118.28,114.43,115,4287079
"2015-12-10",115.05,117.05,114.34,116.21,3202595
"2015-12-17",118.83,121.09,118.64,119.22,3945750
"2015-12-24",118.53,119.18,118.29,118.34,900064
"2015-12-31",118.64,119.37,117.36,117.64,2372492
"2016-01-07",113.63,114.09,111.42,112.09,5277249
"2016-01-14",108.74,111.8,107.51,110.76,4208791
"2016-01-21",114.67,115.48,112.26,113.5,5413090
