"","ES.Open","ES.High","ES.Low","ES.Close","ES.Volume"
"2011-09-15",34.29,34.6,34.17,34.46,1098416
"2011-09-22",33.49,33.67,33,33.48,2839981
"2011-09-29",34.17,34.27,33.73,34.11,1971745
"2011-10-06",31.12,31.95,31.03,31.94,3378049
"2011-10-13",32.4,32.99,32.19,32.94,1491283
"2011-10-20",33.48,33.61,33.05,33.37,1536220
"2011-10-27",34.77,35.16,34.48,34.93,2469312
"2011-11-03",34.42,34.92,34.2,34.77,1975093
"2011-11-10",34.05,34.36,33.88,34.29,2950872
"2011-11-17",34.28,34.56,33.85,33.93,2324912
"2011-12-01",34.63,35,34.48,34.85,1603877
"2011-12-08",34.16,34.18,33.44,33.52,1692478
"2011-12-15",34.58,34.88,34.5,34.68,1206305
"2011-12-22",35.34,35.38,34.77,35.3,1603155
"2011-12-29",35.96,36.3,35.92,36.24,1045325
"2012-01-05",35.11,35.14,34.72,35.05,1954700
"2012-01-12",34.34,34.39,34.02,34.26,1054540
"2012-01-19",34.08,34.15,33.48,33.53,1520716
"2012-01-26",35.05,35.28,34.86,35.27,1529432
"2012-02-02",35.21,35.49,35.03,35.11,1151293
"2012-02-09",35.65,35.67,35.33,35.46,979364
"2012-02-16",36.05,36.37,35.78,36.16,2290857
"2012-02-23",35.88,35.98,35.62,35.74,1243981
"2012-03-01",35.94,36.29,35.83,36.04,2241584
"2012-03-08",36.43,36.7,36.3,36.68,1443597
"2012-03-15",36.72,36.92,36.42,36.71,1214954
"2012-03-22",36.21,36.45,36.08,36.38,1403984
"2012-03-29",36.72,37.22,36.24,37.21,2031698
"2012-04-05",37.03,38.85,36.61,36.89,3767446
"2012-04-12",35.69,35.87,35.63,35.72,2812810
"2012-04-19",36.14,36.25,35.84,35.92,1884347
"2012-04-26",36.47,36.79,36.35,36.7,1579666
"2012-05-03",37.04,37.38,35.63,35.82,4820242
"2012-05-10",36.3,36.54,36.09,36.46,1388071
"2012-05-17",35.63,35.63,35.1,35.1,1674499
"2012-05-24",36.28,36.51,36,36.32,6017580
"2012-05-31",35.99,36.36,35.68,36.01,2280538
"2012-06-07",37,37.45,36.97,37.1,1549123
"2012-06-14",37.52,38.22,37.52,38.1,1656924
"2012-06-21",38.17,38.33,37.53,37.57,1666455
"2012-06-28",38,38.34,37.96,38.34,971213
"2012-07-05",39.15,39.27,38.69,38.76,1458005
"2012-07-12",38.69,39.18,38.6,39.08,1122379
"2012-07-19",40.23,40.64,40.11,40.48,1520793
"2012-07-26",39.88,40.4,39.85,40.05,907989
"2012-08-02",38.93,39.26,38.62,39.25,2152105
"2012-08-09",39.41,39.5,39.04,39.2,915287
"2012-08-16",39,39.08,38.73,38.77,1204981
"2012-08-23",38.2,38.2,37.65,37.74,881515
"2012-08-30",37.64,37.84,37.6,37.71,1091759
"2012-09-06",37.85,38.2,37.66,38.16,984394
"2012-09-13",37.57,38.32,37.54,38.32,1323961
"2012-09-20",36.89,37.32,36.81,37.17,2044030
"2012-09-27",38.22,38.28,37.78,37.92,856091
"2012-10-04",38.87,39.07,38.71,38.8,1021618
"2012-10-11",39.22,39.23,38.81,38.87,1133160
"2012-10-18",39.5,39.83,39.41,39.8,1046504
"2012-10-25",39.02,39.3,38.66,39.01,1008558
"2012-11-01",39.16,39.4,38.96,39.24,1379959
"2012-11-08",38.29,38.83,38.22,38.22,981233
"2012-11-15",38,38.34,37.64,37.86,1506812
"2012-11-29",38.16,38.27,37.81,38.16,1555176
"2012-12-06",39.33,39.51,39.09,39.25,1167036
"2012-12-13",39.65,39.83,39.21,39.34,2189070
"2012-12-20",39.57,39.72,39.22,39.45,1780725
"2012-12-27",38.7,38.9,38.43,38.78,1337979
"2013-01-03",39.86,40.05,39.55,39.6,1593057
"2013-01-10",39.23,39.45,39.04,39.31,1531553
"2013-01-17",38.79,38.86,38.6,38.7,3487543
"2013-01-24",39.75,40.15,39.7,39.91,1386181
"2013-01-31",40.89,41.01,40.66,40.73,4990951
"2013-02-07",41.14,41.4,40.89,41.09,1418537
"2013-02-14",41.04,41.14,40.6,40.76,2865866
"2013-02-21",41.06,41.32,40.84,40.89,1527939
