"","ES.Open","ES.High","ES.Low","ES.Close","ES.Volume"
"2013-02-28",41.3,41.63,41.11,41.51,1801810
"2013-03-07",42.52,42.7,42.31,42.32,650048
"2013-03-14",42.33,42.56,42.22,42.52,998053
"2013-03-21",42.57,42.84,42.49,42.59,1152313
"2013-03-28",42.99,43.49,42.92,43.46,2006315
"2013-04-04",43.34,43.56,43.2,43.45,1598833
"2013-04-11",44.24,44.46,44.06,44.43,1277567
"2013-04-18",44.08,44.35,43.85,44.2,2049548
"2013-04-25",45.1,45.14,44.71,44.84,1274851
"2013-05-02",45.24,45.53,45,45.27,1100605
"2013-05-09",44.48,44.52,43.43,43.56,1989893
"2013-05-16",44.38,44.51,44.01,44.11,1180141
"2013-05-23",43.69,43.77,42.96,43.53,1011845
"2013-05-30",41.95,42.88,41.95,42.04,1308693
"2013-06-06",41.11,41.69,41.06,41.68,1264856
"2013-06-13",41.13,41.97,41.11,41.93,1162834
"2013-06-20",41.05,41.05,39.43,39.61,2888025
"2013-06-27",41.5,42.26,41.45,41.74,1836935
"2013-07-11",42.8,43.18,42.68,43.14,1299472
"2013-07-18",44.06,44.67,43.98,44.62,1004865
"2013-07-25",44.12,44.46,43.91,44.37,1072410
"2013-08-01",44.6,45.13,44.5,45.05,1430934
"2013-08-08",44.24,44.42,43.95,44.21,1155491
"2013-08-15",42.33,42.46,41.86,41.87,1095722
"2013-08-22",41.12,41.4,40.91,41.24,1039771
"2013-08-29",41.01,41.23,40.83,40.97,1426462
"2013-09-05",40.44,40.62,40.13,40.26,1301680
"2013-09-12",40.48,40.61,40.01,40.09,1178289
"2013-09-19",41.99,42.2,41.6,41.7,1208294
"2013-09-26",41.45,41.68,41.34,41.44,1155234
"2013-10-03",41.29,41.35,40.83,41.03,1419729
"2013-10-10",41.45,42.03,41.13,41.95,1099800
"2013-10-17",41.5,42.37,41.24,42.29,2721992
"2013-10-24",43.13,43.27,42.74,42.88,1161710
"2013-10-31",43.13,43.28,42.42,42.89,1278699
"2013-11-07",43.04,43.18,42.29,42.4,1141045
"2013-11-14",42.33,43.03,42.33,42.76,1372313
"2013-11-21",42.13,42.42,41.94,42.18,1279046
"2013-12-05",41.05,41.21,40.79,40.91,1691217
"2013-12-12",40.86,41.53,40.86,41.37,3132468
"2013-12-19",41.82,41.92,41.26,41.88,1665768
"2013-12-26",42.27,42.37,42.08,42.24,938824
"2014-01-02",42.35,42.42,41.7,41.72,2915302
"2014-01-09",41.75,41.98,41.44,41.92,2354143
"2014-01-16",42.06,42.24,41.89,42.23,1056881
"2014-01-23",43.22,43.37,43,43.13,1383640
"2014-01-30",42.96,43.57,42.88,43.49,1428105
"2014-02-06",43.1,43.1,42.52,42.87,2846006
"2014-02-13",44.19,44.77,44.18,44.69,1949329
"2014-02-20",44.47,44.8,44.34,44.67,1576038
"2014-02-27",43.9,44.19,43.82,44.03,2020302
"2014-03-06",43.83,43.89,43.4,43.5,1601167
"2014-03-13",44.06,44.77,44.01,44.61,1618308
"2014-03-20",44.24,44.24,43.7,44.05,1935112
"2014-03-27",44.63,44.98,44.46,44.95,1712715
"2014-04-03",45.01,45.22,44.84,44.97,1036577
"2014-04-10",45.76,45.91,45.23,45.39,1234546
"2014-04-17",46.42,46.64,45.79,45.93,1435407
"2014-04-24",46.08,46.47,45.79,46.44,1460912
"2014-05-01",47.51,47.51,46.79,47.16,1278933
"2014-05-08",46.99,47.17,46.36,46.47,1251585
"2014-05-15",45.68,45.89,45.38,45.47,998946
"2014-05-22",45.23,45.64,45.15,45.49,878117
"2014-05-29",45.19,45.29,44.77,45.03,1739169
"2014-06-05",45.14,45.7,45.14,45.6,787619
"2014-06-12",44.68,45.14,44.28,45.07,1395434
"2014-06-19",46.9,47.31,46.71,46.79,2934361
"2014-06-26",46.69,46.79,46.42,46.77,856660
"2014-07-03",45.9,45.96,45.32,45.68,934299
"2014-07-10",45.72,46.3,45.67,46.04,1407395
"2014-07-17",45.38,45.56,45.05,45.05,730223
"2014-07-24",45.38,45.55,45.18,45.49,657778
"2014-07-31",44.67,44.85,43.78,43.9,1759775
"2014-08-07",42.18,42.7,42.18,42.46,1552269
"2014-08-14",43.5,44.05,43.5,44.03,1171607
"2014-08-21",45.09,45.4,44.94,45.18,1208713
"2014-08-28",45.2,45.67,45.06,45.58,2300418
"2014-09-04",45.66,45.89,45.42,45.86,1220884
"2014-09-11",45.15,45.46,44.95,45.38,1755035
"2014-09-18",45.64,45.8,45.22,45.26,2031268
"2014-09-25",44.52,44.75,44.26,44.27,921914
"2014-10-02",44.84,45.3,44.79,45.05,2604124
"2014-10-09",46.76,47.1,46.07,46.1,2314034
"2014-10-16",47.08,47.27,46.33,46.94,2998118
"2014-10-23",48.25,48.67,47.96,48.41,1702402
"2014-10-30",48.47,49.98,48.34,49.35,1772437
"2014-11-06",50.55,50.56,49.32,49.5,3521935
"2014-11-13",49.6,49.8,49.11,49.27,1371286
"2014-11-20",49.88,50.13,49.69,49.96,1306276
"2014-12-04",51.29,51.72,51.13,51.56,1766222
"2014-12-11",51.33,52.02,51.28,51.68,1443029
"2014-12-18",52.13,52.89,51.76,52.87,2076344
"2015-01-08",53.96,54.46,53.84,54.16,2118751
"2015-01-15",54.31,55.15,54,55.09,2112759
"2015-01-22",56.04,56.09,55.11,55.56,1298411
"2015-01-29",55.58,56.52,55.28,56.4,1059968
"2015-02-05",55.9,56.4,55.48,56.28,1231717
"2015-02-12",53.4,53.97,52.15,52.3,3487984
"2015-02-19",53.23,53.63,52.06,52.5,1119730
"2015-02-26",52.52,52.55,51.65,51.84,1204365
"2015-03-05",50.2,50.76,49.95,50.55,867795
"2015-03-12",48.98,50.18,48.92,49.67,1187725
"2015-03-19",50.71,51.5,50.37,50.73,1261463
"2015-03-26",50.14,50.59,49.54,49.91,930197
"2015-04-02",50.69,51.09,50.59,50.64,978506
"2015-04-09",50.39,50.43,49.76,49.96,708138
"2015-04-16",50.14,50.41,49.46,50.35,1848020
"2015-04-23",49.56,49.85,49.37,49.62,1611343
"2015-04-30",49.41,49.9,48.4,48.76,2363800
"2015-05-07",47.98,48.34,47.85,47.92,1823641
"2015-05-14",48.25,48.74,47.98,48.54,1831260
"2015-05-21",49.4,49.6,49.1,49.43,977323
"2015-05-28",48.68,49.34,48.55,49.25,1242510
"2015-06-04",47.4,47.87,47.32,47.44,734948
"2015-06-11",46.53,46.86,46.37,46.66,989055
"2015-06-18",46.93,47.71,46.84,47.29,1518946
"2015-06-25",45.69,45.86,45.44,45.51,1654887
"2015-07-02",45.97,46.56,45.79,46.51,1839746
"2015-07-09",47.25,47.35,46.24,46.73,2986068
"2015-07-16",47.68,48.4,47.58,48.3,1080411
"2015-07-23",47.82,47.82,46.96,47.35,2689144
"2015-07-30",48.13,48.87,48.03,48.77,1360823
"2015-08-06",49.28,49.62,48.98,49.53,1556727
"2015-08-13",50.61,51.03,50.2,50.79,1413799
"2015-08-20",51.44,52.15,51.3,51.62,1367255
"2015-08-27",48.37,48.62,47.87,48.59,1259696
"2015-09-03",46.36,46.61,46.17,46.46,2074094
"2015-09-10",45.3,45.91,45.3,45.5,1706987
"2015-09-17",46.81,48.33,46.57,47.66,2971348
"2015-09-24",47.59,48.24,47.46,48.17,2273376
"2015-10-01",50.71,50.71,49.26,49.92,1934803
"2015-10-08",50.32,51.11,50.17,51.07,1034306
"2015-10-15",51.34,51.93,51.04,51.83,1258634
"2015-10-22",52.16,52.85,52.03,52.7,1079953
"2015-10-29",50.61,50.86,49.83,50.76,1241426
"2015-11-05",51.51,51.82,51.36,51.5,1047247
"2015-11-12",50.66,51.38,50.16,50.23,1535992
"2015-11-19",50.77,51.29,50.49,51.04,1611463
"2015-12-03",49.53,49.72,49.14,49.32,2017146
"2015-12-10",50.32,50.35,48.74,48.86,2467977
"2015-12-17",51.11,51.92,51.11,51.72,1806537
"2015-12-24",51.61,51.92,51.46,51.74,672575
"2015-12-31",51.89,51.9,50.54,51.07,2081208
"2016-01-07",50.8,51.29,50.76,51.14,2141731
"2016-01-14",51.28,52.22,50.57,51.86,4149320
"2016-01-21",51.27,51.47,50.21,50.58,2350223
"2016-01-28",52.19,53.52,51.76,53.09,1850516
"2016-02-04",55.63,55.91,54.84,54.93,3341536
"2016-02-11",54.79,55.13,53.79,53.9,2140191
"2016-02-18",53.65,54.74,53.53,54.46,1803898
"2016-02-25",56.45,56.92,56.25,56.66,1060054
"2016-03-03",54.44,54.66,53.59,54.63,1185202
"2016-03-10",56.92,57.25,56.07,56.5,2157866
"2016-03-17",57.54,58.09,57.32,57.84,2626726
"2016-03-24",57.74,58.29,57.65,57.83,1284269
"2016-03-31",58.06,58.51,58.03,58.34,2432010
"2016-04-07",56.76,57.33,56.54,56.8,1798922
"2016-04-14",55.98,56.22,55.84,56.1,1695003
"2016-04-21",55.41,55.61,54.51,55.02,2803160
"2016-04-28",55.42,56.33,55.3,56.06,1486271
"2016-05-05",55.64,58.26,55.64,57.4,2212142
"2016-05-12",57.3,58.07,57.17,57.63,2605711
"2016-05-19",54.51,55.32,54.28,55.29,1893692
"2016-05-26",53.9,54.83,53.9,54.8,2812111
"2016-06-02",55.5,55.55,54.86,55.35,1827756
"2016-06-09",56.35,56.97,56.27,56.88,1240882
"2016-06-16",56.51,57.02,56.37,56.78,1203100
"2016-06-23",56.72,56.81,56.14,56.42,1770659
"2016-06-30",58.66,59.95,58.55,59.9,2567102
"2016-07-07",60.18,60.23,59.08,59.35,1856421
"2016-07-14",57.92,58.07,57.53,57.75,2113583
"2016-07-21",57.84,58.12,57.51,58.01,1731282
"2016-07-28",57.58,58.26,57.58,57.97,1337804
"2016-08-04",57.6,57.99,57.44,57.62,1357157
"2016-08-11",56.98,57.17,56.77,57.15,986407
"2016-08-18",55.6,56.58,55.6,56.53,2493352
"2016-08-25",55.31,55.62,55.21,55.27,1138281
"2016-09-01",53.96,54,53.49,53.59,1134068
"2016-09-08",54.73,55.12,54.63,55.01,1009668
"2016-09-15",53.24,53.86,53.04,53.77,1273242
