"","AET.Open","AET.High","AET.Low","AET.Close","AET.Volume"
"2011-09-15",40.71,41.43,39.98,41.28,5046913
"2011-09-22",37.6,38.44,37.3,37.9,6420214
"2011-09-29",38.22,38.35,36.33,37.22,6659918
"2011-10-06",35.2,35.55,34.95,35.5,5708585
"2011-10-13",37.34,37.52,36.65,37.01,3914933
"2011-10-20",37,37.43,36.4,37.34,3527279
"2011-10-27",40.27,41.07,39.39,40.35,5619239
"2011-11-03",40.06,40.11,39.18,39.6,4363079
"2011-11-10",39.89,40.33,39.4,40.23,2986525
"2011-11-17",39.62,39.92,39.21,39.46,4027282
"2011-12-01",41.75,42.17,41.54,41.68,2898699
"2011-12-08",41.5,41.56,40.12,40.25,2973342
"2011-12-15",40.47,40.62,39.34,40.05,5326079
"2011-12-22",42.1,42.5,42.1,42.43,2963281
"2011-12-29",42.76,43.42,42.75,43.02,1708209
"2012-01-05",43,43.82,42.82,43.63,3063803
"2012-01-12",44.23,44.28,43.44,43.93,2412586
"2012-01-19",44.06,44.48,43.68,44.13,4371351
"2012-01-26",42.85,42.85,41.95,42.61,4022520
"2012-02-02",45.34,45.61,44.6,44.79,3304221
"2012-02-09",45.14,45.93,45.14,45.8,4271025
"2012-02-16",47.17,47.34,46.95,47.17,2951808
"2012-02-23",47.18,47.42,46.64,46.69,2981242
"2012-03-01",46.75,47.24,46.35,47.22,2596124
"2012-03-08",46.1,46.59,45.97,46.31,2316874
"2012-03-15",45.87,46.06,45.78,45.96,3211046
"2012-03-22",46.24,46.61,46.16,46.5,3429250
"2012-03-29",46.26,49.9,46.23,49.56,12687047
"2012-04-05",49.38,49.65,49.16,49.62,2015957
"2012-04-12",47.85,48.34,47.65,48.19,2115497
"2012-04-19",48.05,49.64,47.79,49.07,4452478
"2012-04-26",44.39,45.7,43.34,45.31,17611765
"2012-05-03",44.82,44.82,43.14,44.01,6631093
"2012-05-10",42.32,42.46,41.8,41.84,3360581
"2012-05-17",40.15,40.53,39.62,39.62,6217745
"2012-05-24",40.74,42.17,40.45,41.13,5878516
"2012-05-31",41.27,41.56,40.5,40.89,4951613
"2012-06-07",42.37,42.64,41.95,42,5026898
"2012-06-14",41.89,41.89,41.31,41.5,6159529
"2012-06-21",41.13,41.32,40.62,40.76,5036062
"2012-06-28",40.73,41.84,38.85,39.85,16653008
"2012-07-05",38.13,38.42,37.6,37.86,3698100
"2012-07-12",37.55,37.79,37.34,37.55,3166026
"2012-07-19",39.83,40.22,38.04,38.16,5057271
"2012-07-26",35.8,36,34.98,35.3,4729066
"2012-08-02",36.2,36.57,35.78,36.33,4691803
"2012-08-09",37.45,37.73,37.2,37.53,2864124
"2012-08-16",37.56,38.17,37.42,38.17,2902286
"2012-08-23",39.55,39.72,39.25,39.3,3199762
"2012-08-30",38.86,39.06,38.73,38.8,3197112
"2012-09-06",38.26,38.66,38.24,38.37,3364988
"2012-09-13",37.27,38.3,37.1,38.17,6864978
"2012-09-20",39.43,39.52,38.89,39.41,2700695
