"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume"
"2016-08-31",94.69,94.9,94.16,94.46,7375228
"2016-09-01",94.73,94.87,93.91,94.26,6274204
"2016-09-02",94.75,94.96,94.13,94.42,5382016
"2016-09-06",94.53,94.53,93.35,93.8,8463523
"2016-09-07",93.98,94.03,93.33,93.71,6281494
"2016-09-08",93.49,94.21,92.92,94.09,7438081
"2016-09-09",93.51,93.74,92.39,92.42,10248373
"2016-09-12",91.96,93.86,91.95,93.64,9367303
"2016-09-13",93.04,93.3,92.45,92.7,7795172
"2016-09-14",92.59,92.89,92.07,92.26,6386478
"2016-09-15",92.12,92.75,91.19,92.5,7568163
