"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume"
"2011-09-15",65.88,66.47,65.08,65.73,3801429
"2011-09-22",55.44,55.93,53.06,54.41,10580700
"2011-09-29",55.27,55.53,51.46,52.78,7102348
"2011-10-06",55.42,59.59,55.29,59.47,11124595
"2011-10-13",62.52,63.33,61.21,62.96,4855430
"2011-10-20",64.44,65.78,63.31,65.13,4710425
"2011-10-27",72.26,76.05,72.24,74.72,7605580
"2011-11-03",70.98,73.03,69.77,72.76,4453615
"2011-11-10",68.8,69.21,66.76,68.8,5320807
"2011-11-17",70.4,70.56,67.06,67.87,5786672
"2011-12-01",71.35,72.68,70.92,71.43,3503952
"2011-12-08",72.36,73.42,70.67,71.03,4495528
"2011-12-15",67.22,67.33,63.87,64.23,4911315
"2011-12-22",67.56,68.63,66.86,68.29,3320579
"2011-12-29",67.09,68.24,66.99,67.87,2153925
"2012-01-05",70.39,70.87,69.3,70.75,3220538
"2012-01-12",74.03,74.45,73.01,73.3,3612996
"2012-01-19",74.98,75.98,74.44,75.8,3359677
"2012-01-26",77.83,78.45,75.66,75.99,3694343
"2012-02-02",73.44,77.62,73.42,77.08,5674863
"2012-02-09",82.07,83.35,81.58,82.46,3780025
"2012-02-16",82.85,84.64,82.32,84.55,4935388
"2012-02-23",86.9,87.18,85.25,86.23,3225051
"2012-03-01",82.97,84.39,82.51,84.09,2567560
"2012-03-08",80.94,82.02,80.47,81.5,3555119
"2012-03-15",80.52,80.85,79.12,80.23,2347819
"2012-03-22",79.27,80.06,78.3,78.94,4093461
"2012-03-29",77.88,79.09,77.22,78.66,2819106
"2012-04-05",78.91,81.39,78.73,79.72,2853621
"2012-04-12",77.28,80.75,77.27,80.46,4505825
"2012-04-19",79.06,79.77,77.65,78.14,3035941
"2012-04-26",76.21,77.57,75.87,76.74,3418768
"2012-05-03",74.27,74.34,72.36,72.74,4164825
"2012-05-10",69.01,69.51,67.96,68.39,5856584
"2012-05-17",63.83,65.2,63.44,63.65,5285466
"2012-05-24",68.59,68.59,66.86,67.85,3812470
"2012-05-31",67.51,67.57,64.74,66.75,6639902
"2012-06-07",69.43,70.63,67.25,67.42,4847813
"2012-06-14",66.33,67.95,65.79,66.81,3574617
"2012-06-21",66.81,67.81,64.19,64.28,5295875
"2012-06-28",61.57,62.66,61.16,62.14,3963041
"2012-07-05",67.19,67.79,66.58,66.91,3714528
"2012-07-12",66.17,67.41,65.06,66.84,4226029
"2012-07-19",69.32,70.72,69.17,70.47,3373824
"2012-07-26",68.89,73.5,68.89,73.31,6795217
"2012-08-02",72.63,73.64,71.58,72.74,3201254
"2012-08-09",76.3,77.5,76.05,76.98,2920516
"2012-08-16",76.74,78.34,76.61,78.21,3701792
"2012-08-23",78.01,78.41,77.03,77.32,1706947
"2012-08-30",76.75,76.75,75.43,76.2,2711306
"2012-09-06",79.24,80.17,79.06,79.66,3651907
"2012-09-13",83.41,84.9,82.25,84.39,3203664
"2012-09-20",80.7,81.28,79.92,80.6,4193939
"2012-09-27",79.03,80.4,78.81,80.14,2533214
"2012-10-04",80.11,80.55,79.49,80.34,1946971
"2012-10-11",79.2,79.5,78.46,78.97,2169487
"2012-10-18",80.27,82.34,80.18,82.03,3168954
"2012-10-25",75.95,76,73.3,74.88,9663169
"2012-11-01",73.31,74.07,72.66,73.11,5238132
"2012-11-08",71.18,71.53,69.47,69.48,2880788
"2012-11-15",69.84,71.02,69.57,70.44,3125804
"2012-11-29",70.83,70.92,69.96,70.35,2936238
"2012-12-06",68.47,69,67.76,68.06,3705569
"2012-12-13",66.64,66.72,65.02,65.58,12284686
"2012-12-20",68.73,69.62,68.58,69.54,3570626
"2012-12-27",67,67.13,65.5,66.97,3082340
"2013-01-03",69.89,71.02,69.19,69.67,3889262
"2013-01-10",70.35,70.58,70.05,70.41,2357038
"2013-01-17",70.98,71.85,70.51,71.73,3053779
"2013-01-24",73.76,74.36,73.16,73.76,2480903
"2013-01-31",73.35,74.5,73.22,74.14,4340186
"2013-02-07",66.93,68.5,66.8,68.1,9674876
"2013-02-14",68.44,71.12,68.16,70.29,5080215
"2013-02-21",67.49,67.49,66.13,66.78,4229320
"2013-02-28",68.6,69.03,68.13,68.13,2938648
"2013-03-07",67.75,68.02,67.4,67.76,2724724
"2013-03-14",67.7,68.9,67.62,68.79,3823541
"2013-03-21",68.44,69,67.8,67.81,3689552
"2013-03-28",70.82,71.3,70.45,70.75,3293968
"2013-04-04",67.84,68.05,66.26,66.83,4537383
"2013-04-11",69.55,70.68,69,70.14,3817379
"2013-04-18",64.47,65.23,63.08,64.61,4421013
"2013-04-25",67.22,68.05,66.89,67.21,3067776
"2013-05-02",65.14,66.23,63.25,65.61,2827810
"2013-05-09",68.28,68.72,67.69,68.3,3195780
"2013-05-16",68,68.19,66.54,66.7,5555861
"2013-05-23",68.18,69.09,67.34,68.9,5488977
"2013-05-30",71.25,71.53,70.9,71.01,3858587
"2013-06-06",69.13,70.02,68.56,70.02,2624363
"2013-06-13",69.21,70.18,69.13,70.1,2313485
"2013-06-20",70.04,70.06,68.4,68.55,5258494
"2013-06-27",68.75,68.98,68.22,68.46,2177813
"2013-07-11",73.77,73.86,72.63,73.33,2662054
"2013-07-18",72.12,73.3,72.12,72.93,2335147
"2013-07-25",72.18,72.3,71.03,71.91,2893982
"2013-08-01",70.89,71.7,70.54,71.2,4162342
"2013-08-08",72.67,73.28,72.48,72.78,2630901
"2013-08-15",73.35,74.07,73.05,73.62,2576861
"2013-08-22",71,72.24,70.98,72,2164371
"2013-08-29",74.3,74.64,73.88,74.33,2740144
"2013-09-05",76.31,77.69,76.19,77.52,3842977
"2013-09-12",78.35,78.52,77.54,77.95,2531506
"2013-09-19",79.52,79.99,79.34,79.83,2050549
"2013-09-26",79.3,79.43,78.85,79.12,2225597
"2013-10-03",79.2,79.46,78.31,78.82,1995017
"2013-10-10",78.49,79.26,78.36,79.26,2201526
"2013-10-17",81,81.38,80.62,80.99,1980387
"2013-10-24",78.48,79.37,78.25,79.13,4890191
"2013-10-31",81.67,82.1,80.86,81.18,2821234
"2013-11-07",81.75,81.78,80.11,80.41,2827200
"2013-11-14",82.4,83.6,81.57,83.56,3130600
"2013-11-21",83.82,84.18,83.18,83.86,2815379
"2013-12-05",81.55,81.86,81.12,81.61,1962797
"2013-12-12",78.46,79.13,78.1,78.54,3501959
"2013-12-19",77.75,77.95,77.17,77.78,2461406
"2013-12-26",78.85,78.99,78.62,78.77,1533623
"2014-01-02",79.4,80.26,78.73,79.02,2505462
"2014-01-09",78.27,78.27,77.01,77.77,3380948
"2014-01-16",77.33,77.46,76.83,77.16,1865763
"2014-01-23",77.15,77.15,75.81,76.12,7956303
"2014-01-30",73.24,74.09,73.11,73.65,4831447
"2014-02-06",73.64,74.5,73.34,74.06,4148795
"2014-02-13",75.64,76.13,75.33,75.94,5197902
"2014-02-20",76.46,76.67,75.91,76.38,3727322
"2014-02-27",74.5,75.01,74.27,74.7,5339488
"2014-03-06",77.45,78.35,77.28,78.23,1867319
"2014-03-13",77.26,77.32,74.53,75.18,7832452
"2014-03-20",73.87,74.3,73.31,73.72,4902362
"2014-03-27",74.75,76.21,74.69,76.03,4400490
"2014-04-03",78.45,78.91,78.05,78.16,2853989
"2014-04-10",78.75,79.48,78.17,78.61,3170694
"2014-04-17",81.53,82.75,81.15,82.37,4636714
"2014-04-24",83,83,82.04,82.88,5272130
"2014-05-01",78.62,79.25,78.25,78.8,3715970
"2014-05-08",80.54,80.92,80.23,80.31,2555262
"2014-05-15",80.77,81.01,79.9,80.44,4705117
"2014-05-22",82.39,82.74,81.88,82.4,2081316
"2014-05-29",82.24,82.3,81.59,82.08,3456310
"2014-06-05",76.71,76.78,76,76.25,2816183
"2014-06-12",76.71,77.42,76.58,77.06,3664087
"2014-06-19",78.08,78.48,77.36,78.27,2838956
"2014-06-26",80.8,81.19,80.42,80.95,2687354
"2014-07-03",82.48,83.04,82.18,83.02,1430770
"2014-07-10",83.56,83.77,82.76,83.36,3699075
"2014-07-17",85.2,85.75,84.4,84.6,2714518
"2014-07-24",86.13,86.41,85.07,85.45,3306871
"2014-07-31",81.3,81.93,80.9,81.04,4249436
"2014-08-07",82.18,82.72,81.3,81.64,2496199
"2014-08-14",82.29,82.7,80.55,80.77,2745263
"2014-08-21",84,84.64,83.3,84.41,2547876
"2014-08-28",85.17,85.73,84.69,85.42,1847817
"2014-09-04",85.16,85.25,83.19,83.63,3715445
"2014-09-11",80.96,82.53,80.8,82.49,3132239
"2014-09-18",81.12,81.35,80.27,80.59,2435746
"2014-09-25",78.85,78.92,77.3,77.93,3544978
"2014-10-02",74.72,75.21,72.89,74.19,6760338
"2014-10-09",73.49,73.69,71.02,71.34,5254153
"2014-10-16",68.26,71.63,67.94,71.21,5472319
"2014-10-23",72.63,74.43,71.99,73.65,4212173
"2014-10-30",70.85,72.73,69.75,70.76,6963725
"2014-11-06",70.75,72.92,70.5,72.87,5430927
"2014-11-13",72.75,72.78,70.26,71.52,5734548
"2014-11-20",71.62,72.59,71.43,72.36,3239604
"2014-12-04",66.79,67.92,65.32,67.35,6546705
"2014-12-11",62.98,64.62,62.69,63.01,4628278
"2014-12-18",65.69,65.88,63.77,65.27,4923044
"2015-01-08",62.28,63.66,61.96,63.63,6686541
"2015-01-15",58.75,58.97,56.73,56.79,5229003
"2015-01-22",59.46,59.82,58.14,58.82,4658665
"2015-01-29",54.15,54.16,52.14,53.26,9604212
"2015-02-05",53.12,53.58,52.36,53.24,6543189
"2015-02-12",52.78,53.63,52.23,52.56,6955962
"2015-02-19",53.48,55.05,52.88,54.24,10179365
"2015-02-26",54.3,54.5,52.8,53.27,5113427
"2015-03-05",54.55,54.55,53.53,53.6,5107024
"2015-03-12",50.25,50.32,49.78,49.8,5869831
"2015-03-19",47.9,48.45,47.78,47.89,6670400
"2015-03-26",49.69,49.81,48.73,48.95,4492238
"2015-04-02",49.62,51.14,49.6,51.01,5401622
"2015-04-09",52.99,54.72,52.99,54.55,4766880
"2015-04-16",55.59,56.43,54.61,55.3,4736701
"2015-04-23",54.08,56.06,53.89,55.75,6486680
"2015-04-30",53.23,54.77,52.49,54.41,7405918
"2015-05-07",53.59,53.59,51.67,51.97,6945008
"2015-05-14",51.81,52.47,50.93,51.22,4268770
"2015-05-21",50.44,51.95,50.18,51.4,5045327
"2015-05-28",50.02,50.11,49.08,49.89,3867170
"2015-06-04",49.3,49.43,48.59,48.63,3360857
"2015-06-11",49.12,49.24,48.26,48.59,2969011
"2015-06-18",49.02,49.53,48.58,49.09,5198432
"2015-06-25",49.13,49.4,48.88,48.97,3739330
"2015-07-02",47.12,47.83,47,47.42,4381544
"2015-07-09",44.75,44.99,44.43,44.58,7018989
"2015-07-16",44.07,44.26,43.38,43.49,4037997
"2015-07-23",42.38,43.1,41.63,42.92,5098381
"2015-07-30",43.87,44.12,43.06,43.39,3636468
"2015-08-06",40.25,40.94,39.85,40.6,10737740
"2015-08-13",40.53,40.67,39.54,39.83,7387491
"2015-08-20",39,39.52,38.41,38.42,6585373
"2015-08-27",39.96,41.43,39.96,41.36,8485542
"2015-09-03",40.94,41.76,40.5,40.97,5298767
"2015-09-10",38.92,39.98,38.24,39.25,6560020
"2015-09-17",39.89,40.27,39.29,39.57,4634974
"2015-09-24",36.76,37.34,36.32,36.92,6044313
"2015-10-01",38.3,38.72,35.98,36.05,8534938
"2015-10-08",40.39,40.98,39.55,40.77,6764253
"2015-10-15",39.26,39.99,38.77,39.66,6023093
"2015-10-22",39.83,40.03,38.88,38.98,6946035
"2015-10-29",36.5,36.67,35.85,36.44,6508872
"2015-11-05",39.5,40.13,39.11,39.5,4053734
"2015-11-12",36.95,38.31,36.58,37.45,4203381
"2015-11-19",37.98,38.45,37.46,37.6,2426436
"2015-12-03",37.23,37.72,36.86,37.05,7340419
"2015-12-10",33.63,34.4,33.51,33.8,4494801
"2015-12-17",34.23,34.42,33.29,33.67,5322043
"2015-12-24",35.34,35.39,34.77,34.8,2311725
"2015-12-31",33.55,33.93,33.18,33.49,4007084
"2016-01-07",30.68,31.48,30.26,30.74,7140387
"2016-01-14",29.35,30.67,28.51,30.51,8101919
"2016-01-21",29.54,31.2,29.36,30.67,5518511
"2016-01-28",32.04,32.63,30.85,31.06,8690804
"2016-02-04",28.04,28.84,27.75,28.58,13817247
"2016-02-11",26.17,26.7,25.74,26.34,8418806
"2016-02-18",29.42,29.49,28.67,29.35,5117122
"2016-02-25",28.35,28.42,27.06,27.66,5656339
"2016-03-03",30.62,31.99,30.47,31.76,10046120
"2016-03-10",31.2,31.58,30.66,31.5,4548958
"2016-03-17",33.42,34.53,33.08,33.99,7248450
"2016-03-24",30.62,31.15,30.01,31.15,4877791
"2016-03-31",31.07,31.55,30.99,31.1,5424224
