"","FRT.Open","FRT.High","FRT.Low","FRT.Close","FRT.Volume"
"2012-11-08",105.44,105.44,104.2,104.2,405103
"2012-11-15",100.93,101.9,99.58,99.82,408578
"2012-11-29",103.03,103.54,101.74,102.49,533583
"2012-12-06",103.74,104.91,103.21,104.41,441073
"2012-12-13",103.75,104.22,103.46,104.05,416669
"2012-12-20",104.36,105.32,104.12,105.08,329485
"2012-12-27",104.44,105.2,104.04,105.01,209463
"2013-01-03",106.15,106.15,104.22,104.5,380020
"2013-01-10",105.59,105.59,104.81,105.41,304208
"2013-01-17",105.47,105.94,104.76,104.83,287470
"2013-01-24",105.64,106.27,105.4,105.54,330162
"2013-01-31",106.36,106.43,105.81,105.85,595391
"2013-02-07",107.2,107.32,106.5,106.99,471214
"2013-02-14",108.95,109.37,108.37,108.53,196347
"2013-02-21",108.55,108.74,107.33,107.42,339470
"2013-02-28",107.05,107.17,106.21,106.21,640785
"2013-03-07",107.84,108.45,106.84,107.15,695335
"2013-03-14",105,105.26,104.86,104.97,442892
"2013-03-21",105.42,106.32,105.42,105.65,271120
"2013-03-28",106.95,108.09,106.86,108.04,410704
"2013-04-04",108.56,109.84,108.5,109.73,258764
"2013-04-11",112.61,113.65,112.44,112.94,248570
"2013-04-18",110.99,111.48,110.15,111,234308
"2013-04-25",114.07,115.35,112.96,114.57,274514
"2013-05-02",115.94,117.34,115.4,116.66,434593
"2013-05-09",116.94,116.94,115.83,116.01,242299
"2013-05-16",118.06,118.21,116.21,116.54,229291
"2013-05-23",112.35,112.81,111.19,111.6,554375
"2013-05-30",110.46,111.08,109.08,109.12,409944
"2013-06-06",105.88,107.62,105.06,107.59,500465
"2013-06-13",103.18,105.8,103.18,105.46,557252
"2013-06-20",99.51,99.75,95.81,96.21,472145
"2013-06-27",100.46,103.38,100.39,103.11,482882
"2013-07-11",104.3,105.29,104.11,104.81,389820
"2013-07-18",105.21,106.03,105.07,105.82,317337
"2013-07-25",104.2,105.54,104.03,105.51,342854
"2013-08-01",106.1,107.29,105.25,106,735370
"2013-08-08",104,104.14,102.96,103.72,442932
"2013-08-15",102.12,102.43,100.61,102.36,420412
"2013-08-22",99.67,99.75,98.46,99.48,199051
"2013-08-29",97.73,99.01,97.65,99.01,199765
"2013-09-05",97.86,98.77,97.07,97.19,297215
"2013-09-12",100.25,100.73,99.39,99.82,308137
"2013-09-19",104.72,105.55,104,104.4,453604
"2013-09-26",101.58,102.6,101.24,102.44,289329
"2013-10-03",102.99,103.24,101.76,102.54,565520
"2013-10-10",101.67,103.98,101.67,103.96,318169
"2013-10-17",105.35,107.08,105.22,106.89,456160
"2013-10-24",106.2,106.72,105.7,106.47,189019
"2013-10-31",104.78,105.2,103.46,103.6,698355
"2013-11-07",107.02,107.71,105.08,105.4,580038
"2013-11-14",105.97,107.99,105.89,107.37,389938
"2013-11-21",105.64,106.04,104.78,105.98,374455
"2013-12-05",103.01,103.87,102.24,103.8,387050
"2013-12-12",101.17,102.06,100.27,100.42,420165
"2013-12-19",102.35,102.35,100.19,100.84,473646
"2013-12-26",102.53,103.12,101.25,101.96,277375
"2014-01-02",101.38,101.84,100.37,100.9,501833
"2014-01-09",103.64,103.67,102.2,103.32,276418
"2014-01-16",104.77,105.42,104.39,104.5,525317
"2014-01-23",106.11,107.74,106.05,107.71,642691
"2014-01-30",108.56,109.61,108.15,108.38,534132
"2014-02-06",110.46,111.8,110.12,111.7,678133
"2014-02-13",110.44,111.46,110.2,110.76,606550
"2014-02-20",111.39,112.22,109.92,110.48,423978
"2014-02-27",111.28,112,110.43,110.94,237646
"2014-03-06",111.21,111.78,110.03,110.69,529004
"2014-03-13",111.4,112.08,110.4,111.03,360923
"2014-03-20",109.41,111.06,108.92,111,452919
"2014-03-27",112.21,113.6,111.83,113.28,278306
"2014-04-03",114.54,114.68,113.57,113.83,737614
"2014-04-10",113.63,114.3,112.51,112.58,431841
"2014-04-17",115.39,115.53,114.38,115.28,1102345
"2014-04-24",115.66,116.63,115.32,116.6,242585
"2014-05-01",117.88,118.5,116.25,118.34,373486
"2014-05-08",119.76,120.62,119.45,119.66,301848
"2014-05-15",118.21,118.64,117.4,118.36,414757
"2014-05-22",118.75,119.36,118.48,118.98,355488
"2014-05-29",119.26,119.5,118.61,119,375810
"2014-06-05",121.5,123.2,121.21,123.11,369609
"2014-06-12",118.98,119.46,118.19,119.13,231118
"2014-06-19",119.03,120.34,118.06,120.3,287204
"2014-06-26",120.55,120.64,119.27,119.62,266288
"2014-07-03",121.65,121.8,120.87,121.38,282472
"2014-07-10",122.58,123.75,122.51,123.01,279651
"2014-07-17",122.95,123.22,122.37,122.72,379010
"2014-07-24",124.58,124.96,123.78,124.4,253019
"2014-07-31",122.01,123.22,122.01,122.1,566073
"2014-08-07",121.13,121.86,120.95,121.42,249102
"2014-08-14",124.3,124.79,123.25,123.79,249290
"2014-08-21",125.99,126.4,125.3,125.54,224057
"2014-08-28",124.08,124.65,123.97,124.25,130875
"2014-09-04",125.02,126.06,124.75,125.19,350691
"2014-09-11",123.18,124.05,123,123.67,208044
"2014-09-18",120.52,120.7,119.08,119.1,239124
"2014-09-25",117.47,117.93,116.5,117.12,286403
"2014-10-02",118.88,119.29,117.57,118.57,344483
"2014-10-09",120.93,122.48,120.93,121.43,364689
"2014-10-16",121.55,122.52,120.16,122.17,505667
"2014-10-23",127.11,127.8,126.5,127.7,381651
"2014-10-30",130.21,131.09,129.43,131.09,293551
"2014-11-06",135.2,135.84,133.98,134.17,369684
"2014-11-13",131.91,132.92,131.5,132.18,429444
"2014-11-20",130.94,130.94,129.57,130.34,354340
"2014-12-04",132.31,133.08,131.91,132.81,358899
"2014-12-11",133.28,133.3,132.15,132.47,263697
"2014-12-18",133.31,135.25,133.08,135.21,414892
"2015-01-08",142.3,142.94,141.1,141.68,419301
"2015-01-15",143.12,143.91,142.43,142.98,243735
"2015-01-22",143.58,146,143.32,145.68,309365
"2015-01-29",146.74,147.61,145.6,147.4,238147
"2015-02-05",145.81,147.14,144.79,147.04,198787
"2015-02-12",142.76,144.57,141.75,144.54,301988
"2015-02-19",144.22,144.5,141.9,142.23,340819
"2015-02-26",142.7,143.07,140.51,140.57,242466
"2015-03-05",141.88,143.12,140.63,141.85,264378
"2015-03-12",139.93,141.97,139.86,141.12,323121
"2015-03-19",146.02,148,145.78,146.4,407062
"2015-03-26",145.6,145.98,144.33,144.93,344268
"2015-04-02",146.17,149.03,146.17,148.45,279303
"2015-04-09",146.41,146.41,142.56,142.84,384852
"2015-04-16",139.01,140.28,138.38,139.25,355725
"2015-04-23",140.04,140.99,139.74,140.27,228571
"2015-04-30",136.31,136.87,132.65,133.67,661692
"2015-05-07",132.09,134.4,131.57,134,319434
"2015-05-14",131.24,134.87,131.24,134.81,358067
"2015-05-21",135.88,136.19,134.3,135.02,230577
"2015-05-28",135.13,136.26,134.66,135.66,340057
"2015-06-04",131.79,132.37,131.06,131.43,343445
"2015-06-11",130.71,131.94,130.63,131.4,849639
"2015-06-18",133.66,135.86,133.19,135.26,371386
"2015-06-25",130.68,132.52,129.17,129.4,267922
"2015-07-02",132.04,133.22,130.67,130.99,254118
"2015-07-09",134.94,135.26,132.99,133.37,241011
"2015-07-16",134.89,137,134.89,136.55,235148
"2015-07-23",135.59,135.9,133.22,133.84,334017
"2015-07-30",135.59,136.68,135.48,136.56,276998
"2015-08-06",136.99,138.36,134.13,135.76,495398
"2015-08-13",135.72,137.19,133.82,136.56,208672
"2015-08-20",136.69,137.3,135.24,135.81,358295
"2015-08-27",131.42,134.7,130.85,133.21,639774
"2015-09-03",128.63,129.45,127.9,128.31,290529
"2015-09-10",125.43,128.19,125.43,126.73,365505
"2015-09-17",133.59,136.92,132.8,134.62,362247
"2015-09-24",134.29,135.86,132.39,133.61,573405
"2015-10-01",136.79,137.21,133.98,135.6,684701
"2015-10-08",141.49,143.42,140.37,142.81,458438
"2015-10-15",139.7,142.1,139.35,141.55,365215
"2015-10-22",143.53,144.77,143.1,144.35,468039
"2015-10-29",143.12,143.96,142.39,143.58,216028
"2015-11-05",140.89,148.97,140.89,148.32,647729
"2015-11-12",144.9,145.78,143.14,143.15,271450
"2015-11-19",146.3,147.62,145.9,146.64,226295
"2015-12-03",143.95,144.19,141.34,141.59,239869
"2015-12-10",144.24,145.01,141.68,141.68,288238
"2015-12-17",148.73,149.3,147.4,148.46,302320
"2015-12-24",147.51,148.31,146.92,147.75,116372
"2015-12-31",148.04,148.78,146.05,146.1,366686
"2016-01-07",145.29,146.55,144.95,145.03,316601
"2016-01-14",147.13,148.49,146.53,147.05,377825
"2016-01-21",146.25,148.14,144.97,145.72,478008
"2016-01-28",148.19,149.42,146.5,147.83,642058
"2016-02-04",151.53,152.84,150.14,151.49,495822
"2016-02-11",144.83,146.21,144.47,144.82,510894
"2016-02-18",148.34,151,146.43,148.03,558289
"2016-02-25",147.72,150.65,147.72,150.43,919609
"2016-03-03",150.54,151.49,149.1,150.21,557322
"2016-03-10",150.32,151.44,148.91,150.38,276703
"2016-03-17",155.3,159.79,154.9,158.96,639220
"2016-03-24",151.93,152.57,151.23,152.42,506815
"2016-03-31",155.89,156.25,154.9,156.05,419745
"2016-04-07",156.65,157.2,155.14,155.86,341626
"2016-04-14",154.44,155.33,154.01,154.25,205895
"2016-04-21",152.83,153.04,149.25,149.75,390268
"2016-04-28",153.28,154.72,153.03,153.54,224668
"2016-05-05",156.16,157.99,154.28,157.06,346968
"2016-05-12",155.58,157.16,154.1,156.56,313330
"2016-05-19",150.1,151.22,148.4,150.63,326439
"2016-05-26",152.38,153.65,151.81,153.3,199924
"2016-06-02",153.42,154.79,152.99,154.79,260090
"2016-06-09",156.01,157.69,155.84,157.12,392594
"2016-06-16",156.74,158.85,156.23,158.77,333336
"2016-06-23",158.06,158.91,156.94,157.77,194686
"2016-06-30",164.34,165.62,162.77,165.55,438815
"2016-07-07",167.97,167.97,164.86,166.3,336063
"2016-07-14",166.78,167.77,164.7,165.27,463077
"2016-07-21",165.77,166.82,164.84,166.47,445751
"2016-07-28",165.92,169.28,165.92,168.71,337702
"2016-08-04",166.93,166.93,165.48,165.48,262105
"2016-08-11",162.32,162.32,159.15,159.83,324195
"2016-08-18",159.01,159.6,158.06,158.73,292084
"2016-08-25",158.06,159.66,157.74,159.55,430245
"2016-09-01",158.87,159.08,157.38,158.07,259880
"2016-09-08",159.98,160.75,158.97,160.47,816588
"2016-09-15",154.15,155.15,153.95,154.96,222663
