"","FRT.Open","FRT.High","FRT.Low","FRT.Close","FRT.Volume"
"2011-09-15",88.03,88.12,86.87,87.87,375489
"2011-09-22",81.77,84.66,81.72,84.16,1146931
"2011-09-29",82.83,84.22,82.56,84.21,647582
"2011-10-06",81.38,83.27,80.75,83.16,763986
"2011-10-13",82.84,82.99,80.96,82.2,537373
"2011-10-20",83.65,84.17,81.92,83.47,522732
"2011-10-27",89.24,90.04,87.86,88.96,615751
"2011-11-03",88.39,89.11,87.01,88.71,345735
"2011-11-10",87.17,87.32,85.24,86.24,590134
"2011-11-17",86.78,87.41,85.45,85.92,316336
"2011-12-01",87.84,88.37,87.27,87.42,342051
"2011-12-08",89.15,89.67,88.36,88.65,384771
"2011-12-15",90.39,90.39,88.6,89.5,747373
"2011-12-22",91.69,93.13,91.38,92.16,580844
"2011-12-29",91.09,91.5,90.73,91.21,362550
"2012-01-05",89.22,90.31,88.79,90.11,443064
"2012-01-12",91.62,91.71,90.43,90.58,463958
"2012-01-19",91.05,92.11,90.83,91.72,436786
"2012-01-26",94.66,95.27,94.31,95.14,496311
"2012-02-02",95.72,96.02,94.91,95.12,272490
"2012-02-09",96.69,96.94,95.25,95.96,450777
"2012-02-16",96.03,97.43,95.03,96.66,492559
"2012-02-23",95.49,96.88,95.4,96.7,563799
"2012-03-01",95.7,96.43,95.55,96.08,453627
"2012-03-08",96.55,96.99,95.03,95.72,524271
"2012-03-15",96.75,97.37,95.85,96.26,632381
"2012-03-22",96.48,96.69,95.16,95.8,374943
"2012-03-29",95.62,96.49,95.13,96.13,340090
"2012-04-05",96.39,97,96.25,96.58,226521
"2012-04-12",96.13,96.49,95.56,96.48,382296
"2012-04-19",96.99,97.53,96.39,96.87,299252
"2012-04-26",99.62,100.57,99.26,100.2,381469
"2012-05-03",102.27,102.42,101.5,101.5,363534
"2012-05-10",101.95,102,100.45,101,367871
"2012-05-17",99.25,99.91,96.47,96.47,625244
"2012-05-24",98.77,99.39,97.83,99.19,213657
"2012-05-31",97.77,98.75,96.76,98.28,643328
"2012-06-07",100.79,100.79,98.73,99.1,863932
"2012-06-14",98.43,99.5,97.98,99.18,303798
"2012-06-21",101.3,101.64,99.92,100.35,402605
"2012-06-28",100.18,102.24,99.96,102.14,370340
"2012-07-05",106.42,107.21,105.49,106.08,296934
"2012-07-12",105.13,107.32,104.51,106.93,416508
"2012-07-19",107.52,108.1,106.61,107.21,352958
"2012-07-26",107.23,108.17,106.23,106.77,285431
"2012-08-02",107.62,107.62,105.42,107.15,461423
"2012-08-09",104.99,105.93,104.25,104.59,249831
"2012-08-16",105.9,107.01,105.48,106.81,340973
"2012-08-23",106.97,107.5,106.79,107.43,364716
"2012-08-30",107.02,107.82,106.87,107.6,190634
"2012-09-06",109.33,109.77,108.87,109.12,383620
"2012-09-13",108.41,109.38,108.41,109,337776
"2012-09-20",105.91,106.1,104.89,105.07,494652
"2012-09-27",105.13,105.8,104.78,105,344631
"2012-10-04",107.59,107.88,106.69,107.23,360844
"2012-10-11",107.74,108.22,107.25,107.41,527562
"2012-10-18",108.74,110.2,108.74,110.03,508200
"2012-10-25",107.28,107.83,105.1,106.31,488841
"2012-11-01",107.64,108.15,105.82,107,532342
