"","CHTR.Open","CHTR.High","CHTR.Low","CHTR.Close","CHTR.Volume"
"2016-05-19",225.8,230.49,225.73,227.57,4235498
"2016-05-26",222.89,226.19,218.46,219.04,3267560
"2016-06-02",225.77,228.72,225.19,227.82,2996768
"2016-06-09",222.19,223.23,221.09,222.97,1689848
"2016-06-16",222.73,222.82,220.15,221.48,1781485
"2016-06-23",223.28,225.4,221.05,224.87,1751730
"2016-06-30",226.92,229.8,225.74,228.64,2151586
"2016-07-07",232.34,235.2,232.02,234.87,1164075
"2016-07-14",239.24,239.94,235.94,239.11,941984
"2016-07-21",234.83,240.87,233.7,240.48,1715340
"2016-07-28",237.07,239.39,237.07,237.8,784170
"2016-08-04",236.89,238.94,235.9,236.99,902043
"2016-08-11",253.21,258.36,252.5,258.06,1467833
"2016-08-18",257.35,258.88,253.42,254.83,1700659
"2016-08-25",251.79,253.34,251.01,252.07,457884
"2016-09-01",267,272.81,264.37,268.82,7872466
"2016-09-08",276.2,276.45,267.38,268.66,5006568
"2016-09-15",265.93,268.83,264.76,266.27,1692849
