"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume"
"2011-09-15",49.89,49.89,47.48,48.6,3147756
"2011-09-22",47.79,48.51,47.31,48.04,2494454
"2011-09-29",50.49,50.72,49.75,50.71,1746758
"2011-10-06",46.71,47.43,46.36,46.94,2044171
"2011-10-13",48.09,48.11,47.24,47.93,780651
"2011-10-20",49.16,49.29,48.03,48.8,1610023
"2011-10-27",57.08,57.1,55.71,56.55,2762911
"2011-11-03",56,56.31,55.42,55.59,1014389
"2011-11-10",56.03,57.6,55.94,57.24,1488247
"2011-11-17",55.31,55.54,54.25,55.06,2070872
"2011-12-01",58.42,58.98,57.69,57.77,1022563
"2011-12-08",57.3,57.81,56.38,56.49,769520
"2011-12-15",56.05,56.71,55.77,56.18,992673
"2011-12-22",58.09,59.3,57.93,59.14,899337
"2011-12-29",58,58.33,57.74,58.21,549541
"2012-01-05",57.27,57.55,56.92,57.48,629063
"2012-01-12",57.42,57.46,56.7,57.15,1118151
"2012-01-19",56.45,57.8,55.37,57.67,1333416
"2012-01-26",59.6,59.76,58.54,58.99,2478148
"2012-02-02",58.18,58.18,57.55,57.94,1048313
"2012-02-09",58.1,58.15,57.42,57.71,774540
"2012-02-16",56.76,57.59,56.56,57.53,1117895
"2012-02-23",57.21,57.56,57.03,57.24,372375
"2012-03-01",58.05,58.26,57.13,57.93,1029902
"2012-03-08",58.04,58.56,57.93,58.22,615534
"2012-03-15",59.48,59.96,59.34,59.92,673410
"2012-03-22",59.89,60.44,59.64,59.95,535137
"2012-03-29",59.87,61.35,59.78,61.32,1283897
"2012-04-05",60.91,61.23,60.75,61.17,551701
"2012-04-12",59.68,59.7,58.63,58.83,2597056
"2012-04-19",59.28,59.7,58.48,58.82,1365386
"2012-04-26",57.82,58.09,57.49,57.8,697542
"2012-05-03",58.33,58.46,57.76,57.92,538148
"2012-05-10",57.74,58.17,57.4,57.58,813397
"2012-05-17",57.34,57.46,56.57,56.75,751983
"2012-05-24",57.16,57.7,56.88,57.41,883174
"2012-05-31",57.65,57.72,56.69,56.9,4057327
