"","KSU.Open","KSU.High","KSU.Low","KSU.Close","KSU.Volume"
"2012-06-14",66.64,67.27,65.72,66.71,710123
"2012-06-21",70.4,70.54,68.61,68.84,804148
"2012-06-28",66.15,67.96,65.76,67.85,756240
"2012-07-05",69.22,71.88,68.79,70.91,1274933
"2012-07-12",68.38,68.85,67.4,68.25,956552
"2012-07-19",69.11,72.9,69.02,71.86,1614885
"2012-07-26",72.3,72.96,71.71,72.36,727616
"2012-08-02",70.78,72.53,70.5,71.48,474179
"2012-08-09",73.6,74.26,72.98,73.38,344394
"2012-08-16",76.45,77.22,75.86,76.6,647917
"2012-08-23",77.76,78.24,76.4,76.77,865507
"2012-08-30",77.11,77.46,76.41,76.93,472484
"2012-09-06",76.9,79.7,76.47,79.69,1206784
"2012-09-13",81.67,81.88,80.31,81.54,698889
"2012-09-20",77.24,77.71,75.5,76.9,1584565
"2012-09-27",75.92,77.44,75.5,76.96,763765
"2012-10-04",74.31,75.74,74.14,75.22,1087776
"2012-10-11",74.95,75.93,74.23,74.44,586963
"2012-10-18",77.47,78.34,76.78,77.38,903555
"2012-10-25",79.45,80.07,79.16,80.03,809778
"2012-11-01",80.33,83.42,80,83.42,1329863
"2012-11-08",79.61,79.99,78.13,78.5,615873
"2012-11-15",74.5,75.47,73.3,74.1,1242964
"2012-11-29",79.83,80,78.01,78.73,794977
"2012-12-06",77.92,78.84,76.87,78.6,1131425
"2012-12-13",81.42,82.05,81.1,81.81,842146
"2012-12-20",82.11,83.81,81.49,83.76,1221413
"2012-12-27",82.67,82.84,81.5,82.4,679662
"2013-01-03",85.6,88.38,85.6,87.63,1564095
"2013-01-10",86.68,86.81,84.93,85.4,1000951
"2013-01-17",87.32,88,86.83,87.87,782777
"2013-01-24",92.34,94.33,91.79,93.79,1035535
"2013-01-31",92.74,93.79,91.89,93.11,1160625
"2013-02-07",94.39,95.32,94.26,95.2,952053
"2013-02-14",96.84,97.76,96.43,97.61,664838
"2013-02-21",97.15,98.13,96.35,97.77,984696
"2013-02-28",104.25,104.31,102.67,102.97,1449343
"2013-03-07",105.02,105.02,102.63,103.61,789513
"2013-03-14",107.24,108.72,106.69,108.58,811024
"2013-03-21",108.56,108.72,106.52,106.59,803168
"2013-03-28",107.63,112.25,107.34,110.9,1431265
"2013-04-04",104.4,105.13,103.01,104,1056544
"2013-04-11",107.68,108.1,106.8,107.21,579616
"2013-04-18",104.48,104.86,102.44,103.37,1541726
"2013-04-25",107.27,108.38,107.01,107.34,637295
"2013-05-02",104.09,106.44,104.05,105.56,839044
"2013-05-09",110.1,110.73,108.8,109.26,574757
"2013-05-16",117.14,118.88,115.61,116.19,1036832
"2013-05-23",109.24,112,107.5,112,17342446
"2013-05-30",112.13,112.97,111.61,112.03,571368
"2013-06-06",105.98,108.4,105.06,108.36,601121
"2013-06-13",107.53,111.75,106.94,111.45,784699
"2013-06-20",109.14,109.91,107.83,107.99,909828
"2013-06-27",108.71,109.11,106.96,107.68,780996
"2013-07-11",114.2,114.5,112.53,113.27,1141957
"2013-07-18",114.16,116.94,113.9,116.87,728507
"2013-07-25",110.6,111.47,108.8,110.23,1082611
"2013-08-01",109.47,112.05,109.32,110.71,1082634
"2013-08-08",107.45,108.19,106.89,107.82,792733
"2013-08-15",106.06,106.24,104.54,105.79,510825
"2013-08-22",106.26,108.71,105.99,108.54,456815
"2013-08-29",105.15,107.29,104.95,106.94,644874
"2013-09-05",107.65,108.83,107.42,108.39,248187
"2013-09-12",111.32,111.46,109.13,109.73,454712
"2013-09-19",112.78,113.24,111.64,112.24,937570
"2013-09-26",109.96,110.43,109.32,110.39,425158
"2013-10-03",110.42,110.96,108.77,110.39,903811
"2013-10-10",110.95,113.51,110.95,113.1,519278
"2013-10-17",112.65,113.24,112.02,113.16,973026
"2013-10-24",124.02,124.55,122.94,124.46,751388
"2013-10-31",121.38,122.48,120.91,121.52,656489
"2013-11-07",124.86,125.33,122.18,122.49,739285
"2013-11-14",125.38,125.96,124.56,125.2,284495
"2013-11-21",121.8,122.96,121,122.14,497794
"2013-12-05",119.79,120.3,117.95,118.09,842683
"2013-12-12",116.97,117.44,116.16,117.05,586020
"2013-12-19",120.41,120.76,118.93,120.6,552280
"2013-12-26",123.1,123.96,122.82,123.67,352496
"2014-01-02",123.04,123.21,119.46,120,801815
"2014-01-09",117.36,117.85,115.24,116.6,1068164
"2014-01-16",117.34,117.56,116.22,117.1,921693
"2014-01-23",116.65,117.84,116.5,117.28,1185959
"2014-01-30",102.38,106,102.38,105.53,2020636
"2014-02-06",100.27,101.58,100,101.14,1014249
"2014-02-13",99.59,100.12,98.2,98.52,2527593
"2014-02-20",91.22,94.57,91.07,94.23,2315133
"2014-02-27",91.71,93.75,91.45,93.25,1557520
"2014-03-06",96.92,97.9,96.75,97.55,886177
"2014-03-13",101.52,101.88,97.1,97.91,2632227
"2014-03-20",99.29,99.98,98.31,99.51,783694
"2014-03-27",97.43,98.77,97.2,97.89,1007308
"2014-04-03",104.24,104.56,103.7,104.48,931397
"2014-04-10",101.07,101.41,97.46,97.58,1046034
"2014-04-17",101.44,104.51,100.34,101.14,2152224
"2014-04-24",101.52,101.85,100.18,100.86,787072
"2014-05-01",100.8,101.07,99.6,99.72,691168
"2014-05-08",99.32,100.3,98.85,99.61,608784
"2014-05-15",100.63,100.68,98.37,98.94,964554
"2014-05-22",106.72,107.37,105.86,106.09,1042796
"2014-05-29",108.06,108.37,106.81,107.36,601672
"2014-06-05",104.98,106.65,104.68,106.41,863328
"2014-06-12",105.78,105.8,103.5,103.78,678438
"2014-06-19",106.79,108.17,106.53,107.44,704003
"2014-06-26",107.04,107.21,105.5,106.35,391023
"2014-07-03",108.46,109.65,108.15,109.39,517433
"2014-07-10",110.25,112.17,109.42,111.78,1467919
"2014-07-17",113.25,114.32,112.71,113.26,1386614
"2014-07-24",115.71,116.32,115.34,115.66,683790
"2014-07-31",109.69,110.59,108.55,109.06,628405
"2014-08-07",108.96,109.65,107.13,107.4,729171
"2014-08-14",111.38,112.47,110.78,112.46,394273
"2014-08-21",114.9,114.99,113.65,114.26,424418
"2014-08-28",114.09,114.72,113.71,114.39,367837
"2014-09-04",115.56,116.83,115.45,116.2,787254
"2014-09-11",114.61,115.86,114.41,115.65,551701
"2014-09-18",121.82,122.45,120.92,121.86,658269
"2014-09-25",120.68,120.68,118.41,119.06,633042
"2014-10-02",116.75,118.81,116.22,118.57,827336
"2014-10-09",119.04,119.22,115.21,115.67,874253
"2014-10-16",113.15,118.28,112.77,116.41,1498689
"2014-10-23",118.78,120.61,118.59,119.72,1000234
"2014-10-30",120.19,121.98,119.36,120.79,816497
"2014-11-06",122.4,124.6,122.1,123.73,615992
"2014-11-13",124.04,124.83,123.59,124.62,898985
"2014-11-20",122.71,124.73,122.5,124.2,659269
"2014-12-04",119.88,120.48,117.81,118.45,708853
"2014-12-11",113.03,113.54,110.56,111.87,1154651
"2014-12-18",117.27,118.02,115.83,118.02,1120749
"2015-01-08",114.3,115.26,113.12,115.1,1249384
"2015-01-15",110.5,110.95,109.21,109.23,822840
"2015-01-22",112.32,114.77,111.21,113.7,1689495
"2015-01-29",109.1,111.07,108.62,110.82,1269331
"2015-02-05",115.05,116.83,114.73,116.38,818613
"2015-02-12",117.06,118.13,116.73,117.99,670071
"2015-02-19",118.57,119.78,117.77,117.92,445469
"2015-02-26",118.56,119.19,116.54,117.08,663031
"2015-03-05",116,116.68,114.92,116.03,482000
"2015-03-12",115.25,115.51,114.7,115.1,443559
"2015-03-19",114.4,115.81,114.29,114.89,429395
"2015-03-26",102.5,103.63,102,103.12,941127
"2015-04-02",102.97,105.24,102.67,105,1171307
"2015-04-09",104.67,106.22,104.43,106.03,1067336
"2015-04-16",105.69,105.82,104.92,105.13,1193123
"2015-04-23",105.25,107.88,104.7,107,953394
"2015-04-30",102.56,102.84,101.92,102.49,1222789
"2015-05-07",102.44,102.75,101.49,101.58,1071916
"2015-05-14",95,96.43,92.63,94.89,6213110
"2015-05-21",93.35,97.12,93.32,95.59,2104858
"2015-05-28",94.05,94.05,91.79,92.4,2448701
"2015-06-04",93.05,94.27,92.76,93.23,1563337
"2015-06-11",93.01,95.88,92.86,94.76,2128208
"2015-06-18",94.76,96.76,94.17,96.18,1169958
"2015-06-25",93.27,93.57,92.16,92.42,929198
"2015-07-02",92.14,92.51,91.68,92.41,641169
"2015-07-09",93.7,94.09,92.71,93.25,1338605
"2015-07-16",93.21,93.21,92.09,92.55,2151529
"2015-07-23",96,96.18,93.09,93.36,1377309
"2015-07-30",100.41,101.22,99.91,100.85,1046817
"2015-08-06",97.45,97.53,96,97.26,853523
"2015-08-13",97.69,98.35,97.22,97.78,811928
"2015-08-20",98.03,99.31,95.25,95.28,2089974
"2015-08-27",91.18,94.08,90.46,93.27,2100795
"2015-09-03",91.9,92.36,90.95,91.39,1036505
"2015-09-10",91.86,93.41,91.72,93.13,961620
"2015-09-17",95.34,98.67,95.03,96.66,1813376
"2015-09-24",90.5,91.04,89.65,90.3,1309982
"2015-10-01",91.55,93.22,91.29,93.19,1997314
"2015-10-08",96.51,98.81,96.29,98.46,1137863
"2015-10-15",97.16,98.52,96.46,98,1421776
"2015-10-22",87.51,88.51,85.87,86.15,3665874
"2015-10-29",83.48,84.33,83.11,84.11,1333303
"2015-11-05",87.07,90.44,86.3,88.54,3519042
"2015-11-12",88.03,88.83,87.16,87.72,1270965
"2015-11-19",92.53,94.12,91.85,93.65,2196143
"2015-12-03",84.97,85.49,81.54,82.69,3586788
"2015-12-10",76.09,76.82,74.52,74.69,2360724
"2015-12-17",75.78,76.41,71.85,71.92,2205303
"2015-12-24",73.68,74.34,73.27,73.77,715353
"2015-12-31",73.57,75.99,73.53,74.67,1330225
"2016-01-07",69.48,70.44,69.03,69.17,2585747
"2016-01-14",68.45,69.44,67.31,68.42,1969871
"2016-01-21",63.48,65.03,62.2,64.54,3504769
"2016-01-28",68.22,69.92,67.99,69.35,1708700
"2016-02-04",71.32,76.33,71.32,75.68,2647648
"2016-02-11",76.85,78.08,75.37,77.54,2726303
"2016-02-18",82.33,82.4,80.01,80.5,1667987
"2016-02-25",81.41,82.46,79.88,82.34,1283757
"2016-03-03",85.44,86.68,84.49,86.42,1500897
"2016-03-10",83.78,85.3,81.43,82.43,1936775
"2016-03-17",85.14,87.46,84.23,87.35,1385692
"2016-03-24",84.45,85.39,83.58,84.94,925532
"2016-03-31",85.77,86.02,84.34,85.45,1146419
"2016-04-07",85.09,86.04,84.02,85.27,1105397
"2016-04-14",90.6,91.81,89.6,91.16,1569159
"2016-04-21",96.7,97.6,95.74,96.92,1997352
"2016-04-28",96.27,97.75,95.65,96.04,857697
"2016-05-05",93.19,94,92.3,92.37,738897
"2016-05-12",92.26,93.54,89.02,90.18,1454086
"2016-05-19",90.13,90.83,88.78,90.51,1230686
"2016-05-26",93.93,94.51,92.52,93.42,1189916
"2016-06-02",91.82,92.31,91.25,91.77,954470
"2016-06-09",91.72,92.3,89.05,90.18,1799320
"2016-06-16",87.33,87.51,85.63,87.33,1674066
"2016-06-23",91.12,91.79,90.41,91.12,1170014
"2016-06-30",89.51,90.1,87.58,90.09,1428648
"2016-07-07",88.76,89.17,87.14,87.66,1086884
"2016-07-14",93.49,95.49,93.26,94.91,1983738
"2016-07-21",97.77,98.43,96.6,97.73,1732289
"2016-07-28",95.12,96.6,94.76,95.62,795303
"2016-08-04",95.62,96.83,94.92,96.37,931649
"2016-08-11",96.61,98.09,96.3,97.26,686817
"2016-08-18",97.55,98.75,97.36,98.35,1029293
"2016-08-25",99.1,99.72,98.89,99.37,782989
"2016-09-01",97.05,97.48,95.75,96.51,949158
"2016-09-08",96.74,97.37,96.38,97.07,879355
"2016-09-15",92.58,92.85,91.15,91.93,2023217
