"","KSU.Open","KSU.High","KSU.Low","KSU.Close","KSU.Volume"
"2011-09-15",54.34,54.51,52.96,54.35,948616
"2011-09-22",47.42,49.58,46.89,48.46,1765215
"2011-09-29",51.24,52.34,50.76,52.27,1362704
"2011-10-06",53.92,55.99,53.65,55.22,1553262
"2011-10-13",57.07,57.46,56.06,57.18,953169
"2011-10-20",58.24,59.32,56.09,57.33,1964308
"2011-10-27",63.54,65.76,63.54,65.32,2312820
"2011-11-03",64.65,66.12,63.98,65.93,1596697
"2011-11-10",64.6,65.37,63.49,64.67,1111457
"2011-11-17",66.5,67.53,65.41,66.36,1580005
"2011-12-01",67.5,69.04,67.21,68.77,1598341
"2011-12-08",66.36,66.99,65.17,65.71,1091003
"2011-12-15",62.85,62.94,61.64,62.24,1328043
"2011-12-22",65.51,67.17,65.45,67.15,996866
"2011-12-29",66.97,68.03,66.67,67.94,460640
"2012-01-05",69.88,70.28,69.09,69.96,919812
"2012-01-12",72.85,73.01,71.65,72.59,659645
"2012-01-19",72.98,74.77,72.67,73.76,1471732
"2012-01-26",67.97,68.89,67.3,67.56,913804
"2012-02-02",68.85,69.39,68.48,68.72,832786
"2012-02-09",69.45,70.57,68.86,69.49,1105893
"2012-02-16",66.89,67.31,66.19,66.75,1215262
"2012-02-23",66.88,68.15,66.6,68,784297
"2012-03-01",69.63,70.94,69.51,70.81,798730
"2012-03-08",69.76,70.37,68.68,70.02,904800
"2012-03-15",70.02,74.29,70.02,73.51,1495378
"2012-03-22",72.37,72.37,70.61,71.18,723213
"2012-03-29",70.84,71.03,69.2,70.67,894262
"2012-04-05",71.97,72.94,71.82,72.6,850903
"2012-04-12",69.79,73.22,69.79,72.74,1016096
"2012-04-19",73.42,73.64,70.88,71.37,1005268
"2012-04-26",76.72,77.97,76.22,77.5,1270774
"2012-05-03",78.04,78.49,76.16,76.33,840134
"2012-05-10",74.74,74.97,72.26,72.63,1141716
"2012-05-17",70.07,70.18,65.41,65.42,2623931
"2012-05-24",68.73,68.99,66.55,67.19,1074605
"2012-05-31",64.22,66.54,64.2,65.98,2285719
"2012-06-07",67.16,69.23,66.39,66.8,1668407
