"","D.Open","D.High","D.Low","D.Close","D.Volume"
"2016-08-31",73.99,74.34,73.68,74.16,3448820
"2016-09-01",74.18,74.34,73.78,74.06,2144244
"2016-09-02",74.05,75.09,74,74.75,1794941
"2016-09-06",75.21,75.82,74.97,75.5,2477423
"2016-09-07",75.32,75.66,75.05,75.39,1662533
"2016-09-08",75.18,75.59,74.89,75.51,2603931
"2016-09-09",74.9,74.96,72.49,72.5,2994926
"2016-09-12",72.57,74.22,72.55,74.05,3193765
"2016-09-13",73.86,74.03,73.16,73.52,3079119
"2016-09-14",73.66,74.41,73.42,73.79,1811986
"2016-09-15",73.86,74.62,73.56,74.45,2162971
