"","PX.Open","PX.High","PX.Low","PX.Close","PX.Volume"
"2014-06-26",131.43,131.53,130.28,131.03,1152799
"2014-07-03",132.75,133.33,132.16,133.3,531217
"2014-07-10",131.51,132.35,131.49,131.87,583510
"2014-07-17",132.7,133.21,131.54,131.67,812903
"2014-07-24",130.45,130.95,129.1,129.23,1695174
"2014-07-31",129.13,129.57,128.03,128.14,1280233
"2014-08-07",128.05,128.44,126.96,127.04,692943
"2014-08-14",129.5,130.01,129.26,129.69,509141
"2014-08-21",130.58,131.83,130.18,131.46,772750
"2014-08-28",130.54,131.72,130.11,131.44,553332
"2014-09-04",130.9,131.95,130.9,131.88,1160796
"2014-09-11",132.11,132.95,130.92,131.16,1782629
"2014-09-18",132.83,134,132.56,133.46,1250782
"2014-09-25",133.49,133.51,131.75,131.76,1403476
"2014-10-02",125.45,125.76,124.41,125.3,1887911
"2014-10-09",124.86,125.1,121.67,121.98,1413684
"2014-10-16",120.14,123.16,120.1,122.36,1444020
"2014-10-23",128.17,128.34,126.34,126.58,1606826
"2014-10-30",122.35,123.67,121.65,122.67,1881706
"2014-11-06",125.56,126.66,125.24,126.57,894421
"2014-11-13",126.64,126.91,125.94,126.73,816223
"2014-11-20",127.69,129.12,127.53,128.82,991794
"2014-12-04",129.65,129.86,128.8,129.51,732919
"2014-12-11",125.79,127.26,125.77,126.26,1168979
"2014-12-18",127.25,130.47,127.05,130.45,1656919
"2015-01-08",127.89,128.86,127.23,128.38,1091942
"2015-01-15",125,126.22,124.4,124.47,789854
"2015-01-22",126.65,127.69,125.67,127.46,1170584
"2015-01-29",123.03,123.23,120.17,121.45,1980960
"2015-02-05",123.64,124.66,122.65,124.61,1330850
"2015-02-12",125,125.55,124.77,125.36,1289803
"2015-02-19",127.62,129.24,126.96,128.86,1083230
"2015-02-26",128.31,128.94,127.66,127.9,1462597
"2015-03-05",127.92,128.08,127,127.74,2209331
"2015-03-12",124.65,125.73,124.43,125.63,1544048
"2015-03-19",123.84,124.22,122,122.01,1394403
"2015-03-26",120.19,120.88,120.06,120.51,1040077
"2015-04-02",120.65,122.56,120.31,122.27,1334669
"2015-04-09",122.61,123,122.17,122.57,1327510
"2015-04-16",121.47,121.88,120.66,121.24,1060070
"2015-04-23",121.46,122.42,121,121.86,979776
"2015-04-30",124.18,124.3,121.24,121.93,3068591
"2015-05-07",119.43,121.03,119.14,120.77,1038951
"2015-05-14",118.76,120.7,118.32,120.61,1515272
"2015-05-21",121.33,121.87,121.07,121.86,830178
"2015-05-28",121.29,122.76,121.15,122.75,1355280
"2015-06-04",120.9,122.14,120.9,121.38,1691739
"2015-06-11",123.18,123.4,122.67,123.24,1103140
"2015-06-18",123.02,124.17,122.56,123.79,1033187
"2015-06-25",122.6,122.68,121.82,122.21,1083776
"2015-07-02",119.73,119.94,118.28,118.9,1179808
"2015-07-09",117.42,117.66,116,116,1685901
"2015-07-16",118.91,119.02,117.93,118.21,1579514
"2015-07-23",115.14,115.47,114.43,115.2,1339189
"2015-07-30",116.23,116.58,113.59,114.27,2517342
"2015-08-06",113.43,114.1,112.94,113.34,981629
"2015-08-13",113.17,114.09,112.95,113.67,1163253
"2015-08-20",111.91,112.93,111.64,111.65,1532725
"2015-08-27",105.79,106.02,103.9,105.19,3113043
"2015-09-03",103.02,104.47,102.34,103.01,2337536
"2015-09-10",103.78,105.8,103.42,105.19,3322236
"2015-09-17",107.28,108.22,106.62,107.05,2344653
"2015-09-24",100,101.42,98.55,101,2715904
"2015-10-01",102.1,102.55,100.55,101.41,2625092
"2015-10-08",107.3,108.72,106.97,108.59,1339739
"2015-10-15",109.5,109.95,108.62,109.49,1588679
"2015-10-22",108.82,110.59,108.31,110.26,1164106
"2015-10-29",110.46,114.72,110.3,112.75,2937695
"2015-11-05",112.7,113.84,112.41,113.38,1704120
"2015-11-12",109.95,111.01,109.85,110.16,1077129
"2015-11-19",115.45,116.1,114.88,115.56,1408316
"2015-12-03",110.13,110.5,107.92,109.06,1619701
"2015-12-10",106.46,107.56,106.28,106.68,1511389
"2015-12-17",106.27,106.51,102.87,102.92,1730117
"2015-12-24",104.38,104.85,104.14,104.51,493098
"2015-12-31",102.8,103.71,102.28,102.4,930864
"2016-01-07",98.84,100.07,97.6,97.79,2002704
"2016-01-14",98.24,100.34,97.51,99.79,1928538
"2016-01-21",98.25,98.79,97.19,97.96,1651653
"2016-01-28",98.64,99.2,97.91,98.2,1814969
"2016-02-04",103.35,106.99,103.35,105.53,2163721
"2016-02-11",101.74,103.16,101.26,102.06,1582360
"2016-02-18",104.31,104.86,104.08,104.5,996093
"2016-02-25",102.21,102.91,101.04,102.61,1758879
"2016-03-03",103.57,105.98,102.72,105.84,1295650
"2016-03-10",109.76,111.32,109.3,110.66,2592456
"2016-03-17",110.66,113.55,110.59,113.12,2289144
"2016-03-24",111.88,112.1,111,111.74,1106409
"2016-03-31",114.93,115.32,114.36,114.45,1751357
"2016-04-07",112.53,112.75,111.29,111.67,869654
"2016-04-14",115.79,115.91,114.87,115.53,748111
"2016-04-21",119.23,120.04,118.74,118.85,573546
"2016-04-28",117.6,119.38,117.27,118.26,1193372
"2016-05-05",114.65,114.85,113.28,113.47,1077067
"2016-05-12",114.19,115.19,113.49,113.6,1156461
"2016-05-19",110.64,111.92,109.51,110.06,1419627
"2016-05-26",111.81,111.99,110.46,110.57,636977
"2016-06-02",110.57,110.57,109.94,110.56,974632
"2016-06-09",113.21,113.53,112.52,113.44,1765809
"2016-06-16",111.22,112.26,110.1,112.12,1159125
"2016-06-23",114.2,115.21,114,115.2,1383274
"2016-06-30",111,112.39,110.21,112.39,1322196
"2016-07-07",112.15,112.95,111.33,111.84,716181
"2016-07-14",118.1,118.72,117.84,118.35,940709
"2016-07-21",118.15,118.27,117.35,117.68,668216
"2016-07-28",115.33,117.28,114.71,117.11,1575791
"2016-08-04",116.45,116.92,116.24,116.67,1051694
"2016-08-11",116.75,117.2,116.31,116.98,649749
"2016-08-18",120.44,121.91,120.3,121.89,1073483
"2016-08-25",121.99,123.07,121.85,123.04,967332
"2016-09-01",122.27,123,121.94,122.85,1224290
"2016-09-08",122.27,122.42,120.38,120.57,1032122
"2016-09-15",116.4,118.71,116.24,118.21,1446003
