"","PX.Open","PX.High","PX.Low","PX.Close","PX.Volume"
"2011-09-15",99.2,100.21,98.01,99.97,1233753
"2011-09-22",94.26,94.44,92.66,93.46,2971902
"2011-09-29",95.77,96.19,93.73,95.41,1300903
"2011-10-06",97.82,99.07,97.18,98.73,2432478
"2011-10-13",100.76,101.4,99.22,101.04,1189013
"2011-10-20",100.71,102.17,99.65,101.55,1544835
"2011-10-27",105.42,106.45,103.31,105.18,3248322
"2011-11-03",101.69,102.19,100.2,101.89,1612633
"2011-11-10",99.58,100.39,98.58,99.84,1660587
"2011-11-17",98.16,98.82,95.41,96.73,2035264
"2011-12-01",101.94,102.81,100.65,100.85,1611930
"2011-12-08",103.16,103.96,101.99,102.82,2361360
"2011-12-15",103,103.91,101.98,103.28,1296063
"2011-12-22",105.29,106.05,104.81,105.73,1681889
"2011-12-29",106.2,107.29,106.03,107.14,930598
"2012-01-05",108.36,108.4,107.41,107.91,1744400
"2012-01-12",108.16,109.77,108,109.53,1074380
"2012-01-19",111.07,111.21,109.95,110.67,1198257
"2012-01-26",106.15,107.58,105.89,106.45,2197058
"2012-02-02",107.02,107.05,105.68,105.69,1180735
"2012-02-09",108.5,108.71,107.44,108.23,875531
"2012-02-16",107.54,109.13,107.09,108.97,1048805
"2012-02-23",109.75,110.15,109.06,110.05,862007
"2012-03-01",109.7,110,108.82,109.8,1108701
"2012-03-08",109.23,110.03,108.94,109.95,726549
"2012-03-15",110.57,110.63,109.77,110.48,894385
"2012-03-22",111.26,111.28,110.4,110.86,844042
"2012-03-29",113.32,114.45,113.05,114.38,1100866
"2012-04-05",113.57,114.23,113.46,113.94,971123
"2012-04-12",111.49,113.8,111.35,113.62,1045716
"2012-04-19",114.12,114.73,113.32,113.82,976490
"2012-04-26",114,115.79,113.69,115.33,1006890
"2012-05-03",116.62,116.82,115.77,116.18,852545
"2012-05-10",113.05,113.25,111.53,111.75,2075575
"2012-05-17",109.61,109.65,105.87,105.87,2515833
"2012-05-24",108.42,109.3,107.56,108.78,1683787
"2012-05-31",106.5,107.01,104.86,106.24,1459387
"2012-06-07",104.64,106.13,103.94,104.67,869944
"2012-06-14",104.91,105.41,103.99,104.53,1042118
"2012-06-21",107.72,107.97,104.8,104.88,1100952
"2012-06-28",103.38,105.41,103.34,105.34,999391
"2012-07-05",109.37,110.28,108.81,109.78,930844
"2012-07-12",106.51,106.72,105.3,105.86,1148600
"2012-07-19",108.72,109.25,107.88,109.12,699168
"2012-07-26",104.68,105.73,103.94,104.48,1380642
"2012-08-02",102.86,103.63,102.66,103.07,2303929
"2012-08-09",108,108.53,107.54,107.97,772011
"2012-08-16",107.85,109,107.68,108.7,810559
"2012-08-23",109.08,109.28,107.46,107.61,1304307
"2012-08-30",104.72,105.13,104.44,104.82,743755
"2012-09-06",105.32,106.82,105.22,106.56,848549
"2012-09-13",106.06,107.17,105.4,106.53,1317308
"2012-09-20",107.75,108.57,107.52,108.55,679355
"2012-09-27",104.3,104.73,103.6,104.43,1136844
"2012-10-04",105,105.59,104.32,105.36,768810
"2012-10-11",104.82,105.08,103.68,103.7,1167584
"2012-10-18",107.93,108.39,107.29,107.97,919730
"2012-10-25",105.2,105.6,104.15,104.78,976746
"2012-11-01",106.16,108.65,105.81,108.49,1691876
"2012-11-08",109.15,109.74,107.93,107.98,966216
"2012-11-15",106.11,106.32,104.85,105.53,1194719
"2012-11-29",106.86,107.23,105.83,106.11,922610
"2012-12-06",105.94,106.32,105.47,106.29,730015
"2012-12-13",106.69,108.12,106.36,107.48,1284876
"2012-12-20",108.77,109.49,107.75,109.46,960223
"2012-12-27",110.25,110.25,107.98,109.58,774257
"2013-01-03",112.68,113.46,112.14,112.58,971150
"2013-01-10",114.3,114.58,113.42,114.18,973275
"2013-01-17",113.26,114.08,113.17,113.23,1012848
"2013-01-24",111.32,112.36,110.49,111.12,1137575
"2013-01-31",109.51,110.61,109.38,110.37,1524179
"2013-02-07",110.48,111.08,109.64,110.43,607884
"2013-02-14",111.31,111.56,110.8,111.21,1304091
"2013-02-21",109.73,110.85,109.08,109.96,2355762
"2013-02-28",112.23,113.53,112.09,113.05,1165455
"2013-03-07",112.86,113.26,112.37,112.67,999882
"2013-03-14",113.15,113.62,112.84,113.6,973865
"2013-03-21",111.7,112.67,111.23,111.27,1567009
"2013-03-28",111.54,111.96,111.11,111.54,1916466
"2013-04-04",110.69,111.98,110.39,111.26,930571
"2013-04-11",112.98,113.37,112.22,112.35,1677186
"2013-04-18",110.57,110.75,109.45,109.78,1663954
"2013-04-25",112.99,113.35,112.17,112.82,1271924
"2013-05-02",113.28,113.91,112.66,113.46,1140947
"2013-05-09",113.62,114.29,113.48,114.23,1382694
"2013-05-16",115,115,113.95,114,1238509
"2013-05-23",114.67,115.99,114.36,115.8,837764
"2013-05-30",115.77,116,115.17,115.31,852930
"2013-06-06",114.85,115.86,113.52,114.16,1500461
"2013-06-13",114.65,116.89,113.89,116.69,1362198
"2013-06-20",118.33,119.18,116.01,116.36,1306316
"2013-06-27",116.39,116.44,114.59,114.89,1364716
"2013-07-11",118.14,118.61,117.36,117.39,1255716
"2013-07-18",116.67,117.1,116.06,116.7,1035837
"2013-07-25",117.76,119.38,117.23,119.2,2371780
"2013-08-01",121.62,121.86,119.72,120.04,1374668
"2013-08-08",120.95,121.77,120.92,121.31,913166
"2013-08-15",118.49,118.83,117.67,118.24,883614
"2013-08-22",117.57,118.67,116.97,118.21,1131356
"2013-08-29",116.12,116.78,115.89,116.25,848362
"2013-09-05",117.85,118.47,117.57,117.92,641430
"2013-09-12",120.7,120.94,120.06,120.24,655165
"2013-09-19",123.87,124.41,122.48,122.78,1083904
"2013-09-26",119.88,120.76,119.59,120.19,1368032
"2013-10-03",120.94,121.07,119.72,120.1,797066
"2013-10-10",119.99,121.35,119.97,121.31,704350
"2013-10-17",122.52,124.47,122.51,124.4,700699
"2013-10-24",123.79,124.35,123.45,124.02,865176
"2013-10-31",124.72,125.41,124.2,124.71,1262313
"2013-11-07",125.94,126.23,123.98,124.18,1067331
"2013-11-14",124.99,126.01,124.69,125.62,543322
"2013-11-21",124.86,125.59,124.19,125.42,632270
"2013-12-05",122.99,123.54,122.34,122.49,1217447
"2013-12-12",123.96,125.06,122.86,124.68,1218532
"2013-12-19",126.23,127.17,125.69,127.15,1108705
"2013-12-26",128.92,129.62,128.26,129.57,326845
"2014-01-02",129.14,129.92,128.74,129.5,777690
"2014-01-09",131,131.22,130.53,131,1664971
"2014-01-16",132.32,132.91,132.13,132.57,865559
"2014-01-23",131.89,133.19,131.04,131.28,1601985
"2014-01-30",126.89,127.26,125.25,125.49,1806796
"2014-02-06",122.71,124.32,122.28,124.28,1342427
"2014-02-13",127.5,129.79,127.33,129.41,994265
"2014-02-20",128.3,128.57,127.27,128.07,1101851
"2014-02-27",128.34,130,128.22,129.85,965532
"2014-03-06",130,130.98,129.46,130.83,901174
"2014-03-13",132.28,132.68,131.7,132.05,1657601
"2014-03-20",132.19,132.7,132.02,132.51,952348
"2014-03-27",129.68,129.89,128.65,128.8,1230728
"2014-04-03",132.07,132.69,131.23,131.23,959918
"2014-04-10",130.37,131.02,128.1,128.14,1250834
"2014-04-17",131.56,132.3,131.09,131.86,876508
"2014-04-24",132.1,132.11,130.49,130.65,1227759
"2014-05-01",130.83,130.92,129.56,130.29,902453
"2014-05-08",130.59,130.97,129.55,130.17,989507
"2014-05-15",131.02,131.29,129.65,130.36,788057
"2014-05-22",130.4,131.06,129.96,130.29,522828
"2014-05-29",130.6,132.62,130.1,132.5,752937
"2014-06-05",132.67,133.75,131.92,133.69,670727
"2014-06-12",132.23,132.63,130.72,130.99,680025
"2014-06-19",132.2,132.63,131.17,131.5,992099
