"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume"
"2011-09-15",65.58,66.17,65.05,65.99,4049624
"2011-09-22",59.39,59.58,55.6,56.91,7917479
"2011-09-29",57.45,58.41,56.16,57.67,4818856
"2011-10-06",56.32,57.9,55.78,57.76,5449518
"2011-10-13",59.55,59.6,58.09,59.04,3376424
"2011-10-20",62.05,63.05,61.25,62.79,2766072
"2011-10-27",64.99,66.91,64.59,65.7,3840532
"2011-11-03",66.22,67,64.78,66.06,3970800
"2011-11-10",67.23,67.74,66.11,67.24,4022128
"2011-11-17",65.67,66,63.31,63.94,3823181
"2011-12-01",65.31,66.1,64.6,65.1,2258721
"2011-12-08",65.77,66.34,63.5,63.73,3332876
"2011-12-15",62.31,62.58,60.25,60.35,4243474
"2011-12-22",62.69,63.42,62.46,62.87,3302557
"2011-12-29",61.37,62.42,61.32,62.29,2165181
"2012-01-05",65.48,65.49,63.82,65.37,3294864
"2012-01-12",63.77,64.26,63.26,63.38,3187114
"2012-01-19",64.53,65.2,63.87,64.15,3350487
"2012-01-26",66.54,66.61,64.54,64.82,3343755
"2012-02-02",63.87,64.43,63.04,63.92,3837280
"2012-02-09",66.3,66.85,65.21,66.23,3224172
"2012-02-16",73.11,75.42,72.89,75.02,10176310
"2012-02-23",74.79,75.21,73.79,75.09,3671074
"2012-03-01",73.35,74.38,73.21,74.13,2846424
"2012-03-08",72.66,72.89,71.84,72.15,3016937
"2012-03-15",71.32,73.33,71.13,72.54,5108105
"2012-03-22",72.03,72.09,70.49,70.85,3501682
"2012-03-29",70.65,70.94,69.35,70.61,3396353
"2012-04-05",71.79,72.9,71,71.17,4107005
"2012-04-12",67.72,69.33,67.64,69.13,3546003
"2012-04-19",66.61,67.3,65.52,65.91,3855372
"2012-04-26",67.58,69.13,67.34,69.05,3648348
"2012-05-03",68.1,68.4,66.15,66.47,4892586
"2012-05-10",64.61,65.62,64.2,64.6,3581273
"2012-05-17",61.67,62.41,61.17,61.38,3699204
"2012-05-24",61.52,61.52,59.7,60.43,4891860
"2012-05-31",59.74,60,58.63,59.52,4697576
"2012-06-07",60.89,61.42,59.18,59.3,3556747
"2012-06-14",56.49,57.12,56.1,56.7,4238867
"2012-06-21",56.85,56.95,54.83,54.89,6804434
"2012-06-28",55.72,56.94,55.53,56.84,3361441
"2012-07-05",58.35,58.65,57.56,57.99,3019164
"2012-07-12",55.21,55.41,54.56,54.65,3731488
"2012-07-19",59,59.34,58.79,58.95,3740701
"2012-07-26",57.45,58.19,57.18,57.95,3130902
"2012-08-02",56.11,56.84,55.05,55.41,5011118
"2012-08-09",59.37,61.21,59.2,60.42,3689465
"2012-08-16",58.41,59.06,58.3,58.89,2965443
"2012-08-23",61.08,61.71,60.46,60.52,3725005
"2012-08-30",58.59,58.8,57.63,57.64,2641176
"2012-09-06",57.3,59.02,57.07,58.4,2971005
"2012-09-13",61.65,62.74,60.71,62.19,3574329
"2012-09-20",60.36,61.07,60.01,60.97,2539165
"2012-09-27",59.4,60.83,59.32,60.63,3016361
"2012-10-04",60.57,60.96,60.03,60.82,2064707
"2012-10-11",61.05,62.14,60.72,61.61,2754755
"2012-10-18",62.47,62.87,62.16,62.65,2519055
"2012-10-25",59.29,59.53,57.92,58.88,2123139
"2012-11-01",58.21,58.89,57.8,58.52,2951698
"2012-11-08",55.04,55.31,53.84,54.02,6761967
"2012-11-15",53.37,53.48,51.98,52.48,4037172
"2012-11-29",53.1,53.53,52.52,52.6,3677847
"2012-12-06",52.51,53.33,52.35,53.09,2871011
"2012-12-13",52.88,52.88,52.22,52.33,4396380
"2012-12-20",53.91,54.22,53.4,54.19,3569331
"2012-12-27",52.32,52.41,51.55,52.26,2544603
"2013-01-03",52.34,53.68,52.06,53.39,3714880
"2013-01-10",53.68,53.96,53.35,53.88,3681238
"2013-01-17",54.16,54.45,54,54.14,2325642
"2013-01-24",54.36,54.71,54.06,54.29,2996273
"2013-01-31",57.52,57.67,56.72,57.19,4225526
"2013-02-07",58.3,60.38,58.23,59.5,6514260
"2013-02-14",61.12,61.8,60.4,60.66,5414750
"2013-02-21",56.35,56.42,54.88,54.88,6534504
"2013-02-28",54.09,54.56,53.86,54.26,4214730
"2013-03-07",54.31,55.87,54.3,55.79,3988599
"2013-03-14",55.76,57.79,55.7,57.68,4119515
