"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume"
"2013-03-21",56.79,57.7,56.65,56.91,2929584
"2013-03-28",57.14,57.3,56.34,56.42,3737321
"2013-04-04",53.81,54.16,53.11,53.39,3221717
"2013-04-11",55.95,56.69,55.46,56.54,2922377
"2013-04-18",52.92,53.5,52.09,53.1,3129397
"2013-04-25",53.52,54.5,53.31,53.47,2708486
"2013-05-02",55.74,56.88,55.02,56.64,4593368
"2013-05-09",58.4,58.68,57.92,58.39,2288744
"2013-05-16",58.65,58.87,57.91,58.23,2251036
"2013-05-23",57.96,58.68,57.29,58.29,5021538
"2013-05-30",58.54,58.79,57.77,58.39,2155106
"2013-06-06",57.94,58,54.83,55.83,7776893
"2013-06-13",54.52,55.16,54.22,55.04,2297933
"2013-06-20",53.71,53.79,52.53,52.71,4162650
"2013-06-27",53.3,53.65,52.25,52.36,3877638
"2013-07-11",55.8,56.9,55.52,55.97,3078099
"2013-07-18",56.35,57.11,56.2,56.78,2257584
"2013-07-25",56.28,56.8,56.07,56.5,2892957
"2013-08-01",55.51,56.54,55.51,56.33,2344859
"2013-08-08",56.7,59.4,56.7,58.67,5247910
"2013-08-15",57.59,58.12,57.41,58.02,2038116
"2013-08-22",56.24,57.71,56.15,57.33,1776049
"2013-08-29",57.4,57.65,56.65,56.77,1936989
"2013-09-05",57.5,58.79,57.49,58.73,3291728
"2013-09-12",59.16,59.67,58.72,58.9,1869365
"2013-09-19",60.03,60.2,59.3,59.68,2459550
"2013-09-26",59.53,59.74,59.05,59.47,2039042
"2013-10-03",58.13,58.45,57.81,57.97,2166083
"2013-10-10",58.8,60.41,58.79,60.28,4366223
"2013-10-17",62.42,63.13,62.01,62.97,2647464
"2013-10-24",64.13,64.8,63.97,64.5,2349393
"2013-10-31",63.35,63.82,62.79,63.22,2407396
"2013-11-07",61.32,61.49,59.53,59.76,6374311
"2013-11-14",60.58,61.03,60.17,60.82,2350840
"2013-11-21",63.22,63.52,62.46,62.6,5586919
"2013-12-05",60.61,61.9,60.43,61.36,3845857
"2013-12-12",59.8,60.3,59.39,59.42,2967016
"2013-12-19",59.41,61.12,59.15,60.75,3619996
"2013-12-26",61.16,61.46,60.6,61.12,2125290
"2014-01-02",61.69,61.84,60.92,61.16,2061600
"2014-01-09",61.28,61.52,59.99,60.78,2831453
"2014-01-16",59.11,59.58,58.95,59.37,3042150
"2014-01-23",60.32,60.59,59.84,60.12,2484479
"2014-01-30",59.11,60.5,58.73,59.67,4712022
"2014-02-06",59.48,60.67,59.04,60.45,3738308
"2014-02-13",60.89,62.46,60.72,62.27,3316279
"2014-02-20",64.21,64.93,64.05,64.56,3788188
"2014-02-27",63.47,64.42,63.4,64.31,3066489
"2014-03-06",64.54,64.75,64.07,64.52,1684744
"2014-03-13",63.22,63.37,62.48,62.59,2182942
"2014-03-20",62.97,63.56,62.72,63.29,2870351
"2014-03-27",64.14,65.39,64,64.69,3939558
"2014-04-03",68.4,69.58,68.11,68.51,4800670
"2014-04-10",68.21,69.48,67.91,68.61,5158542
"2014-04-17",69.97,71.04,69.64,70.7,4003523
"2014-04-24",71.62,72.41,71.38,71.91,3872625
"2014-05-01",69.94,70.26,69.65,69.89,3104819
"2014-05-08",72.93,73.22,70.79,70.99,5886559
"2014-05-15",71.68,71.71,70.01,70.74,4221501
"2014-05-22",73.62,73.69,72.7,72.71,2571328
"2014-05-29",73.65,73.98,73.13,73.89,2233671
"2014-06-05",74.81,75.1,74.5,74.79,2026918
"2014-06-12",76.87,78,76.79,77,3781626
"2014-06-19",78.15,78.5,77.6,78.49,2055276
"2014-06-26",79.23,79.46,78.16,78.6,1943698
"2014-07-03",78.94,79.26,78.18,79.21,1413704
"2014-07-10",78.16,78.74,77.33,78.1,3014217
"2014-07-17",77.94,78.63,75.6,75.74,3876940
"2014-07-24",78.49,79.31,78.31,79.03,2921698
"2014-07-31",77,77.04,75.43,75.5,2800958
"2014-08-07",74.57,74.67,73.01,73.47,2505740
"2014-08-14",72.93,73.27,72.44,72.66,2744129
"2014-08-21",73.9,74.99,73.9,74.9,1788377
"2014-08-28",74.02,74.85,73.93,74.63,1314046
"2014-09-04",73.77,74.04,71.94,72.31,3207500
"2014-09-11",70.07,70.98,69.7,70.63,2234759
"2014-09-18",72.02,72.2,70.96,71.56,4937488
"2014-09-25",69.76,70.26,68.64,68.7,2555784
"2014-10-02",66.57,67.06,65.13,66.56,3325538
"2014-10-09",63.29,63.37,61.24,61.3,5182510
"2014-10-16",54.42,57.2,53.92,56.54,7999396
"2014-10-23",59.77,60.66,59.24,60.01,3964771
"2014-10-30",59.19,59.57,58.04,58.3,3562386
"2014-11-06",61.32,62.57,60.98,62.56,5122889
"2014-11-13",63.44,64,62.26,63.28,4072333
"2014-11-20",64.91,66.86,64.65,66.76,3741944
"2014-12-04",60.34,60.34,59.27,59.52,3995592
"2014-12-11",54.37,55.54,53.64,53.84,4907950
"2014-12-18",60.34,60.72,57.82,60.29,6041360
"2015-01-08",58.75,60.45,58.01,59.82,4551836
"2015-01-15",59.92,60.17,57.78,57.86,3758886
"2015-01-22",61.98,62.18,59.92,61.25,3888384
"2015-01-29",58.93,59.21,56.91,58.72,3087218
"2015-02-05",64.54,65.4,64.07,65,5249550
"2015-02-12",65.59,66.28,65.1,65.78,4933463
"2015-02-19",62.37,64.8,62.18,64.41,4240556
"2015-02-26",64.73,64.94,62.26,62.55,3561739
"2015-03-05",61.64,61.64,60.82,60.83,2499598
"2015-03-12",57.96,58.1,57.09,57.17,3328260
"2015-03-19",59.09,59.45,58.18,58.26,2238246
"2015-03-26",60.94,61.18,59.63,60.06,3811185
"2015-04-02",61.37,62.92,61.06,62.55,4740544
"2015-04-09",63.67,65.24,63.47,64.94,3854839
"2015-04-16",66.49,67.32,65.72,66.59,3463459
"2015-04-23",66.2,67.2,66.06,66.3,2764404
"2015-04-30",69.16,69.16,67.36,68.21,3388739
"2015-05-07",67.27,67.6,66.11,66.47,4426595
"2015-05-14",66.09,66.62,65.55,65.68,2020494
"2015-05-21",66.28,67.6,66.28,67.51,2922325
"2015-05-28",65.88,65.95,64.78,65.38,2167640
"2015-06-04",63.38,63.57,62.93,63.08,3106934
"2015-06-11",63.84,64.05,62.89,62.94,3200515
"2015-06-18",61.91,62.19,61.37,61.44,1988593
"2015-06-25",61.25,61.35,60.18,60.38,2552868
"2015-07-02",57.87,58.43,57.58,57.87,2826236
"2015-07-09",56.75,57.13,55.93,55.94,2548132
"2015-07-16",55.07,55.38,54.14,54.37,2904957
"2015-07-23",51.21,51.44,50.35,51.16,3548659
"2015-07-30",51,51.67,50.13,50.61,3516347
"2015-08-06",46.9,48.64,46.45,48.3,5896851
"2015-08-13",47.29,47.52,45.91,46.01,5170484
"2015-08-20",45.09,45.09,42.8,42.81,5352979
"2015-08-27",39.32,41.2,39.19,40.78,8945648
"2015-09-03",40.83,42.2,40.39,40.83,5352238
"2015-09-10",39.88,40.6,39.29,39.99,5827572
"2015-09-17",41.09,41.97,40.6,40.81,5182886
"2015-09-24",37.71,38.95,37.41,38.6,4761705
"2015-10-01",37.86,38.92,37.37,37.75,5624523
"2015-10-08",43.63,44.96,43.06,44.67,4619794
"2015-10-15",44.4,45.7,44.18,45.67,3732296
"2015-10-22",44.4,45.02,43.63,44.75,4388867
"2015-10-29",41.22,42.48,40.9,41.04,5636336
"2015-11-05",46.24,48.54,46,47.51,6365986
"2015-11-12",44.97,46.07,44.4,45.06,6062792
"2015-11-19",46.5,46.98,45.31,45.98,3658242
"2015-12-03",43.87,43.87,40.68,41.1,9820844
"2015-12-10",35.1,36.7,34.7,35.51,6799667
"2015-12-17",30.51,30.66,28,28.98,15841423
"2015-12-24",33.22,33.47,32.03,32.7,3816944
"2015-12-31",30.99,32.2,30.57,32,4454100
"2016-01-07",29.21,30.13,27.9,28.06,11164910
"2016-01-14",25.04,26.22,24.18,25.96,8579938
"2016-01-21",21.33,24.92,21.18,24.18,10874273
"2016-01-28",25.8,26.99,25.21,26.79,11270441
"2016-02-04",26.77,28.87,26.42,26.56,11733223
"2016-02-11",21.02,21.6,19.62,21.25,15188640
"2016-02-18",19.21,20.41,18.99,19.7,97153235
"2016-02-25",19.45,19.95,18.85,19.56,16421246
"2016-03-03",21.39,22.51,21.19,22,17469518
"2016-03-10",22.68,22.77,21.15,22.48,18342034
"2016-03-17",27.03,28.07,26.33,27.4,17453379
"2016-03-24",24.88,26.63,24.6,26.47,12752927
"2016-03-31",26.02,27.5,25.89,27.44,11410428
"2016-04-07",27.36,28.25,27.15,27.6,10530031
"2016-04-14",31.18,31.41,30.58,31.35,10435962
"2016-04-21",34.86,35.25,33.82,33.93,13863327
"2016-04-28",36.45,37.68,35.9,36.11,11992257
"2016-05-05",32.49,32.94,30.71,31.2,11015703
"2016-05-12",33.7,34.12,32.37,32.71,9703091
"2016-05-19",33.55,34.23,32.77,33.9,8080598
"2016-05-26",36.82,37.08,35.85,35.9,7546138
"2016-06-02",35.44,36.82,35.39,36.81,6622896
"2016-06-09",36.94,37.63,36.43,37.45,5823549
"2016-06-16",34.96,35.4,33.61,34.8,17231444
"2016-06-23",38.44,38.86,38.06,38.8,5841248
"2016-06-30",36.54,36.79,35.82,36.25,6254051
"2016-07-07",37.54,38.39,36.35,36.81,7558863
"2016-07-14",39.83,39.9,38.28,38.39,6364064
"2016-07-21",37.96,38.91,37.26,37.33,5857973
"2016-07-28",36.21,36.64,35.66,36.13,6028512
"2016-08-04",37.8,38.89,37.28,38.61,9601069
"2016-08-11",40.09,41.66,39.6,41.31,7406998
"2016-08-18",43.66,45.01,43.66,44.76,6775394
"2016-08-25",44.51,45,43.94,44.38,4122716
"2016-09-01",43.18,43.92,42.83,43.7,6026770
"2016-09-08",44.8,45.52,44.21,45.28,6448901
"2016-09-15",40.39,41.25,40.26,40.9,4484611
