"","ALXN.Open","ALXN.High","ALXN.Low","ALXN.Close","ALXN.Volume"
"2011-09-15",62.31,64.17,61.82,64.08,2230114
"2011-09-22",63.96,64.96,62.2,63.37,1734176
"2011-09-29",66.98,67,62.5,64.23,1871700
"2011-10-06",64.92,65.87,64.29,65.64,1182694
"2011-10-13",65.99,67.98,65.41,67.38,1182542
"2011-10-20",68.72,69.79,65.28,66.76,2379065
"2011-10-27",67.84,68.15,66.83,67.54,990966
"2011-11-03",66.73,67.05,64.81,65.2,1085215
"2011-11-10",64.69,65.05,62.72,63.6,1054923
"2011-11-17",66.26,66.71,64.3,64.69,1210565
"2011-12-01",68.51,69.27,67.8,69.26,798721
"2011-12-08",64.32,65.09,63.81,64.18,837404
"2011-12-15",63.25,63.96,62.55,63.67,834759
"2011-12-22",67.65,68.13,67.07,67.36,713062
"2011-12-29",69.97,71.29,69,70.98,1289391
"2012-01-05",70.95,73.05,70.37,72.41,1462991
"2012-01-12",73.89,74.38,73.12,74.32,681014
"2012-01-19",77.19,77.19,75.57,75.69,1255650
"2012-01-26",74.94,75.38,73.69,74.95,949573
"2012-02-02",77.35,78.51,76.81,77.78,917342
"2012-02-09",79,83.1,76.81,80.41,2365202
"2012-02-16",83.04,84,82.23,83,982756
"2012-02-23",84.96,87.63,84.32,85.91,1810438
"2012-03-01",84.13,84.68,83.01,84.54,1039592
"2012-03-08",84.04,85.46,83.9,84.91,954181
"2012-03-15",89.16,89.77,89.01,89.52,1133431
"2012-03-22",92.55,94.22,91.64,94.02,1565954
"2012-03-29",89.23,91.5,88.74,91.26,1514665
"2012-04-05",92.18,93.86,91.93,93.67,661008
"2012-04-12",90.19,90.92,89.77,90.1,675328
"2012-04-19",90.34,92.38,90.31,90.97,792847
"2012-04-26",90.74,90.74,89.28,89.38,1218732
"2012-05-03",92.53,92.57,90.61,90.99,664579
"2012-05-10",84.62,86.75,84.62,86.22,1259158
"2012-05-17",86.8,87.4,84.34,84.35,1499423
"2012-05-24",90.86,93.37,90.77,93.1,26402416
"2012-05-31",91.57,92.21,89.62,90.57,4854645
"2012-06-07",91.76,92,90.19,90.38,949775
"2012-06-14",91.9,93.71,91.54,92.96,1393708
"2012-06-21",98.15,98.87,94.7,94.99,1811658
"2012-06-28",98.57,98.79,94.62,96.49,1341366
"2012-07-05",103.88,104.27,103.21,103.39,1463299
"2012-07-12",96.02,97.52,94.8,97.19,1125062
"2012-07-19",100.14,101,98.82,100.32,1384614
"2012-07-26",105.36,108.87,103.95,106.14,2631212
"2012-08-02",101.55,103.21,101,102.3,1158962
"2012-08-09",104.48,105.46,103.47,103.63,739522
"2012-08-16",105.14,105.24,103.46,103.61,838083
"2012-08-23",103.87,104.5,102.63,103.7,671877
"2012-08-30",105.75,106.16,104.89,105.6,778594
"2012-09-06",107.79,109.25,107.31,109.03,743383
"2012-09-13",108.97,110.79,107.4,110.46,779709
"2012-09-20",113.89,114.24,112.9,113.73,571894
"2012-09-27",112.09,113.54,111.44,113.25,755092
"2012-10-04",118.25,119.48,117.46,117.72,680995
"2012-10-11",112.22,113.33,111.55,112.16,829329
"2012-10-18",116.4,116.84,113.54,113.67,821696
"2012-10-25",94.32,97,94.11,96.45,2808650
"2012-11-01",90.43,93.75,89.22,92.4,2366860
"2012-11-08",87.51,89.33,86.2,88.69,2980171
"2012-11-15",89.27,89.4,86.8,88.25,1838787
"2012-11-29",96.44,97.16,95.3,95.65,684398
"2012-12-06",94.18,95.1,92.85,93.59,983874
"2012-12-13",94.61,95.2,92.95,94.12,1060357
"2012-12-20",95.56,96.43,94.85,95.86,889930
"2012-12-27",93.72,94.71,92.03,93.62,1217827
"2013-01-03",99.34,99.84,98.06,98.48,1041975
"2013-01-10",100.68,102.74,100.09,102.57,1721839
"2013-01-17",98.24,98.53,97.31,97.41,929878
"2013-01-24",93.65,95.91,92.33,94.55,3010198
"2013-01-31",94.73,95.38,93.62,93.99,1104038
"2013-02-07",94.08,94.33,91.68,92.67,1691987
"2013-02-14",94.52,95.25,84.52,87.63,5936469
"2013-02-21",84.38,87.98,83.62,87.28,3895591
"2013-02-28",86.24,87.75,86,86.74,1324733
"2013-03-07",92.7,93.17,91.46,92.24,1289377
"2013-03-14",91.64,92.05,91.41,91.84,875456
"2013-03-21",92.99,93.8,91.85,92.34,834525
"2013-03-28",91.69,93,90.29,92.14,2555273
"2013-04-04",97.98,99.14,97.1,98.9,1720610
"2013-04-11",100.21,100.78,99.78,100.42,1013441
"2013-04-18",94.72,94.72,91.43,92.02,1365403
"2013-04-25",92.65,99.07,91.1,98.82,4363656
"2013-05-02",96.38,97.65,95.68,96.2,1171131
"2013-05-09",96.74,99.84,96.7,98.19,1853685
"2013-05-16",104.84,104.85,100.03,101.82,1670443
"2013-05-23",99.74,101.28,98,99.88,779971
"2013-05-30",99.58,101.71,99.44,101.13,725991
"2013-06-06",90.59,92.94,90.34,92.92,1437876
"2013-06-13",91.31,93.73,90.61,93.41,811240
"2013-06-20",90.17,91.01,87.39,88.47,1678734
"2013-06-27",93.67,94.2,92.84,93.79,968854
"2013-07-11",101.19,102.37,100.5,101.44,1347565
"2013-07-18",108.9,112.12,108.55,111.58,2019738
