"","ARE.Open","ARE.High","ARE.Low","ARE.Close","ARE.Volume"
"2014-10-30",81.62,82.52,81.38,82.49,389914
"2014-11-06",82.91,83.36,82.24,82.47,331894
"2014-11-13",82.99,83.4,82.83,83.27,402017
"2014-11-20",81.9,82.22,81.49,81.58,459113
"2014-12-04",86.85,88.3,86.05,88.12,622327
"2014-12-11",89.58,89.64,89.06,89.15,214595
"2014-12-18",89.12,89.27,88.5,88.86,368511
"2015-01-08",92.57,93.85,92.43,93.63,718783
"2015-01-15",95.39,95.5,94.58,95.25,326440
"2015-01-22",96.66,98.17,96.05,98.16,364472
"2015-01-29",99.22,99.32,98.22,99.32,224877
"2015-02-05",96.47,97.04,96.34,96.89,483282
"2015-02-12",94.86,96.37,94.49,96.19,269889
"2015-02-19",96.1,96.2,94.41,94.76,319677
"2015-02-26",95.66,96.12,94.5,95.04,427873
"2015-03-05",97.42,98.76,97.05,97.83,424914
"2015-03-12",95.83,97.47,95.66,97.46,404098
"2015-03-19",98.99,100,98.54,99.48,503139
"2015-03-26",98.97,99.52,97.48,97.57,541133
"2015-04-02",96.61,97.78,96.54,96.94,751431
"2015-04-09",95.9,95.93,94.05,94.27,1015194
"2015-04-16",92.7,93.52,92.24,93.16,352894
"2015-04-23",93.6,94.28,93.2,94.01,288370
"2015-04-30",92.5,92.56,91.08,92.38,646430
"2015-05-07",90.51,92.1,90.1,91.96,431077
"2015-05-14",91.69,93.34,91.42,93.31,323049
"2015-05-21",94.55,95.12,93.4,93.74,179965
"2015-05-28",94.48,94.78,93.8,94.43,369703
"2015-06-04",91.37,92.08,90.96,91.63,319384
"2015-06-11",90.86,92.52,90.5,91.9,383491
"2015-06-18",92.71,94.06,92.37,93.3,397874
"2015-06-25",90,90.56,88.83,88.92,414485
"2015-07-02",89.94,90.46,88.61,88.86,271173
"2015-07-09",91.16,91.3,90.08,90.08,259800
"2015-07-16",91.64,92.6,91.64,92.41,256020
"2015-07-23",93.39,93.39,91.37,91.87,257103
"2015-07-30",93.43,93.8,92.23,92.6,325979
"2015-08-06",92.55,92.81,90.83,92.22,265131
"2015-08-13",91.66,92.81,90.79,92.27,231455
"2015-08-20",94.34,95.21,93.34,94.46,347795
"2015-08-27",88.5,89.08,87.09,88.28,453332
"2015-09-03",85.59,86.4,85.07,85.4,154604
"2015-09-10",84.05,85.29,83.83,84.38,356538
"2015-09-17",88.88,90.83,87.91,89.55,265120
"2015-09-24",89.44,89.9,88.14,88.74,378088
"2015-10-01",84.99,85.2,83.95,84.49,652672
"2015-10-08",89.59,91.26,89.24,90.73,931148
"2015-10-15",91.94,94.19,91.87,92.43,450751
"2015-10-22",94.43,95.03,90.64,90.65,1168131
"2015-10-29",90.42,92.05,89.68,90.31,391675
"2015-11-05",91.51,93.01,90.93,92.69,578044
"2015-11-12",88.92,89.84,88.36,88.75,376121
"2015-11-19",89.53,90.56,88.98,90.41,295335
"2015-12-03",90.83,91.57,89.05,89.34,343120
"2015-12-10",89.27,89.66,88.48,88.71,417028
"2015-12-17",91.14,92.02,90.64,90.86,553206
"2015-12-24",91.25,91.45,90.29,90.98,94679
"2015-12-31",91.45,91.75,90.33,90.36,386051
"2016-01-07",88.09,88.82,86.76,86.76,354667
"2016-01-14",81.45,81.87,80.23,81.01,657204
"2016-01-21",76.94,77.64,76.3,76.42,753220
"2016-01-28",78.24,79.02,77.12,77.66,695124
"2016-02-04",76.06,78.09,75.88,76.91,442743
"2016-02-11",72.25,72.51,71.33,71.65,711641
"2016-02-18",74.44,75.68,73.64,74.76,567474
"2016-02-25",76.7,78.66,76.7,78.5,472028
"2016-03-03",81.05,82.74,80.67,82.73,330182
"2016-03-10",84.27,84.54,83.1,83.96,328233
"2016-03-17",87.75,89.51,87.44,89.34,310811
"2016-03-24",88.11,88.52,87.45,88.52,463080
"2016-03-31",90.31,91.14,90.12,90.89,344271
"2016-04-07",90.03,90.55,89.43,89.79,382263
"2016-04-14",92.13,92.59,91.18,92.41,300318
"2016-04-21",92.11,93.33,90.34,91.09,523110
"2016-04-28",93.15,94.1,92.85,93.84,294675
"2016-05-05",95.19,95.66,94.61,95.61,513693
"2016-05-12",94.13,94.41,93.28,93.72,476909
"2016-05-19",93.4,93.78,92.47,93.53,379760
"2016-05-26",98.26,98.26,96.46,96.47,846328
"2016-06-02",96.48,97.33,95.87,97.29,446645
"2016-06-09",97,98.29,96.51,98.16,574143
"2016-06-16",98.12,98.77,97.46,98.61,344011
"2016-06-23",98.94,99.52,98.74,99.24,385771
"2016-06-30",101.73,103.6,101.32,103.52,497400
"2016-07-07",101.3,102,100.53,101.27,3589068
"2016-07-14",103.83,104.8,103.32,103.76,389567
"2016-07-21",105.56,107.3,105.56,107.19,522386
"2016-07-28",108.69,111.39,108.69,111.03,532933
"2016-08-04",111.24,112.44,110.64,112.38,503936
"2016-08-11",111.65,111.65,109.98,110.72,544208
"2016-08-18",109.62,110.3,109.53,110.2,393231
"2016-08-25",109.26,110.14,108.99,109.24,297337
"2016-09-01",110.23,110.4,109.24,109.99,368309
"2016-09-08",114.15,114.62,113.53,113.59,478467
"2016-09-15",105.09,105.88,104.59,105.67,288195
