"","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume"
"2011-09-15",76.5,79.19,75.48,78.99,2787861
"2011-09-22",71.08,71.27,66.61,68.44,3034471
"2011-09-29",70.72,70.9,66.68,68.5,1596729
"2011-10-06",68.18,70.71,67.24,70.41,1709534
"2011-10-13",68.91,70.3,67.76,69.95,2335772
"2011-10-20",79.33,80.58,76.97,80.09,2673462
"2011-10-27",86.42,89.43,85.44,87.3,1881130
"2011-11-03",91.91,94.8,91.47,94.15,3038041
"2011-11-10",87.98,93.5,87.98,92.12,4170077
"2011-11-17",93.95,94.41,90.1,91.07,2397042
"2011-12-01",94.16,95.69,93,93.74,1468677
"2011-12-08",91.87,92.53,88.1,88.45,1747426
"2011-12-15",84.24,85.56,82.28,82.81,1885885
"2011-12-22",87.6,89.56,87.33,89.29,1372089
"2011-12-29",88.2,89.07,87.53,88.97,783648
"2012-01-05",92.7,95.63,92.13,95.5,2161803
"2012-01-12",94.97,98.62,94.82,96.56,3482766
"2012-01-19",99.94,101.69,99.64,100.89,2024842
"2012-01-26",102,102.49,97.86,98.71,1750470
"2012-02-02",101.69,104.66,101,102.66,2294095
"2012-02-09",110.18,110.71,108.35,110.17,1641288
"2012-02-16",113.29,115.14,112.33,114.88,1439253
"2012-02-23",113.48,114.95,111.95,114.7,1721445
"2012-03-01",110.62,112.13,109.58,111.9,1451063
"2012-03-08",106.22,108.15,104.79,107.7,1507410
"2012-03-15",106.74,107.63,105.27,106.55,1204585
"2012-03-22",102.19,103.14,99.82,100.69,2468495
"2012-03-29",104.11,105.39,102.44,105.2,1434968
"2012-04-05",109.35,111.34,109,109.6,1379743
"2012-04-12",103.99,108.26,103.82,107.83,2039681
"2012-04-19",106.34,107.74,104.96,105.89,1301325
"2012-04-26",113.2,115.95,112.87,115.64,1433300
"2012-05-03",114.15,117.63,109.75,110.86,3843320
"2012-05-10",104.08,106.6,103.06,104.23,2069502
"2012-05-17",98.1,99.2,96.69,96.72,1833416
"2012-05-24",99.99,100,96.09,98.03,2222206
"2012-05-31",98.23,98.69,94.57,96.7,2713703
"2012-06-07",96.14,98.29,94.24,95.27,2820594
"2012-06-14",89.24,90.4,86.31,88.17,3870922
"2012-06-21",86.16,86.25,80.54,80.84,3414034
"2012-06-28",81.53,83.47,80.71,83.31,2419499
"2012-07-05",90.06,90.73,87.81,88.04,1563769
"2012-07-12",83.58,84.64,82.75,83.88,1573202
"2012-07-19",88.85,94.74,88.85,93.49,3936141
"2012-07-26",90.11,90.84,88.58,89.52,2160852
"2012-08-02",91.63,94.25,90.6,92,2941248
"2012-08-09",98.92,99.97,98.68,99.87,1223851
"2012-08-16",99.19,100.55,97.95,100.07,1089410
"2012-08-23",97.38,97.96,96.1,96.13,995617
"2012-08-30",97.5,97.55,96,96.14,1090616
