"","IRM.Open","IRM.High","IRM.Low","IRM.Close","IRM.Volume"
"2015-01-22",40.24,40.41,39.76,40.34,3099586
"2015-01-29",40.08,40.68,40.07,40.67,906848
"2015-02-05",40.61,41.12,40.5,41.09,1111744
"2015-02-12",40.04,40.52,39.81,40.47,835885
"2015-02-19",39.51,39.51,38.8,38.83,1163143
"2015-02-26",36.42,36.88,36.25,36.85,1955891
"2015-03-05",36.51,36.68,36.44,36.59,1082300
"2015-03-12",36.01,36.77,35.98,36.7,1045092
"2015-03-19",38.56,38.76,38.2,38.27,2046058
"2015-03-26",36.35,36.6,36.11,36.37,1717460
"2015-04-02",36.3,37.25,36.27,37.15,1153626
"2015-04-09",37.49,37.64,37.09,37.37,952981
"2015-04-16",36.36,36.91,36.16,36.88,1022887
"2015-04-23",36.38,36.98,36.32,36.5,1704302
"2015-04-30",35.26,35.6,34.29,34.49,3411022
"2015-05-07",34.34,35.11,34.15,34.93,1469348
"2015-05-14",36.45,36.6,36.22,36.58,2246566
"2015-05-21",37.25,37.29,36.52,36.73,1021255
"2015-05-28",36.82,37,36.46,36.75,1219950
"2015-06-04",34.06,34.31,32.77,32.89,2790513
"2015-06-11",32.01,32.06,31.64,31.86,1389786
"2015-06-18",32.11,32.89,32.03,32.71,2580618
"2015-06-25",31.69,31.82,31.44,31.45,1109638
"2015-07-02",31.67,32.25,31.13,31.55,1798421
"2015-07-09",30.89,31.19,30.65,30.67,995375
"2015-07-16",31.62,31.8,31.45,31.77,910099
"2015-07-23",31.51,31.58,31.12,31.2,1229210
"2015-07-30",29.21,29.94,28.34,29.91,2305812
"2015-08-06",29.87,29.87,28.99,29.27,1285465
"2015-08-13",29.71,29.94,29.48,29.52,1134026
"2015-08-20",29.85,30.62,29.71,30.24,2059262
"2015-08-27",27.75,28.35,27.61,28.21,1739302
"2015-09-03",28.17,28.7,28.12,28.44,1611821
"2015-09-10",28.05,28.26,27.82,28.04,1483201
"2015-09-17",29.21,30.01,29.15,29.48,920829
"2015-09-24",29.71,30.44,29.66,30.31,1886599
"2015-10-01",31.07,31.16,30.72,31.16,1570138
"2015-10-08",31.76,32.35,31.55,32.3,1359876
"2015-10-15",31.46,31.56,30.94,31.25,1561745
"2015-10-22",31.49,31.69,31.14,31.28,4311330
"2015-10-29",30.43,30.81,30.03,30.3,2747686
"2015-11-05",31.41,31.58,31.08,31.44,1068036
"2015-11-12",29.43,29.49,28.99,29.12,1289169
"2015-11-19",28.99,29.17,28.78,28.86,1191225
"2015-12-03",27.5,28.25,27.24,27.37,1607997
"2015-12-10",27.05,27.5,26.64,26.84,1293805
"2015-12-17",27.49,27.67,27.1,27.16,1197500
"2015-12-24",27.57,27.71,27.27,27.34,623440
"2015-12-31",27.53,27.57,26.99,27.01,744355
"2016-01-07",26.73,26.81,26.11,26.22,824330
"2016-01-14",25.09,25.39,24.71,25.11,1260359
"2016-01-21",24.67,25.34,24.39,24.87,1183369
"2016-01-28",26.13,26.38,25.87,26.1,903149
"2016-02-04",27.13,27.55,26.91,27.35,1654223
"2016-02-11",26.24,26.75,26.16,26.61,1511983
"2016-02-18",28.86,29.47,28.67,29.27,1160231
"2016-02-25",29.32,29.95,28.79,29.93,1150950
"2016-03-03",29.5,30.29,29.16,30.2,1531259
"2016-03-10",31.5,31.61,30.32,30.6,1703318
"2016-03-17",31.62,32.68,31.51,32.62,1481140
"2016-03-24",32.7,32.82,32.38,32.77,801700
"2016-03-31",33.58,34.15,33.5,33.91,1219146
"2016-04-07",32.39,32.54,32.21,32.28,916266
"2016-04-14",33.1,33.28,32.92,33.27,1823098
"2016-04-21",35.1,35.25,34.51,35.21,10329526
"2016-04-28",35.85,36.62,35.84,36.24,2933969
"2016-05-05",37.27,37.38,36.95,37.27,1442155
"2016-05-12",37.5,38.21,37.5,38.08,1696207
"2016-05-19",36.32,36.5,35.76,36.33,2541690
"2016-05-26",36.65,37,36.65,36.82,1595394
"2016-06-02",36.12,36.65,36.1,36.62,2141188
"2016-06-09",36.98,37.15,36.67,37.11,1563838
"2016-06-16",38.36,38.47,38.04,38.35,1562785
"2016-06-23",38.55,38.74,38.44,38.6,873985
"2016-06-30",39.55,39.84,39.34,39.83,1802252
"2016-07-07",40.02,40.07,39.22,39.28,1543765
"2016-07-14",40.77,41.06,40.21,40.26,1123750
"2016-07-21",40.09,40.28,39.99,40.27,585103
"2016-07-28",40.87,41.3,40.51,41.24,974404
"2016-08-04",40.21,40.33,37.76,37.95,3371424
"2016-08-11",36.77,37.08,36.48,37.04,2339286
"2016-08-18",36.87,37.44,36.87,37.43,1346803
"2016-08-25",38.02,38.51,38.02,38.39,1490857
"2016-09-01",38.48,38.71,38.3,38.55,2144430
"2016-09-08",39.02,39.04,38.21,38.28,3019638
"2016-09-15",35.56,36.2,35.42,36.05,2193201
