"","RHT.Open","RHT.High","RHT.Low","RHT.Close","RHT.Volume"
"2013-06-13",46.23,46.34,45.08,45.85,3224887
"2013-06-20",47.85,48.15,45.66,45.88,4977828
"2013-06-27",47.07,48.82,47,48.47,3299035
"2013-07-11",48.92,50.9,48.92,50.57,2153497
"2013-07-18",49.66,50.66,49.47,50.21,1380455
"2013-07-25",50.53,51.78,50.18,51.75,2233405
"2013-08-01",52.13,52.8,52.07,52.48,1399405
"2013-08-08",51.6,52.26,51.39,52.04,873095
"2013-08-15",52.45,52.46,51.28,51.97,1261694
"2013-08-22",51.19,52.2,51.16,51.96,703305
"2013-08-29",50.17,51.18,50.02,50.85,743321
"2013-09-05",51.08,51.42,50.79,50.86,559807
"2013-09-12",53.35,53.54,52.76,52.85,658377
"2013-09-19",53.98,54.38,53.36,53.59,1165889
"2013-09-26",46.99,47.18,46.2,46.62,2962146
"2013-10-03",45.24,45.35,44.31,44.91,3211632
"2013-10-10",43.1,43.4,42.35,42.87,3420289
"2013-10-17",43.25,43.67,43.05,43.53,2014082
"2013-10-24",42.43,43.86,42.35,43.75,2472008
"2013-10-31",43.37,43.82,43.22,43.27,1212804
"2013-11-07",44.14,44.39,43.14,43.2,1381985
"2013-11-14",46.49,46.71,45.98,46.32,2627164
"2013-11-21",46.63,47.19,46.63,47.11,1355802
"2013-12-05",47.15,47.17,46.42,46.67,1570541
"2013-12-12",46.07,47.03,46.05,46.35,2219060
"2013-12-19",48.82,49.48,48.71,49,3014806
"2013-12-26",56,56.15,55.16,55.87,1610470
"2014-01-02",55.95,56,55.39,55.83,1122485
"2014-01-09",57.21,57.96,56.93,57.29,1719791
"2014-01-16",59,59.18,58.72,59.06,972620
"2014-01-23",58.3,58.34,57.57,58.12,1374196
"2014-01-30",56.26,57.18,55.9,57.12,2188525
"2014-02-06",54.97,55.59,54.91,55.54,838003
"2014-02-13",57.18,58.45,56.98,58.43,1626008
"2014-02-20",58.81,59.36,58.32,59.3,809116
"2014-02-27",59.74,60,59.11,59.93,1094451
"2014-03-06",60.81,61.45,60.45,60.86,1348032
"2014-03-13",59.34,59.34,56.85,57.41,1569509
"2014-03-20",58.19,58.72,57.5,58.47,2047259
"2014-03-27",55.94,56.65,54.8,56.13,3002533
"2014-04-03",53.14,53.28,51.23,51.34,2135064
"2014-04-10",51.87,52,49.77,50.02,2480804
"2014-04-17",50.4,50.81,49.8,50.55,2074271
"2014-04-24",50.48,50.67,49.45,49.63,1587783
"2014-05-01",48.59,49.73,48.53,48.75,1059067
"2014-05-08",48.55,49.4,48.08,48.33,1148787
"2014-05-15",49.35,49.62,48.75,49.48,1523505
"2014-05-22",50.06,50.77,49.9,50.46,1126436
"2014-05-29",50.13,50.6,50.08,50.54,714171
"2014-06-05",49.79,50.52,49.59,50.31,722349
"2014-06-12",51.45,51.6,50.44,50.49,1033184
"2014-06-19",55.64,57.35,54.02,55.11,7360226
"2014-06-26",55.37,55.75,55.03,55.33,1144673
"2014-07-03",56.15,56.37,55.88,56.1,827862
"2014-07-10",54.09,55.24,53.76,54.78,1090730
"2014-07-17",54.48,55.07,53.85,53.93,997216
"2014-07-24",56,56.45,55.72,56.38,1409585
"2014-07-31",57.78,58.31,57.63,58.12,2510341
"2014-08-07",58.68,58.7,58.12,58.38,765855
"2014-08-14",59.89,59.94,59.51,59.83,683589
"2014-08-21",61.77,62.12,61.47,61.57,931462
"2014-08-28",60.79,60.88,59.81,60.65,1372386
"2014-09-04",61.55,61.74,60.98,61.2,846649
"2014-09-11",61.06,61.8,60.72,61.68,999216
"2014-09-18",61.13,61.4,60.45,60.66,2247504
"2014-09-25",56.71,56.98,55.74,55.86,1141466
"2014-10-02",56.9,57.45,56.23,57.38,4828996
"2014-10-09",58.41,59.23,57.89,58.05,2394790
"2014-10-16",53.79,55.82,53.73,54.93,1978224
"2014-10-23",55.28,56,55.15,55.51,1619437
"2014-10-30",56.75,58.43,56.73,58.25,1835648
"2014-11-06",59.68,60.85,59.58,60.74,1714258
"2014-11-13",61.43,61.99,60.77,61.13,1562900
"2014-11-20",62.39,63.14,62.06,62.79,1065178
"2014-12-04",62.12,62.32,61.58,61.68,1789686
"2014-12-11",58.84,59.59,58.28,58.42,1749462
"2014-12-18",60.69,61.75,60.34,61.5,4581110
"2015-01-08",69.16,70.28,68.67,69.03,2634863
"2015-01-15",66.79,66.83,64.3,64.37,2136157
"2015-01-22",64.93,66.12,64.01,65.92,1095836
"2015-01-29",64.64,65.79,64,65.75,1622901
"2015-02-05",64.96,65.48,64.55,65.31,795274
"2015-02-12",67.79,68.51,67.35,67.9,1807163
"2015-02-19",69.19,69.89,68.9,69.47,1060293
"2015-02-26",70.04,70.55,68.89,69.4,1186856
"2015-03-05",67.45,68.06,67.2,67.98,1080536
"2015-03-12",65.13,66.4,65.01,66.34,970037
"2015-03-19",67.23,69.5,66.96,69.18,1905227
"2015-03-26",72.7,76.7,72.28,75.36,10824610
"2015-04-02",75.2,75.45,74.65,75.1,1066186
"2015-04-09",75.07,75.56,74.36,75.48,1049869
"2015-04-16",75.58,75.69,74.75,74.81,1327051
"2015-04-23",75.26,77.08,75.06,76.85,1066314
"2015-04-30",75.83,76.46,74.92,75.26,1849288
"2015-05-07",74.48,75.15,74.27,74.76,722423
"2015-05-14",76.87,78.26,76.6,78.01,1212644
"2015-05-21",78.57,78.93,77.84,78.83,816800
"2015-05-28",78.32,78.6,77.7,77.78,917249
"2015-06-04",77.17,77.78,76.77,77.03,766809
"2015-06-11",78.82,78.97,78.11,78.55,897797
"2015-06-18",78.21,78.77,78.02,78.49,3580249
"2015-06-25",79.04,79.68,78.78,79.12,1427403
"2015-07-02",77.16,77.75,76.51,76.88,1003530
"2015-07-09",77.04,77.84,76.98,77.26,977303
"2015-07-16",80.62,80.98,80.24,80.59,660872
"2015-07-23",79.71,80.47,79.27,79.34,535983
"2015-07-30",79.04,79.65,78.07,79.45,625521
"2015-08-06",80.15,80.77,77.49,77.64,982766
"2015-08-13",77.22,77.65,76.61,76.97,937036
"2015-08-20",76.99,77.06,75.13,75.13,1351022
"2015-08-27",73.83,74.37,72.82,74.2,1923372
"2015-09-03",70.58,70.83,69.43,69.68,1387278
"2015-09-10",69.47,70.97,69.23,70.37,941954
"2015-09-17",70.96,72.31,70.49,71.38,1451339
"2015-09-24",72.91,73.3,71.75,73.16,1579622
"2015-10-01",71.93,73.31,71.65,73.19,1444826
"2015-10-08",73.73,75.16,72.85,75.14,1240436
"2015-10-15",75.52,77.8,75.08,77.7,1548618
"2015-10-22",76.53,78.12,75.85,76.97,2273119
"2015-10-29",78.84,79.45,78.36,78.85,1224197
"2015-11-05",82.69,83,81.36,81.57,1886518
"2015-11-12",80.64,81.4,79.79,79.81,1159210
"2015-11-19",80.9,81.92,80.55,81.32,1043065
"2015-12-03",81.88,81.93,79.81,80.33,1440429
"2015-12-10",79.16,80.05,78.93,79.63,1645168
"2015-12-17",78.81,79.34,77.66,78.86,3103133
"2015-12-24",82.01,82.23,81.63,81.74,343689
"2015-12-31",83.45,83.8,82.8,82.81,941294
"2016-01-07",79.37,81.31,79.01,79.49,2272440
"2016-01-14",76.71,76.96,74.48,76.53,2728727
"2016-01-21",70.39,71.14,69.78,70.31,1367493
"2016-01-28",68.34,69.04,66.45,67.39,2283932
"2016-02-04",68.06,69.8,67.99,68.62,1575778
"2016-02-11",62.4,63.24,60.98,61.97,2565932
"2016-02-18",67.3,67.71,65.27,65.35,1862291
"2016-02-25",66.08,67.72,65.83,67.68,1975567
"2016-03-03",68.2,68.7,67.33,68.67,883302
"2016-03-10",69.94,70.83,68.89,70.06,2125613
"2016-03-17",72.52,73.09,71.84,72.74,1061852
"2016-03-24",72.63,73.31,71.71,73.24,1950838
"2016-03-31",74.11,74.67,73.81,74.51,1114727
"2016-04-07",74.36,74.85,73.38,73.62,1413832
"2016-04-14",75.05,75.74,73.72,74.45,1252863
"2016-04-21",76,76.48,75.17,76.13,1361019
"2016-04-28",74.2,74.89,73.43,73.64,1108031
"2016-05-05",71.8,72.15,71.16,71.57,1204206
"2016-05-12",72.67,72.75,71.5,71.93,987673
"2016-05-19",72.8,73.29,72.01,72.44,786864
"2016-05-26",76.62,76.99,75.96,76.22,672959
"2016-06-02",77.36,78.24,77.28,78.23,901386
"2016-06-09",78.64,78.93,78.03,78.23,1367988
"2016-06-16",76.35,77.13,75.47,76.97,1448743
"2016-06-23",75.35,78.55,74.76,78.39,6054988
"2016-06-30",73.12,73.28,72.32,72.6,1850996
"2016-07-07",71.19,71.83,71.04,71.42,1296237
"2016-07-14",74.38,74.45,73.46,73.49,1471321
"2016-07-21",73.38,73.61,71.94,72.3,1514659
"2016-07-28",73.96,74.5,73.68,74.43,825458
"2016-08-04",74.58,75.09,74.13,74.6,1024864
"2016-08-11",74.42,74.97,74.16,74.42,1880199
"2016-08-18",73.04,73.93,72.88,73.71,972697
"2016-08-25",74.67,74.9,74.02,74.88,1099454
"2016-09-01",72.5,72.97,72.26,72.94,2710455
"2016-09-08",73.06,73.37,72.53,72.6,1820588
"2016-09-15",73.55,74.22,73.05,73.67,2325872
