"","RHT.Open","RHT.High","RHT.Low","RHT.Close","RHT.Volume"
"2011-09-15",40.3,41.34,40.26,41.24,2758491
"2011-09-22",42.18,42.55,40.32,41.49,8954799
"2011-09-29",44.42,44.8,42.75,43.93,3628957
"2011-10-06",40.67,42.09,40.08,42.04,2332212
"2011-10-13",45.38,46.49,45.2,46.18,2219850
"2011-10-20",45.51,45.68,44.33,45.37,1741505
"2011-10-27",48.94,51.54,48.73,49.56,3535549
"2011-11-03",49.3,50.77,48.6,50.61,1838184
"2011-11-10",49.46,49.51,47.98,49.07,940581
"2011-11-17",51.8,51.8,49.21,49.58,1965528
"2011-12-01",49.87,50.73,49.43,50.54,1548303
"2011-12-08",49.35,49.73,48.72,48.81,1987895
"2011-12-15",46.91,47,45.7,46.23,2274429
"2011-12-22",39.94,40.97,39.57,40.81,4982768
"2011-12-29",41.25,41.65,40.82,41.59,1430817
"2012-01-05",42.38,43.02,42.25,42.7,2798418
"2012-01-12",43.18,43.19,42.24,43.11,1297304
"2012-01-19",45.84,47,45.84,46.9,2718338
"2012-01-26",47.82,48.49,47.08,47.4,2357401
"2012-02-02",47.27,48,47.14,47.48,1278843
"2012-02-09",48.24,48.83,47.82,48.78,1145599
"2012-02-16",48.24,49.15,48.14,49.08,1099532
"2012-02-23",48.52,49.04,48.01,48.9,866250
"2012-03-01",49.74,50.82,49.67,50.72,1143289
"2012-03-08",50.1,51.15,50.02,50.67,1146710
"2012-03-15",50.31,50.77,50.11,50.73,1645319
"2012-03-22",51.67,51.71,51.03,51.54,1242461
"2012-03-29",54.94,61.71,54.55,61.43,15521466
"2012-04-05",60.46,61.15,60.06,60.95,1537104
"2012-04-12",59.74,60.96,59.51,60.81,1729550
"2012-04-19",60.23,62.75,59.62,60.13,2881103
"2012-04-26",59.26,60.15,59,59.79,1289068
"2012-05-03",61.72,62.41,60.45,60.8,2257848
"2012-05-10",58.16,58.41,55.85,56.04,2865675
"2012-05-17",55.78,56.1,54.28,54.48,2136297
"2012-05-24",54.71,54.71,51.7,52.62,3134252
"2012-05-31",51.69,51.78,50.18,51.38,2814836
"2012-06-07",55.85,56.07,54.47,54.63,1718618
"2012-06-14",53.29,54.4,52.51,54.15,1877218
"2012-06-21",51.13,54.23,51.02,53,10776384
"2012-06-28",54.17,54.8,51.87,52.68,1986401
"2012-07-05",56.21,57.1,56,56.67,1258647
"2012-07-12",50.55,50.8,49.51,50.48,2624350
"2012-07-19",54.24,55.75,54.22,55.61,2641367
"2012-07-26",52.98,54.5,52.11,52.97,2144337
"2012-08-02",52.42,54.39,51.95,53.01,1159496
"2012-08-09",58,58.39,57.39,57.83,1468462
"2012-08-16",56.01,58.52,56.01,58.24,2361026
"2012-08-23",58.1,58.6,57.37,57.73,1403149
"2012-08-30",56.61,56.9,55.64,55.89,1447031
"2012-09-06",57.4,59.14,57.26,59.1,2299560
"2012-09-13",58.08,59.2,57.62,58.99,2469751
"2012-09-20",57.21,57.5,56.56,56.84,2349397
"2012-09-27",55.06,56.71,54.69,56.64,1846952
"2012-10-04",55.06,55.94,54.42,55.8,1825296
"2012-10-11",54.28,54.58,53.64,53.77,1260609
"2012-10-18",52.1,52.91,51.44,52.25,2819463
"2012-10-25",51.82,51.87,49.69,50.03,2796674
"2012-11-01",49.46,50.88,48.52,50.87,3128538
"2012-11-08",48.68,49.52,48.2,48.33,2012379
"2012-11-15",47.81,47.87,47.08,47.73,1498599
"2012-11-29",49.4,50.08,49.26,49.71,1351629
"2012-12-06",48.4,48.65,48.04,48.43,2202364
"2012-12-13",50.24,50.55,49.92,50.19,1071056
"2012-12-20",52.32,53.12,51.55,52.61,3301149
"2012-12-27",53.36,53.52,51.87,52.78,1800940
"2013-01-03",54.43,54.88,53.64,53.91,1753218
"2013-01-10",54.68,54.87,53.4,54.27,1184308
"2013-01-17",55.19,55.71,54.86,54.86,930445
"2013-01-24",53.96,55.21,53.93,54.47,1056295
"2013-01-31",54.89,56.03,54.7,55.56,1554550
"2013-02-07",55.66,55.66,54.21,55.09,2172987
"2013-02-14",54.37,54.44,53.81,54.07,2468983
"2013-02-21",53.62,53.63,51.67,51.71,3320477
"2013-02-28",51.05,51.3,50.68,50.81,3166763
"2013-03-07",53.12,53.59,52.91,53.47,1933633
"2013-03-14",51,51,50.02,50.66,3098724
"2013-03-21",50.62,51.21,49.95,50.94,3072503
"2013-03-28",47.75,50.63,47.5,50.56,10257410
"2013-04-04",47.81,48.06,47.28,48.05,1814547
"2013-04-11",49.33,50.3,49.13,49.99,3472059
"2013-04-18",50.39,50.59,48.99,49.1,1558868
"2013-04-25",48.96,49.38,48.49,49.08,1384502
"2013-05-02",47.76,48.54,47.76,48.51,1468500
"2013-05-09",50.68,51.47,50.36,50.94,1587254
"2013-05-16",54.18,55.43,54.15,54.71,2727930
"2013-05-23",49.33,49.92,48.73,49.36,2740317
"2013-05-30",48.25,48.32,47.35,47.86,3608144
"2013-06-06",45.77,46.06,44.92,45.48,5006044
