"","ADM.Open","ADM.High","ADM.Low","ADM.Close","ADM.Volume"
"2011-09-15",27.67,28.19,27.4,28.19,6079339
"2011-09-22",26.32,26.39,25.1,25.41,13315707
"2011-09-29",25.55,25.8,25.29,25.77,5720599
"2011-10-06",25.09,25.93,24.84,25.91,5233212
"2011-10-13",26.94,27.17,26.63,27.11,4500655
"2011-10-20",27.55,27.83,27.16,27.77,2836353
"2011-10-27",29.45,30.46,29.33,29.95,6923955
"2011-11-03",28.78,29.47,28.51,29.37,4927481
"2011-11-10",29.05,29.2,28.55,28.88,3640455
"2011-11-17",28.85,29.05,28.45,28.71,5630751
"2011-12-01",30.17,30.55,30.08,30.22,4526874
"2011-12-08",29.32,29.38,28.67,28.74,5096984
"2011-12-15",27.79,28.07,27.51,27.96,5100501
"2011-12-22",28.68,28.91,28.56,28.7,2989974
"2011-12-29",28.4,28.83,28.36,28.74,2361561
"2012-01-05",29.14,29.44,28.9,29.24,3324190
"2012-01-12",28.93,29.22,28.69,29.14,3683123
"2012-01-19",29.25,29.49,29.2,29.42,3456118
"2012-01-26",30.23,30.34,29.66,29.84,3405212
"2012-02-02",29.38,29.44,28.8,29.17,6283860
"2012-02-09",30.52,31.09,30.36,30.75,8287898
"2012-02-16",31.18,31.45,31.05,31.23,4943883
"2012-02-23",31.56,31.84,31.5,31.74,4143156
"2012-03-01",31.41,31.81,31.27,31.52,6182404
"2012-03-08",31.3,31.44,30.63,31.11,4173717
"2012-03-15",31.77,31.82,31.4,31.82,3237692
"2012-03-22",31.7,31.98,31.49,31.74,2735712
"2012-03-29",31.1,31.37,30.88,31.26,3823101
"2012-04-05",31.32,31.55,31.18,31.32,2924830
"2012-04-12",30.96,31.11,30.73,31.1,2657255
"2012-04-19",30.89,30.98,30.51,30.68,3151335
"2012-04-26",30.74,31.06,30.52,31.03,3727386
"2012-05-03",32.96,33.09,32.48,32.56,4015359
"2012-05-10",32.99,33.98,32.77,33.5,8794651
"2012-05-17",32.31,32.44,32.07,32.21,3981297
"2012-05-24",32.02,32.24,31.89,32.1,3507200
"2012-05-31",32.15,32.41,31.74,31.88,7240855
"2012-06-07",32.57,32.7,32.09,32.13,6542277
