"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume"
"2016-05-26",96.21,96.93,95.88,96.32,452241
"2016-06-02",95.82,97.01,95.45,96.93,677351
"2016-06-09",97.12,97.61,96.52,97.23,501480
"2016-06-16",95.58,96.85,95.27,96.59,438678
"2016-06-23",99,99.43,98.55,99.41,339485
"2016-06-30",99.7,101.28,99.13,101.25,1009327
"2016-07-07",103.46,103.97,102.22,102.94,764028
"2016-07-14",104.51,104.76,103.53,103.83,702732
"2016-07-21",100,100.02,98.57,98.78,635937
"2016-07-28",101.38,102.84,100.97,102.64,810452
"2016-08-04",99.03,101.28,99.03,100.8,502924
"2016-08-11",101.65,102.41,101.39,102,654347
"2016-08-18",102.38,103.37,102.27,103.36,414969
"2016-08-25",104.05,104.56,103.72,104.17,537505
"2016-09-01",103,103.24,102.22,103.01,529797
"2016-09-08",100.18,100.23,99.6,99.72,523481
"2016-09-15",96.41,97.07,96.23,96.89,1028750
