"","XL.Open","XL.High","XL.Low","XL.Close","XL.Volume"
"2016-07-28",35,35.5,34.19,35.12,5997669
"2016-08-04",34.02,34.21,33.8,33.81,1908526
"2016-08-11",33.64,33.66,33.09,33.17,1814598
"2016-08-18",33.5,33.56,33.21,33.52,1748325
"2016-08-25",33.43,33.77,33.34,33.71,1514769
"2016-09-01",34.25,34.4,34.07,34.33,2021226
"2016-09-08",35.38,35.38,35.05,35.22,1854266
"2016-09-15",33.62,33.95,33.49,33.86,1654546
