"","AVY.Open","AVY.High","AVY.Low","AVY.Close","AVY.Volume"
"2011-09-15",27.44,27.85,27.18,27.69,1032466
"2011-09-22",25.05,25.4,24.84,25.06,2043126
"2011-09-29",26.26,26.8,25.9,26.48,1269082
"2011-10-06",26.3,26.62,25.93,26.58,1635143
"2011-10-13",27,27.07,26.28,26.89,833695
"2011-10-20",25.39,25.83,25.22,25.55,1764469
"2011-10-27",26.49,28.39,26.28,27.78,3654281
"2011-11-03",26.48,26.98,26.02,26.92,1312728
"2011-11-10",25.79,25.94,25.29,25.63,1113469
"2011-11-17",26.39,26.46,25.86,26.06,1064787
"2011-12-01",26.25,27.05,26.25,26.9,1270829
"2011-12-08",27.54,27.6,27.02,27.1,1298788
"2011-12-15",27.52,27.55,27.12,27.28,1062540
"2011-12-22",28.05,28.44,27.99,28.35,803081
"2011-12-29",28.49,28.8,28.3,28.77,596826
"2012-01-05",29.14,29.54,28.73,29.23,1526243
"2012-01-12",29.92,30.12,29.56,29.74,894591
"2012-01-19",29.03,29.49,28.86,29.34,1007666
"2012-01-26",28.89,29.31,28.86,29.24,1031380
"2012-02-02",28.59,29.1,28.57,28.79,1878112
"2012-02-09",29.83,30.03,29.43,29.75,1656390
"2012-02-16",29.21,30.11,29.17,29.84,956828
"2012-02-23",30.3,30.95,30.05,30.85,1279079
"2012-03-01",30.5,30.87,29.66,29.91,1852095
"2012-03-08",28.49,28.88,28.17,28.77,1425240
"2012-03-15",29.37,29.85,29.07,29.81,985595
"2012-03-22",29,29.09,28.53,28.68,674828
"2012-03-29",29.83,30.27,29.76,30.17,642573
"2012-04-05",29.59,30.07,29.51,29.86,1099558
"2012-04-12",29.73,30.79,29.7,30.64,1106605
"2012-04-19",31.19,31.52,30.72,30.89,797636
"2012-04-26",31.55,32.46,31.28,32.35,1205107
"2012-05-03",32.46,32.78,32.26,32.27,1062576
"2012-05-10",31.05,31.16,30.61,30.68,815337
"2012-05-17",29.56,29.71,28.91,28.91,727343
"2012-05-24",29.07,29.49,28.9,29.33,978802
"2012-05-31",29.22,29.25,28.85,29.11,1513792
"2012-06-07",28.45,29.32,28.01,28.09,850799
"2012-06-14",27.1,27.3,26.83,27.06,1170373
"2012-06-21",28.16,28.27,27.38,27.4,607839
"2012-06-28",26.44,26.81,26.32,26.73,691912
"2012-07-05",27.62,27.77,27.3,27.41,603912
"2012-07-12",27.6,27.62,27.32,27.37,1256916
"2012-07-19",29.26,29.5,29.17,29.31,1050596
"2012-07-26",30.61,30.81,29.97,30.31,888866
"2012-08-02",30.56,30.81,30.16,30.54,887840
"2012-08-09",31.61,31.8,31.47,31.57,636857
"2012-08-16",31.25,31.96,31.25,31.84,557604
"2012-08-23",31.59,31.59,31.18,31.33,547955
"2012-08-30",31.17,31.19,30.77,31,435913
"2012-09-06",30.17,30.91,30.06,30.81,819092
"2012-09-13",30.66,31.08,30.38,30.95,828018
"2012-09-20",31.09,31.1,30.77,30.85,666273
"2012-09-27",31.4,31.76,31.11,31.67,646700
"2012-10-04",29.72,30.52,29.5,30.07,1864261
"2012-10-11",30.11,30.36,30.02,30.04,552983
"2012-10-18",31.04,31.04,30.69,30.84,767814
