"","ADS.Open","ADS.High","ADS.Low","ADS.Close","ADS.Volume"
"2011-09-15",94.38,96.75,93.95,95.34,970656
"2011-09-22",93.81,93.95,91.56,93.38,911658
"2011-09-29",95,95.45,91.41,93.65,815660
"2011-10-06",91.38,95,90.9,94.18,863646
"2011-10-13",96.88,96.88,91.65,92.51,3398453
"2011-10-20",95.95,96.75,92.25,94.74,1783595
"2011-10-27",104.99,105.67,101.89,103.12,1897954
"2011-11-03",107.18,107.18,100.72,102.75,812267
"2011-11-10",102.03,103.11,99.29,100.5,590858
"2011-11-17",99.53,100.16,96.01,96.62,1130438
"2011-12-01",102.24,104.47,101.87,103.33,907812
"2011-12-08",103.12,103.12,101.44,102.02,538388
"2011-12-15",102.48,102.75,101.17,101.55,701756
"2011-12-22",105.97,106.5,105.24,105.74,321297
"2011-12-29",104.34,104.7,103.76,104.33,370362
"2012-01-05",100.81,103.33,100.68,102.54,961206
"2012-01-12",106.93,108.62,106.92,107.39,738129
"2012-01-19",109.95,110.16,109.23,109.85,570231
"2012-01-26",111.65,111.74,109.63,110.2,450271
"2012-02-02",108.99,114.06,107,112.35,1647024
"2012-02-09",117.52,118,116.66,117.88,1506057
"2012-02-16",120.6,120.73,118.67,119.68,921108
"2012-02-23",120.25,121.72,119.88,121.63,787622
"2012-03-01",121.4,122.44,121.3,121.78,456454
"2012-03-08",121.74,123.46,121.74,122.29,470916
"2012-03-15",124.15,126.3,123.34,126.3,754440
"2012-03-22",124.56,126.42,124.32,125.74,358655
"2012-03-29",124.81,126.98,124.81,125.94,696864
"2012-04-05",126.41,126.82,126.06,126.41,342104
"2012-04-12",123.73,125.45,123.71,125.04,381786
"2012-04-19",128.01,130.31,126.18,127.44,1446725
"2012-04-26",128.65,130.34,128.12,129.81,380780
"2012-05-03",129.74,130.14,127.8,128.3,524136
"2012-05-10",125.64,126.58,124.95,125.8,448134
"2012-05-17",126.01,126.01,121.95,121.95,933884
"2012-05-24",123.27,126.45,123.27,126.08,1612210
"2012-05-31",126.96,127.09,124.76,126,854838
"2012-06-07",122.77,126.35,122.77,124.13,452203
"2012-06-14",124.73,126.91,123.96,126.7,545126
"2012-06-21",131.87,132.05,130.23,130.33,357876
"2012-06-28",131.29,133.16,130.29,132.77,339591
"2012-07-05",136.78,137.3,136.2,136.41,345239
"2012-07-12",133.28,133.72,130.3,130.45,1884829
"2012-07-19",130.69,133.19,128.92,131.56,934940
"2012-07-26",129.21,129.58,127.6,128.48,525308
"2012-08-02",126.75,128.93,126.75,128.58,528279
"2012-08-09",131.28,132.1,131.28,131.64,324543
"2012-08-16",134,136.39,133.91,136.35,629797
"2012-08-23",136.43,136.85,135.7,136.55,268240
"2012-08-30",137.87,137.87,136.1,137.17,376202
"2012-09-06",139.62,140.64,139.22,140.6,453404
"2012-09-13",140.3,141.81,139.44,141.35,444200
"2012-09-20",142.88,143.55,141.05,142.56,841375
"2012-09-27",141.44,142.62,140.2,142.07,528610
"2012-10-04",142.25,143.08,141.96,143.04,492966
"2012-10-11",138.49,139.65,136.96,138.51,882784
"2012-10-18",138.39,145.5,138,144.97,1958983
"2012-10-25",143.21,143.7,141.64,142.33,633552
"2012-11-01",143.15,145.31,142.04,144.61,969225
"2012-11-08",142.02,143.41,140.76,141.76,488633
"2012-11-15",139.95,140.38,137.95,139.3,831239
"2012-11-29",140.54,142.47,140,142.13,441785
"2012-12-06",142.87,143.01,141.42,142.91,207109
"2012-12-13",144.22,144.79,143.38,144,444618
"2012-12-20",147.09,148.3,147.04,148.02,384156
"2012-12-27",145.17,145.22,142.59,144.38,478107
"2013-01-03",148.91,152.1,148.78,150.24,572695
"2013-01-10",155.7,156.22,153.58,154.83,565554
"2013-01-17",157.2,157.97,154.75,156.11,517693
