"","CBG.Open","CBG.High","CBG.Low","CBG.Close","CBG.Volume"
"2013-01-17",20.69,20.84,20.43,20.63,2919460
"2013-01-24",20.92,21.3,20.92,21.19,2751386
"2013-01-31",21.43,21.66,21.38,21.58,1968740
"2013-02-07",23.55,24.33,23.32,23.81,12135997
"2013-02-14",24.35,24.86,24.35,24.7,3224715
"2013-02-21",23.87,24,23.32,23.57,4994810
"2013-02-28",23.86,24.53,23.8,24.17,3522287
"2013-03-07",24.48,24.66,24.4,24.53,2243272
"2013-03-14",25.39,25.45,25.09,25.2,2314128
"2013-03-21",24.62,24.78,24.28,24.51,2230297
"2013-03-28",25.13,25.3,24.88,25.25,2431019
"2013-04-04",23.93,24.3,23.71,24.28,3223688
"2013-04-11",25.51,25.69,25.39,25.5,1908213
"2013-04-18",23.75,23.97,23.3,23.5,1722743
"2013-04-25",24.69,24.98,24.48,24.75,2975444
"2013-05-02",24.19,24.27,23.95,24.02,1939393
"2013-05-09",24.56,24.63,24.23,24.31,1720030
"2013-05-16",25.08,25.2,24.65,24.72,2631018
"2013-05-23",23.97,24.04,23.55,23.89,2684896
"2013-05-30",23.44,23.66,23.27,23.41,1574392
"2013-06-06",22.48,23.18,22.34,23.17,3334428
"2013-06-13",22.51,22.98,22.42,22.92,2983102
"2013-06-20",22.03,22.03,21.34,21.61,5796258
"2013-06-27",22.78,23.27,22.72,23.22,3038018
"2013-07-11",23.82,23.98,23.53,23.95,1753691
"2013-07-18",24.06,24.17,24.02,24.13,3353466
"2013-07-25",24.25,24.5,24.1,24.48,2033498
"2013-08-01",23.36,23.5,23.18,23.23,3206850
"2013-08-08",23,23.22,22.87,23.17,2210944
"2013-08-15",22.6,22.65,21.99,22.04,2332410
"2013-08-22",21.76,21.85,21.64,21.72,2023111
"2013-08-29",21.7,21.83,21.59,21.69,1645721
"2013-09-05",22.15,22.21,21.9,22,1811983
"2013-09-12",23.96,24.05,23.52,23.54,1558741
"2013-09-19",24.29,24.5,23.96,23.99,1736032
"2013-09-26",23.47,23.63,23.26,23.42,999993
"2013-10-03",23.2,23.21,22.54,22.75,3760654
"2013-10-10",22.55,22.87,22.46,22.82,3611108
"2013-10-17",22.73,23.22,22.57,23.18,2538926
"2013-10-24",23.37,23.61,23.21,23.53,1551869
"2013-10-31",23.43,23.7,23.13,23.23,3512319
"2013-11-07",22.56,22.64,22.22,22.28,2746500
"2013-11-14",22.67,23.04,22.61,22.88,5090707
"2013-11-21",22.5,22.84,22.31,22.78,3016530
"2013-12-05",24.65,24.87,24.56,24.76,3117061
"2013-12-12",24.84,24.98,24.67,24.72,1855572
"2013-12-19",25.72,25.77,25.36,25.56,2642952
"2013-12-26",26.3,26.46,26.11,26.26,1166928
"2014-01-02",26.27,26.55,26.07,26.34,2607046
"2014-01-09",26.28,26.33,25.95,26.15,1725704
"2014-01-16",26.49,26.74,26.43,26.56,1570506
"2014-01-23",26.41,26.52,26.15,26.28,1300772
"2014-01-30",27.43,27.43,26.6,26.72,4987660
"2014-02-06",25.5,26.31,25.5,25.85,6715919
"2014-02-13",26.52,27,26.48,26.82,1521837
"2014-02-20",27.28,27.4,27.12,27.35,1793929
"2014-02-27",27.58,28,27.56,27.82,1677508
"2014-03-06",27.87,28.44,27.83,28.06,3665544
"2014-03-13",27.56,27.66,27.2,27.24,1883760
"2014-03-20",27.47,27.8,27.34,27.77,1345792
"2014-03-27",26.51,26.7,26.16,26.33,2137086
"2014-04-03",27.97,28.06,27.53,27.65,2087732
"2014-04-10",27.24,27.42,26.7,26.7,1506136
"2014-04-17",26.68,27.23,26.23,26.96,2560944
"2014-04-24",26.73,26.73,26.38,26.63,1413047
"2014-05-01",29,29.32,28.33,28.99,5670361
"2014-05-08",28.59,28.71,28.17,28.31,2004938
"2014-05-15",28.85,28.94,28.26,28.86,2698417
"2014-05-22",29.09,29.18,28.84,29.02,1197423
"2014-05-29",29.69,29.84,29.41,29.61,1477973
"2014-06-05",30.58,31.01,30.47,30.72,2598414
"2014-06-12",30.22,30.28,29.84,29.98,1395586
"2014-06-19",30.6,30.68,30.37,30.61,1093513
"2014-06-26",31.69,31.82,31.5,31.81,1785288
"2014-07-03",32.38,32.38,32.07,32.33,923481
"2014-07-10",32.22,32.74,32.2,32.63,1220954
"2014-07-17",32.97,33.24,32.68,32.74,1856879
"2014-07-24",33.4,33.77,33.34,33.62,2304055
"2014-07-31",31.51,31.98,30.6,30.84,3045772
"2014-08-07",30.44,30.72,30.26,30.48,2590774
"2014-08-14",31.08,31.1,30.81,30.93,1222955
"2014-08-21",31.86,32.02,31.71,31.78,1572262
"2014-08-28",31.53,31.6,31.37,31.41,1100572
"2014-09-04",31.43,31.56,30.95,31.11,1483384
"2014-09-11",30.47,30.66,30.38,30.63,2558371
"2014-09-18",30.19,30.5,30.17,30.27,1507108
"2014-09-25",29.71,29.88,29.63,29.72,1907153
"2014-10-02",29.11,29.39,28.74,29.02,1705342
"2014-10-09",29.46,29.62,29.07,29.1,2047857
"2014-10-16",27.99,28.85,27.84,28.61,1929762
"2014-10-23",30.33,30.76,30.22,30.48,1595115
"2014-10-30",31.69,32.08,31.4,31.47,4068562
"2014-11-06",32.13,32.25,31.78,31.8,1470854
"2014-11-13",32.8,32.99,32.55,32.69,826737
"2014-11-20",32.74,33.04,32.71,32.95,1091307
"2014-12-04",33,33.1,32.47,32.95,3567013
"2014-12-11",33.42,33.71,33.23,33.28,1226746
"2014-12-18",33.55,34.36,33.51,34.35,2344961
"2015-01-08",34.24,34.75,34.04,34.75,1810019
"2015-01-15",33.87,34.04,33.2,33.24,1497681
"2015-01-22",32.95,33.19,32.56,33.11,6393320
"2015-01-29",32.74,33.04,32.6,32.99,2218656
"2015-02-05",33.96,34.92,33.96,34.78,2855641
"2015-02-12",34.72,35.13,34.6,35.13,1018236
"2015-02-19",34.77,34.85,34.54,34.56,920103
"2015-02-26",34.69,34.74,34.32,34.46,699204
"2015-03-05",34.32,34.69,34.06,34.53,2647439
"2015-03-12",34.35,35.01,34.34,34.99,1177475
"2015-03-19",35.74,35.91,35.54,35.74,1225053
"2015-03-26",35.37,35.82,35.3,35.65,1141405
"2015-04-02",38.79,39.34,38.69,38.89,2409958
"2015-04-09",38.34,38.79,38.27,38.65,1150234
"2015-04-16",38.13,38.95,38.09,38.88,1391088
"2015-04-23",38.17,38.32,37.93,38.23,1520390
"2015-04-30",38.55,38.86,38.08,38.34,2097369
"2015-05-07",36.92,37.2,36.71,37.01,2021346
"2015-05-14",37.93,38.55,37.67,38.52,2622694
"2015-05-21",38.64,38.76,37.99,38.25,1633743
"2015-05-28",38.49,38.62,38.16,38.32,1108266
"2015-06-04",38,38.05,37.76,37.91,1803783
"2015-06-11",37.3,37.5,37.12,37.32,1169596
"2015-06-18",36.8,37.89,36.8,37.72,2511464
"2015-06-25",37.33,37.34,37.04,37.21,1251242
"2015-07-02",37.68,37.9,37.37,37.68,1728582
"2015-07-09",37.75,37.82,37.14,37.2,1114818
"2015-07-16",38.32,38.42,38.18,38.37,953131
"2015-07-23",38.48,38.76,38.4,38.56,1453623
"2015-07-30",37.18,37.64,36.97,37.59,1552719
"2015-08-06",38,38,37.04,37.54,1461813
"2015-08-13",37.47,38.06,37.25,38.02,1597898
"2015-08-20",36.86,37.09,36.23,36.28,1505482
"2015-08-27",32.61,33.03,32.09,32.59,4833104
"2015-09-03",32.43,33.05,31.96,32.78,3795752
"2015-09-10",32.19,32.84,32.07,32.52,2482434
"2015-09-17",33.16,34.04,33.03,33.37,2244468
"2015-09-24",32.98,33.28,32.37,32.74,2319554
"2015-10-01",31.96,32.09,31.22,31.83,2749915
"2015-10-08",32.27,33.22,32.14,33.16,1365257
"2015-10-15",33.48,33.86,33.44,33.81,2762954
"2015-10-22",34.45,35.4,34.35,35.28,2275022
"2015-10-29",37.57,38.49,37.4,38.36,3199849
"2015-11-05",36.88,37.06,36.66,36.75,1887585
"2015-11-12",35.86,35.9,35.09,35.1,2162340
"2015-11-19",36.04,36.33,35.9,36.32,2494902
"2015-12-03",36.96,37,35.87,35.98,2093034
"2015-12-10",35.4,35.51,35.04,35.18,1706231
"2015-12-17",36.33,36.45,35.38,35.38,1588142
"2015-12-24",34.88,34.96,34.66,34.74,501802
"2015-12-31",34.59,34.92,34.34,34.58,1018520
"2016-01-07",32.16,32.32,30.99,31.07,3368601
"2016-01-14",29.31,29.82,28.52,29.47,3094135
"2016-01-21",28.12,28.97,27.73,28.35,2170821
"2016-01-28",28.03,28.33,27.08,27.1,2940845
"2016-02-04",25.68,26.8,25.34,26.36,5670637
"2016-02-11",23.88,23.96,23.36,23.53,5481537
"2016-02-18",25.84,25.94,25.05,25.25,4327424
"2016-02-25",25.41,25.72,25.09,25.71,2545166
"2016-03-03",26.39,27.03,26.26,27.01,3231412
"2016-03-10",26.98,27.32,26.18,26.54,2101092
"2016-03-17",27.28,27.94,27.16,27.82,3544377
"2016-03-24",28,28.2,27.76,28.04,3671865
"2016-03-31",28.57,29.03,28.51,28.82,2301668
"2016-04-07",28.7,28.92,27.92,28.04,5004776
"2016-04-14",30.1,30.47,29.86,30.37,2750151
"2016-04-21",30.62,30.89,30.08,30.13,4142247
"2016-04-28",30.63,31.31,30.63,30.88,3081542
"2016-05-05",29.46,29.94,29.36,29.56,2252715
"2016-05-12",29.4,29.51,28.63,28.81,1955432
"2016-05-19",28.21,28.32,27.34,27.76,2509871
"2016-05-26",30,30,29.11,29.39,2067586
"2016-06-02",29.96,30.29,29.65,30.19,2435338
"2016-06-09",30.72,30.99,30.48,30.75,1820859
"2016-06-16",28.33,28.38,27.76,28.35,2651598
"2016-06-23",29.57,30.01,29.48,30.01,1748583
"2016-06-30",26.51,26.53,25.84,26.48,3651318
"2016-07-07",24.76,25.08,24.45,24.62,3616462
"2016-07-14",28.11,28.17,27.55,27.55,2982514
"2016-07-21",28.15,28.67,28.05,28.55,3842867
"2016-07-28",28.86,29.37,28.01,28.8,3383006
"2016-08-04",28.82,29.16,28.49,28.7,2371030
"2016-08-11",29.95,30.21,29.81,29.87,1959290
"2016-08-18",29.08,29.2,28.83,28.93,1997200
"2016-08-25",29.38,29.61,29.26,29.37,1662984
"2016-09-01",30,30.28,29.48,29.89,1672235
"2016-09-08",29.74,29.79,29.29,29.33,4753559
"2016-09-15",27.6,28.42,27.57,28.28,3688866
