"","CBG.Open","CBG.High","CBG.Low","CBG.Close","CBG.Volume"
"2011-09-15",15.08,15.27,14.8,15.27,5094869
"2011-09-22",12.61,13.04,12.3,12.78,10577609
"2011-09-29",14.31,14.41,13.99,14.41,6925049
"2011-10-06",13.77,14.54,13.62,14.39,4322767
"2011-10-13",15.04,15.26,14.51,15,4965545
"2011-10-20",14.39,14.63,14.12,14.59,5978620
"2011-10-27",16.9,17.39,16.33,16.58,6954328
"2011-11-03",17.74,17.98,17.02,17.4,9708993
"2011-11-10",16.36,16.47,15.8,15.94,4338038
"2011-11-17",15.68,15.88,15.1,15.26,5226684
"2011-12-01",16.79,17.12,16.42,16.5,4016475
"2011-12-08",15.92,16,15,15.06,9188566
"2011-12-15",14.82,15.21,14.79,15.1,6788538
"2011-12-22",15.46,15.52,15.26,15.41,2957279
"2011-12-29",14.82,15.19,14.77,15.16,2878177
"2012-01-05",15.9,16.24,15.66,16.22,2350409
"2012-01-12",17.65,17.82,17.04,17.43,3941289
"2012-01-19",17.15,17.67,17.13,17.61,4304346
"2012-01-26",18.41,19.39,18.39,19.01,8875614
"2012-02-02",19.03,19.09,18.82,18.93,2310225
"2012-02-09",18.17,18.38,17.99,18.33,3073631
"2012-02-16",18.63,19.18,18.49,19.08,3109051
"2012-02-23",18.4,18.64,18.21,18.57,2292301
"2012-03-01",18.43,19.05,18.41,18.71,2893154
"2012-03-08",17.83,18.64,17.78,18.49,4708998
"2012-03-15",20.46,20.73,20.29,20.68,3528403
"2012-03-22",20.52,20.52,20.12,20.4,2906576
"2012-03-29",19.76,19.79,19.3,19.79,3006387
"2012-04-05",18.96,19,18.58,18.6,3354464
"2012-04-12",18.28,18.9,18.25,18.86,3136710
"2012-04-19",18.36,18.8,18.29,18.46,2351283
"2012-04-26",18.58,19.15,18.58,19.07,2367687
"2012-05-03",19.21,19.24,18.56,18.61,1936256
"2012-05-10",17.58,17.64,17.17,17.24,2482738
"2012-05-17",16.18,16.27,15.73,15.76,4412028
"2012-05-24",16.73,16.81,16.16,16.39,2826514
"2012-05-31",16.3,16.66,15.86,16.45,4201462
"2012-06-07",16.3,16.49,16.03,16.14,2587804
"2012-06-14",15.85,15.95,15.6,15.88,3273366
"2012-06-21",16.9,16.9,16.01,16.02,3124265
"2012-06-28",15.39,15.78,15.24,15.75,1915818
"2012-07-05",16.33,16.38,16.07,16.08,2219487
"2012-07-12",15.37,15.52,15.19,15.41,2262899
"2012-07-19",16.01,16.41,15.99,16.32,1960274
"2012-07-26",15.42,15.72,15.22,15.37,4076027
"2012-08-02",16.53,16.87,16.32,16.56,2713749
"2012-08-09",17.81,18,17.74,17.8,1972233
"2012-08-16",17.62,17.96,17.58,17.9,1737232
"2012-08-23",17.8,17.92,17.57,17.65,1399254
"2012-08-30",17.3,17.32,17,17.2,1874722
"2012-09-06",17.16,17.62,17.14,17.48,3921043
"2012-09-13",18.38,19.61,18.18,19.6,7069306
"2012-09-20",19.28,19.49,19.04,19.4,4132351
"2012-09-27",18.7,18.81,18.5,18.62,3245989
"2012-10-04",19.39,19.49,19.1,19.22,3018247
"2012-10-11",18.66,19.1,18.64,19.05,3783876
"2012-10-18",19.25,19.58,19.16,19.58,2799711
"2012-10-25",18.78,18.8,18.06,18.24,3012742
"2012-11-01",17.94,18.06,17.54,17.63,4545828
"2012-11-08",17.56,17.6,17.32,17.47,3227736
"2012-11-15",17.35,17.56,17.24,17.34,2378719
"2012-11-29",18.33,18.72,18.3,18.63,2892217
"2012-12-06",18.71,18.81,18.54,18.73,1830584
"2012-12-13",19.64,19.66,19.06,19.1,2403786
"2012-12-20",19.95,20.14,19.93,20,2153275
"2012-12-27",19.66,19.75,19.25,19.59,1597490
"2013-01-03",20.37,20.49,20.12,20.16,1929814
"2013-01-10",20.69,20.81,20.52,20.55,2701717
