"","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume"
"2011-09-15",26.94,27.06,26.57,27.06,1646574
"2011-09-22",25.2,25.24,24.38,24.75,4003038
"2011-09-29",25.86,25.97,24.9,25.42,1997244
"2011-10-06",26.38,26.78,26.19,26.78,2271324
"2011-10-13",28.02,28.19,27.72,28.14,1872864
"2011-10-20",29.18,29.2,28.48,28.84,2955622
"2011-10-27",29.77,30.64,29.57,30.58,2602748
"2011-11-03",28.64,29.2,28.34,29.14,3373998
"2011-11-10",28.86,28.86,28.36,28.6,1155616
"2011-11-17",28.5,28.7,28.14,28.24,3003134
"2011-12-01",28.76,28.87,28.52,28.72,1269726
"2011-12-08",28.54,28.84,28.46,28.49,1946232
"2011-12-15",28.89,28.96,28.56,28.62,1701306
"2011-12-22",29.07,29.55,29.07,29.33,1825388
"2011-12-29",29.22,29.54,29.22,29.54,919672
"2012-01-05",28.94,29.48,28.76,29.34,1296540
"2012-01-12",30,30.58,29.86,30.52,2179348
"2012-01-19",31.02,31.44,30.78,31.28,1709184
"2012-01-26",31.8,31.89,31.46,31.63,1439716
"2012-02-02",31.9,32.18,31.52,31.56,2942772
"2012-02-09",32.44,32.5,32.13,32.44,1096018
"2012-02-16",32.46,32.72,32.43,32.61,1361146
"2012-02-23",32.6,32.97,32.58,32.92,921414
"2012-03-01",33.26,33.4,33.04,33.36,2004390
"2012-03-08",33.5,34,33.48,33.94,1692870
"2012-03-15",34.66,34.8,34.36,34.72,1766236
"2012-03-22",34.36,34.59,34.22,34.5,934420
"2012-03-29",34.59,34.85,34.54,34.8,1139496
"2012-04-05",34.37,34.78,34.37,34.67,1822322
"2012-04-12",34.35,34.6,34.18,34.56,1067626
"2012-04-19",34.48,34.84,34.14,34.36,1191194
"2012-04-26",34.52,35.13,34.5,35.04,1280756
"2012-05-03",34.84,34.92,34.5,34.54,1276664
"2012-05-10",33.3,33.48,33.16,33.24,1400772
"2012-05-17",33.06,33.08,32.66,32.66,1439200
"2012-05-24",33.34,33.57,33.18,33.48,1493756
"2012-05-31",33.3,33.93,33.16,33.72,2571854
"2012-06-07",34.65,34.7,34.14,34.24,1691188
"2012-06-14",34.36,35.15,34.3,34.86,1559340
"2012-06-21",35.56,35.57,34.44,34.44,1419126
"2012-06-28",34.88,35.02,34.44,34.9,993442
"2012-07-05",36.24,36.46,36.12,36.4,998414
"2012-07-12",35.22,35.38,34.95,35.24,978026
"2012-07-19",35.9,36.06,35.74,35.76,1314590
"2012-07-26",35.16,35.45,34.68,35.4,1089760
"2012-08-02",34.6,34.75,33.98,34.1,1475260
"2012-08-09",34.96,35.34,34.92,35.02,1596054
"2012-08-16",35.62,35.82,35.4,35.74,936926
"2012-08-23",35.19,35.44,35.04,35.24,939210
"2012-08-30",35.43,35.58,35.36,35.42,1390342
"2012-09-06",35.89,36.48,35.88,36.38,1312446
"2012-09-13",35.9,36.19,35.79,36.08,1426184
"2012-09-20",36.3,36.8,36.18,36.72,1836108
"2012-09-27",36.65,36.92,36.48,36.86,1214276
"2012-10-04",37.18,37.32,37.03,37.3,1238844
"2012-10-11",36.75,36.92,36.6,36.75,1443388
"2012-10-18",37.93,38.06,37.78,37.93,997816
"2012-10-25",37.7,37.7,37.45,37.56,1276264
"2012-11-01",37.58,37.97,37.32,37.7,1932426
"2012-11-08",37.02,37.3,36.74,36.85,1087740
"2012-11-15",36.38,36.42,36.1,36.3,1115110
