"","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume"
"2012-11-29",37.86,38.09,37.8,38.06,609876
"2012-12-06",39.86,40.26,39.56,39.94,2025898
"2012-12-13",40.26,40.44,39.74,39.96,2037434
"2012-12-20",39.7,40.18,39.67,40.11,1823802
"2012-12-27",39.36,39.7,39.1,39.56,1295762
"2013-01-03",40.49,40.71,40.2,40.34,1010480
"2013-01-10",41.68,41.68,41.18,41.6,1093272
"2013-01-17",40.5,40.7,40.38,40.54,1530714
"2013-01-24",40.6,40.98,40.12,40.2,1979240
"2013-01-31",40.54,40.62,40.12,40.16,1026324
"2013-02-07",40.1,40.17,39.88,39.98,2355394
"2013-02-14",40.15,40.32,39.82,40.08,1392636
"2013-02-21",40.2,40.23,39.64,39.75,1225598
"2013-02-28",40.62,41.22,40.62,41.12,2641964
"2013-03-07",42.04,42.29,41.81,42.04,1311974
"2013-03-14",42.5,42.64,42.37,42.64,1693340
"2013-03-21",42.5,42.73,42.46,42.66,933444
"2013-03-28",43.06,43.96,43.05,43.93,1408926
"2013-04-04",43.02,43.26,42.9,43.12,717010
"2013-04-11",44.12,44.38,43.97,44.2,989540
"2013-04-18",43.43,43.58,42.8,43,731428
"2013-04-25",44.9,45.2,44.72,45.08,1168302
"2013-05-02",43.64,43.82,43.12,43.15,2190418
"2013-05-09",44.39,44.78,44.38,44.5,1087848
"2013-05-16",44.87,45.28,44.46,44.48,860466
"2013-05-23",44.54,44.72,44.34,44.4,986018
"2013-05-30",43.88,44.39,43.86,44.25,1445748
"2013-06-06",42.68,42.84,42.3,42.74,1171936
"2013-06-13",43.02,44.04,42.78,43.95,894448
"2013-06-20",43.69,43.69,42.99,43.02,1099742
"2013-06-27",43.5,44.08,43.37,44.03,971948
"2013-07-11",45.48,45.68,45.34,45.57,1079958
"2013-07-18",45.59,46,45.49,45.8,901544
"2013-07-25",45.88,46.42,45.78,46.36,677736
"2013-08-01",48.29,48.7,48.15,48.44,1906570
"2013-08-08",50.8,50.92,50.22,50.58,1118998
"2013-08-15",50.04,50.07,49.47,49.62,1569028
"2013-08-22",49.22,49.98,49.16,49.56,957896
"2013-08-29",47.87,48.44,47.4,48.18,988122
"2013-09-05",46.54,48.96,46.34,48.85,681930
"2013-09-12",50.3,50.76,50,50.08,821490
"2013-09-19",51.55,51.6,50.97,50.97,734200
"2013-09-26",50.74,50.86,50.3,50.47,909264
"2013-10-03",50.7,50.81,50.04,50.16,1022370
"2013-10-10",49.74,50.26,49.46,50.21,861792
"2013-10-17",51.64,52.16,51.56,52.12,831506
"2013-10-24",52.98,52.98,52.53,52.8,463160
"2013-10-31",52.54,52.65,52.27,52.36,2067600
"2013-11-07",52.9,52.9,51.87,51.93,649096
"2013-11-14",53.78,54.03,53.46,53.6,841212
"2013-11-21",54.6,55.05,54.36,54.99,912584
"2013-12-05",54.49,54.67,54.12,54.14,750650
"2013-12-12",55.47,56.22,55.16,55.99,1342156
"2013-12-19",57.53,57.84,57.19,57.27,1045847
"2013-12-26",58.52,59,58.28,58.88,754006
"2014-01-02",59.05,59.22,57.99,58.2,1028767
"2014-01-09",58.76,58.97,58.43,58.61,574363
"2014-01-16",57.66,57.84,57.3,57.39,1208530
"2014-01-23",57.72,58.47,57.46,57.75,1649837
"2014-01-30",56.58,57.22,56.36,56.78,1043094
"2014-02-06",55.03,55.99,54.43,54.85,2163941
"2014-02-13",55.58,56.31,55.36,56.09,2038041
"2014-02-20",57.04,57.37,56.75,57.18,907968
"2014-02-27",57.66,58.34,57.49,57.99,885957
"2014-03-06",58.24,58.83,58.18,58.66,884599
"2014-03-13",58.77,58.92,57.21,57.46,1135069
"2014-03-20",57.88,58.45,57.77,58.44,616616
"2014-03-27",55.87,56.17,55.37,55.41,1756383
"2014-04-03",57.82,57.97,57.71,57.76,1442001
"2014-04-10",56.94,57.18,55.8,55.8,1075627
"2014-04-17",56.98,57.93,56.67,57.58,1162926
"2014-04-24",57.1,57.29,56.51,56.67,1231156
"2014-05-01",60.79,61.05,60.16,60.91,2120994
"2014-05-08",61.51,62.27,61.21,61.53,1088072
"2014-05-15",60.8,60.8,59.45,59.69,1001132
"2014-05-22",59.2,59.48,58.76,59.29,922761
"2014-05-29",59.97,60.37,59.86,60.29,508213
"2014-06-05",60.82,61.19,60.26,61.07,685635
"2014-06-12",60.37,60.5,59.36,59.54,951814
"2014-06-19",60.12,60.22,59.66,60.2,929386
"2014-06-26",60.87,60.87,60.41,60.62,689718
"2014-07-03",60.77,61.09,60.5,61.08,491521
"2014-07-10",60.63,61.01,60.35,60.91,762279
"2014-07-17",61.85,62.37,61.7,61.95,870718
"2014-07-24",62.55,62.95,62.55,62.78,788193
"2014-07-31",62.74,62.74,61.6,61.67,1213989
"2014-08-07",61.41,61.6,60.7,60.82,983971
"2014-08-14",62.09,62.47,62,62.37,698259
"2014-08-21",64.17,64.47,64.08,64.22,900323
"2014-08-28",64.14,64.49,63.94,64.35,716155
"2014-09-04",65.16,65.8,65.12,65.24,914865
"2014-09-11",65.12,65.43,65.03,65.28,676617
"2014-09-18",65.28,65.62,65.15,65.54,543775
"2014-09-25",65.43,65.5,64,64.01,1057969
"2014-10-02",64.27,64.81,64.03,64.35,782458
"2014-10-09",64.52,64.76,63.56,63.67,1033915
"2014-10-16",60.6,61.85,60.55,61.71,1305885
"2014-10-23",64.92,65.48,64.66,65.09,1464282
"2014-10-30",67.66,68.89,67.6,68.57,1204300
"2014-11-06",70.04,70.22,69.87,69.98,1009842
"2014-11-13",70.09,70.42,69.72,70.37,1260358
"2014-11-20",70.21,70.51,69.82,70.43,1034121
"2014-12-04",71.54,71.85,70.76,70.9,1253087
"2014-12-11",69.59,70.6,69.57,69.93,1132704
"2014-12-18",70.91,71.69,70.01,71.69,1411456
"2015-01-08",71.54,72.52,71.5,72.28,1566517
"2015-01-15",71.96,72.23,71.38,71.72,877524
"2015-01-22",72.82,73.72,71.9,73.63,808924
"2015-01-29",72.81,73.91,72.61,73.87,1050218
"2015-02-05",75.98,77.13,75.64,77.12,1665097
"2015-02-12",78.01,78.47,77.82,78.45,936625
"2015-02-19",79.14,79.39,78.85,79.05,969213
"2015-02-26",79.07,79.25,78.42,78.64,882062
"2015-03-05",78.31,78.31,77.72,77.96,729711
"2015-03-12",77.48,78.33,77.17,78.24,877929
"2015-03-19",79.97,80.23,79.65,80.18,945326
"2015-03-26",77.41,78.66,77.3,78.43,811960
"2015-04-02",79.32,80.08,79.17,79.63,957402
"2015-04-09",80.16,80.27,79.11,80.01,612553
"2015-04-16",78.65,78.89,78.37,78.65,713537
"2015-04-23",78.6,79.91,78.6,79.74,723010
"2015-04-30",78.36,78.82,77.36,77.6,1245749
"2015-05-07",78.61,79.49,78.52,79.2,1120242
"2015-05-14",80.81,81,80.36,80.88,1098944
"2015-05-21",80.86,81.2,80.67,80.9,634926
"2015-05-28",80.59,80.97,80.25,80.79,515791
"2015-06-04",81.14,81.32,80.08,80.2,933299
"2015-06-11",80.37,81.3,80.33,80.98,805240
"2015-06-18",81.32,82.7,81.27,82.69,2218371
"2015-06-25",85.14,85.42,84.72,84.88,996536
"2015-07-02",84.11,84.46,83.34,83.85,945712
"2015-07-09",84.42,84.95,83.99,84.44,974983
"2015-07-16",87.94,88.4,87.37,88.23,875739
"2015-07-23",87.84,87.95,86.36,86.67,1212817
"2015-07-30",86.76,88.77,85.32,87.58,1991863
"2015-08-06",88.41,88.71,86.91,87.05,908733
"2015-08-13",88.5,89.82,88.25,89.16,760366
"2015-08-20",88.96,89.62,88.41,88.42,995568
"2015-08-27",85.48,86.78,84.77,86.56,1850691
"2015-09-03",86.03,86.45,85,85.73,1090203
"2015-09-10",84.87,86.75,84.59,85.92,928995
"2015-09-17",87.45,88.88,87.36,87.6,998559
"2015-09-24",86.47,87.87,86.25,87.64,1228460
"2015-10-01",86.91,87.51,86.12,87.51,1363792
"2015-10-08",89.12,91.4,88.89,91.34,1192521
"2015-10-15",91.38,91.49,90.63,91.03,1294961
"2015-10-22",92.91,94.77,92.91,94.51,1104865
"2015-10-29",96.1,97.03,95.75,96.71,1300952
"2015-11-05",96.39,96.39,95.6,95.94,1219460
"2015-11-12",95.98,96.34,95.4,95.44,803756
"2015-11-19",96.43,97.01,96.09,96.66,1072818
"2015-12-03",95.95,96.25,93.13,93.77,1799753
"2015-12-10",93.47,94.21,92.71,93.63,1057138
"2015-12-17",94.03,94.35,92.66,92.91,1450347
"2015-12-24",93.47,93.5,92.97,93.06,465292
"2015-12-31",92.78,93.49,91.4,91.46,988913
"2016-01-07",86.42,88.73,85.63,88.21,1774361
"2016-01-14",87.17,89.83,86.8,89.03,1462203
"2016-01-21",89.39,90.51,88.57,89.64,1373510
"2016-01-28",91.2,91.87,90.27,91.02,964700
"2016-02-04",95.02,96.56,94.7,96.53,1594805
"2016-02-11",90.93,92.28,90.6,91.68,1606497
"2016-02-18",96.04,96.65,95.55,96.32,1152053
"2016-02-25",98.72,99.48,97.72,99.47,908139
"2016-03-03",96.83,97.33,96.47,97.29,1058349
"2016-03-10",96.98,98.02,95.66,96.43,791252
"2016-03-17",99.48,100.99,99.48,100.63,1087283
"2016-03-24",100,100.53,99.04,99.77,965436
"2016-03-31",101.75,102.88,101.61,102.58,1573831
"2016-04-07",101.1,101.35,99.84,100.3,932348
"2016-04-14",100.53,100.62,99.58,99.67,965772
"2016-04-21",99.35,99.53,98.1,98.41,1211208
"2016-04-28",98.74,99.96,98.14,98.34,922903
"2016-05-05",99.06,99.85,98.78,99.25,1370257
"2016-05-12",105.7,105.85,104.37,105.24,802849
"2016-05-19",102.04,102.32,100.98,101.78,626140
"2016-05-26",102.54,104.36,102.53,104.26,531665
"2016-06-02",105.89,106.65,105.64,106.65,739956
"2016-06-09",107.06,107.58,106.1,107.34,696746
"2016-06-16",105.45,106.4,105.12,106.28,658086
"2016-06-23",105.3,105.63,104.7,105.63,909803
"2016-06-30",106.88,108.85,106.34,108.73,1542093
"2016-07-07",108.63,108.81,107.97,108.43,863091
"2016-07-14",111.51,111.51,110.19,110.55,849919
"2016-07-21",110.87,110.98,109.58,109.93,615080
"2016-07-28",109.84,110.9,109.47,110.71,859139
"2016-08-04",104.83,106.06,104.6,105.58,1668944
"2016-08-11",104.29,104.79,103.07,103.39,1293194
"2016-08-18",102.51,103.08,102.03,102.51,684309
"2016-08-25",102.8,103.75,102.6,103.02,542090
"2016-09-01",103.09,104,102.73,103.8,718174
"2016-09-08",102.78,103.07,102.14,102.27,788499
"2016-09-15",98.16,100.58,97.73,99.93,1786323
