"","CCI.Open","CCI.High","CCI.Low","CCI.Close","CCI.Volume"
"2014-12-18",75.62,76.95,75.51,76.53,5420953
"2015-01-08",80.92,82.32,80.7,81.77,5096563
"2015-01-15",81.86,82.21,81.55,81.63,2610493
"2015-01-22",83.76,85.46,83.35,85.25,6469175
"2015-01-29",87.15,87.18,85.65,86.76,3046629
"2015-02-05",86.53,87.18,86.21,86.73,4424217
"2015-02-12",87.3,87.74,86.82,87.59,1873103
"2015-02-19",87.99,88.3,87.57,87.79,2801056
"2015-02-26",86.54,86.54,85.22,86.09,2773138
"2015-03-05",86.23,86.46,85.91,86.26,1181683
"2015-03-12",85.38,86,84.97,85.95,1225799
"2015-03-19",85.85,86.39,85.48,85.85,2232764
"2015-03-26",84.25,85.09,83.91,84.61,2320349
"2015-04-02",83.76,84.37,83.55,84.15,1164660
"2015-04-09",85.26,85.43,84.58,85.14,2270922
"2015-04-16",85.43,86.13,84.79,86,1799912
"2015-04-23",85.6,86.94,85.22,86.64,3877593
"2015-04-30",84.17,84.17,83.23,83.53,2754319
"2015-05-07",82.26,83.02,81.98,82.61,1568671
"2015-05-14",82.9,83.25,82.41,82.78,2691702
"2015-05-21",82.82,83.09,81.96,82.08,3049593
"2015-05-28",81.68,82.47,81.61,82.27,1641457
"2015-06-04",82.21,85.79,82.02,83.67,4943050
"2015-06-11",82.71,83.5,82.63,82.93,2201903
"2015-06-18",83.22,83.78,82.94,83.5,4143955
"2015-06-25",82.37,82.5,81.92,81.92,1133103
"2015-07-02",81.26,81.7,80.7,81.11,1082705
"2015-07-09",81.28,81.46,80.44,80.44,1314638
"2015-07-16",81.78,82.08,81.51,81.69,2030792
"2015-07-23",81.38,84.32,81.38,83.26,4500240
"2015-07-30",81.96,82.01,81.05,81.47,1882202
"2015-08-06",82.43,82.68,81.89,82.04,1777454
"2015-08-13",84.86,85.49,84.65,84.85,1856002
"2015-08-20",85.04,85.55,84.28,84.39,2200626
"2015-08-27",82.25,84.71,82.07,84.02,2971730
"2015-09-03",82.5,82.8,81.98,82.32,1933081
"2015-09-10",80.5,80.85,79.04,79.29,3223682
"2015-09-17",78.37,79.05,77.37,77.99,2290733
"2015-09-24",76.59,76.84,75.78,76.78,2706296
"2015-10-01",78.9,79.67,78.28,79.59,2295477
"2015-10-08",81.06,81.76,80.61,81.64,2838047
"2015-10-15",80.82,81.35,80.62,81.32,1480426
"2015-10-22",83.76,86.8,83.5,86.79,5345049
"2015-10-29",85.6,85.92,85.11,85.67,1161445
"2015-11-05",85.76,87.08,85.17,86.54,2107187
"2015-11-12",84.2,84.84,83.93,84.15,979430
"2015-11-19",85.95,86.17,85.33,86.15,1233928
"2015-12-03",85.7,86.28,84.36,84.76,2338275
"2015-12-10",85.32,85.85,85.01,85.42,2168039
"2015-12-17",86.22,86.42,85.27,85.66,1964606
"2015-12-24",87.15,87.44,86.83,86.94,675782
"2015-12-31",86.88,87.22,86.42,86.45,1093055
"2016-01-07",85.43,85.78,83.66,84.26,2851345
"2016-01-14",83.03,84.67,82.3,83.96,1856972
"2016-01-21",78.45,80.06,78.03,79.13,2475210
"2016-01-28",83.5,85.97,83.5,84.81,2812898
"2016-02-04",86.5,86.85,85.65,86.22,1771027
"2016-02-11",80.04,82.03,79.99,81.51,2482944
"2016-02-18",84.72,86.88,84.42,86.02,2886972
"2016-02-25",86.95,88.26,86.03,86.74,3586667
"2016-03-03",88.45,88.45,87.12,87.89,2354474
"2016-03-10",86.52,86.76,84.5,85,2292494
"2016-03-17",85.26,86.8,85.2,85.98,3872346
"2016-03-24",85.63,85.72,85,85.58,2108441
"2016-03-31",86.97,87.35,86.48,86.5,3053201
"2016-04-07",86.73,87.04,86.29,86.77,1894501
"2016-04-14",87.89,87.89,87,87.16,1320506
"2016-04-21",87.32,87.4,85.86,85.89,3035344
"2016-04-28",87.07,87.99,86.92,87.14,1420329
"2016-05-05",87.88,88.53,87.84,87.94,1629415
"2016-05-12",90.44,90.69,90.01,90.46,1555483
"2016-05-19",89.62,89.93,89.13,89.53,1881303
"2016-05-26",91.41,91.41,90.57,90.81,1061954
"2016-06-02",90.66,91.8,90.52,91.8,1212745
"2016-06-09",93.91,94.6,93.52,94.42,1695183
"2016-06-16",93.71,94.7,93.6,94.65,2084860
"2016-06-23",95.86,96.41,95.53,96.08,2080374
"2016-06-30",100.27,101.44,99.9,101.43,2818337
"2016-07-07",101.8,102.12,101.15,101.51,1909978
"2016-07-14",100.2,100.2,99,99.47,1552155
"2016-07-21",97.65,98.56,97.51,98.27,2501376
"2016-07-28",96.16,96.76,95.85,96.57,2109496
"2016-08-04",96.18,97.01,96,96.87,1365075
"2016-08-11",96.26,96.55,95.78,96.27,1050257
"2016-08-18",94.56,94.85,93.91,94.3,1307863
"2016-08-25",94.88,95.39,94.32,94.49,1855350
"2016-09-01",94.7,94.91,94.35,94.75,1623553
"2016-09-08",98.6,98.74,97.62,97.66,3438088
"2016-09-15",91.38,92.1,91.05,91.46,2762475
