"","MAC.Open","MAC.High","MAC.Low","MAC.Close","MAC.Volume"
"2011-09-15",47.37,47.8,46.7,47.8,1248835
"2011-09-22",42.57,43.64,42.36,43.31,1803897
"2011-09-29",44.55,44.62,43.49,44.37,1119819
"2011-10-06",41.1,42.96,40.86,42.9,1378239
"2011-10-13",43.61,44.08,42.86,43.85,1627651
"2011-10-20",44.48,45.03,43.3,44.94,1251447
"2011-10-27",50.04,50.49,48.5,49.73,2652512
"2011-11-03",50.55,51.27,49.05,50.93,1342299
"2011-11-10",49.02,49.11,48.14,48.71,1062130
"2011-11-17",49,49.43,48,48.23,790441
"2011-12-01",49.84,49.85,48.57,48.61,936106
"2011-12-08",49.82,49.82,48.6,48.8,632988
"2011-12-15",48.75,49.18,48.23,48.7,749875
"2011-12-22",50.53,51.16,50.48,50.63,712415
"2011-12-29",50.65,51,50.45,50.81,393757
"2012-01-05",50.18,51.5,49.85,51.37,567086
"2012-01-12",52.42,53.16,51.43,52.16,778601
"2012-01-19",52.8,53.68,52.7,53.23,879520
"2012-01-26",54.82,55.44,54.71,55.29,747468
"2012-02-02",54.8,55.22,54.45,55.06,919303
"2012-02-09",55.54,55.74,54.6,55.15,984764
"2012-02-16",55.47,56.51,55.39,56.44,1116010
"2012-02-23",53.45,54.09,53.18,54,713877
"2012-03-01",54.05,54.8,53.77,54.79,802943
"2012-03-08",55.87,55.87,54.48,54.94,1384914
"2012-03-15",55.6,56.21,55.26,56,844170
"2012-03-22",56.11,56.17,54.93,55.43,690239
"2012-03-29",56.63,57.16,56.16,57,823463
"2012-04-05",57.33,57.86,57.17,57.76,753638
"2012-04-12",57.32,58.18,57.01,58.18,684092
"2012-04-19",58.68,58.94,58.06,58.5,552413
"2012-04-26",61.63,62.47,61.42,62.24,846856
"2012-05-03",62.53,62.66,61.85,62.15,733584
"2012-05-10",60.6,60.86,59.65,60.68,1369485
"2012-05-17",58.97,59.29,56.87,56.89,1108499
"2012-05-24",57.34,58.32,57.26,58.3,835864
"2012-05-31",56.89,57.77,56.34,57.05,1318982
"2012-06-07",57.58,57.81,55.99,56.09,1129923
"2012-06-14",55.1,56.03,55.04,55.94,1544801
"2012-06-21",57.77,57.86,57,57.06,1442849
"2012-06-28",56.69,57.65,56.41,57.51,863168
"2012-07-05",59.96,60.39,59.74,60.15,788468
"2012-07-12",58.56,58.95,57.95,58.58,1250085
"2012-07-19",58.37,58.44,57.18,57.43,956941
"2012-07-26",57.28,58.01,57.18,58,1357672
"2012-08-02",57.91,58.19,57.47,58.14,1002512
"2012-08-09",57.46,57.71,56.99,57.15,979283
"2012-08-16",57.46,57.57,56.93,57.56,748591
"2012-08-23",57.25,58.87,56.91,58.8,1329802
"2012-08-30",59.43,59.67,59.08,59.53,732491
"2012-09-06",60.3,60.5,60.09,60.37,853278
"2012-09-13",60.55,61.26,60.47,61.02,696147
"2012-09-20",59.75,59.75,58.76,59.19,1313460
"2012-09-27",57.4,57.74,57.17,57.35,966412
"2012-10-04",58.46,58.74,57.73,58.3,1045633
"2012-10-11",59.07,59.25,58.6,58.63,1177117
"2012-10-18",59.28,59.61,59.06,59.22,992962
"2012-10-25",56.85,57.17,55.89,56.9,889216
"2012-11-01",57.13,57.16,56.21,56.91,1743774
"2012-11-08",56.73,56.79,56,56,615039
"2012-11-15",55.11,55.64,54.32,54.68,517499
"2012-11-29",56.11,56.19,55.51,56,983126
"2012-12-06",57.46,57.97,57.41,57.88,568548
"2012-12-13",58.28,58.48,57.77,58.01,693362
"2012-12-20",57.79,58.43,57.74,58.4,685136
"2012-12-27",58.2,58.51,57.64,58.19,455622
"2013-01-03",58.85,59.4,58.51,58.98,909072
"2013-01-10",58.59,58.83,57.89,58.18,976561
"2013-01-17",58.16,58.45,58.07,58.08,625746
"2013-01-24",58.9,59.31,58.82,59.28,849176
"2013-01-31",59.68,59.99,59.47,59.72,1200522
"2013-02-07",61.64,61.99,61.45,61.5,1130061
"2013-02-14",61.86,61.95,61.57,61.62,459054
"2013-02-21",60.89,61.22,60.11,60.51,905729
"2013-02-28",60.32,60.65,60.02,60.11,1190159
"2013-03-07",61.77,62.36,61.67,62.09,1100545
"2013-03-14",61.89,62.39,61.8,62.38,411909
"2013-03-21",62.26,62.94,62.15,62.43,431867
"2013-03-28",63.86,64.47,63.48,64.38,841548
"2013-04-04",64.47,65.24,64.41,65.15,1011553
"2013-04-11",66.42,67.39,66.42,67.16,1156515
"2013-04-18",66.44,66.49,65.86,66.18,618468
"2013-04-25",67.69,68.53,67.03,68.45,729406
"2013-05-02",70.31,70.31,68.99,69.04,906443
"2013-05-09",69.8,70.28,69.5,69.66,2208425
"2013-05-16",70.46,70.92,69.78,70.05,593719
"2013-05-23",68.04,68.05,66.9,67.09,742702
"2013-05-30",66.07,66.81,65.57,65.86,926186
"2013-06-06",61.58,62.82,61.42,62.82,2110257
"2013-06-13",61.14,62.92,60.85,62.8,1020334
"2013-06-20",60.19,60.28,57.73,57.98,1026668
"2013-06-27",60.72,61.37,60.63,61.01,758587
"2013-07-11",63.59,64.36,63.58,64.13,698299
"2013-07-18",64.88,65.34,64.77,65.33,568134
"2013-07-25",64.07,64.49,63.86,64.28,557569
"2013-08-01",62.42,62.57,61.84,62.14,1015807
"2013-08-08",62.07,62.23,61.49,61.78,646108
"2013-08-15",59.65,59.65,58.21,58.56,956873
"2013-08-22",56.27,56.65,55.57,56.45,579078
"2013-08-29",56.04,56.6,55.72,56.57,658843
"2013-09-05",56.31,56.74,55.73,55.98,695940
"2013-09-12",57.37,57.91,56.8,57,493446
"2013-09-19",60.03,60.52,59.56,59.61,610219
"2013-09-26",57.11,57.81,57.05,57.8,619975
