"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume"
"2014-10-02",180.6,183.43,180.59,182.88,2789974
"2014-10-09",185.82,186.17,180.75,181.27,4893145
"2014-10-16",172.02,176.29,171.26,172.58,7798623
"2014-10-23",178.8,181.1,178.71,180.06,3397006
"2014-10-30",185.48,187.1,185.17,186.97,2794752
"2014-11-06",190.38,191.44,189.78,191,1915405
"2014-11-13",190.84,191.19,189.2,190.24,1749632
"2014-11-20",187.82,189.86,187.55,189.75,2849995
"2014-12-04",190.78,192.34,189.96,191.95,3162010
"2014-12-11",193,194.94,192.5,193.54,3179459
"2014-12-18",188,191.66,187.81,191.61,4209608
"2015-01-08",189.35,190.82,189.25,190.27,1962464
"2015-01-15",180.18,181.6,177.5,178.49,3145989
"2015-01-22",178.81,182.59,177.25,182.04,6228247
"2015-01-29",173.18,176.3,173.07,175.99,2421445
"2015-02-05",179.44,181.6,179.23,180.77,2434365
"2015-02-12",188.25,190,187.4,189.78,3086685
"2015-02-19",187.68,189.85,187.27,189.11,1470372
"2015-02-26",190.51,192.47,190,192.2,2449264
"2015-03-05",190.13,190.72,189.07,190.08,1330072
"2015-03-12",185.94,190,185.94,189.95,3114792
"2015-03-19",191.76,191.76,189.09,189.97,2097075
"2015-03-26",186.52,187.97,185.02,187.24,2377241
"2015-04-02",191.73,192.73,190.85,191.55,2296301
"2015-04-09",192.86,195.09,192.41,194.89,1986490
"2015-04-16",202.7,202.87,198.7,200.21,5976908
"2015-04-23",198.16,200.49,197.6,199.31,2053443
"2015-04-30",198.4,199.75,195.4,196.42,2732817
"2015-05-07",196.26,197.95,194.81,197.39,1795322
"2015-05-14",202.33,202.88,201.43,202.62,1957048
"2015-05-21",204.6,205.21,204.18,204.95,2225002
"2015-05-28",208.08,208.59,207.28,208.48,3084930
"2015-06-04",207.6,210.06,207,208.87,3462485
"2015-06-11",213.17,214.6,212.87,213.94,2024123
"2015-06-18",213.45,215.01,212.01,214.6,2167188
"2015-06-25",215.15,215.8,212.49,212.82,2434684
"2015-07-02",209.94,210.63,208.5,209.2,1816596
"2015-07-09",207.13,207.55,204.44,204.81,2256224
"2015-07-16",211.39,214.14,209.32,211.18,4405218
"2015-07-23",213.66,214.61,210.7,211.05,2192661
"2015-07-30",206.03,207.35,205.1,207.2,1342938
"2015-08-06",206,206.7,204.3,205.09,1485778
"2015-08-13",200.72,201.95,199.58,200.74,3353617
"2015-08-20",198.43,199.22,196.75,196.75,3129909
"2015-08-27",186.81,189.86,185.43,189.21,3734866
"2015-09-03",185,187.89,184.28,185.06,2898071
"2015-09-10",185.45,187.82,184.77,185.91,3037657
"2015-09-17",188.45,190.57,186,186.45,3646039
"2015-09-24",177.66,177.98,174.82,176.91,3868414
"2015-10-01",174.4,176.17,173.04,176.02,3578384
"2015-10-08",181.18,182.47,179.75,181.07,3226582
"2015-10-15",176.73,185.75,175.76,184.96,5675527
"2015-10-22",180.23,184.19,180.2,183.56,2595064
"2015-10-29",191,191.96,189.33,189.89,3064889
"2015-11-05",192.54,193.28,191,192.02,2183076
"2015-11-12",196.19,196.19,192.26,192.77,3132387
"2015-11-19",193.82,194.21,191.67,193.03,1832540
"2015-12-03",190.66,191.65,184.73,185.2,3598980
"2015-12-10",180.99,183.93,180.31,182.11,2212337
"2015-12-17",186.88,187.89,182.61,182.61,2807871
"2015-12-24",182.27,183.17,182.02,182.47,1107633
"2015-12-31",181.16,182.88,180.03,180.23,1773881
"2016-01-07",166.67,169.5,163.6,164.62,5687935
"2016-01-14",160.3,162.51,156.76,161.39,4258169
"2016-01-21",153.97,155.16,151.49,151.65,5730858
"2016-01-28",155.01,158.05,152.53,157.06,4291373
"2016-02-04",152.3,157.95,152.01,156.49,4566644
"2016-02-11",143.41,144.41,139.05,140.69,10228293
"2016-02-18",151.25,152,147.37,147.73,5885387
"2016-02-25",146,149.06,145.23,148.25,4296310
"2016-03-03",154,155.66,153.36,155.33,3615460
"2016-03-10",150.41,153.6,148.84,151.02,4326883
"2016-03-17",150.39,153.98,148.75,152.91,4420731
"2016-03-24",152.4,153.04,150.13,153,3693114
"2016-03-31",156.18,157.48,156.06,156.98,2922971
"2016-04-07",153.65,154.03,149.37,150.41,4781673
"2016-04-14",159.53,162.27,159.15,160.91,3056007
"2016-04-21",166.55,168.9,165.01,165.32,4158209
"2016-04-28",165.35,167.32,164.01,164.29,2527146
"2016-05-05",160.78,160.82,158.5,159.53,2366171
"2016-05-12",160.32,161.47,157.31,158.07,2447185
"2016-05-19",158.68,159.95,154.52,154.7,4703159
"2016-05-26",161.16,161.33,159.17,159.22,2575764
"2016-06-02",160.14,160.33,158.46,159.28,2257052
"2016-06-09",153.79,154.29,152.46,153.17,2712162
"2016-06-16",145,146.99,143.53,146.63,3499194
"2016-06-23",150.56,152.8,150.14,152.66,2940458
"2016-06-30",146.67,148.88,145.37,148.58,4528624
"2016-07-07",146,148.09,145.36,147,2578292
"2016-07-14",160.29,163.24,160.01,162.54,5087724
"2016-07-21",161.71,161.9,159.77,160.05,2997187
"2016-07-28",160.18,160.96,158.84,160.53,2047424
"2016-08-04",158.22,158.9,157.41,158.05,2005699
"2016-08-11",162.2,164.25,161.93,163.86,1827689
"2016-08-18",165.34,166.56,164.63,166.06,1750624
"2016-08-25",165.08,166.04,164.61,165.9,1441362
"2016-09-01",170,170.07,166.66,168.51,2843274
"2016-09-08",169.35,171.88,168.71,171.66,3031625
"2016-09-15",165.78,168.76,165.76,168.08,1666130
