"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume"
"2011-09-15",105.17,108.19,105.1,107.97,6355270
"2011-09-22",95.96,96.03,91.4,93.98,12386183
"2011-09-29",98.65,99.98,97.2,99.87,5950244
"2011-10-06",94,98,91.76,97.93,7605565
"2011-10-13",97.87,98.02,94.52,96.15,6575646
"2011-10-20",101.69,102.17,98.28,100.86,7351632
"2011-10-27",110.33,117.53,110,114.91,16486369
"2011-11-03",108.03,108.71,102.09,107.68,8295313
"2011-11-10",101.87,101.94,98.14,99.5,8537181
"2011-11-17",95.99,96.44,91.82,92.35,8997220
"2011-12-01",94.58,95.62,93.2,94.43,6040334
"2011-12-08",103.68,104.69,99.38,99.92,9221362
"2011-12-15",94.74,95.1,91.9,91.9,8163159
"2011-12-22",92.12,94.95,91.79,94.42,8286643
"2011-12-29",90.59,91.43,90.25,91.01,4290483
"2012-01-05",93.95,95.8,92.5,94.58,8131295
"2012-01-12",100.56,101.45,98.26,101.21,6862030
"2012-01-19",106.25,108.3,104.88,107.68,11481997
"2012-01-26",108.61,110.3,108.03,108.56,6911788
"2012-02-02",114.34,115.41,112.71,113.39,6625837
"2012-02-09",117.19,117.39,115.05,115.88,4770123
"2012-02-16",112.45,114.98,111.62,114.74,6374429
"2012-02-23",114.62,115.82,113.22,115.8,5610186
"2012-03-01",115.97,121.24,115.84,121.13,10491269
"2012-03-08",117.73,118.68,116.08,117.17,4784649
"2012-03-15",121.73,123.55,120.12,123.06,7246662
"2012-03-22",124.79,125.57,124.09,124.74,5029001
"2012-03-29",125.66,126.6,122.89,123.76,5538924
"2012-04-05",119.45,120.59,117.63,118,6104426
"2012-04-12",116.57,120.41,116,120.39,5517478
"2012-04-19",115.1,115.48,112.47,113.6,9245345
"2012-04-26",113.43,115.55,113.08,114.56,4589609
"2012-05-03",113.98,114.28,110.81,111.53,4856784
"2012-05-10",108.56,109.36,106.12,106.32,4694106
"2012-05-17",98.57,99.94,97.08,97.08,6377810
"2012-05-24",98.32,98.5,95.84,96.86,5177906
"2012-05-31",94.9,96.65,93.7,95.7,4834240
"2012-06-07",96.64,97.5,93.29,94,6069468
"2012-06-14",92.94,94.29,92.51,93.82,4461313
"2012-06-21",96.8,96.87,93.87,93.9,5579342
"2012-06-28",92.09,93.52,91.33,93.49,4413691
"2012-07-05",98.21,98.21,95.89,95.92,3736847
"2012-07-12",94.34,94.74,93.23,94.02,3186951
"2012-07-19",96.6,96.64,94.55,95,6165656
"2012-07-26",97.44,98.2,96.75,98.06,5077512
"2012-08-02",98.5,99.03,96.72,97.81,3980478
"2012-08-09",102.41,104,102.3,103.6,2855080
"2012-08-16",103.26,103.93,102.6,103.49,2417822
"2012-08-23",104.59,104.99,103.65,104.08,3583261
"2012-08-30",104.74,105.2,103.95,104.72,2823959
"2012-09-06",110.61,113.78,110.01,113.54,6522061
"2012-09-13",117.99,121.05,117.68,120.67,5262241
"2012-09-20",117.64,117.82,116.24,117.63,4448067
"2012-09-27",113.74,115.86,113.72,115.23,3898844
"2012-10-04",118.66,120.36,117.93,119.9,3743403
"2012-10-11",120.95,122.94,120.75,121.99,4708248
"2012-10-18",123.8,126.48,123.19,125.15,5375064
"2012-10-25",120.83,122.19,118.65,119.72,4128724
"2012-11-01",122.82,124.88,122.36,124.85,3336741
"2012-11-08",119.21,119.84,115.26,115.27,6253393
"2012-11-15",114.51,116.36,113.91,115.44,3703600
"2012-11-29",120,120.45,118.52,118.73,2982011
"2012-12-06",117.22,117.48,116.2,117.2,2330826
"2012-12-13",117.81,119.16,117.59,118.5,3330142
"2012-12-20",127.35,129.72,126.62,129.72,4412061
"2012-12-27",127.55,128.3,124.57,126.67,3263493
"2013-01-03",131.7,131.78,130.07,130.94,4584522
"2013-01-10",135.07,138.15,134.13,137.37,5962241
"2013-01-17",140.89,141.95,139.62,141.01,6596062
"2013-01-24",145,146.74,144.06,144.96,4638187
"2013-01-31",146.26,148,146.26,147.86,3683006
"2013-02-07",150.76,152.5,149,150.26,4891850
"2013-02-14",153.84,156.72,153.62,155.93,5037537
"2013-02-21",153.72,153.95,149.8,150.88,8319596
"2013-02-28",151.35,152.4,149.76,149.76,4957378
"2013-03-07",154.7,157.19,154.5,156.62,3893304
"2013-03-14",152.27,154.34,152.16,154.02,3886769
"2013-03-21",149.29,150.22,145.37,145.38,4707014
"2013-03-28",148.12,149.06,147.13,147.15,3701846
"2013-04-04",143.52,144.95,142.24,142.99,3424222
"2013-04-11",149.46,150.59,148.22,149.07,2952365
"2013-04-18",140.09,140.9,137.42,138.6,4820113
"2013-04-25",144.11,146.05,143.75,144.76,2637808
"2013-05-02",142.68,143.67,140.39,143.67,4332174
"2013-05-09",150.1,150.86,148.25,148.54,2819832
"2013-05-16",154.73,157.48,153.96,154.47,3234156
"2013-05-23",156.36,158.89,154.62,157.41,5619860
"2013-05-30",162.66,165.45,161,164.35,4336534
"2013-06-06",158.3,159.79,156.34,159.68,3245241
"2013-06-13",161.2,166.39,161.07,165.82,3769373
"2013-06-20",159.15,159.99,154.84,155.41,6490459
"2013-06-27",153.03,154.99,152.61,153.51,2655049
"2013-07-11",158.5,159.74,156.11,157.71,2967108
"2013-07-18",161.58,164.58,161.5,164.06,3462828
"2013-07-25",164.28,166,163.69,165.91,2237229
"2013-08-01",165.74,167.9,164.88,167.49,3253583
"2013-08-08",164.75,166.43,162.83,162.84,2818974
"2013-08-15",161.91,161.97,160.07,160.75,2206961
"2013-08-22",157.81,159.66,157.2,159.41,2303775
"2013-08-29",152.37,154.68,152.09,153.63,2133886
"2013-09-05",155.99,158.05,155.57,156.17,2446717
"2013-09-12",164.84,165.31,163.07,163.35,2689922
"2013-09-19",169.69,170,166.88,167.78,3535291
"2013-09-26",162.9,163.93,161.04,162.29,2714188
"2013-10-03",158.63,159.16,155.46,156.85,2950787
"2013-10-10",156.83,158.24,156,158.01,3647949
"2013-10-17",156.48,159.2,155.99,158.32,7522055
"2013-10-24",159.45,160.35,158.83,159.96,2595960
"2013-10-31",162.09,163.35,160.86,160.86,2786563
"2013-11-07",164.04,164.21,159.61,159.64,3490920
"2013-11-14",163.55,163.95,162.41,163.2,3649415
"2013-11-21",165.25,167.32,165.01,167.07,3163429
"2013-12-05",167.41,167.96,165.35,165.56,3566341
"2013-12-12",166.52,168.96,166.52,168.33,2911908
"2013-12-19",174.75,175.8,174,174.77,3094647
"2013-12-26",176.6,176.76,175.18,176.45,1320162
"2014-01-02",176.95,178.38,176.36,176.89,1990643
"2014-01-09",179.08,179.08,176.61,177.4,2151647
"2014-01-16",178.75,178.79,174.5,175.17,4717139
"2014-01-23",172.42,172.42,169.02,170.75,3980430
"2014-01-30",165.33,166.17,164.57,165.84,2850700
"2014-02-06",161.16,162,160.1,161.75,3798525
"2014-02-13",162.55,164.4,162.1,164.06,3138242
"2014-02-20",163.49,164.97,162.67,164.5,2656478
"2014-02-27",162.66,165.79,162.34,165.38,3853776
"2014-03-06",172.71,174,172.49,172.6,3408257
"2014-03-13",170.48,171.24,166.57,166.7,3421385
"2014-03-20",167.88,170.45,167.27,169.22,3950521
"2014-03-27",161.8,163.31,160.77,162.29,3890239
"2014-04-03",167.31,167.67,165,166.09,2337292
"2014-04-10",158.41,158.88,155.81,155.98,4806565
"2014-04-17",161.03,161.44,157.35,157.44,4526106
"2014-04-24",161.04,162.11,160.59,160.85,2934201
"2014-05-01",159.8,161,159.7,160.37,2079547
"2014-05-08",155.76,158.22,155.2,157.4,2719646
"2014-05-15",158.69,158.96,155.92,156.64,2769269
"2014-05-22",158.95,160.3,158.65,159.85,1645058
"2014-05-29",161.14,162,159.62,160.74,1779171
"2014-06-05",162.72,163.43,161.56,162.58,1861574
"2014-06-12",165.76,166.65,165.02,165.96,2309882
"2014-06-19",170,170.16,168.93,169.73,2306899
"2014-06-26",167,168.11,166.37,168.01,2131196
"2014-07-03",167.83,169.9,167.72,169.46,1801184
"2014-07-10",162.22,163.78,161.53,163.42,2204137
"2014-07-17",170.21,171.6,168.92,170.14,3815487
"2014-07-24",176.8,177.32,175.61,176.26,2012767
"2014-07-31",174.44,175.27,172.79,172.87,3797945
"2014-08-07",170.3,171.07,168.74,169.1,1928415
"2014-08-14",172.8,173.1,171.69,172.73,1431363
"2014-08-21",174.24,175.92,173.44,175.15,2080344
"2014-08-28",177.05,177.75,175.89,177.65,1961831
"2014-09-04",179.93,181.6,179.55,180.08,1678491
"2014-09-11",178.77,181.44,178.5,181,1907281
"2014-09-18",185.83,188.43,185.5,187.89,3572845
"2014-09-25",187.46,187.8,183.46,184.09,3080490
