"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume"
"2015-06-25",1158,1160.9,1148.65,1149.19,335050
"2015-07-02",1152.86,1154.59,1142,1143.07,396817
"2015-07-09",1133.44,1141.34,1125,1126.07,638665
"2015-07-16",1178.85,1184.78,1174,1182.99,275986
"2015-07-23",1234.05,1238.46,1222.3,1228.96,428682
"2015-07-30",1222,1227.1,1207.64,1222.06,523852
"2015-08-06",1351.5,1372.33,1340.1,1351.8,868814
"2015-08-13",1301.69,1307,1284.53,1285.47,411099
"2015-08-20",1288.2,1289.51,1255.36,1257.54,693425
"2015-08-27",1234.99,1253.97,1233.42,1252.01,788044
"2015-09-03",1249.14,1260.25,1236.3,1240.37,541847
"2015-09-10",1277.41,1293.87,1275,1287.74,405854
"2015-09-17",1321.95,1338.51,1313.83,1318,473925
"2015-09-24",1266.75,1284.12,1256.16,1281.13,594974
"2015-10-01",1235.53,1251.28,1220,1247.08,817462
"2015-10-08",1287.1,1311.43,1281.14,1304.32,432401
"2015-10-15",1319.61,1333.24,1304.97,1327.29,599733
"2015-10-22",1371.55,1382,1351.2,1354.47,676002
"2015-10-29",1410,1428.42,1402.68,1425.65,513063
"2015-11-05",1475,1476.52,1451.67,1462.64,548465
"2015-11-12",1321,1336.26,1312.99,1314.01,557845
"2015-11-19",1286.83,1299.78,1282.12,1284.65,555211
"2015-12-03",1284.19,1295.42,1271.17,1280.08,666714
"2015-12-10",1300,1307.28,1286.69,1306.5,461775
"2015-12-17",1341.99,1341.99,1312.69,1313.74,504918
"2015-12-24",1278.5,1280.52,1272.01,1273.07,159323
"2015-12-31",1285.58,1287.9,1271.51,1274.95,337743
"2016-01-07",1171.97,1194.49,1154.28,1167.19,1092082
"2016-01-14",1098.21,1136.71,1065,1121.38,1158043
"2016-01-21",1084.36,1111,1067.06,1089.14,541910
"2016-01-28",1058.79,1059.72,1015.15,1043.13,1127724
"2016-02-04",1044.79,1073.64,1023.25,1069.1,761687
"2016-02-11",1054,1063.63,1028.53,1055.24,1033811
"2016-02-18",1245,1257.23,1236.38,1251.95,1056153
"2016-02-25",1263.25,1271.98,1247.04,1263.41,727903
"2016-03-03",1296.68,1305.84,1288.65,1303.04,446807
"2016-03-10",1295.81,1306,1274.5,1293.77,431122
"2016-03-17",1341.7,1356.33,1337.11,1346.86,389444
"2016-03-24",1300,1304.44,1291.63,1301.19,372303
"2016-03-31",1312.31,1314.99,1288.33,1288.96,488180
"2016-04-07",1291.47,1292.33,1271.45,1276.5,385862
"2016-04-14",1323,1340,1319,1336.39,519798
"2016-04-21",1343.31,1357.43,1337,1340,268471
"2016-04-28",1330,1355.91,1310.14,1317.59,732906
"2016-05-05",1253.88,1263.92,1239.02,1240.85,816856
"2016-05-12",1273.49,1290.2,1270.22,1282.25,670995
"2016-05-19",1250.78,1258.9,1233.89,1250.31,548816
"2016-05-26",1270.93,1280,1261.57,1269.02,268806
"2016-06-02",1279.4,1290.35,1272.17,1290,447371
"2016-06-09",1347.02,1351.31,1336.31,1340.07,450659
"2016-06-16",1304,1335,1303.39,1323.89,629057
"2016-06-23",1374,1394,1371,1390.2,679196
"2016-06-30",1271.25,1275.57,1240.01,1248.41,921489
"2016-07-07",1289.64,1305.94,1289.64,1297.26,495034
"2016-07-14",1345.26,1351,1340.24,1346.18,290939
"2016-07-21",1349.01,1350.8,1325.82,1332.5,523119
"2016-07-28",1310,1329.87,1310,1326.1,500475
"2016-08-04",1358.4,1363.68,1344.32,1359.99,1321562
"2016-08-11",1408.75,1416.43,1405.37,1406.92,301355
"2016-08-18",1440,1449.9,1437.5,1443.07,523477
"2016-08-25",1404.13,1418.6,1404.13,1415.55,309617
"2016-09-01",1422.5,1424.37,1408.53,1418.59,307241
"2016-09-08",1443.33,1454.11,1441.93,1445.83,350790
"2016-09-15",1431.98,1458.91,1426.16,1457.22,733999
