"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume"
"2011-09-15",533.68,534.7,522.7,524,943786
"2011-09-22",516.39,521.49,499.25,505.57,1832243
"2011-09-29",506.03,506.78,463.15,478.02,2383704
"2011-10-06",447.78,472.83,444.28,469.56,1935362
"2011-10-13",485.06,495.75,483.93,493.77,1106607
"2011-10-20",478.47,480.5,468.67,473.82,953929
"2011-10-27",512.38,524.42,510.69,520.55,1542916
"2011-11-03",498.57,511.77,490.31,511.71,1017277
"2011-11-10",542.34,543,525.55,528.36,1368194
"2011-11-17",538.05,541,511.41,513.4,1594376
"2011-12-01",483.87,493.27,482.01,488.43,816423
"2011-12-08",482.86,486,477,479.46,860522
"2011-12-15",450.05,452.5,438.76,445.39,1631760
"2011-12-22",472.59,482.61,470.84,479.69,708660
"2011-12-29",476.31,477.59,465.85,476,446715
"2012-01-05",479.08,488,473.42,486.21,744108
"2012-01-12",477.57,479.49,471.11,476.18,558512
"2012-01-19",520,527.05,520,526.07,756241
"2012-01-26",530,537.56,523,524.66,684943
"2012-02-02",535,536.5,529.93,533.83,500625
"2012-02-09",537.46,542.96,533.23,540.13,689536
"2012-02-16",570.39,574.24,558.15,571.32,745356
"2012-02-23",588.53,593.82,585.24,587.4,717386
"2012-03-01",626.03,638.56,626,637.32,1054373
"2012-03-08",647.43,654.9,641.26,653.82,866393
"2012-03-15",649.99,659.67,646.07,657.25,690049
"2012-03-22",700.28,713.53,699.5,711.99,975710
"2012-03-29",712.1,722.05,709.09,720.04,1033364
"2012-04-05",749.28,759.89,748,756.8,1577925
"2012-04-12",731.44,744,724.29,742.15,1218827
"2012-04-19",727.71,738.58,711.65,717.18,1170485
"2012-04-26",723.4,736.85,720.88,733.27,1082724
"2012-05-03",763.05,764.59,745.55,749.73,898635
"2012-05-10",703.12,706,680.23,681.11,3137172
"2012-05-17",663.77,665.49,645,645.41,1340401
"2012-05-24",676.31,676.93,658.71,668.97,980671
"2012-05-31",637,639.04,616.91,625.49,1308910
"2012-06-07",653.5,659.17,634.3,636.15,1048213
"2012-06-14",647.11,647.63,631.07,640.32,843572
"2012-06-21",672,677.45,656.5,657.58,784327
"2012-06-28",648.3,649.63,633,643.48,720462
"2012-07-05",685.97,693.17,676.51,681.65,904100
"2012-07-12",639,643.74,632.76,639.08,1028907
"2012-07-19",659.88,678.95,659.45,672.67,1134212
"2012-07-26",638.91,639.7,618.57,628.32,1287499
"2012-08-02",636.76,656.47,634.01,649.01,981670
"2012-08-09",563.01,570.35,553.42,562.26,2430263
"2012-08-16",577.12,589.88,576.68,586.79,1306515
"2012-08-23",590.87,597.57,590.17,593.53,983693
"2012-08-30",599.72,610.28,599.51,603.6,786166
"2012-09-06",599.57,609.24,597.26,604,1055502
"2012-09-13",619.95,629.78,617.68,626.93,758042
"2012-09-20",635.69,635.89,629.58,633.77,557278
"2012-09-27",625.7,633.91,622.42,630.52,686223
"2012-10-04",624.96,637.58,623.12,635.04,745970
"2012-10-11",610.11,610.69,590.66,598.14,1249888
"2012-10-18",598.23,599.1,570.68,582.38,1456561
"2012-10-25",568.62,570.71,556.45,557.87,1017566
"2012-11-01",574.9,586.84,568.62,586.1,1282420
"2012-11-08",632.35,640.65,627.11,627.87,679007
"2012-11-15",614.99,622.5,611.55,617.52,649127
"2012-11-29",661.25,672.44,660,665.74,1087738
"2012-12-06",664,670.36,658.01,664.14,447494
"2012-12-13",625.51,628.32,607.55,613.08,749315
"2012-12-20",628.98,633.85,622.86,630.83,309158
"2012-12-27",604.43,612.34,597.15,610.03,410877
"2013-01-03",652.59,659,645.87,648.73,925517
"2013-01-10",655.24,657.83,645.55,653.62,385574
"2013-01-17",670.73,675.3,661.34,669.89,547274
"2013-01-24",671.84,681.72,670.87,679.55,630697
"2013-01-31",675.96,687.34,673.72,685.47,1053756
"2013-02-07",694.1,697.46,679.65,690.69,444358
"2013-02-14",699.95,707.99,697.66,705.62,345682
"2013-02-21",688.5,690.56,675.11,683.33,1109574
"2013-02-28",696.3,697.72,680.69,689.11,1088128
"2013-03-07",722.15,723.74,716.53,719.03,462607
"2013-03-14",715.4,717.8,708.86,713.15,383392
"2013-03-21",688.44,699.49,683.51,683.99,537077
"2013-03-28",694.3,694.8,686.01,688.16,539605
"2013-04-04",698,702.13,689,701.35,469872
"2013-04-11",720.91,735.29,718.72,733.99,724902
"2013-04-18",707.07,707.36,683.54,690.01,800577
"2013-04-25",705,720.5,703.5,711.22,561491
"2013-05-02",693.75,712.6,693.75,707.95,617843
"2013-05-09",735,744.98,728.72,737.5,1057849
"2013-05-16",806,811.48,797.5,800.08,898381
"2013-05-23",789,805.65,784.32,803.6,907347
"2013-05-30",795,816.4,792.27,807.54,1258905
"2013-06-06",794.85,806.03,787,805.9,582944
"2013-06-13",805.43,815.89,803.49,814.82,460300
"2013-06-20",822.5,830.38,812.44,815.69,873222
"2013-06-27",825.5,828.06,819.9,822.39,533353
"2013-07-11",900.85,912.86,895.6,910.35,816682
"2013-07-18",903.4,904,893.01,899.6,502004
"2013-07-25",902.69,919.38,900.61,912,986523
"2013-08-01",885.74,906.53,883.28,904.35,1009794
"2013-08-08",936.05,937,915.93,933.75,1339177
"2013-08-15",935.23,943.41,928.8,938.79,823583
"2013-08-22",945.29,954.43,943.51,952.15,369427
"2013-08-29",932.99,946.89,932.99,940.65,331459
"2013-09-05",950.91,962.96,950.52,957.8,317884
"2013-09-12",979.23,982.13,968.08,969.79,311020
"2013-09-19",997.48,1003.31,989.03,1000.62,539673
"2013-09-26",1002.44,1014.22,999.48,1011.61,379704
"2013-10-03",1065.62,1074.89,1043.31,1049.31,726917
"2013-10-10",1006.41,1016.49,1002,1013.19,761306
"2013-10-17",1031.51,1042,1025.89,1032.15,477823
"2013-10-24",1074,1082.78,1066,1080.4,483312
"2013-10-31",1082,1082,1044,1053.83,668556
"2013-11-07",1056.62,1062.6,1020.69,1022.89,1328854
"2013-11-14",1133,1143.26,1128.93,1137.44,591070
"2013-11-21",1157.64,1163.49,1151.07,1159.11,493502
"2013-12-05",1180.69,1180.94,1169.94,1174.39,383705
"2013-12-12",1180,1183.47,1171.02,1175.24,405169
"2013-12-19",1187.9,1194,1183.72,1191.57,602833
"2013-12-26",1183.2,1189.85,1178.08,1189.85,308288
"2014-01-02",1159.97,1161.29,1140,1145.44,654396
"2014-01-09",1157.95,1162.83,1144.25,1153.69,474847
"2014-01-16",1170.52,1189.99,1170.52,1184.65,787289
"2014-01-23",1207,1214.97,1196.15,1208.86,532350
"2014-01-30",1145.16,1162.76,1141.77,1160,791843
"2014-02-06",1128.42,1145.51,1125.99,1138.34,452461
"2014-02-13",1241.48,1282.6,1239.22,1276.07,1222692
"2014-02-20",1284.1,1286,1254.03,1283,1728594
"2014-02-27",1357.13,1363.09,1350,1357.79,629821
"2014-03-06",1370.75,1378.96,1361.1,1364.4,484739
"2014-03-13",1337.99,1338.14,1294.63,1299.73,967475
"2014-03-20",1285.67,1300,1272.17,1292.39,636464
"2014-03-27",1188.77,1191.97,1156.41,1182.25,1630772
"2014-04-03",1265,1265.82,1224.01,1237.45,1061439
"2014-04-10",1231.72,1234.85,1174.08,1177.3,1559097
"2014-04-17",1205.74,1224.62,1203,1208.36,1060022
"2014-04-24",1232,1235.45,1203.71,1217.03,611297
"2014-05-01",1163.92,1193.78,1156.39,1180.6,930119
"2014-05-08",1096.61,1152.98,1087.26,1108,2618688
"2014-05-15",1142.95,1143,1118.14,1136.25,859167
"2014-05-22",1177,1186,1171.95,1178.06,560209
"2014-05-29",1270.74,1292.66,1266,1291.73,810516
"2014-06-05",1252.37,1259.95,1245.63,1247.96,686487
"2014-06-12",1249.32,1264.8,1222,1226,966140
"2014-06-19",1220.82,1221.02,1199.52,1206.83,580436
"2014-06-26",1228.26,1230.08,1213.73,1217.7,555243
"2014-07-03",1246.04,1247.44,1238.07,1243.12,328493
"2014-07-10",1211.85,1226.48,1209.05,1216.13,765582
"2014-07-17",1218.52,1229,1197.01,1201.37,933102
"2014-07-24",1234.34,1247.31,1228.27,1236.73,621929
"2014-07-31",1248.52,1254.97,1236.47,1242.45,823196
"2014-08-07",1303.11,1303.63,1279.4,1285.11,677482
"2014-08-14",1299.97,1301.45,1284.06,1284.81,713851
"2014-08-21",1273.37,1275.35,1264.26,1265.05,403331
"2014-08-28",1255.51,1260.11,1248.7,1250.71,480359
"2014-09-04",1242.38,1243.9,1216,1220.76,967757
"2014-09-11",1183.62,1186.79,1170.15,1176.85,619205
"2014-09-18",1179.4,1198.49,1175.71,1197.2,872262
"2014-09-25",1181.43,1182.56,1159.33,1164.02,752895
"2014-10-02",1140,1146.63,1119.05,1139.91,797835
"2014-10-09",1120.18,1122.62,1099.01,1102.19,1069059
"2014-10-16",1044.67,1073.76,1042.23,1073.19,1059611
"2014-10-23",1125.12,1141.43,1120.9,1130.98,709046
"2014-10-30",1142.92,1154.49,1132.45,1146.59,542881
"2014-11-06",1096.98,1100.29,1082.8,1097.75,741249
"2014-11-13",1165.2,1174,1156.45,1168.01,709120
"2014-11-20",1149.62,1162.99,1148.27,1153.88,449512
"2014-12-04",1126.34,1146.57,1125.31,1140.11,735771
"2014-12-11",1119.39,1127.33,1111.71,1114.27,547478
"2014-12-18",1088.92,1108.99,1088.14,1104.58,1230324
"2015-01-08",1056.95,1083.17,1047.12,1082.85,1047522
"2015-01-15",1041.06,1042.5,995.68,998.25,1453268
"2015-01-22",1048.5,1053,1036.06,1049.68,914334
"2015-01-29",1007.79,1015.51,992.12,1014.74,760513
"2015-02-05",1033.52,1049.44,1031.3,1044.6,660252
"2015-02-12",1077.21,1102.26,1075.72,1091.95,1199511
"2015-02-19",1219,1222.88,1195.36,1218.05,2671464
"2015-02-26",1248.98,1264,1238.97,1241.25,935436
"2015-03-05",1225.3,1242,1224.54,1231.9,502125
"2015-03-12",1186.93,1194.55,1176,1186.6,522133
"2015-03-19",1176.24,1179,1165,1176.32,475631
"2015-03-26",1144.5,1153.46,1137.77,1140.36,525294
"2015-04-02",1149.15,1164.8,1146.19,1160.44,541244
"2015-04-09",1194.35,1199,1181.01,1186,435246
"2015-04-16",1200.07,1213.31,1199.07,1206.09,518519
"2015-04-23",1209,1222.95,1207.65,1221.1,463679
"2015-04-30",1247.75,1255.27,1231.53,1237.81,581233
"2015-05-07",1224.25,1227.89,1182.02,1213.49,2163940
"2015-05-14",1188.69,1192.4,1177.07,1190.09,506503
"2015-05-21",1206.01,1218.54,1204,1212.63,323294
"2015-05-28",1197.24,1201.41,1187.16,1190.55,394943
"2015-06-04",1183.89,1197.55,1182.86,1185.74,496525
"2015-06-11",1183.4,1188.45,1177.93,1181.93,365522
"2015-06-18",1169.32,1176.79,1163.82,1173.96,597246
