"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume"
"2015-05-21",400.24,401.65,397.97,401.15,858982
"2015-05-28",402.3,403.85,399.1,400.1,789137
"2015-06-04",385.5,387.54,382.54,384.34,1527580
"2015-06-11",390.6,395.15,390.16,393.54,1323308
"2015-06-18",393.47,404.9,393.4,401.55,1677369
"2015-06-25",412.92,417.68,410.06,411.29,902791
"2015-07-02",407.29,407.98,403.15,404.28,929142
"2015-07-09",403.56,404.36,399.29,399.29,1325282
"2015-07-16",402.72,407.31,402.05,403.73,1335511
"2015-07-23",394.17,396.23,384.51,385.05,2602459
"2015-07-30",312.54,319.42,310.52,317,2303854
"2015-08-06",336.67,337.5,315.3,316.6,3829962
"2015-08-13",316.97,319.48,313.75,313.91,1316320
"2015-08-20",314.78,316.9,309.21,309.9,1901954
"2015-08-27",301.37,308.5,299.36,304.49,2462999
"2015-09-03",306.47,309.72,300.84,301.63,1774361
"2015-09-10",302.91,315.78,302.11,312.62,2181569
"2015-09-17",321.19,330.54,318.38,325.3,2575310
"2015-09-24",295.58,298.15,287.12,293.01,2651049
"2015-10-01",291.99,292.89,282.45,287.3,2861050
"2015-10-08",278.33,281.5,272.28,279.88,2555406
"2015-10-15",256.31,268.53,254,268.41,2747437
"2015-10-22",276.33,283.48,270.07,276.83,4448309
"2015-10-29",294.3,299.41,290.77,293.72,3584576
"2015-11-05",294.15,295.01,288.5,293.03,2258363
"2015-11-12",292.5,297.28,290.91,291.33,1443382
"2015-11-19",292,292.5,286.53,289.44,1623333
"2015-12-03",284.22,285.58,274.23,275.44,1902741
"2015-12-10",285.36,291.22,284.68,289.88,1422778
"2015-12-17",299.04,300.87,296.38,297.17,1705316
"2015-12-24",300.29,303.87,299.5,302.29,540042
"2015-12-31",306.1,309.33,306.1,306.35,1063813
"2016-01-07",286.52,289.99,283.03,284.01,1844924
"2016-01-14",268.57,283.3,265.37,280.57,2391624
"2016-01-21",269.67,271.05,261.02,262.08,2529372
"2016-01-28",275.77,276.97,261.7,265.96,3054897
"2016-02-04",270.16,279.38,269.11,273.27,2067468
"2016-02-11",246.31,250.02,243.03,245.11,2162138
"2016-02-18",266.6,266.96,258.51,259.05,1522445
"2016-02-25",261.9,262.84,259.16,262.35,1516035
"2016-03-03",272.22,272.82,266.14,268.64,1430850
"2016-03-10",257,260.57,251,251.97,1962117
"2016-03-17",250,250.03,242.25,246.31,1892082
"2016-03-24",253.79,257.54,251.13,254.69,1056746
"2016-03-31",255.07,261.4,254.19,260.32,1541958
"2016-04-07",278.03,280.7,271.15,273.04,1968116
"2016-04-14",270.71,272,269.07,270.56,905376
"2016-04-21",268.84,280.13,268.84,279.6,3145536
"2016-04-28",278,284.05,277.51,281.08,1403256
"2016-05-05",263.58,265.4,262.63,264.62,1104781
"2016-05-12",268.25,270.55,259.59,262.71,1295565
"2016-05-19",262.8,264.7,256.42,258.72,1277733
"2016-05-26",279.53,284.28,279.09,282,1805865
"2016-06-02",286.88,289.91,286.56,289.73,1128675
"2016-06-09",253.14,256.19,249.57,250.46,2860184
"2016-06-16",236.91,243.34,236.54,242.19,1995519
"2016-06-23",237.18,238.79,235.76,238.62,1402996
"2016-06-30",239.31,241.9,236.67,241.82,2093220
"2016-07-07",247.24,249.66,245.22,247.27,1140351
"2016-07-14",253.3,253.8,250.02,252.87,1295371
"2016-07-21",279.76,282.54,274.23,282.45,5548039
"2016-07-28",288.61,289.98,285.07,289.03,1454493
"2016-08-04",320.15,320.45,314.01,314.56,2002341
"2016-08-11",309.47,316.25,309.42,314.49,1771130
"2016-08-18",313.57,313.76,312,313.38,878954
"2016-08-25",309.03,311.97,301.02,306.85,1669761
"2016-09-01",307.96,309.25,305.02,306.03,1068034
"2016-09-08",311.35,312.44,307.42,307.73,1482300
"2016-09-15",300,304.46,298.01,302.82,1276546
