"","GM.Open","GM.High","GM.Low","GM.Close","GM.Volume"
"2011-09-15",22.59,22.79,22.15,22.7,8039155
"2011-09-22",20.59,20.99,20.04,20.24,17287425
"2011-09-29",20.72,20.97,20.12,20.76,10782902
"2011-10-06",22.3,22.6,21.75,22.35,13553793
"2011-10-13",23.38,23.38,22.5,23.15,9858511
"2011-10-20",23.02,23.18,22.51,22.96,9488594
"2011-10-27",25.87,26.47,25.2,26.06,18451353
"2011-11-03",23.82,24.12,22.76,24.03,19954578
"2011-11-10",22.44,22.85,21.93,22.7,15867499
"2011-11-17",22.72,22.75,21.56,21.79,12693835
"2011-12-01",21.24,21.77,20.93,20.96,12128433
"2011-12-08",21.76,21.76,20.85,20.98,11511836
"2011-12-15",19.76,20.22,19.51,20.1,10158397
"2011-12-22",20.25,20.85,20.17,20.7,7288092
"2011-12-29",19.85,20.25,19.71,20.21,6891367
"2012-01-05",21.1,22.29,20.96,22.17,17884040
"2012-01-12",24.35,24.82,23.76,24.67,16751370
"2012-01-19",24.69,24.98,24.45,24.82,15226577
"2012-01-26",25.1,25.5,24.6,24.72,11586147
"2012-02-02",24.65,24.69,24.3,24.31,6670814
"2012-02-09",25.96,26.22,25.5,25.74,7440522
"2012-02-16",25.29,27.26,25.27,27.17,35328455
"2012-02-23",26.69,27.26,26.26,26.79,10300886
"2012-03-01",26.19,26.8,26.15,26.47,8898154
"2012-03-08",25.37,25.59,25.1,25.45,8646605
"2012-03-15",26.37,26.58,25.88,26.05,10133685
"2012-03-22",25.01,25.26,24.87,25.05,5605737
"2012-03-29",25.02,25.37,24.94,25.31,6433808
"2012-04-05",24.99,25.18,24.61,24.81,8211238
"2012-04-12",24.05,24.49,24,24.3,5042815
"2012-04-19",24.09,24.87,23.87,24.01,11207484
"2012-04-26",23.16,23.75,23.16,23.72,8132944
"2012-05-03",23.13,23.19,22.19,22.37,22816969
"2012-05-10",22.69,22.89,22.34,22.37,7235033
"2012-05-17",21.94,22.27,21.55,21.61,12135190
"2012-05-24",21.98,22.13,21.82,22.04,5093368
"2012-05-31",22.26,22.41,22,22.2,6010240
"2012-06-07",22.11,22.38,21.76,21.85,5951124
"2012-06-14",21.84,21.99,21.58,21.8,4535233
"2012-06-21",21.45,21.5,20.6,20.64,9193675
"2012-06-28",19.64,19.92,19.49,19.82,11226175
"2012-07-05",20.75,21.21,20.54,20.54,8076418
"2012-07-12",19.61,19.77,19.22,19.33,14116915
"2012-07-19",20.12,20.34,20.07,20.14,6855617
"2012-07-26",19.02,19.15,18.75,19.11,5577777
"2012-08-02",19.59,20.06,18.93,19.14,10881246
"2012-08-09",20.37,20.82,20.21,20.65,6653546
"2012-08-16",20.12,21.46,20.12,21.33,14410920
"2012-08-23",21.61,21.61,21.22,21.34,8960470
"2012-08-30",21.25,21.26,21.02,21.11,3882797
"2012-09-06",21.79,22.73,21.75,22.45,12486608
"2012-09-13",23.05,23.68,22.82,23.53,9479940
"2012-09-20",24.34,24.54,23.91,24.42,7415692
"2012-09-27",23.67,23.7,23.14,23.18,6843378
"2012-10-04",24.55,24.67,24.32,24.65,8693653
"2012-10-11",24.41,24.99,24.23,24.66,8771607
"2012-10-18",25.09,25.72,24.96,25.56,9762844
"2012-10-25",23.98,24.27,23.58,23.63,11877786
"2012-11-01",25.53,25.85,24.91,25.68,14562083
"2012-11-08",25.22,25.5,24.7,24.72,5240772
"2012-11-15",24.18,24.19,23.54,23.88,9371645
"2012-11-29",25.61,26.24,25.51,26.09,10013546
"2012-12-06",24.91,25,24.46,24.57,9708813
"2012-12-13",25.56,25.83,24.9,25.12,7737713
"2012-12-20",27,27.48,26.87,27.34,15768810
"2012-12-27",27.74,27.99,27.42,27.96,9431123
"2013-01-03",29.05,30.23,28.84,29.82,22904960
"2013-01-10",30.28,30.45,29.78,30.44,12116682
"2013-01-17",29.48,29.65,29.19,29.49,12065396
"2013-01-24",28.59,28.98,28.35,28.78,8399983
"2013-01-31",27.8,28.14,27.61,28.09,8686904
"2013-02-07",28.68,28.91,28.03,28.47,10493430
"2013-02-14",28.74,29.36,27.67,27.75,19233280
"2013-02-21",27.02,27.04,26.33,26.51,13894228
"2013-02-28",27.5,27.57,26.89,27.15,10310570
"2013-03-07",27.86,28.14,27.79,27.88,9429820
"2013-03-14",28.05,28.23,28.04,28.16,6441115
"2013-03-21",28.91,29.17,28.57,28.63,13451955
