"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume"
"2011-09-15",26.54,27.49,26.25,27.38,4678280
"2011-09-22",25.94,26.17,24.82,25.13,6225014
"2011-09-29",25.65,25.68,25,25.43,4104333
"2011-10-06",23.11,24.53,22.73,24.48,6164970
"2011-10-13",24.65,25.04,24.02,24.72,2651083
"2011-10-20",26.21,26.46,25.7,26.34,4260083
"2011-10-27",30.03,30.32,28.72,29.48,7403101
"2011-11-03",28.71,29.36,27.86,29.25,3397792
"2011-11-10",28.1,28.15,27.14,27.24,3905238
"2011-11-17",27.73,28.32,27.27,27.45,4879727
"2011-12-01",27.72,27.72,27,27.5,3575594
"2011-12-08",28.59,28.64,27.78,27.94,3548181
"2011-12-15",27.16,27.41,26.94,27.24,2678703
"2011-12-22",28.47,29.24,28.39,28.79,2959555
"2011-12-29",28.75,28.77,28.45,28.57,2568081
"2012-01-05",28.21,29.38,28.16,29.24,4350581
"2012-01-12",29.83,30.08,29.18,29.72,2861057
"2012-01-19",30.8,31.38,30.52,31.3,3724781
"2012-01-26",32.64,32.98,32.33,32.55,3918528
"2012-02-02",32.56,32.84,32.42,32.81,2849401
"2012-02-09",34.19,34.24,33.7,34.12,3944981
"2012-02-16",33.34,33.88,33.14,33.86,2391868
"2012-02-23",32.92,33.66,32.85,33.66,2632589
"2012-03-01",33.66,33.87,33.41,33.8,2465499
"2012-03-08",34.16,34.17,33.59,33.6,4219991
"2012-03-15",34.83,35.25,34.76,35,2868971
"2012-03-22",35.08,35.12,34.71,35.03,2766238
"2012-03-29",34.77,35.38,34.6,35.31,2753061
"2012-04-05",35.52,35.78,35.16,35.48,1688750
"2012-04-12",33.35,33.9,33.1,33.88,2744811
"2012-04-19",34.28,34.49,34,34.36,2665232
"2012-04-26",34.63,35.13,34.39,35.02,2383027
"2012-05-03",35.68,36.15,35.59,35.85,2539988
"2012-05-10",34.93,35,34.42,34.6,2356705
"2012-05-17",33.16,33.17,32.03,32.04,4963979
"2012-05-24",32.06,32.3,31.36,31.78,1904982
"2012-05-31",31.84,32.32,31.28,31.98,3981572
"2012-06-07",32.42,32.5,31.62,31.72,3217032
"2012-06-14",31.83,31.98,31.41,31.76,5479009
"2012-06-21",32.63,32.71,31.53,31.61,3557873
"2012-06-28",30.99,31.61,30.91,31.56,2965199
"2012-07-05",33.37,33.5,32.97,33.1,1507855
"2012-07-12",32.27,32.72,32.1,32.48,2743558
"2012-07-19",33.11,33.24,32.26,32.68,2039865
"2012-07-26",31.99,32.69,31.68,32.25,3420273
"2012-08-02",32.12,32.38,31.95,32.35,2467718
"2012-08-09",33.31,33.7,33.25,33.25,1763834
"2012-08-16",33.32,33.87,33.19,33.74,2555089
"2012-08-23",33.2,33.32,32.9,32.91,1875839
"2012-08-30",33.99,34.2,33.84,34.07,1358588
"2012-09-06",34.83,35.57,34.82,35.36,3744769
"2012-09-13",36.16,37.17,36.01,36.91,2858281
"2012-09-20",35.61,35.69,35.06,35.31,4173587
"2012-09-27",34.13,34.95,34.01,34.76,3333230
"2012-10-04",35.43,35.68,34.94,34.96,3009524
"2012-10-11",35.22,35.39,34.83,34.83,2245810
"2012-10-18",36.08,36.46,36.08,36.38,2040216
"2012-10-25",34.8,35.16,33.83,34.28,2815709
"2012-11-01",34.28,34.56,34.14,34.26,2316680
"2012-11-08",34.08,34.28,33.57,33.59,2715988
"2012-11-15",32.89,33.06,32.32,32.6,1951664
"2012-11-29",34.06,34.2,33.8,34.02,3046617
"2012-12-06",34.31,34.91,34.29,34.91,3057450
"2012-12-13",35.17,35.17,34.91,35.02,3625407
"2012-12-20",35.7,36.8,35.65,36.58,3745504
"2012-12-27",36.07,36.36,35.6,36.28,2298917
"2013-01-03",37.44,37.62,37.27,37.4,3072057
"2013-01-10",38.43,38.43,37.79,38.04,2825958
"2013-01-17",38.56,38.82,38.52,38.72,2696306
"2013-01-24",39.73,40.22,39.7,40.18,3664439
"2013-01-31",39.87,40.12,39.47,39.9,5749032
"2013-02-07",39.92,39.94,39.4,39.42,2338007
"2013-02-14",39.32,39.38,39.06,39.21,2736438
"2013-02-21",39.47,39.47,38.62,38.78,2232598
"2013-02-28",38.71,39.2,38.61,38.94,4410853
"2013-03-07",39.82,39.99,39.36,39.45,2196280
