"","WRK.Open","WRK.High","WRK.Low","WRK.Close","WRK.Volume"
"2015-06-25",62.9,62.9,61.9,61.9,3700
"2015-07-02",63,65,62.4,64.99,1744987
"2015-07-09",59.5,60.93,58.51,59.51,2284226
"2015-07-16",61.7,63.68,61.54,62.32,1365863
"2015-07-23",59.77,60.78,59.35,59.85,1124672
"2015-07-30",61.36,63.19,61.04,62.83,3530135
"2015-08-06",62,62.5,60.48,61.74,2536887
"2015-08-13",63.26,63.8,62.35,63.13,844266
"2015-08-20",61.75,61.75,60.38,60.68,1297454
"2015-08-27",58.24,59.25,57.74,59.22,1871472
"2015-09-03",58.35,59.64,58.18,58.72,1105932
"2015-09-10",58.13,59.41,58.03,58.74,1661561
"2015-09-17",58.68,59.18,57.38,57.73,1216770
"2015-09-24",51.01,52.45,50.5,52.31,2470772
"2015-10-01",55.22,56.05,51.09,52,1722153
"2015-10-08",53.92,54.64,53.56,54.19,1810375
"2015-10-15",55.57,56.13,54.95,56.01,876846
"2015-10-22",53.17,53.76,51.93,52.5,1879332
"2015-10-29",52.71,54.83,52.02,54.06,1045028
"2015-11-05",49.98,52.59,48.2,51.38,3934942
"2015-11-12",50.4,50.92,49.24,49.27,1261332
"2015-11-19",49.29,50.5,48.98,50.18,1537906
"2015-12-03",52.1,52.1,50.01,50.53,1244232
"2015-12-10",47.03,48.34,46.5,46.91,3138896
"2015-12-17",44.79,45.29,44.42,44.87,3345609
"2015-12-24",45.69,46.11,45.29,45.51,442078
"2015-12-31",45.45,46.36,45.4,45.62,972200
"2016-01-07",43.32,44.58,43.15,43.79,1994407
"2016-01-14",38.14,38.93,37.42,38.5,1770878
"2016-01-21",36.23,37.36,35.78,36.41,1647812
"2016-01-28",32.8,33.3,31.63,31.65,2466430
"2016-02-04",33.13,34.55,33.11,34.43,3314119
"2016-02-11",30.82,31.3,29.73,29.94,2979370
"2016-02-18",32.85,33.16,32,32.73,1989132
"2016-02-25",32.56,32.99,31.84,32.42,1435968
"2016-03-03",36.73,37.83,36.73,37.68,2447455
"2016-03-10",35.64,35.92,34.56,35.04,1716136
"2016-03-17",37.75,39.59,37.75,39.39,2604935
"2016-03-24",38.63,38.74,38.15,38.53,1513682
"2016-03-31",38.16,39.07,38.08,39.03,2291778
"2016-04-07",36.94,37.45,36.78,37,1811528
"2016-04-14",39.2,39.2,38.04,38.31,1463186
"2016-04-21",39.41,40.18,39.35,39.41,1647061
"2016-04-28",41.24,42.32,40.86,41.75,3306553
"2016-05-05",39.07,40.31,38.8,40.19,1819615
"2016-05-12",43.21,43.6,42.3,42.51,1509256
"2016-05-19",37.44,37.44,36.12,37,1488964
"2016-05-26",39.64,39.64,38.79,39.32,998532
"2016-06-02",39.16,39.9,39.16,39.87,1610591
"2016-06-09",40.44,40.44,39.72,40.3,671002
"2016-06-16",38.22,38.99,37.78,38.94,1198020
"2016-06-23",41.19,41.53,40.91,41.51,1753048
"2016-06-30",38.07,38.88,37.64,38.87,1924955
"2016-07-07",37.61,38.04,36.83,37.16,1474562
"2016-07-14",40,40.33,39.39,40.21,1799133
"2016-07-21",43.74,44.14,43.14,43.29,1104524
"2016-07-28",42.92,43.32,42.54,42.77,974608
"2016-08-04",42.43,44.99,42.43,43.72,3875962
"2016-08-11",44.76,45.3,43.89,45.27,2091103
"2016-08-18",45.51,45.99,45.12,45.57,1720641
"2016-08-25",44.44,47.33,44.23,47.07,3930746
"2016-09-01",48.01,48.56,47.72,48.51,1754701
"2016-09-08",48.96,49.12,48,48.19,2150263
"2016-09-15",46.02,46.93,45.76,46.53,3481265
