"","STI.Open","STI.High","STI.Low","STI.Close","STI.Volume"
"2011-09-15",19.86,20.1,19.51,20.1,5133611
"2011-09-22",16.96,17.48,16.51,16.94,11697199
"2011-09-29",18.55,18.95,18,18.71,8475110
"2011-10-06",17.91,19.17,17.57,19.13,7932438
"2011-10-13",19.22,19.24,18.48,19.04,7982276
"2011-10-20",18.94,19.29,18.42,19.21,7810896
"2011-10-27",20.38,21.31,20.21,20.71,13392783
"2011-11-03",19.8,19.94,19.03,19.82,7032106
"2011-11-10",19.14,19.36,18.7,18.9,8121713
"2011-11-17",18.01,18.27,17.77,17.87,9608064
"2011-12-01",17.85,18.11,17.46,17.99,4224612
"2011-12-08",17.97,18.05,17.22,17.3,6714885
"2011-12-15",16.8,17.02,16.52,16.67,8746707
"2011-12-22",16.96,17.87,16.96,17.65,8490781
"2011-12-29",17.2,17.75,17.18,17.72,6863287
"2012-01-05",18.52,19.93,18.31,19.66,13087247
"2012-01-12",21.15,21.22,20.43,21.05,10796039
"2012-01-19",21.05,21.27,20.15,20.24,13609340
"2012-01-26",21.68,21.76,20.33,20.5,12192316
"2012-02-02",21.04,21.51,20.89,21.31,4849731
"2012-02-09",22.57,22.92,22.2,22.6,10980098
"2012-02-16",21.86,22.69,21.65,22.56,6210824
"2012-02-23",22.15,22.32,21.88,22.32,5861559
"2012-03-01",23.19,23.44,22.88,23.03,8341940
"2012-03-08",22.13,22.34,21.88,22.25,4862680
"2012-03-15",23.79,24.88,23.67,24.49,13920507
"2012-03-22",24.24,24.24,23.45,23.63,9083223
"2012-03-29",24.42,24.45,23.76,24.15,13126718
"2012-04-05",23.94,24.34,23.8,24.06,5016775
"2012-04-12",23.28,23.65,23.22,23.55,5557645
"2012-04-19",23.11,23.27,22.56,22.74,9724138
"2012-04-26",24.1,24.46,23.96,24.42,7241680
"2012-05-03",24.31,24.5,24.04,24.3,5083776
"2012-05-10",23.44,23.84,23.44,23.59,4602833
"2012-05-17",22.7,22.75,22.17,22.17,5688614
"2012-05-24",23,23,22.35,22.67,6031888
"2012-05-31",22.51,23.15,22.03,22.92,8376808
"2012-06-07",21.99,22.21,21.68,21.77,3561388
"2012-06-14",22.08,22.37,21.99,22.13,5108267
"2012-06-21",23.45,23.65,22.57,22.61,7361469
"2012-06-28",22.95,23.33,22.71,23.3,5082418
"2012-07-05",24.57,24.66,24.37,24.41,3446284
"2012-07-12",23.9,24.01,23.67,23.74,4373933
"2012-07-19",24.79,24.98,23.82,24.24,9097686
"2012-07-26",23.26,23.47,23.12,23.41,4485792
"2012-08-02",23.4,23.56,22.88,23.21,4819263
"2012-08-09",24.29,24.77,24.25,24.7,3996368
"2012-08-16",25.09,25.3,24.93,25.26,4384213
"2012-08-23",25.39,25.39,24.8,24.91,3666243
"2012-08-30",24.93,25.08,24.67,24.97,2551599
"2012-09-06",25.84,26.77,25.84,26.68,9475661
"2012-09-13",28.09,29.46,27.92,28.87,10995155
"2012-09-20",28.7,28.91,28.45,28.77,5026551
"2012-09-27",28.22,28.48,27.94,28.26,4674839
"2012-10-04",29.48,30.12,29.34,29.97,8472543
"2012-10-11",30.1,30.39,29.93,30.19,7414979
"2012-10-18",29.25,29.44,28.88,28.99,7216068
"2012-10-25",27.51,27.62,26.89,27.24,5856427
"2012-11-01",27.24,27.55,27,27.54,5623362
"2012-11-08",26.62,26.99,26.36,26.39,6532118
"2012-11-15",25.53,26,25.3,25.82,5968412
"2012-11-29",27,27.3,26.89,27.02,2127914
"2012-12-06",26.58,26.73,26.48,26.7,2855929
"2012-12-13",27.69,27.84,27.04,27.2,4823276
"2012-12-20",28.6,28.97,28.54,28.97,4974579
"2012-12-27",28,28.09,27.44,27.99,3285941
"2013-01-03",28.66,28.7,27.98,28.63,9399162
"2013-01-10",28.95,29.09,28.34,28.6,9119619
"2013-01-17",29.44,29.69,29.21,29.57,6593935
"2013-01-24",29.04,29.6,29.02,29.4,7339184
"2013-01-31",28.51,28.51,28.04,28.37,8518514
"2013-02-07",28.76,28.97,28.46,28.83,4725256
"2013-02-14",28.76,28.91,28.72,28.79,3558760
"2013-02-21",27.55,27.89,27.3,27.46,5213360
"2013-02-28",27.75,27.93,27.44,27.59,4162134
"2013-03-07",28.25,28.84,28.21,28.56,5186973
"2013-03-14",29.7,29.9,29.29,29.62,5181352
"2013-03-21",28.42,28.58,28.2,28.29,3011495
"2013-03-28",28.56,28.82,28.24,28.81,5036193
"2013-04-04",27.28,27.75,27.17,27.41,5495258
"2013-04-11",29.09,29.21,28.58,28.98,5503946
"2013-04-18",27.75,27.75,27.18,27.32,5608598
"2013-04-25",29.05,29.52,29,29.27,4599437
"2013-05-02",28.96,29.24,28.85,29.15,1773156
"2013-05-09",30.88,31.02,30.52,30.55,5367872
"2013-05-16",31.09,31.53,31.06,31.27,3646474
"2013-05-23",31.6,31.9,31.41,31.75,7722319
"2013-05-30",32.1,32.84,31.94,32.6,4746232
"2013-06-06",31.5,31.9,31.35,31.88,3635811
"2013-06-13",31.36,32.02,31.28,31.95,3750828
"2013-06-20",30.95,31.48,30.75,30.94,7123635
"2013-06-27",31.57,31.86,31.38,31.7,4215491
"2013-07-11",34.39,34.45,33.27,33.34,4667474
"2013-07-18",33.9,34.49,33.71,34.3,3973167
"2013-07-25",34.93,35.28,34.64,35.14,3650465
"2013-08-01",35.13,35.81,35.01,35.75,2737216
"2013-08-08",35.08,35.72,34.95,35.51,3532220
"2013-08-15",34.74,34.97,34.28,34.38,3115328
"2013-08-22",33.95,34.63,33.93,34.35,1796870
"2013-08-29",32.14,32.74,32.01,32.42,2361683
"2013-09-05",32.4,32.75,32.3,32.55,3112068
"2013-09-12",33.52,33.54,33.15,33.22,2802557
"2013-09-19",34.3,34.39,32.85,33.14,6566750
"2013-09-26",32.67,32.86,32.41,32.64,3030899
"2013-10-03",32.6,32.75,32.22,32.59,3456576
"2013-10-10",32.66,33.39,32.65,33.35,3002025
"2013-10-17",33.63,34.23,33.45,34.03,3078785
"2013-10-24",33.72,33.79,33.09,33.36,6832561
"2013-10-31",34.07,34.13,33.64,33.64,3131248
"2013-11-07",34.32,34.49,34.13,34.3,5910829
"2013-11-14",35.92,36.04,35.55,35.95,3748140
"2013-11-21",35.98,36.14,35.79,35.85,5123791
"2013-12-05",35.08,35.32,34.88,35.03,2953371
"2013-12-12",35.11,35.35,35.01,35.11,3334151
"2013-12-19",35.67,36.32,35.58,36.11,3357690
"2013-12-26",36.75,36.83,36.65,36.71,1306234
"2014-01-02",36.82,36.86,36.49,36.52,2241388
"2014-01-09",37.48,38.07,37.46,38.01,4915785
"2014-01-16",38.2,38.28,37.84,38.01,3300076
"2014-01-23",39.59,39.62,38.88,39.17,4256716
"2014-01-30",38,38.02,37.48,37.81,2138733
"2014-02-06",36.97,37.73,36.85,37.7,3035308
"2014-02-13",36.83,37.45,36.71,37.44,4028139
"2014-02-20",36.96,37.25,36.64,37.08,2809987
"2014-02-27",37.29,37.59,37.13,37.59,1691062
"2014-03-06",38.72,39.18,38.58,38.91,2347376
"2014-03-13",39.22,39.42,38.56,38.66,2380840
"2014-03-20",39.39,40.5,39.39,40.19,3738543
"2014-03-27",39.65,39.86,38.74,38.96,3442396
"2014-04-03",40.38,40.5,40.1,40.23,3190281
"2014-04-10",39.27,39.4,38.08,38.12,3868023
"2014-04-17",38.15,38.27,37.43,37.95,5464624
"2014-04-24",39.28,39.28,38.65,38.81,3428696
"2014-05-01",38.24,38.3,37.66,37.96,4076763
"2014-05-08",38.11,38.27,37.8,37.94,3119743
"2014-05-15",37.85,37.87,37.02,37.63,2788630
"2014-05-22",38.1,38.28,37.96,38.11,3059278
"2014-05-29",38.33,38.41,37.93,38.16,2087771
"2014-06-05",38.93,39.33,38.55,39.2,4971645
"2014-06-12",40.2,40.34,39.86,40.02,2535564
"2014-06-19",40.38,40.44,39.96,40.18,2639537
"2014-06-26",40.33,40.33,39.79,40.16,2808796
"2014-07-03",40.4,40.86,40.36,40.76,1951654
"2014-07-10",39.35,39.77,39.2,39.65,3277936
"2014-07-17",40.09,40.12,38.95,39.07,4395395
"2014-07-24",38.69,39.11,38.58,38.91,3592749
"2014-07-31",38.5,38.65,38.05,38.05,2972799
"2014-08-07",37.19,37.21,36.42,36.55,2516278
"2014-08-14",36.86,37.12,36.83,36.97,1896723
"2014-08-21",37.54,38.59,37.47,38.4,5543293
"2014-08-28",37.84,38.08,37.62,37.91,1639503
"2014-09-04",38.28,38.73,38.16,38.46,2613077
"2014-09-11",38.88,39.17,38.78,39.07,3461531
"2014-09-18",39.88,40.24,39.87,40.12,3214520
"2014-09-25",38.85,38.87,38.14,38.38,3457533
"2014-10-02",37.51,37.9,37.24,37.63,4446232
"2014-10-09",37.38,37.43,36.35,36.43,4757032
"2014-10-16",34.14,35.24,33.97,34.94,5061159
