"","FLS.Open","FLS.High","FLS.Low","FLS.Close","FLS.Volume"
"2013-05-02",50.5,51.49,50,51.41,1865088
"2013-05-09",54.24,54.55,53.61,53.73,975966
"2013-05-16",55.33,56.5,55.08,55.52,1164024
"2013-05-23",55.56,56.32,55.41,55.98,615066
"2013-05-30",56.06,56.67,55.7,56.4,561516
"2013-06-06",54.29,55,53.95,55,640026
"2013-06-13",54.68,55.51,54.28,55.32,714324
"2013-06-20",54,54.27,53.26,53.4,970638
"2013-06-27",54.24,54.75,54.18,54.52,815799
"2013-07-11",56.48,56.48,55.31,55.94,1051280
"2013-07-18",56,56.96,55.81,56.74,1573593
"2013-07-25",56.16,57.53,55.95,57.38,2729523
"2013-08-01",57.33,58.25,57.04,58.09,1004664
"2013-08-08",56.18,56.37,55.69,56.29,1108744
"2013-08-15",56.52,56.72,56.21,56.31,1531619
"2013-08-22",56.37,57.56,56.32,57.45,610160
"2013-08-29",56.19,56.9,56.19,56.52,421871
"2013-09-05",57.86,58.82,57.78,58.23,1457250
"2013-09-12",61.12,61.71,60.85,61.45,1102789
"2013-09-19",62.94,63.5,62.84,63.28,1203786
"2013-09-26",62.16,62.64,62.14,62.56,575056
"2013-10-03",61.62,62.01,60.79,61.45,980553
"2013-10-10",61.04,62.06,61.01,62.04,932082
"2013-10-17",62.61,63.52,62.42,63.5,925598
"2013-10-24",63.7,64.1,63.24,63.49,1966306
"2013-10-31",69.68,69.95,69.02,69.47,993241
"2013-11-07",70.14,70.73,68.25,68.45,884289
"2013-11-14",71.13,71.56,70.63,71.3,729165
"2013-11-21",69.96,70.9,69.67,70.73,899255
"2013-12-05",69.45,69.96,69.12,69.61,971613
"2013-12-12",72.06,72.57,71.97,72.09,1485871
"2013-12-19",74.77,75.31,74.16,75.22,1260032
"2013-12-26",76.57,77.08,76.1,76.95,706421
"2014-01-02",78.17,78.46,76.99,77.3,1400867
"2014-01-09",77.34,78.14,76.86,76.99,990225
"2014-01-16",77.41,77.74,77.04,77.07,872732
"2014-01-23",77.38,77.71,75.71,76.16,1440265
"2014-01-30",72.87,72.89,72.13,72.54,1305885
"2014-02-06",70.93,72.36,70.71,72,661849
"2014-02-13",74.68,76.98,74.56,76.49,1146322
"2014-02-20",80.34,81.6,80.04,81.55,1714412
"2014-02-27",80.59,81.35,80.34,80.6,1536776
"2014-03-06",80.7,81.08,80.37,80.52,1213396
"2014-03-13",78.41,78.77,75.39,75.74,1394385
"2014-03-20",76.27,76.83,75.8,76.55,874335
"2014-03-27",75.14,75.57,74.35,75.13,1222332
"2014-04-03",79.53,79.9,78.14,78.63,938627
"2014-04-10",77.82,78.1,75.92,76.13,712600
"2014-04-17",78.6,79.49,78.21,79.04,888262
"2014-04-24",77.49,77.49,73.01,73.96,4158497
"2014-05-01",73.02,73.93,72.59,73.54,810211
"2014-05-08",75.28,76.25,74.78,75.02,466618
"2014-05-15",75.02,75.16,73.25,74.2,633197
"2014-05-22",73.74,74.43,73.61,73.87,638310
"2014-05-29",74.5,74.6,73.52,74.22,498785
"2014-06-05",74.24,75.2,73.85,74.89,822305
"2014-06-12",77.3,77.63,76.43,76.64,737075
"2014-06-19",76.84,77.76,76.4,77.68,963293
"2014-06-26",76.16,76.16,75.06,75.65,623032
"2014-07-03",74.99,75.86,74.96,75.52,573739
"2014-07-10",72.82,73.63,72.55,73.11,753215
"2014-07-17",72.82,72.87,71.56,71.66,1001850
"2014-07-24",74.5,76.96,74.2,76.43,2040644
"2014-07-31",74.95,75.42,73.87,74.04,869150
"2014-08-07",72.42,72.65,71.69,71.82,621724
"2014-08-14",73.72,73.85,73.41,73.77,378698
"2014-08-21",76.39,76.53,75.67,76.21,358258
"2014-08-28",75.62,76.22,75.25,75.99,364390
"2014-09-04",76.64,77.55,76.26,76.31,680442
"2014-09-11",74.62,75.3,74.44,75.23,620292
"2014-09-18",73.69,73.94,73.4,73.81,673955
"2014-09-25",72.01,72.24,70.78,70.89,1147827
"2014-10-02",70.43,70.72,69.26,69.84,1314280
"2014-10-09",67.24,67.38,64.82,64.98,1835884
"2014-10-16",60.08,63.74,59.78,63.49,2343941
"2014-10-23",65.13,66.92,65.13,66.36,1447584
"2014-10-30",66.04,66.81,65.74,66.7,1124431
"2014-11-06",67.3,67.55,66.71,67.21,928411
"2014-11-13",67.01,67.44,65.39,65.76,1377646
"2014-11-20",65.59,66.69,65.45,66.09,790837
"2014-12-04",62,62.46,61.59,62.01,1445153
"2014-12-11",58.09,58.81,57.2,57.32,1481002
"2014-12-18",57.29,57.94,56.61,57.87,2351903
"2015-01-08",56.96,57.52,56.41,57.4,2301947
"2015-01-15",56.39,56.68,55.49,55.56,1370577
"2015-01-22",57.59,57.75,55.75,56.43,2253394
"2015-01-29",53.12,54.64,52.75,54.57,1811875
"2015-02-05",57.53,58.29,57.07,58.08,928484
"2015-02-12",57.46,58.35,57.29,58.31,908925
"2015-02-19",60.85,62.98,60.51,62.57,2199725
"2015-02-26",62.66,62.84,62,62.6,1188940
"2015-03-05",60.22,60.22,58.38,59.02,2743981
"2015-03-12",57.79,58.26,57.7,58.09,714595
"2015-03-19",57.83,57.83,57.08,57.28,881896
"2015-03-26",57,57.2,56.14,56.75,1789685
"2015-04-02",56.55,57.4,56.42,56.58,959608
"2015-04-09",56.5,56.79,55.98,56.36,934312
"2015-04-16",58.64,59.26,58.07,58.67,1671502
"2015-04-23",57.22,57.76,56.55,57.37,1140801
"2015-04-30",58.74,59,58.12,58.53,1667174
"2015-05-07",56.3,56.58,55.5,55.64,1640131
"2015-05-14",56.7,57.23,56.5,57.09,1495985
"2015-05-21",57.08,58.01,57.08,57.64,864564
"2015-05-28",55.37,55.57,54.84,55.5,982909
"2015-06-04",55.1,55.18,54.4,54.54,811141
"2015-06-11",54.47,54.6,54,54.44,618356
"2015-06-18",53.5,53.86,53.29,53.68,1360594
"2015-06-25",53.6,53.8,52.48,52.64,1044392
"2015-07-02",52.31,52.83,52.15,52.43,790621
"2015-07-09",50.82,51.3,50.27,50.32,1249300
"2015-07-16",49.96,50.45,49.63,49.87,1085810
"2015-07-23",47.96,48.04,47.39,47.54,1238863
"2015-07-30",46.6,47.09,46.36,47.05,1563613
"2015-08-06",46.33,46.98,46.13,46.77,1039307
"2015-08-13",47.96,48.22,47.35,47.46,1217260
"2015-08-20",46.55,47.01,45.86,45.86,1090739
"2015-08-27",43.65,44.9,43.5,44.25,2106975
"2015-09-03",42.9,43.75,42.67,43.36,1048107
"2015-09-10",42.76,43.16,42.31,42.76,1009424
"2015-09-17",44.36,44.36,43.06,43.15,1050763
"2015-09-24",40.09,40.57,39.46,40.35,1466941
"2015-10-01",41.17,41.67,40.2,40.42,1681946
"2015-10-08",45.71,48.29,45.45,48.02,2421829
"2015-10-15",43.57,43.79,42.29,43,2101201
"2015-10-22",41.84,43.18,41.78,42.98,2808722
"2015-10-29",44.37,45.34,44.29,45,2371982
"2015-11-05",47.62,48.26,47.09,47.58,1163161
"2015-11-12",45.98,46.28,44.96,44.98,1253677
"2015-11-19",45.53,45.89,45.35,45.84,670973
"2015-12-03",45.52,45.66,44.53,44.95,722276
"2015-12-10",42.08,42.52,41.86,42.13,759230
"2015-12-17",41.78,41.9,40.79,40.8,1227763
"2015-12-24",42.47,43.06,42.47,42.89,533779
"2015-12-31",42.41,42.83,42.06,42.08,571197
"2016-01-07",39.65,39.73,39.02,39.28,1990489
"2016-01-14",37.59,37.75,36.73,37.18,2387002
"2016-01-21",35.39,36.34,34.9,35.83,1798492
"2016-01-28",37.78,38.88,36.93,37.52,1105311
"2016-02-04",38.49,41.15,37.75,40.31,2436073
"2016-02-11",38.4,40.07,38.04,39.81,1587086
"2016-02-18",43.22,43.35,42.63,43.15,1228894
"2016-02-25",42.12,42.36,41.24,41.61,1717367
"2016-03-03",43.06,43.68,42.91,43.51,1105759
"2016-03-10",43.97,43.99,43.13,43.9,1001137
"2016-03-17",44.78,46.2,44.78,45.98,2013620
"2016-03-24",43.96,44.14,43.33,44.14,1953172
"2016-03-31",44.08,44.44,43.55,44.41,1450932
"2016-04-07",42.07,42.42,41.97,42.12,1235403
"2016-04-14",44.38,44.85,44.17,44.4,640014
"2016-04-21",46.85,47,46.51,46.61,1452320
"2016-04-28",47.51,48,46.79,46.87,1811493
"2016-05-05",46.63,46.96,45.78,45.84,1469027
"2016-05-12",46.85,47.22,45.8,45.98,1460740
"2016-05-19",45.47,45.52,44.53,44.91,668728
"2016-05-26",48.69,49,48.36,48.42,1038125
"2016-06-02",47.95,48.98,47.93,48.98,946836
"2016-06-09",51.82,52.29,51.61,52.27,809124
"2016-06-16",49.51,49.63,48.44,49.41,960413
"2016-06-23",50.41,50.66,50.1,50.28,1915490
"2016-06-30",44.5,45.17,44.06,45.17,1381732
"2016-07-07",45.12,45.8,44.75,44.95,1324253
"2016-07-14",48.34,48.76,48.23,48.6,4037857
"2016-07-21",47.76,48.44,47.35,47.47,1467214
"2016-07-28",49.3,49.61,48.88,49.4,1820948
"2016-08-04",46.33,47.04,46.33,46.58,940088
"2016-08-11",47.26,48.18,47.02,47.82,985944
"2016-08-18",48.68,48.85,48.44,48.85,548659
"2016-08-25",48.56,48.76,48.31,48.65,636161
"2016-09-01",48.31,48.53,47.43,48.07,588883
"2016-09-08",47.91,48.26,47.5,48.08,574382
"2016-09-15",46.11,46.93,45.97,46.77,501016
