"","FLS.Open","FLS.High","FLS.Low","FLS.Close","FLS.Volume"
"2011-09-15",29.8,29.94,29.45,29.88,1590432
"2011-09-22",25.6,25.97,24.58,25.05,3299109
"2011-09-29",26.74,27.14,25.47,26.2,2498886
"2011-10-06",25.8,26.78,25.6,26.67,1592703
"2011-10-13",28.29,28.37,27.2,27.85,2399115
"2011-10-20",27.78,27.8,26.5,27.17,2602890
"2011-10-27",30.36,31.18,30,30.72,2551899
"2011-11-03",31.87,33.13,31.68,33.02,2601006
"2011-11-10",32.2,32.36,31.57,31.93,1815303
"2011-11-17",32.46,32.8,31.48,31.72,1596333
"2011-12-01",34.06,34.58,33.77,33.87,1498551
"2011-12-08",34.07,34.28,33.14,33.26,1464813
"2011-12-15",32.69,32.74,31.84,32.16,1191714
"2011-12-22",33.66,34.24,33.52,33.56,1483137
"2011-12-29",32.59,33.43,32.4,33.27,1455348
"2012-01-05",34.49,34.68,33.77,34.42,1762200
"2012-01-12",35.36,35.36,34.59,35.13,1094565
"2012-01-19",35.74,36.16,35.53,36.1,863664
"2012-01-26",36.4,36.89,35.98,36.24,1994205
"2012-02-02",37.6,37.68,37.28,37.32,1077201
"2012-02-09",38.13,38.5,37.92,38.45,891171
"2012-02-16",38.93,39.4,38.8,39.3,1096236
"2012-02-23",38.11,40.82,37.67,40.16,3562179
"2012-03-01",39.91,40.01,39.27,39.41,1177596
"2012-03-08",38,38.39,37.79,38.23,847110
"2012-03-15",38.91,39.35,38.73,39.34,1105458
"2012-03-22",37.69,37.73,36.87,37.05,1477953
"2012-03-29",38.36,38.45,37.74,38.35,1079085
"2012-04-05",38.33,38.8,38.33,38.58,1072239
"2012-04-12",36.69,37.67,36.64,37.52,781116
"2012-04-19",37.89,38.09,36.9,37.04,1552491
"2012-04-26",37.38,38.12,37.38,38.05,1029237
"2012-05-03",39.05,39.46,38.57,39,2224671
"2012-05-10",37.39,37.76,36.83,37.17,1561407
"2012-05-17",35.78,35.83,34.2,34.25,2408526
"2012-05-24",36.17,36.17,35.57,36,996789
"2012-05-31",35.39,35.39,33.83,34.26,2461761
"2012-06-07",35.73,35.97,34.88,34.93,2115255
"2012-06-14",34.86,35.72,34.69,35.39,2323863
"2012-06-21",36.94,37.18,35.9,35.99,1855953
"2012-06-28",36.75,37.59,36.7,37.4,2090385
"2012-07-05",38.96,39.3,38.86,39.05,1574514
"2012-07-12",35.3,36.36,35.3,36.18,2381826
"2012-07-19",37.83,38.47,37.8,37.91,1516899
"2012-07-26",37.56,37.92,37.08,37.4,1912536
"2012-08-02",39.29,39.67,39,39.55,1597629
"2012-08-09",42.43,43.13,42.37,42.59,1115151
"2012-08-16",42.56,43.38,42.38,43.18,1045044
"2012-08-23",42.68,43.17,42.3,42.63,1287558
"2012-08-30",42.21,42.51,41.99,42,1065354
"2012-09-06",42.83,43.32,42.51,43.14,2198223
"2012-09-13",44.24,44.3,43.54,44.01,2447898
"2012-09-20",43.91,44.23,43.67,44.18,1094478
"2012-09-27",42.54,42.78,42.15,42.52,1284168
"2012-10-04",43.01,43.36,42.79,43.28,843570
"2012-10-11",43.31,43.45,42.8,42.91,1166943
"2012-10-18",44.24,45.15,44.16,44.89,1977618
"2012-10-25",43.74,43.95,43.25,43.71,905361
"2012-11-01",45.25,45.85,45.17,45.61,2362824
"2012-11-08",45.92,46.15,45.14,45.31,1202655
"2012-11-15",44.32,44.58,43.87,44.15,1420926
"2012-11-29",46.59,46.9,45.75,46.54,1915158
"2012-12-06",47.03,47.23,46.85,47.13,1019253
"2012-12-13",47.46,47.63,46.99,47.43,732675
"2012-12-20",48.35,48.78,48.23,48.76,1091130
"2012-12-27",47.84,48.43,47.62,48.37,760563
"2013-01-03",50.57,51.15,50.55,50.77,1306149
"2013-01-10",51.63,51.88,51.25,51.75,861081
"2013-01-17",51.22,51.93,51.2,51.83,1332411
"2013-01-24",51.41,51.91,50.87,51.5,2145876
"2013-01-31",52.16,52.51,52.02,52.26,942534
"2013-02-07",52.2,52.36,51.28,51.73,696951
"2013-02-14",53.4,53.53,53.06,53.32,848016
"2013-02-21",52.5,52.5,51.72,51.95,1416879
"2013-02-28",53.27,53.89,52.98,53.5,1470630
"2013-03-07",54.98,55.24,54.55,54.71,1205517
"2013-03-14",55.05,55.74,55.05,55.63,1204434
"2013-03-21",56.19,56.19,54.62,55.23,1761336
"2013-03-28",55.12,56.02,55.01,55.9,1835214
"2013-04-04",53.95,54.37,53.74,54.12,1333572
"2013-04-11",54.95,55.12,54.77,54.81,682029
"2013-04-18",51.59,51.84,50.7,50.75,1003089
"2013-04-25",52.33,53.09,51.56,52.52,1964940
