"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume"
"2011-09-15",318,319,312.25,316.15,667837
"2011-09-22",325.03,334.74,320.75,325.94,1762351
"2011-09-29",323.82,324.65,303.34,313.14,1190835
"2011-10-06",292.75,301.22,289.08,298.99,1550989
"2011-10-13",311.36,318.98,311.36,317.31,688416
"2011-10-20",308.97,312.29,306.06,307.91,1239588
"2011-10-27",341.25,345.92,335.02,339.27,750202
"2011-11-03",333.63,338.66,329.06,337.5,869284
"2011-11-10",336.92,336.95,324.53,325.88,751092
"2011-11-17",316.71,319.64,310,313.61,710195
"2011-12-01",318.5,324.09,315.93,323.04,581509
"2011-12-08",334.91,339.23,333.54,334.74,587435
"2011-12-15",324.48,324.5,316.74,318.52,505441
"2011-12-22",334.98,336.15,329.8,331.25,245479
"2011-12-29",340,342,338.66,340.77,292674
"2012-01-05",346.88,351.98,342.57,350.48,672208
"2012-01-12",347.61,348.51,343.8,347.62,384830
"2012-01-19",356.71,359.48,355.54,358.09,331859
"2012-01-26",364.12,370.35,363.02,365.81,491187
"2012-02-02",366.19,373.37,358.6,362.82,1417065
"2012-02-09",375.5,377.75,372.27,376.49,484894
"2012-02-16",375.25,383.06,375,382.04,505947
"2012-02-23",383.65,387.75,383.5,386.8,332462
"2012-03-01",391.85,394.75,388,394.1,387652
"2012-03-08",393,399.56,392.23,398.18,346099
"2012-03-15",400.75,408.31,399.59,407.08,554460
"2012-03-22",414.45,418.81,413.53,418.13,476937
"2012-03-29",419.11,421.03,415,420.62,341976
"2012-04-05",415.09,424.99,414.97,424.98,539322
"2012-04-12",423.97,433.53,423.05,433.22,808385
"2012-04-19",439.23,439.42,428.26,430.78,844133
"2012-04-26",412.18,418.49,410.03,414.74,592364
"2012-05-03",423.3,423.64,413.37,414.74,504978
"2012-05-10",404.25,409.5,402.67,407.51,560636
"2012-05-17",406.24,407,394.5,394.5,633759
"2012-05-24",408.04,408.63,397.69,401.61,571689
"2012-05-31",412.44,413.81,407.36,413.07,383925
"2012-06-07",414.99,414.99,403.31,404.06,490735
"2012-06-14",397.6,400.91,393.65,398.25,533952
"2012-06-21",417.75,418,410.01,410.06,370916
