"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume"
"2011-09-15",81,82.04,80.21,81.91,1513039
"2011-09-22",75.97,76.75,75.04,76.25,2546488
"2011-09-29",79.96,80.25,77.98,79.29,1182209
"2011-10-06",78.93,80.49,78.22,80.24,1007033
"2011-10-13",82.48,83.24,81.45,82.9,711680
"2011-10-20",83.48,84.49,82,83.08,1754798
"2011-10-27",86.86,89.48,85.91,87.5,1954169
"2011-11-03",86.22,86.6,84.74,86.33,887808
"2011-11-10",84.43,85.11,83.46,84.47,742738
"2011-11-17",83.09,83.38,80.39,81.21,1308582
"2011-12-01",83.71,84.41,82.53,82.64,1086936
"2011-12-08",83.11,83.2,81.56,82.2,1274002
"2011-12-15",81.62,82.38,80.81,82.18,1243480
"2011-12-22",84.56,85.14,83.92,84.8,725262
"2011-12-29",84.71,85.32,84.51,84.99,549192
"2012-01-05",86.71,86.97,85.6,86.5,694617
"2012-01-12",88.5,90.19,88.27,90.13,1065076
"2012-01-19",91.06,92.23,90.37,91.84,1225447
"2012-01-26",88.24,89.35,87.69,88.16,877864
"2012-02-02",89.58,89.7,88.52,88.55,812413
"2012-02-09",90.91,91.27,90.22,91.05,633471
"2012-02-16",90.69,91.9,90.39,91.89,509550
"2012-02-23",90.97,92,90.36,91.91,810118
"2012-03-01",90.67,91.88,90.59,91.87,1067890
"2012-03-08",89.39,90.16,89.23,90.01,771507
"2012-03-15",91.24,91.7,90.09,91.62,942567
"2012-03-22",90.37,90.57,89.08,89.6,1025845
"2012-03-29",90.31,91.68,90,91.65,1187290
"2012-04-05",90.33,90.93,90.14,90.81,1151346
"2012-04-12",87.38,89.66,87.36,89.49,1131269
"2012-04-19",88.52,89.47,87.96,89.26,1253611
"2012-04-26",85.44,86.46,85.31,86.29,1126701
"2012-05-03",86.28,86.58,85.67,86.31,1129250
"2012-05-10",84.17,84.25,82.92,83.04,1301099
"2012-05-17",81.12,81.39,79.3,79.34,1160389
"2012-05-24",80.01,80.46,79.47,80.45,995618
"2012-05-31",78.98,79.61,77.9,79.04,1022586
"2012-06-07",79.83,80.81,79.7,80.02,3990153
