"","MGM.Open","MGM.High","MGM.Low","MGM.Close","MGM.Volume"
"2011-09-15",10.75,10.76,10.45,10.72,16701831
"2011-09-22",10.38,10.5,10,10.28,33406796
"2011-09-29",10.53,10.53,9.61,9.93,33592892
"2011-10-06",9.05,9.51,8.86,9.48,27306507
"2011-10-13",9.99,10.33,9.73,10.2,24183197
"2011-10-20",9.93,10.21,9.73,10.01,23027312
"2011-10-27",11.21,11.92,10.98,11.72,40770664
"2011-11-03",11.11,11.22,10.25,10.73,43570655
"2011-11-10",10.27,10.27,9.57,9.94,32118991
"2011-11-17",10.1,10.18,9.64,9.72,20305345
"2011-12-01",10.14,10.33,9.91,10.2,10093876
"2011-12-08",10.3,10.57,9.87,9.87,17912020
"2011-12-15",9.42,9.45,9.1,9.29,9710317
"2011-12-22",9.53,9.55,9.42,9.48,8259672
"2011-12-29",10.12,10.34,10.07,10.25,8578539
"2012-01-05",10.95,11.25,10.9,11.13,12440096
"2012-01-12",11.97,12.22,11.73,12.13,17892114
"2012-01-19",12.78,12.94,12.74,12.8,14023076
"2012-01-26",13.2,13.49,12.95,13.05,13675638
"2012-02-02",13.68,13.94,13.55,13.9,18615555
"2012-02-09",14.3,14.58,14.07,14.47,14458348
"2012-02-16",14.45,14.8,14.42,14.74,11711231
"2012-02-23",13.96,14.28,13.74,14.27,19770019
"2012-03-01",13.78,14.02,13.71,13.93,10553122
"2012-03-08",13.85,13.99,13.74,13.8,13297748
"2012-03-15",14.26,14.79,14.12,14.71,15975136
"2012-03-22",14.1,14.34,13.99,14.1,11333795
"2012-03-29",13.89,14.06,13.62,13.85,13605485
"2012-04-05",13.52,13.84,13.52,13.6,9926979
"2012-04-12",13.61,14.11,13.59,13.86,12690582
"2012-04-19",13.85,14.04,13.47,13.77,15741830
"2012-04-26",13.42,13.79,13.27,13.78,11498440
"2012-05-03",13.1,13.45,12.9,12.92,24782025
"2012-05-10",11.92,11.96,11.61,11.66,7979476
"2012-05-17",10.96,11.06,10.28,10.4,13713970
"2012-05-24",10.87,10.97,10.66,10.84,9972995
"2012-05-31",10.9,10.97,10.31,10.83,14280315
"2012-06-07",11.51,11.72,11.18,11.21,14115467
"2012-06-14",10.98,11.12,10.84,11.1,8764980
"2012-06-21",11.24,11.41,10.91,10.97,7418808
"2012-06-28",10.55,10.83,10.52,10.79,7968716
"2012-07-05",11.1,11.13,10.88,10.99,7981922
"2012-07-12",10.08,10.09,9.75,9.75,20277123
"2012-07-19",10.26,10.39,10.14,10.32,8060679
"2012-07-26",9.2,9.29,9,9.22,12403199
"2012-08-02",9.17,9.2,8.83,9,16413602
"2012-08-09",9.86,9.96,9.57,9.62,10275193
"2012-08-16",10.23,10.45,10.15,10.37,8303605
"2012-08-23",10.5,10.57,10.25,10.29,6167713
"2012-08-30",10.05,10.09,9.8,9.83,7094073
"2012-09-06",9.91,10.4,9.88,10.33,12916285
"2012-09-13",10.92,11.35,10.74,11.28,12635493
"2012-09-20",10.96,11.08,10.76,10.79,9899476
"2012-09-27",10.6,11.04,10.58,10.88,11337568
"2012-10-04",10.58,10.6,10.36,10.47,7140317
"2012-10-11",10.25,10.36,10.15,10.27,5963124
"2012-10-18",11.5,11.5,11.03,11.17,22556514
"2012-10-25",10.91,10.98,10.81,10.88,7057090
"2012-11-01",10.3,10.51,10.2,10.47,9589089
"2012-11-08",10.06,10.15,9.74,9.78,11557187
"2012-11-15",9.31,9.49,9.3,9.37,9827393
"2012-11-29",10.09,10.15,9.94,10.01,9999676
"2012-12-06",9.99,10.99,9.95,10.97,38574394
"2012-12-13",11.35,11.49,11.33,11.43,8820305
"2012-12-20",11.52,11.67,11.51,11.66,5379272
"2012-12-27",11.62,11.8,11.47,11.71,5966373
"2013-01-03",12.27,12.67,12.17,12.46,11209710
"2013-01-10",12.85,12.86,12.32,12.67,25264695
"2013-01-17",12.99,13.13,12.79,12.96,10358812
"2013-01-24",12.92,13.11,12.86,12.97,8958189
"2013-01-31",12.71,12.8,12.6,12.77,10085307
"2013-02-07",12.92,13.05,12.74,12.94,11812314
"2013-02-14",13.24,13.3,13.18,13.29,5536626
"2013-02-21",12.5,12.5,12.01,12.37,16902673
"2013-02-28",12.44,12.7,12.4,12.49,7704098
"2013-03-07",12.34,12.55,12.3,12.44,7743019
"2013-03-14",12.44,13.5,12.41,13.25,47074132
"2013-03-21",12.86,13.05,12.77,12.78,6649896
"2013-03-28",13,13.2,13,13.15,5758751
"2013-04-04",12.22,12.32,12.04,12.27,7659355
"2013-04-11",12.95,13.05,12.84,12.86,6009837
"2013-04-18",12.49,12.53,12.01,12.06,9041352
"2013-04-25",13.1,13.74,13.06,13.53,16765728
"2013-05-02",14.41,14.9,14.35,14.55,36689747
"2013-05-09",14.83,15.33,14.68,15.14,23546333
"2013-05-16",15.44,15.6,15.23,15.26,7974339
"2013-05-23",14.7,15.02,14.48,14.93,10109963
"2013-05-30",15.15,15.45,15.03,15.33,11317346
"2013-06-06",14.42,14.71,14.32,14.58,11037702
"2013-06-13",14.69,15,14.51,14.96,8075098
"2013-06-20",14.8,14.8,13.96,14.06,16199438
"2013-06-27",14.54,14.68,14.42,14.47,5887633
"2013-07-11",15.64,15.67,15.05,15.26,16901415
"2013-07-18",15.71,16.25,15.71,16.18,9544136
"2013-07-25",16.01,16.14,15.61,15.83,10960659
"2013-08-01",16.46,16.99,16.46,16.85,9676957
"2013-08-08",17.39,17.57,17.32,17.49,10483940
"2013-08-15",17.23,17.25,16.97,17.14,6750872
"2013-08-22",17.59,17.85,17.5,17.82,9542856
"2013-08-29",17.72,17.95,17.69,17.78,5205037
"2013-09-05",18.25,18.52,18.25,18.29,8467350
"2013-09-12",19.15,19.22,18.7,18.87,6325173
"2013-09-19",19.92,20.3,19.83,20.18,12899065
"2013-09-26",20.22,20.41,20.16,20.27,5122058
"2013-10-03",20.81,20.9,20.21,20.58,7717542
"2013-10-10",20.35,20.61,20.21,20.34,8145295
"2013-10-17",20.69,20.8,20.51,20.78,5647790
"2013-10-24",20.17,20.72,20.14,20.64,8132913
"2013-10-31",19.49,19.8,18.56,19.04,32907772
"2013-11-07",19.25,19.25,18.49,18.58,9143388
"2013-11-14",19.79,19.82,19.5,19.56,5847185
"2013-11-21",18.43,18.95,18.43,18.89,9535290
"2013-12-05",19.75,19.98,19.65,19.69,7514771
"2013-12-12",20.6,20.94,20.6,20.83,11618417
"2013-12-19",22.53,22.76,22.4,22.61,8514924
"2013-12-26",23.1,23.5,23.09,23.24,5950337
"2014-01-02",23.54,23.94,23.32,23.72,8408771
"2014-01-09",24.9,24.99,24.43,24.98,13704403
"2014-01-16",25.55,25.86,25.5,25.78,8391443
"2014-01-23",25.45,25.5,24.8,25.18,14266756
"2014-01-30",23.83,24.26,23.64,24.11,12161621
"2014-02-06",23.99,24.55,23.96,24.29,9101083
"2014-02-13",25.46,25.63,25.15,25.58,7632493
"2014-02-20",26.14,26.93,26.14,26.83,15461385
"2014-02-27",27.41,28.16,27.38,27.86,10858353
"2014-03-06",28.35,28.56,28.27,28.39,6777655
"2014-03-13",27.04,27.31,26.29,26.5,10147217
"2014-03-20",26.47,26.57,25.99,26.38,8035593
"2014-03-27",24.8,24.95,24.13,24.9,14095939
"2014-04-03",26.95,27,26.03,26.25,6968952
"2014-04-10",25.2,25.51,23.9,24.08,11704362
"2014-04-17",24.05,24.49,23.93,23.96,10634179
"2014-04-24",24.55,24.61,23.85,24.55,6812475
"2014-05-01",25.16,25.66,24.91,25.39,10532376
"2014-05-08",24.3,24.99,24.04,24.32,15519048
"2014-05-15",24.08,24.38,23.54,24.21,7724782
"2014-05-22",24.3,24.96,24.28,24.78,8629467
"2014-05-29",25.63,26.03,25.42,26,5153422
"2014-06-05",25.8,25.81,25.18,25.44,7651302
"2014-06-12",24.87,24.94,24.41,24.44,4581203
"2014-06-19",25.18,25.55,25,25.14,4631212
"2014-06-26",26.24,26.9,26.08,26.72,11315112
"2014-07-03",27.19,27.23,26.68,26.84,5107412
"2014-07-10",25.55,25.89,25.36,25.72,4193848
"2014-07-17",25.24,25.68,25.06,25.3,7341408
"2014-07-24",26.44,26.5,25.92,25.98,6810222
"2014-07-31",27.05,27.36,26.74,26.84,8302976
"2014-08-07",24.93,25.25,24.25,24.47,13935860
"2014-08-14",24.95,25.19,24.82,25.14,5269223
"2014-08-21",25.25,25.28,25.01,25.1,5444765
"2014-08-28",24.38,24.89,24.24,24.86,6880272
"2014-09-04",23.89,24.31,23.8,24.13,7485238
"2014-09-11",24.06,24.5,24.05,24.24,6562231
"2014-09-18",23,23.72,22.97,23.39,13885867
"2014-09-25",22.7,22.71,22.34,22.39,8057812
"2014-10-02",22.2,22.43,21.42,22,10234212
"2014-10-09",22.12,22.21,21.36,21.39,10589865
"2014-10-16",20.16,21.72,20.16,21.39,18748480
"2014-10-23",22.39,22.73,22.32,22.36,6040636
"2014-10-30",22.33,23.56,22.2,22.98,21674148
"2014-11-06",21.76,21.89,21.52,21.87,7012657
"2014-11-13",22.69,22.95,22.62,22.65,6423392
"2014-11-20",22.02,22.35,21.9,22.19,4205591
"2014-12-04",22.04,22.05,21.74,21.97,6234402
"2014-12-11",20.76,20.93,20.52,20.54,10906639
"2014-12-18",18.43,19.46,18.42,19.4,26862455
"2015-01-08",20.86,21.01,20.66,20.72,12807081
"2015-01-15",20.44,20.67,20.1,20.24,11118160
"2015-01-22",19.45,19.94,19.31,19.89,11304884
"2015-01-29",20.4,20.45,19.81,20.18,7812107
"2015-02-05",19.92,20.45,19.84,20.33,8459946
"2015-02-12",20.79,21.4,20.71,21.24,12466359
"2015-02-19",22.33,22.67,22.2,22.44,9986024
"2015-02-26",21.91,22.13,21.81,21.95,9063743
"2015-03-05",21.82,22,21.74,21.93,6653942
"2015-03-12",19.77,19.89,19.52,19.72,9022548
"2015-03-19",22.59,22.92,22.4,22.85,19778723
"2015-03-26",21.5,21.7,21.16,21.39,13795005
"2015-04-02",20.86,21.38,20.73,21.34,9576303
"2015-04-09",22.13,22.65,21.8,22.61,17511504
"2015-04-16",22.16,22.4,21.84,21.95,8406927
"2015-04-23",21.71,22.23,21.45,22.08,9365915
"2015-04-30",21.21,21.51,21.01,21.15,10572838
"2015-05-07",19.57,19.9,19.5,19.75,13084320
"2015-05-14",19.46,19.47,19.23,19.32,7295853
"2015-05-21",20.15,20.26,20.07,20.2,8029404
"2015-05-28",19.83,20.21,19.8,20.19,7333099
"2015-06-04",20.15,20.58,19.97,20.28,15202601
"2015-06-11",19.6,19.83,19.36,19.82,6701220
"2015-06-18",19.52,19.65,19.38,19.5,6778882
"2015-06-25",18.75,18.8,18.45,18.64,6979229
"2015-07-02",18.71,18.8,18.44,18.55,6538041
"2015-07-09",17.89,18.26,17.76,17.84,11142093
"2015-07-16",18.69,18.95,18.53,18.69,7922670
"2015-07-23",18.98,19.07,18.47,18.68,7963841
"2015-07-30",18.43,19.79,16.84,19.65,16209438
"2015-08-06",22.46,22.47,21.89,21.99,11853776
"2015-08-13",22.12,22.41,21.92,22.25,8563115
"2015-08-20",21.66,21.86,21.23,21.28,7693732
"2015-08-27",20,20.64,19.92,20.54,7612330
"2015-09-03",20.35,20.91,20.35,20.49,4454923
"2015-09-10",21.18,21.25,20.37,20.72,8765149
"2015-09-17",21.21,21.4,20.85,20.96,5310848
"2015-09-24",19.21,19.78,19.15,19.55,5734938
"2015-10-01",18.5,18.74,18.19,18.67,6177265
"2015-10-08",20.68,21.26,20.62,21.14,6121526
"2015-10-15",21.85,21.95,21.19,21.63,6341298
"2015-10-22",20.81,20.86,20.22,20.47,6905569
"2015-10-29",23.08,23.41,22.47,22.8,21929337
"2015-11-05",24.02,24.34,23.84,23.91,4177891
"2015-11-12",23.11,23.47,22.77,22.8,4320210
"2015-11-19",22.46,22.72,22.16,22.53,3534293
"2015-12-03",23.58,23.6,22.29,22.39,6325945
"2015-12-10",22.13,22.35,21.73,22.06,6631751
"2015-12-17",22.23,22.24,21.44,21.45,3276210
"2015-12-24",22.42,22.58,22.3,22.51,950725
"2015-12-31",22.43,23.04,22.4,22.72,2406214
"2016-01-07",21.72,21.8,20.35,20.62,12776148
"2016-01-14",20.02,20.57,19.51,20.27,7306475
"2016-01-21",19.16,19.37,18.66,19.02,6726300
"2016-01-28",19.92,20.34,19.12,19.28,12525327
"2016-02-04",18.63,19.18,18.47,18.77,7514575
"2016-02-11",16.76,17.15,16.5,16.93,8618180
"2016-02-18",19.38,19.42,18.19,18.4,26303845
"2016-02-25",18.3,18.46,17.74,18.34,7034852
