"","MGM.Open","MGM.High","MGM.Low","MGM.Close","MGM.Volume"
"2016-03-03",20.11,20.38,19.67,20.33,7424329
"2016-03-10",20.2,20.49,20.02,20.34,6494230
"2016-03-17",21.2,21.58,20.87,20.95,8795940
"2016-03-24",20.51,20.72,20.2,20.52,7017697
"2016-03-31",21.26,21.56,21.09,21.44,4850258
"2016-04-07",21.49,22.27,21.39,21.67,9708915
"2016-04-14",23.23,23.29,22.58,22.81,6436873
"2016-04-21",22.38,22.6,21.9,22.29,7889018
"2016-04-28",21.78,21.92,21.33,21.35,4402741
"2016-05-05",21.6,22.27,21.27,21.87,14302271
"2016-05-12",22.07,22.31,21.67,21.94,4816407
"2016-05-19",21.54,21.86,21.33,21.51,5752203
"2016-05-26",22.9,22.94,22.32,22.51,3751798
"2016-06-02",23.37,24.15,23.32,24.1,7801457
"2016-06-09",24.84,25.29,24.73,25.09,6171555
"2016-06-16",24.35,24.39,23.82,24.16,7085392
"2016-06-23",24.6,24.66,24.43,24.48,5106474
"2016-06-30",22.86,22.89,22.28,22.63,6277048
"2016-07-07",23,23.32,22.76,22.98,5092729
"2016-07-14",23.45,23.54,23.17,23.29,4604117
"2016-07-21",23.5,23.62,23.12,23.17,3845675
"2016-07-28",23.72,24.28,23.7,24.23,6097458
"2016-08-04",24.36,24.46,23.78,24.06,9745688
"2016-08-11",24.73,24.99,24.59,24.89,4151825
"2016-08-18",24.5,24.6,24.26,24.36,2730761
"2016-08-25",23.47,23.95,23.38,23.66,4536978
"2016-09-01",24.29,24.77,24.13,24.65,9785701
"2016-09-08",25.47,25.49,25.08,25.3,4449658
"2016-09-15",25.27,25.65,25.15,25.54,6039027
